date,open,high,low,close,volume,unadjusted,putthrough
2018-08-14,0.99940,0.99940,0.99940,0.99940,0,0,0
2018-08-15,0.99940,0.99940,0.99940,0.99940,0,0,0
2018-08-16,0.99940,0.99940,0.99940,0.99940,0,0,0
2018-08-17,0.99940,0.99940,0.99940,0.99940,0,0,0
2018-08-20,0.99940,0.99940,0.99940,0.99940,0,0,0
2018-08-21,1.00772,1.00772,1.00772,1.00772,0,0,0
2018-08-22,1.00772,1.00772,1.00772,1.00772,0,0,0
2018-08-23,1.00432,1.00432,1.00432,1.00432,0,0,0
2018-08-24,1.00432,1.00432,1.00432,1.00432,0,0,0
2018-08-27,1.00316,1.00316,1.00316,1.00316,0,0,0
2018-08-28,1.00316,1.00316,1.00316,1.00316,0,0,0
2018-08-29,1.00267,1.00267,1.00267,1.00267,0,0,0
2018-08-30,1.00810,1.00810,1.00810,1.00810,0,0,0
2018-08-31,1.00810,1.00810,1.00810,1.00810,0,0,0
2018-09-04,1.01446,1.01446,1.01446,1.01446,0,0,0
2018-09-05,1.01735,1.01735,1.01735,1.01735,0,0,0
2018-09-06,1.01764,1.01764,1.01764,1.01764,0,0,0
2018-09-07,1.01764,1.01764,1.01764,1.01764,0,0,0
2018-09-10,1.01715,1.01715,1.01715,1.01715,0,0,0
2018-09-11,1.02516,1.02516,1.02516,1.02516,0,0,0
2018-09-12,1.01480,1.01480,1.01480,1.01480,0,0,0
2018-09-13,1.01480,1.01480,1.01480,1.01480,0,0,0
2018-09-14,1.01480,1.01480,1.01480,1.01480,0,0,0
2018-09-17,1.01712,1.01712,1.01712,1.01712,0,0,0
2018-09-18,1.02536,1.02536,1.02536,1.02536,0,0,0
2018-09-19,1.02224,1.02224,1.02224,1.02224,0,0,0
2018-09-20,1.02618,1.02618,1.02618,1.02618,0,0,0
2018-09-21,1.02618,1.02618,1.02618,1.02618,0,0,0
2018-09-24,1.02545,1.02545,1.02545,1.02545,0,0,0
2018-09-25,1.02545,1.02545,1.02545,1.02545,0,0,0
2018-09-26,1.01644,1.01644,1.01644,1.01644,0,0,0
2018-09-27,1.01644,1.01644,1.01644,1.01644,0,0,0
2018-09-28,1.01644,1.01644,1.01644,1.01644,0,0,0
2018-10-01,1.01644,1.01644,1.01644,1.01644,0,0,0
2018-10-02,1.01644,1.01644,1.01644,1.01644,0,0,0
2018-10-03,1.01644,1.01644,1.01644,1.01644,0,0,0
2018-10-04,1.01644,1.01644,1.01644,1.01644,0,0,0
2018-10-05,1.01644,1.01644,1.01644,1.01644,0,0,0
2018-10-08,1.01640,1.01640,1.01640,1.01640,0,0,0
2018-10-09,1.01466,1.01466,1.01466,1.01466,0,0,0
2018-10-10,1.01293,1.01293,1.01293,1.01293,0,0,0
2018-10-11,1.01920,1.01920,1.01920,1.01920,0,0,0
2018-10-12,1.01920,1.01920,1.01920,1.01920,0,0,0
2018-10-15,1.02746,1.02746,1.02746,1.02746,0,0,0
2018-10-16,1.02593,1.02593,1.02593,1.02593,0,0,0
2018-10-17,1.02543,1.02543,1.02543,1.02543,0,0,0
2018-10-22,1.04387,1.04387,1.04387,1.04387,0,0,0
2018-10-23,1.03527,1.03527,1.03527,1.03527,0,0,0
2018-10-24,1.04877,1.04877,1.04877,1.04877,0,0,0
2018-10-26,1.03463,1.03463,1.03463,1.03463,0,0,0
2018-10-29,1.03463,1.03463,1.03463,1.03463,0,0,0
2018-10-30,1.03463,1.03463,1.03463,1.03463,0,0,0
2018-10-31,1.04545,1.04545,1.04545,1.04545,0,0,0
2018-11-01,1.05274,1.05274,1.05274,1.05274,0,0,0
2018-11-02,1.05274,1.05274,1.05274,1.05274,0,0,0
2018-11-05,1.05274,1.05274,1.05274,1.05274,0,0,0
2018-11-06,1.06151,1.06151,1.06151,1.06151,0,0,0
2018-11-07,1.05382,1.05382,1.05382,1.05382,0,0,0
2018-11-09,1.07163,1.07163,1.07163,1.07163,0,0,0
2018-11-12,1.07163,1.07163,1.07163,1.07163,0,0,0
2018-11-13,1.07229,1.07229,1.07229,1.07229,0,0,0
2018-11-14,1.07229,1.07229,1.07229,1.07229,0,0,0
2018-11-15,1.07511,1.07511,1.07511,1.07511,0,0,0
2018-11-16,1.07511,1.07511,1.07511,1.07511,0,0,0
2018-11-19,1.08105,1.08105,1.08105,1.08105,0,0,0
2018-11-20,1.07836,1.07836,1.07836,1.07836,0,0,0
2018-11-21,1.09109,1.09109,1.09109,1.09109,0,0,0
2018-11-22,1.08476,1.08476,1.08476,1.08476,0,0,0
2018-11-23,1.08476,1.08476,1.08476,1.08476,0,0,0
2018-11-26,1.08476,1.08476,1.08476,1.08476,0,0,0
2018-11-27,1.08785,1.08785,1.08785,1.08785,0,0,0
2018-11-28,1.08671,1.08671,1.08671,1.08671,0,0,0
2018-11-29,1.09223,1.09223,1.09223,1.09223,0,0,0
2018-11-30,1.09223,1.09223,1.09223,1.09223,0,0,0
2018-12-03,1.09778,1.09778,1.09778,1.09778,0,0,0
2018-12-04,1.09778,1.09778,1.09778,1.09778,0,0,0
2018-12-05,1.10005,1.10005,1.10005,1.10005,0,0,0
2018-12-06,1.09221,1.09221,1.09221,1.09221,0,0,0
2018-12-07,1.09221,1.09221,1.09221,1.09221,0,0,0
2018-12-10,1.09221,1.09221,1.09221,1.09221,0,0,0
2018-12-11,1.08961,1.08961,1.08961,1.08961,0,0,0
2018-12-12,1.08956,1.08956,1.08956,1.08956,0,0,0
2018-12-13,1.08956,1.08956,1.08956,1.08956,0,0,0
2018-12-14,1.08956,1.08956,1.08956,1.08956,0,0,0
2018-12-17,1.10120,1.10120,1.10120,1.10120,0,0,0
2018-12-18,1.09128,1.09128,1.09128,1.09128,0,0,0
2018-12-19,1.09099,1.09099,1.09099,1.09099,0,0,0
2018-12-20,1.09099,1.09099,1.09099,1.09099,0,0,0
2018-12-21,1.09099,1.09099,1.09099,1.09099,0,0,0
2018-12-24,1.09099,1.09099,1.09099,1.09099,0,0,0
2018-12-25,1.09099,1.09099,1.09099,1.09099,0,0,0
2018-12-26,1.09099,1.09099,1.09099,1.09099,0,0,0
2018-12-27,1.09580,1.09580,1.09580,1.09580,0,0,0
2018-12-28,1.09580,1.09580,1.09580,1.09580,0,0,0
2019-01-02,1.09466,1.09466,1.09466,1.09466,0,0,0
