date,open,high,low,close,volume,unadjusted,putthrough
2015-08-13,1.00000,1.00000,1.00000,1.00000,0,0,0
2015-08-14,1.00024,1.00024,1.00024,1.00024,0,0,0
2015-08-16,1.00042,1.00042,1.00042,1.00042,0,0,0
2015-08-17,1.00042,1.00042,1.00042,1.00042,0,0,0
2015-08-18,0.99969,0.99969,0.99969,0.99969,0,0,0
2015-08-19,1.00067,1.00067,1.00067,1.00067,0,0,0
2015-08-20,0.99985,0.99985,0.99985,0.99985,0,0,0
2015-08-21,0.99980,0.99980,0.99980,0.99980,0,0,0
2015-08-23,0.99963,0.99963,0.99963,0.99963,0,0,0
2015-08-24,0.99943,0.99943,0.99943,0.99943,0,0,0
2015-08-25,0.99866,0.99866,0.99866,0.99866,0,0,0
2015-08-26,1.00056,1.00056,1.00056,1.00056,0,0,0
2015-08-27,1.00120,1.00120,1.00120,1.00120,0,0,0
2015-08-28,1.00287,1.00287,1.00287,1.00287,0,0,0
2015-08-30,1.00370,1.00370,1.00370,1.00370,0,0,0
2015-08-31,1.00373,1.00373,1.00373,1.00373,0,0,0
2015-09-01,1.00301,1.00301,1.00301,1.00301,0,0,0
2015-09-02,1.00348,1.00348,1.00348,1.00348,0,0,0
2015-09-03,1.00400,1.00400,1.00400,1.00400,0,0,0
2015-09-04,1.00864,1.00864,1.00864,1.00864,0,0,0
2015-09-06,1.00853,1.00853,1.00853,1.00853,0,0,0
2015-09-07,1.00850,1.00850,1.00850,1.00850,0,0,0
2015-09-08,1.00951,1.00951,1.00951,1.00951,0,0,0
2015-09-09,1.00853,1.00853,1.00853,1.00853,0,0,0
2015-09-10,1.00942,1.00942,1.00942,1.00942,0,0,0
2015-09-11,1.00950,1.00950,1.00950,1.00950,0,0,0
2015-09-13,1.00981,1.00981,1.00981,1.00981,0,0,0
2015-09-14,1.00976,1.00976,1.00976,1.00976,0,0,0
2015-09-15,1.01159,1.01159,1.01159,1.01159,0,0,0
2015-09-16,1.01211,1.01211,1.01211,1.01211,0,0,0
2015-09-17,1.01200,1.01200,1.01200,1.01200,0,0,0
2015-09-18,1.01283,1.01283,1.01283,1.01283,0,0,0
2015-09-24,1.01373,1.01373,1.01373,1.01373,0,0,0
2015-09-25,1.01322,1.01322,1.01322,1.01322,0,0,0
2015-09-27,1.01251,1.01251,1.01251,1.01251,0,0,0
2015-09-28,1.01251,1.01251,1.01251,1.01251,0,0,0
