date,open,high,low,close,volume,unadjusted,putthrough
2016-03-01,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-02,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-03,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-04,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-07,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-08,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-09,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-10,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-11,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-14,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-15,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-16,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-17,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-18,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-21,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-22,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-23,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-24,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-25,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-28,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-29,0.98684,0.98684,0.98684,0.98684,0,0,0
2016-03-30,0.98889,0.98889,0.98889,0.98889,0,0,0
2016-03-31,0.98205,0.98205,0.98205,0.98205,0,0,0
2016-04-01,0.97778,0.97778,0.97778,0.97778,0,0,0
2016-04-04,0.97951,0.97951,0.97951,0.97951,0,0,0
2016-04-05,0.98694,0.98694,0.98694,0.98694,0,0,0
2016-04-06,0.99798,0.99798,0.99798,0.99798,0,0,0
2016-04-07,1.00333,1.00333,1.00333,1.00333,0,0,0
2016-04-08,1.01132,1.01132,1.01132,1.01132,0,0,0
2016-04-11,1.02217,1.02217,1.02217,1.02217,0,0,0
2016-04-12,1.02660,1.02660,1.02660,1.02660,0,0,0
2016-04-13,1.01919,1.01919,1.01919,1.01919,0,0,0
2016-04-14,1.02320,1.02320,1.02320,1.02320,0,0,0
2016-04-15,1.02344,1.02344,1.02344,1.02344,0,0,0
2016-04-19,1.00910,1.00910,1.00910,1.00910,0,0,0
2016-04-20,1.00825,1.00825,1.00825,1.00825,0,0,0
2016-04-21,1.01337,1.01337,1.01337,1.01337,0,0,0
2016-04-22,1.03112,1.03112,1.03112,1.03112,0,0,0
2016-04-25,1.02951,1.02951,1.02951,1.02951,0,0,0
2016-04-26,1.03382,1.03382,1.03382,1.03382,0,0,0
2016-04-27,1.02380,1.02380,1.02380,1.02380,0,0,0
2016-04-28,1.02072,1.02072,1.02072,1.02072,0,0,0
2016-04-29,1.03223,1.03223,1.03223,1.03223,0,0,0
2016-05-04,1.04650,1.04650,1.04650,1.04650,0,0,0
2016-05-05,1.05414,1.05414,1.05414,1.05414,0,0,0
2016-05-06,1.04943,1.04943,1.04943,1.04943,0,0,0
2016-05-09,1.04968,1.04968,1.04968,1.04968,0,0,0
2016-05-10,1.04986,1.04986,1.04986,1.04986,0,0,0
2016-05-11,1.06774,1.06774,1.06774,1.06774,0,0,0
2016-05-12,1.06070,1.06070,1.06070,1.06070,0,0,0
2016-05-13,1.05235,1.05235,1.05235,1.05235,0,0,0
