date,open,high,low,close,volume,unadjusted,putthrough
2016-03-01,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-02,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-03,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-04,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-07,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-08,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-09,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-10,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-11,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-14,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-15,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-16,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-17,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-18,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-21,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-22,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-23,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-24,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-25,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-28,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-29,0.98085,0.98085,0.98085,0.98085,0,0,0
2016-03-30,0.98144,0.98144,0.98144,0.98144,0,0,0
2016-03-31,0.96912,0.96912,0.96912,0.96912,0,0,0
2016-04-01,0.96463,0.96463,0.96463,0.96463,0,0,0
2016-04-04,0.96370,0.96370,0.96370,0.96370,0,0,0
2016-04-05,0.96719,0.96719,0.96719,0.96719,0,0,0
2016-04-06,0.97983,0.97983,0.97983,0.97983,0,0,0
2016-04-07,0.98202,0.98202,0.98202,0.98202,0,0,0
2016-04-08,0.97734,0.97734,0.97734,0.97734,0,0,0
2016-04-11,0.98057,0.98057,0.98057,0.98057,0,0,0
2016-04-12,0.97693,0.97693,0.97693,0.97693,0,0,0
2016-04-13,0.97107,0.97107,0.97107,0.97107,0,0,0
2016-04-14,0.97336,0.97336,0.97336,0.97336,0,0,0
2016-04-15,0.97248,0.97248,0.97248,0.97248,0,0,0
2016-04-19,0.96621,0.96621,0.96621,0.96621,0,0,0
2016-04-20,0.97048,0.97048,0.97048,0.97048,0,0,0
2016-04-21,0.97487,0.97487,0.97487,0.97487,0,0,0
2016-04-22,1.00614,1.00614,1.00614,1.00614,0,0,0
2016-04-25,1.01287,1.01287,1.01287,1.01287,0,0,0
2016-04-26,1.01649,1.01649,1.01649,1.01649,0,0,0
2016-04-27,1.00312,1.00312,1.00312,1.00312,0,0,0
2016-04-28,1.00428,1.00428,1.00428,1.00428,0,0,0
2016-04-29,1.01966,1.01966,1.01966,1.01966,0,0,0
2016-05-04,1.01215,1.01215,1.01215,1.01215,0,0,0
2016-05-05,1.02062,1.02062,1.02062,1.02062,0,0,0
2016-05-06,1.03200,1.03200,1.03200,1.03200,0,0,0
2016-05-09,1.02106,1.02106,1.02106,1.02106,0,0,0
2016-05-10,1.03280,1.03280,1.03280,1.03280,0,0,0
2016-05-11,1.04360,1.04360,1.04360,1.04360,0,0,0
2016-05-12,1.03614,1.03614,1.03614,1.03614,0,0,0
2016-05-13,1.03382,1.03382,1.03382,1.03382,0,0,0
