date,close,volume
2019-10-18,922,169
2019-10-21,921,49
2019-10-22,918.3,41
2019-10-23,918.2,13
2019-10-24,926.7,62
2019-10-25,924,6
2019-10-28,926.8,37
2019-10-29,926.9,20
2019-10-30,930.1,70
2019-10-31,928.9,32
2019-11-01,936.9,86
2019-11-04,938.7,28
2019-11-05,939.2,20
2019-11-06,938.9,20
2019-11-07,941,18
2019-11-08,943.4,98
2019-11-11,940.4,28
2019-11-12,944.4,54
2019-11-13,940.4,123
2019-11-14,938.6,24
2019-11-15,939.3,54
2019-11-18,938.9,64
2019-11-19,940,57
2019-11-20,934,117
2019-11-21,920,96
2019-11-22,906.6,209
2019-11-25,908.8,129
2019-11-26,913.8,71
2019-11-27,906.1,186
2019-11-28,898.6,100
2019-11-29,898,47
2019-12-02,887,105
2019-12-03,883.3,69
2019-12-04,894.8,54
2019-12-05,896,45
2019-12-06,893.3,25
2019-12-09,887.5,47
2019-12-10,886,93
2019-12-11,889.9,53
2019-12-12,894.8,58
2019-12-13,893.2,45
2019-12-16,892,39
2019-12-17,884,89
2019-12-18,876.1,56
2019-12-19,877.5,152
2019-12-20,880,31
2019-12-23,880.1,64
2019-12-24,878.1,87
2019-12-25,883,51
2019-12-26,883,37
2019-12-27,890,95
2019-12-30,889.6,41
2019-12-31,889.3,12
2020-01-02,895.2,30
2020-01-03,891.5,38
2020-01-06,884,90
2020-01-07,884.5,33
2020-01-08,875.9,55
2020-01-09,881.6,45
2020-01-10,887.8,39
2020-01-13,887.9,113
2020-01-14,889,31
2020-01-15,889.3,12
2020-01-16,896.9,29
2020-01-17,897.9,21
2020-01-20,899,18
2020-01-21,903.5,89
2020-01-22,909,65
2020-01-30,876.1,174
2020-01-31,860.1,94
2020-02-03,857,160
2020-02-04,853.2,99
2020-02-05,850.8,115
2020-02-06,865.3,115
2020-02-07,863.6,117
2020-02-10,854.9,96
2020-02-11,857,36
2020-02-12,862,67
2020-02-13,860,85
2020-02-14,866,48
2020-02-17,866.5,40
2020-02-18,863.1,31
2020-02-19,866,37
2020-02-20,873.4,141
2020-02-21,866.5,90
2020-02-24,835,141
2020-02-25,848,113
2020-02-26,844.9,104
2020-02-27,855,73
2020-02-28,839.9,85
2020-03-02,848.7,102
2020-03-03,848.7,91
2020-03-04,850,54
2020-03-05,844.5,111
2020-03-06,839,97
2020-03-09,780.3,191
2020-03-10,790.8,219
2020-03-11,745.1,199
2020-03-12,693,522
2020-03-13,709,312
2020-03-16,668.9,172
2020-03-17,698.8,80
2020-03-18,681,80
2020-03-19,664,65
2020-03-20,667.5,153
2020-03-23,620.8,208
2020-03-24,620.5,244
2020-03-25,644.8,182
2020-03-26,620,193
2020-03-27,608.1,133
2020-03-30,579.2,103
2020-03-31,580,242
2020-04-01,592,68
2020-04-03,609.7,137
2020-04-06,652.3,126
2020-04-07,672,137
2020-04-08,667.7,386
2020-04-09,669.2,133
2020-04-10,672.3,134
2020-04-13,674.9,144
2020-04-14,676,324
2020-04-15,688.4,184
2020-04-16,695.2,442
2020-04-17,713,830
2020-04-20,705.8,565
2020-04-21,665,755
2020-04-22,678.6,776
2020-04-23,673,722
2020-04-24,687.3,572
2020-04-27,683.6,867
2020-04-28,685.3,571
2020-04-29,694,558
2020-05-04,676.9,961
2020-05-05,683.5,537
2020-05-06,705,887
2020-05-07,731.5,1701
2020-05-08,735,2510
2020-05-11,753.7,1598
2020-05-12,749.8,1246
2020-05-13,757,1618
2020-05-14,754.2,1395
2020-05-15,751,2177
2020-05-18,776,3509
2020-05-19,787,11367
2020-05-20,799,15029
2020-05-21,786,55248
2020-05-22,768.9,183398
2020-05-25,782,196856
2020-05-26,809.4,181518
2020-05-27,782.9,208309
2020-05-28,790,234116
2020-05-29,785,185260
2020-06-01,811,147528
2020-06-02,808.1,205836
2020-06-03,819,204025
2020-06-04,815,131414
2020-06-05,825,143854
2020-06-08,836.5,159338
2020-06-09,827,157697
2020-06-10,839.3,185721
2020-06-11,795,191947
2020-06-12,805,300905
2020-06-15,775,208388
2020-06-16,798,212214
2020-06-17,800.7,176293
2020-06-18,797.1,100844
