date,open,high,low,close,volume,unadjusted,putthrough
2010-07-15,12.6302,13.1255,11.8872,12.0606,174100,48.7000,0
2010-07-16,12.2587,12.2587,11.5158,11.5158,109200,46.5000,0
2010-07-19,12.2588,12.2588,11.4663,11.4662,104900,46.3000,40000
2010-07-20,11.8872,11.8872,11.0204,11.1938,328700,45.2000,0
2010-07-21,11.1938,11.2433,10.8966,11.1690,75800,45.1000,20000
2010-07-22,11.1690,11.8872,11.1442,11.1690,147200,45.1000,0
2010-07-23,11.7634,11.7634,11.3424,11.3919,115800,46.0000,0
2010-07-26,11.4167,11.5900,11.1442,11.1690,131700,45.1000,100000
2010-07-27,11.5157,11.6395,11.2433,11.4167,112900,46.1000,20000
2010-07-28,11.6148,11.6148,11.1443,11.1443,64300,45.0000,100000
2010-07-29,11.3672,12.1349,11.0948,12.1349,509100,49.0000,0
2010-07-30,12.2587,12.5311,11.7882,12.5064,346300,50.5000,135000
2010-08-02,12.7541,12.8779,12.0854,12.0854,682800,48.8000,10500
2010-08-03,12.5807,12.6055,12.0854,12.1844,405000,49.2000,0
2010-08-04,12.2587,12.3825,11.3672,12.3825,245000,50.0000,0
2010-08-05,12.3825,12.3825,11.8872,11.8872,169100,48.0000,0
2010-08-06,12.1349,12.2091,12.1349,12.1349,150000,49.0000,430500
2010-08-09,12.1349,12.2092,11.5653,11.6396,173500,47.0000,0
2010-08-10,12.1101,12.1101,11.0452,11.1690,122300,45.1000,0
2010-08-11,10.5003,10.9956,10.5003,10.9957,168100,44.4000,30000
2010-08-12,10.8223,10.8223,10.3023,10.4013,81800,42.0000,105000
2010-08-13,10.6489,11.0204,10.6489,11.0205,53500,44.5000,250000
2010-08-16,11.5653,11.5653,11.5406,11.5653,31200,46.7000,0
2010-08-17,11.3919,12.0606,11.3919,11.6891,89200,47.2000,0
2010-08-18,11.6396,11.6396,10.8719,11.0205,80400,44.5000,250000
2010-08-19,10.5500,11.8130,10.5500,11.8129,225100,47.7000,5000
2010-08-20,11.7634,12.4568,11.7634,12.4568,449300,50.3000,0
2010-08-23,12.3577,13.1998,12.3330,13.1998,423300,53.3000,0
2010-08-24,13.5960,14.0666,13.1503,14.0666,242100,56.8000,250000
2010-08-25,14.6114,14.7848,13.7942,13.8189,271100,55.8000,400000
2010-08-26,13.5217,15.5277,13.4970,14.4876,717100,58.5000,0
2010-08-27,15.4287,16.4936,15.4287,15.4534,587000,62.4000,0
2010-08-30,17.3355,17.5337,17.3355,17.5337,591900,70.8000,0
2010-08-31,18.5491,18.7472,18.3262,18.7224,620800,75.6000,0
2010-09-01,19.0691,19.8121,18.9453,19.8121,803100,80.0000,0
