disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2017-07-13,schedEvent,schedDiv,Dự kiến cổ tức,,,,"Dự kiến trả cổ tức bằng cổ phiếu năm 2019, tỷ lệ 100:25",,25,,2019
2020-02-27,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2020-03-18,,,Giá tham chiếu: 10.800 đ/cp,,,,
2020-03-18,stockAlert,nomargin,CP không đủ điều kiện GD ký quỹ,2020-03-18,2020-09-18,,Thời gian niêm yết dưới 06 tháng,,,,
2020-03-24,investorRight,MEETING,Họp cổ đông,2020-04-10,2020-04-29,2020-04-29,ĐHĐCĐ thường niên năm 2020,,,,
2020-05-29,investorRight,DIVIDEND,Cổ tức bằng tiền,2020-06-10,2020-06-30,2020-06-30,Trả cổ tức năm 2019 (500 đ/cp),500,5,,2019
2020-08-24,schedEvent,schedIssue,Dự kiến phát hành,2020-09-11,2020-09-11,,"Dự kiến phát hành 1,440,000cp ESOP",,5,,
2020-08-25,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2020-09-03,2020-09-04,,"Trả cổ tức năm 2019, Tỷ lệ 100:25",,25,,2019
2020-10-05,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2020-10-16,,,"Số lượng 8,639,873 cp",,,,
2020-10-20,schedEvent,schedIssue,Dự kiến phát hành,2021-01-12,2021-01-12,,"Dự kiến phát hành 42,560,127cp cho CĐCL",,,,
2021-01-28,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,,,,"Số lượng 42,560,127 cp",,,,
