date,open,high,low,close,volume,unadjusted,putthrough
2020-03-18,9.6172,9.6172,9.6172,9.6172,9690,12.9500,0
2020-03-19,10.2856,10.2856,10.2856,10.2856,12840,13.8500,0
2020-03-20,10.9911,10.9911,10.9911,10.9911,10080,14.8000,0
2020-03-23,11.7337,11.7337,11.7337,11.7338,8110,15.8000,0
2020-03-24,12.5507,12.5507,12.5507,12.5507,210860,16.9000,0
2020-03-25,13.4047,13.4047,13.4047,13.4047,124850,18.0500,0
2020-03-26,14.3330,14.3330,14.2587,14.3330,198820,19.3000,0
2020-03-27,15.3356,15.3356,15.3356,15.3356,91940,20.6500,0
2020-03-30,16.3753,16.3753,16.3753,16.3753,96540,22.0500,0
2020-03-31,17.4893,17.4893,17.4150,17.4893,211060,23.5500,0
2020-04-01,18.6775,18.6775,18.6775,18.6775,99250,25.1500,0
2020-04-03,19.9771,19.9771,19.9771,19.9771,108670,26.9000,0
2020-04-06,21.3510,21.3510,21.3510,21.3510,98590,28.7500,0
2020-04-07,22.8363,22.8363,22.8363,22.8363,67880,30.7500,0
2020-04-08,24.4330,24.4330,24.4330,24.4330,89030,32.9000,0
2020-04-09,26.1411,26.1411,26.1411,26.1411,65630,35.2000,0
2020-04-10,27.9606,27.9606,24.3216,24.3216,311640,32.7500,0
2020-04-13,22.7249,22.7249,22.6507,22.6506,23580,30.5000,0
2020-04-14,21.0911,21.0911,21.0911,21.0911,2390,28.4000,0
2020-04-15,19.6429,19.6429,19.6429,19.6429,2760,26.4500,0
2020-04-16,18.2690,18.2690,18.2690,18.2690,1810,24.6000,0
2020-04-17,18.2690,18.2690,17.0065,17.0066,5300,22.9000,0
2020-04-20,15.8184,15.8184,15.8184,15.8183,2090,21.3000,0
2020-04-21,14.7415,14.7415,14.7415,14.7415,480,19.8500,0
2020-04-22,13.7389,13.7389,13.7389,13.7389,5910,18.5000,0
2020-04-23,12.8106,12.8106,12.8106,12.8106,5730,17.2500,0
2020-04-24,13.7018,13.7018,11.9194,13.7018,493220,18.4500,0
2020-04-27,14.6301,14.6301,13.4419,14.2588,349260,19.2000,0
2020-04-28,13.7389,14.1103,13.2934,13.2933,185300,17.9000,0
2020-04-29,12.3650,12.3650,12.3650,12.3650,141340,16.6500,0
2020-05-04,11.5110,11.5110,11.5110,11.5110,50130,15.5000,0
2020-05-05,10.7312,11.8823,10.7312,11.0654,347130,14.9000,0
2020-05-06,10.7312,11.8080,10.7312,11.8080,150420,15.9000,0
2020-05-07,11.8823,11.8823,11.1396,11.3625,109900,15.3000,0
