date,open,high,low,close,volume,unadjusted,putthrough
2006-12-25,11.0649,11.0649,11.0649,11.0649,9000,90.0000,0
2006-12-26,11.6181,11.6181,11.6181,11.6182,6000,94.5000,0
2006-12-27,12.1714,12.1714,12.1714,12.1714,1000,99.0000,0
2006-12-28,12.6632,12.6632,12.6632,12.6632,3800,103.0000,0
2006-12-29,13.2779,13.2779,12.9091,13.2779,51250,108.0000,0
2007-01-02,13.8926,13.8926,13.8926,13.8926,42030,113.0000,0
2007-01-03,14.5073,14.5073,14.2614,14.2615,111590,116.0000,0
2007-01-04,14.8762,14.8762,14.5074,14.8762,42780,121.0000,0
2007-01-05,14.8762,14.8762,14.5074,14.5074,25380,118.0000,0
2007-01-08,15.1221,15.1221,15.1221,15.1221,104230,123.0000,0
2007-01-09,15.7368,15.8598,15.6139,15.8597,30180,129.0000,0
2007-01-10,16.4744,16.5974,15.9826,15.9827,29720,130.0000,0
2007-01-11,15.9827,15.9827,15.7368,15.9827,17810,130.0000,0
2007-01-12,15.9827,16.3515,15.7368,16.3515,11170,133.0000,0
2007-01-15,17.0892,17.0892,16.8433,17.0892,25350,139.0000,0
2007-01-16,17.8269,17.8269,17.8269,17.8268,71080,145.0000,0
2007-01-17,18.6874,18.6874,16.9662,16.9662,56860,138.0000,0
2007-01-18,16.9662,17.2121,16.9662,17.2121,33560,140.0000,0
2007-01-19,17.7039,18.0727,17.7039,18.0727,23860,147.0000,0
2007-01-22,17.2121,17.2121,17.2121,17.2121,9140,140.0000,0
2007-01-23,16.5974,16.5974,16.3515,16.3515,22580,133.0000,0
2007-01-24,16.3515,16.3515,15.9827,15.9827,18640,130.0000,0
2007-01-25,15.6139,15.6139,15.2450,15.2450,6470,124.0000,0
2007-01-26,15.9827,15.9827,15.9827,15.9827,6670,130.0000,0
2007-01-29,16.7204,16.7204,15.7368,16.7203,12430,136.0000,0
2007-01-30,17.4580,17.4580,17.4580,17.4580,4230,142.0000,0
2007-01-31,17.8268,17.8268,16.9662,16.9662,28990,138.0000,0
2007-02-01,17.7039,17.7039,17.2121,17.2121,36750,140.0000,0
2007-02-02,17.2121,17.2121,17.2121,17.2121,21200,140.0000,0
2007-02-05,17.2121,17.2121,16.3515,17.2121,18120,140.0000,0
2007-02-06,17.2121,17.4580,16.8433,17.2121,16400,140.0000,0
2007-02-07,16.9662,16.9662,16.7203,16.9662,24170,138.0000,0
