date,open,high,low,close,volume,unadjusted,putthrough
2009-12-22,7.4955,8.0309,7.4955,8.0309,4000,30.0000,0
2009-12-23,7.6294,7.6294,7.6294,7.6294,500,28.5000,0
2009-12-24,7.6294,7.6294,7.6294,7.6294,1000,28.5000,0
2009-12-25,8.2986,8.2986,8.2986,8.2986,200,31.0000,0
2009-12-28,8.2986,8.2986,8.2986,8.2986,400,31.0000,0
2009-12-29,8.2986,8.2986,7.6294,7.6294,2000,28.5000,0
2009-12-30,7.6294,7.6294,7.4956,7.4955,3300,28.0000,0
2009-12-31,7.7632,7.7632,7.4955,7.4955,1700,28.0000,0
2010-01-04,7.4955,7.4955,7.3617,7.3617,1700,27.5000,0
2010-01-05,7.4955,7.7632,7.2279,7.4955,12500,28.0000,0
2010-01-06,6.9601,7.2278,6.9601,7.2278,5000,27.0000,0
2010-01-07,7.0940,7.0940,6.6924,6.6924,6000,25.0000,0
2010-01-08,6.4247,6.4247,6.4247,6.4247,4000,24.0000,0
2010-01-11,6.4247,6.4247,6.4247,6.4247,1000,24.0000,0
2010-01-12,5.8893,5.8893,5.7822,5.8893,2000,22.0000,0
2010-01-13,6.0231,6.3979,6.0231,6.3980,89430,23.9000,0
2010-01-15,6.9869,6.9869,6.9869,6.9869,30000,26.1000,0
2010-01-18,7.2278,7.2278,7.2278,7.2278,5000,27.0000,0
2010-01-19,6.5050,7.6293,6.5050,7.6294,17270,28.5000,0
2010-01-21,6.3177,7.2279,6.3177,7.2278,12030,27.0000,0
2010-01-25,7.4955,7.6294,7.4955,7.6294,22000,28.5000,0
2010-01-27,7.2279,7.2279,7.2279,7.2278,1892,27.0000,0
2010-02-02,7.7632,7.7632,7.7632,7.7632,2000,29.0000,0
2010-02-23,6.9869,6.9869,6.9869,6.9869,20000,26.1000,0
2010-02-25,6.9601,7.0940,6.9601,6.9601,107600,26.0000,0
2010-03-01,7.0940,7.2278,7.0940,7.0940,32000,26.5000,0
2010-03-02,7.2278,7.2278,7.2278,7.2278,10000,27.0000,0
2010-03-03,7.2278,7.2813,7.2278,7.2814,20500,27.2000,0
2010-03-04,7.9774,7.9774,7.9774,7.9774,50,29.8000,0
2010-03-05,7.7632,8.7537,7.7632,8.7537,250,32.7000,0
2010-03-10,7.2546,7.2546,7.2546,7.2546,2000,27.1000,0
2010-03-11,7.2546,7.2546,7.2546,7.2546,160000,27.1000,0
2010-03-12,7.9774,7.9774,7.9774,7.9774,10,29.8000,0
2010-03-15,8.7537,8.7537,8.7537,8.7537,2010,32.7000,0
2010-03-17,7.9238,9.6103,7.9238,9.6103,670,35.9000,0
2010-03-18,7.1743,8.7269,7.1743,8.7269,1010,32.6000,0
2010-03-19,7.8435,7.8435,7.8435,7.8435,10,29.3000,0
2010-03-22,8.6198,8.6198,8.6198,8.6199,1000,32.2000,0
2010-03-23,7.7633,7.7633,7.7633,7.7632,300,29.0000,0
2010-03-24,6.9869,6.9869,6.9869,6.9869,12,26.1000,0
2010-03-25,6.6924,7.6829,6.2909,6.2909,1200,23.5000,0
2010-03-26,7.4955,7.4955,7.4955,7.4955,3000,28.0000,0
2010-03-29,6.7459,8.2451,6.7459,8.2451,9010,30.8000,0
2010-03-30,9.0214,9.0214,9.0214,9.0214,300,33.7000,0
2010-04-01,8.2986,8.2986,8.1380,8.1380,2500,30.4000,0
2010-04-02,9.0749,9.0749,9.0749,9.0749,500,33.9000,0
2010-04-06,8.9678,8.9678,8.9678,8.9679,500,33.5000,0
2010-04-07,8.2987,8.2987,8.2987,8.2986,2839,31.0000,0
2010-04-12,8.2986,8.3254,8.2986,8.2986,6700,31.0000,0
2010-04-13,8.5663,8.7001,8.5663,8.7002,4000,32.5000,0
2010-04-14,8.7002,9.5033,8.7002,9.5033,27000,35.5000,0
2010-04-15,10.1725,10.3599,10.1725,10.3599,158188,38.7000,0
2010-04-16,11.3772,11.3772,9.6371,10.9488,10300,40.9000,0
2010-04-19,10.4402,10.4402,10.1725,10.1725,6965,38.0000,0
2010-04-20,10.1725,10.1725,10.1725,10.1725,220,38.0000,0
2010-04-21,10.1190,10.3063,10.0387,10.3064,7000,38.5000,0
2010-04-22,9.9049,10.3064,9.9049,10.3064,2010,38.5000,0
2010-04-27,10.7079,10.7079,10.1993,10.3064,16000,38.5000,0
2010-04-28,10.4402,10.5741,10.4402,10.5741,31200,39.5000,0
2010-04-29,10.4403,10.7615,10.1726,10.7079,53530,40.0000,0
2010-05-04,10.1725,10.6008,10.1725,10.6008,2000,39.6000,0
2010-05-05,10.0386,10.8417,10.0386,10.8418,22000,40.5000,0
2010-05-06,10.5741,11.2969,10.5741,11.2433,18100,42.0000,0
2010-05-07,10.8685,11.9125,10.8685,11.9125,9460,44.5000,0
2010-05-10,11.5110,11.5110,11.5110,11.5110,100,43.0000,0
2010-05-11,10.7079,12.6621,10.7079,12.6621,4080,47.3000,0
2010-05-12,12.3141,12.3141,11.2433,11.6448,13800,43.5000,0
2010-05-13,11.5110,11.7786,11.1094,11.1094,16600,41.5000,0
2010-05-14,12.7691,12.7691,11.5109,11.5110,1400,43.0000,0
2010-05-17,10.9756,10.9756,10.7079,10.7079,5500,40.0000,0
2010-05-18,10.8150,10.8150,8.8876,10.6544,16600,39.8000,0
2010-05-20,8.8876,9.6371,8.8876,9.6371,5100,36.0000,0
2010-05-21,10.5473,10.5473,8.8608,8.8608,1015,33.1000,0
2010-05-24,9.7710,9.7710,9.7710,9.7710,1000,36.5000,0
2010-05-25,9.7710,9.7710,9.3695,9.3694,21000,35.0000,0
2010-05-26,9.7442,9.7709,9.3694,9.6371,13500,36.0000,0
2010-05-27,10.4937,10.4937,10.4937,10.4937,15,39.2000,0
2010-05-28,11.5377,11.5377,11.5377,11.5378,10,43.1000,0
2010-05-31,12.6889,12.6889,12.6889,12.6889,10,47.4000,0
2010-06-01,13.9471,13.9471,13.9471,13.9470,10,52.1000,0
2010-06-02,12.5550,12.5550,12.5550,12.5550,10,46.9000,0
2010-06-03,11.3236,11.3236,11.3236,11.3236,10,42.3000,0
2010-06-04,10.1993,10.1993,10.1993,10.1993,10010,38.1000,0
2010-06-07,9.1820,9.1820,9.1820,9.1820,17750,34.3000,0
2010-06-08,8.2718,8.2718,8.2718,8.2719,5000,30.9000,0
2010-06-09,8.3522,8.7805,8.3522,8.7805,15000,32.8000,0
2010-06-10,9.3159,9.3159,9.3159,9.3159,2010,34.8000,0
2010-06-11,8.4057,10.2261,8.4057,10.2260,10295,38.2000,0
2010-06-15,9.9048,10.2528,9.9048,9.9048,215,37.0000,0
2010-06-16,8.9411,8.9411,8.9411,8.9411,10,33.4000,0
2010-06-17,8.0577,9.3694,8.0577,9.3694,3015,35.0000,0
2010-06-18,10.1725,10.1725,9.6371,9.8245,31500,36.7000,0
2010-06-21,10.2796,11.0024,9.0214,9.9048,47295,37.0000,0
2010-06-22,9.9048,10.0922,8.5663,10.0387,21115,37.5000,0
2010-06-24,10.0922,10.0922,9.7710,9.9048,11080,37.0000,0
2010-06-25,9.9048,10.8953,9.9048,10.0654,40075,37.6000,0
2010-06-28,10.9756,10.9756,10.1457,10.1993,12480,38.1000,0
2010-06-29,10.1725,10.1725,9.7710,9.9048,6854,37.0000,0
2010-06-30,10.1457,10.9488,10.0386,10.9488,52700,40.9000,0
2010-07-01,11.1897,11.1897,11.1897,11.1898,15,41.8000,0
2010-07-02,11.1630,12.2606,11.1630,12.2605,104850,45.8000,0
2010-07-05,12.5550,12.5817,11.6448,12.3141,38710,46.0000,0
2010-07-06,12.3141,12.4479,11.3772,11.6448,10860,43.5000,0
2010-07-07,11.5110,11.5110,10.7079,10.7079,22000,40.0000,0
2010-07-08,11.5913,11.5913,10.8417,10.8685,31579,40.6000,0
2010-07-09,10.9756,11.8322,10.9488,11.0827,24580,41.4000,0
2010-07-12,12.4480,12.4480,11.5646,11.9661,14201,44.7000,0
2010-07-13,12.0196,12.0196,11.9661,11.9929,8000,44.8000,0
2010-07-14,10.8418,12.0464,10.8418,12.0464,171,45.0000,0
2010-07-15,11.5645,12.0464,11.5110,11.6181,2618,43.4000,0
2010-07-16,12.7157,12.7157,11.1095,12.3141,18001,46.0000,0
2010-07-19,12.1803,12.1803,12.1803,12.1802,3000,45.5000,0
2010-07-20,12.0464,12.1534,11.5110,11.7787,67700,44.0000,0
2010-07-21,11.7787,11.7787,11.5110,11.5110,31400,43.0000,0
2010-07-22,12.0196,12.0196,11.5110,11.5110,13900,43.0000,0
2010-07-23,11.5110,11.5645,11.5110,11.5645,5600,43.2000,0
2010-07-27,11.5110,11.5110,11.5110,11.5110,7100,43.0000,0
2010-07-28,11.5110,11.5378,11.5110,11.5110,6100,43.0000,0
2010-07-29,12.5818,12.5818,12.5818,12.5818,3000,47.0000,0
2010-08-02,12.0196,12.0196,11.5110,11.5110,6000,43.0000,0
2010-08-03,11.5110,11.5110,11.5110,11.5110,3000,43.0000,0
2010-08-04,11.5110,11.5110,11.5110,11.5110,6000,43.0000,0
2010-08-10,11.3772,11.3772,11.3772,11.3771,10000,42.5000,0
2010-08-11,11.2165,11.2433,11.2165,11.2433,3800,42.0000,0
2010-08-12,11.2165,11.2165,11.2165,11.2165,3700,41.9000,0
2010-08-16,11.3771,11.3771,10.7079,11.2433,16700,42.0000,0
2010-08-17,11.2433,11.3771,10.4402,10.7079,10500,40.0000,0
2010-08-18,7.8971,7.8971,7.8971,7.8971,200,29.5000,0
2010-08-19,8.2986,8.2986,8.2986,8.2986,200,31.0000,0
2010-08-20,8.4860,8.4860,8.4860,8.4860,100,31.7000,0
2010-08-23,7.6829,8.4592,7.6561,7.6562,10400,28.6000,0
2010-08-24,7.2547,7.2547,7.2547,7.2546,10073,27.1000,0
2010-08-25,7.8971,7.8971,6.5318,7.8703,11100,29.4000,0
2010-08-26,6.5586,6.5586,6.4515,6.4515,9600,24.1000,0
2010-08-27,6.1838,6.1838,5.8090,5.8090,5000,21.7000,0
2010-08-30,6.4247,6.5050,6.4247,6.5051,800,24.3000,0
2010-08-31,7.1208,7.1208,6.2909,6.5051,2000,24.3000,0
2010-09-01,6.9602,6.9602,6.9602,6.9601,100,26.0000,0
2010-09-06,7.4955,7.4955,7.4955,7.4955,100,28.0000,0
2010-09-09,7.2278,7.2278,7.2278,7.2278,1000,27.0000,0
2010-09-10,6.5586,6.5586,6.5586,6.5586,1000,24.5000,0
2010-09-13,6.9601,6.9601,6.9601,6.9601,100,26.0000,0
2010-09-14,7.2278,7.2278,7.2278,7.2278,100,27.0000,0
2010-09-17,7.3616,7.3616,7.3616,7.3617,100,27.5000,0
2010-09-22,7.2279,7.2279,6.8263,6.8263,1500,25.5000,0
2010-09-23,7.4955,7.4955,6.6925,6.6924,1300,25.0000,0
2010-09-24,6.4247,6.4247,6.2909,6.2909,2000,23.5000,0
2010-09-27,6.6657,6.6657,6.2909,6.2909,400,23.5000,0
2010-09-28,6.4247,6.4247,6.4247,6.4247,600,24.0000,0
2010-10-04,7.0672,7.0672,7.0672,7.0672,100,26.4000,0
2010-10-05,7.0672,7.0672,7.0672,7.0672,5800,26.4000,0
2010-10-07,6.6924,6.6924,6.5586,6.5854,1200,24.6000,0
2010-10-14,6.4247,6.4247,6.2106,6.2106,800,23.2000,0
2010-10-15,6.3177,6.3177,6.3177,6.3177,72,23.6000,0
2010-10-18,6.1571,6.1571,6.1571,6.1570,1000,23.0000,0
2010-10-19,6.1838,6.1838,6.1838,6.1838,300,23.1000,0
2010-10-26,6.1838,6.1838,6.1838,6.1838,5800,23.1000,0
2010-10-27,6.7727,6.7727,6.7727,6.7727,1000,25.3000,0
2010-10-28,7.0404,7.0404,7.0404,7.0404,1000,26.3000,0
2010-11-01,6.3444,6.3444,6.3444,6.3444,2000,23.7000,0
2010-11-02,6.9601,6.9601,6.9601,6.9601,1000,26.0000,0
2010-11-05,7.1743,7.1743,6.9333,6.9334,1300,25.9000,0
2010-11-08,7.4956,7.4956,6.4248,6.4247,1500,24.0000,0
2010-11-09,6.4782,6.4782,6.4782,6.4783,100,24.2000,0
2010-11-10,6.9334,6.9334,6.9334,6.9334,1000,25.9000,0
2010-11-12,6.2909,6.2909,6.2642,6.2641,1100,23.4000,0
2010-11-17,6.8798,6.8798,6.5586,6.5586,400,24.5000,0
2010-11-18,7.1743,7.1743,7.1743,7.1743,200,26.8000,0
2010-11-19,6.4783,6.4783,6.4783,6.4783,6800,24.2000,0
2010-11-22,7.0940,7.0940,7.0940,7.0940,7000,26.5000,0
2010-11-23,6.3980,6.6389,6.3980,6.3980,2700,23.9000,0
2010-11-24,7.0672,7.0672,5.8894,5.8893,2800,22.0000,0
2010-11-25,5.6216,5.7555,5.6216,5.7555,1200,21.5000,0
2010-11-26,6.2106,6.2106,6.1570,6.1570,300,23.0000,0
2010-11-29,6.6656,6.6656,6.5318,6.6657,1200,24.9000,0
2010-11-30,7.1743,7.1743,6.6122,6.6121,16700,24.7000,0
2010-12-01,7.0404,7.0404,7.0404,7.0404,200,26.3000,0
2010-12-02,7.1742,7.2278,7.1742,7.2278,2300,27.0000,0
2010-12-03,7.4955,7.4955,7.4955,7.4955,200,28.0000,0
2010-12-06,6.7459,6.7459,6.7459,6.7460,1000,25.2000,0
2010-12-07,6.1571,6.1571,6.0768,6.0767,2900,22.7000,0
2010-12-08,6.2641,6.6656,6.2373,6.6657,4000,24.9000,0
2010-12-10,6.4247,6.4247,6.4247,6.4247,1000,24.0000,0
2010-12-13,6.9601,7.0672,6.4247,7.0672,1100,26.4000,0
2010-12-14,7.5758,7.5758,6.2909,6.2909,1400,23.5000,0
2010-12-22,6.6924,6.6924,6.4515,6.4515,2100,24.1000,0
2010-12-23,6.5586,6.5853,6.5586,6.5854,9300,24.6000,0
2010-12-24,7.0673,7.0673,6.6925,6.6924,2600,25.0000,0
2010-12-27,6.8262,6.8262,6.8262,6.8263,1700,25.5000,0
