date,open,high,low,close,volume,unadjusted,putthrough
2019-12-26,35.8140,35.8140,35.8140,35.8140,10000,77.0000,0
2019-12-27,41.1628,41.1628,41.1628,41.1628,21600,88.5000,0
2019-12-30,41.7675,43.3023,41.7675,43.3023,19400,93.1000,0
2019-12-31,41.6279,42.5581,41.1628,42.2791,18900,90.9000,0
2020-01-02,41.9070,41.9070,40.6512,41.8605,21500,90.0000,0
2020-01-03,41.8605,44.1861,41.7675,41.7674,3500,89.8000,0
2020-01-06,41.1627,43.3953,41.1627,43.3488,6700,93.2000,0
2020-01-07,41.8604,41.8604,41.6744,41.7674,8300,89.8000,0
2020-01-08,41.8604,41.9534,41.2093,41.9535,9600,90.2000,0
2020-01-09,41.4419,42.0465,41.4419,42.0465,11700,90.4000,0
2020-01-10,42.0465,42.0465,41.7209,41.8605,5300,90.0000,0
2020-01-13,41.8605,41.8605,41.4884,41.4884,8700,89.2000,0
2020-01-14,41.4884,41.9535,41.4884,41.9535,11700,90.2000,0
2020-01-15,42.0465,42.3256,41.8605,42.2326,13100,90.8000,0
2020-01-16,42.3256,42.3256,41.8605,41.8605,10600,90.0000,0
2020-01-17,41.8140,41.9070,41.6279,41.6279,8500,89.5000,0
2020-01-20,41.6279,42.1860,41.6279,42.1860,14200,90.7000,0
2020-01-21,41.8139,41.9534,41.8139,41.9535,7800,90.2000,0
2020-01-22,41.7675,42.4186,41.7675,42.4186,10200,91.2000,0
2020-01-30,41.8605,42.2326,41.8605,42.1860,12800,90.7000,0
2020-01-31,42.1860,42.2325,42.0930,42.0930,10700,90.5000,0
2020-02-03,42.1860,42.1860,41.9535,42.1395,9600,90.6000,0
2020-02-04,42.1395,42.1395,41.9535,42.1395,9100,90.6000,0
2020-02-05,42.1395,42.4186,42.1395,42.4186,8100,91.2000,0
2020-02-06,42.5581,43.0698,42.5581,43.0698,10200,92.6000,0
2020-02-07,43.0698,43.0698,42.6047,42.6977,11900,91.8000,0
2020-02-10,42.7907,43.2558,42.5117,42.9302,9700,92.3000,0
2020-02-11,42.7907,43.1162,42.7442,43.1163,8400,92.7000,0
2020-02-12,42.7907,42.7907,42.4651,42.4651,10900,91.3000,0
2020-02-13,42.7442,43.2558,42.7442,43.2558,14600,93.0000,0
2020-02-14,43.2093,43.3953,43.1163,43.1163,14000,92.7000,0
2020-02-17,43.2558,43.3023,43.1628,43.2093,11500,92.9000,0
2020-02-18,43.2093,43.3488,43.0698,43.3488,13700,93.2000,0
2020-02-19,43.3488,43.9535,43.3488,43.9070,15300,94.4000,0
2020-02-20,43.9070,44.1861,43.8605,44.1395,14500,94.9000,0
2020-02-21,44.1860,44.1860,43.9535,44.0465,16400,94.7000,0
2020-02-24,44.0465,44.0465,43.7209,43.7209,15500,94.0000,0
2020-02-25,43.8139,43.8139,43.4883,43.7209,14600,94.0000,0
2020-02-26,43.4883,49.1628,43.3953,44.1395,16300,94.9000,0
2020-02-27,43.8604,44.2325,43.8139,44.2326,16100,95.1000,0
2020-02-28,44.2791,44.2791,44.1861,44.2791,22710,95.2000,0
2020-03-02,44.3256,44.3721,44.2791,44.3721,12700,95.4000,0
2020-03-03,44.3721,44.5116,44.3721,44.4186,18400,95.5000,0
2020-03-04,44.4186,44.4186,44.1860,44.1860,22310,95.0000,0
2020-03-05,44.4651,44.6511,44.3720,44.3721,20800,95.4000,0
2020-03-06,44.3721,44.3721,44.2326,44.3256,19800,95.3000,0
2020-03-09,43.9070,43.9070,42.7907,42.7907,18100,92.0000,0
2020-03-10,42.5581,43.2558,42.3256,43.2558,19300,93.0000,0
2020-03-11,42.9302,43.4884,42.6511,42.6512,16300,91.7000,0
2020-03-12,42.6977,42.6977,42.6047,42.6512,17600,91.7000,0
2020-03-13,42.6047,42.7442,42.4186,42.7442,17900,91.9000,0
2020-03-16,42.1861,42.5116,42.1861,42.2326,17610,90.8000,0
2020-03-17,42.2326,42.4186,42.2326,42.4186,18808,91.2000,0
2020-03-18,42.4186,42.4186,42.3256,42.3721,5300,91.1000,0
2020-03-19,42.3721,42.3721,42.2326,42.2326,9700,90.8000,0
2020-03-20,42.2326,42.2791,42.2326,42.2326,4300,90.8000,0
2020-03-23,42.1396,42.1396,42.0000,42.0000,3900,90.3000,0
2020-03-24,42.0465,43.3488,41.9535,41.9535,4600,90.2000,0
2020-03-25,43.3488,43.8605,43.3488,43.8605,3700,94.3000,0
2020-03-26,43.4884,44.3256,43.4884,43.6744,4800,93.9000,0
2020-03-27,43.4884,43.7674,43.4884,43.6744,4200,93.9000,0
2020-03-30,43.2093,43.2093,43.0697,43.0698,2600,92.6000,0
2020-03-31,42.7907,43.2093,42.7907,42.7907,2500,92.0000,0
2020-04-01,42.8372,43.0698,42.8372,43.0698,800,92.6000,0
2020-04-03,43.0698,43.0698,43.0698,43.0698,700,92.6000,0
2020-04-06,43.0698,43.1628,43.0698,43.1628,640,92.8000,0
2020-04-07,43.1628,43.1628,43.1163,43.1163,700,92.7000,0
2020-04-08,43.1163,43.1163,42.8837,42.8837,500,92.2000,0
2020-04-09,43.0232,43.0232,43.0232,43.0233,610,92.5000,0
2020-04-10,43.0233,43.0233,42.9768,42.9767,800,92.4000,0
2020-04-13,43.0232,43.1627,43.0232,43.0233,500,92.5000,0
2020-04-14,43.0698,43.1628,42.7442,43.1163,3100,92.7000,0
2020-04-15,43.0233,43.1628,43.0233,43.0698,4800,92.6000,0
2020-04-16,43.0698,43.1163,43.0233,43.1163,4500,92.7000,0
2020-04-17,43.1163,43.2093,43.1163,43.1163,4700,92.7000,0
2020-04-20,43.1628,43.2558,43.1163,43.2558,9300,93.0000,0
2020-04-21,43.0232,43.1628,42.9767,43.1628,8900,92.8000,0
2020-04-22,43.1163,43.2093,42.8837,43.2093,9700,92.9000,0
2020-04-23,43.3023,43.6279,43.2093,43.5349,9100,93.6000,0
2020-04-24,43.5349,43.6279,43.3954,43.5814,9900,93.7000,0
2020-04-27,43.5349,44.1861,43.5349,43.7209,8200,94.0000,0
2020-04-28,43.7209,43.7209,43.5349,43.5814,9340,93.7000,0
2020-04-29,43.6279,44.1861,43.6279,44.1860,10600,95.0000,0
2020-05-04,44.4186,49.8604,44.1860,46.5581,7600,100.1000,0
2020-05-05,46.5581,49.3023,46.5581,47.7674,10900,102.7000,0
2020-05-06,48.5116,51.1627,47.9069,47.9070,8900,103.0000,0
2020-05-07,48.2326,48.3256,48.1861,48.2791,9700,103.8000,0
2020-05-08,48.2791,48.3256,48.2326,48.3256,8100,103.9000,0
2020-05-11,48.2791,49.5814,48.2791,49.5814,11300,106.6000,0
2020-05-12,49.0698,49.1163,48.5581,49.1163,8600,105.6000,0
2020-05-13,49.3023,49.7675,49.1163,49.4884,20700,106.4000,0
2020-05-14,49.6744,49.8140,49.3024,49.8140,8700,107.1000,0
2020-05-15,49.7675,51.5349,49.5349,49.6744,11500,106.8000,0
2020-05-18,50.4186,50.9302,50.3721,50.3721,7800,108.3000,0
2020-05-19,50.6512,51.1628,50.5581,50.6977,9700,109.0000,0
2020-05-20,51.1628,51.1628,50.0465,50.6047,8500,108.8000,0
2020-05-21,50.5582,50.5582,49.7210,50.5581,11500,108.7000,0
2020-05-22,49.5348,49.8139,49.5348,49.8140,10400,107.1000,0
2020-05-25,49.3024,50.2326,49.2093,50.0000,13100,107.5000,0
2020-05-26,49.6744,49.8140,49.5814,49.8140,10300,107.1000,0
2020-05-27,49.7675,50.0000,49.7675,49.9535,9200,107.4000,0
2020-05-28,49.9070,50.2326,49.9070,50.1395,11300,107.8000,0
2020-05-29,49.9069,50.0465,49.9069,50.0000,10700,107.5000,0
2020-06-01,49.7674,49.7674,49.3953,49.5814,9400,106.6000,0
2020-06-02,49.5814,49.6279,48.9302,49.4419,10600,106.3000,0
2020-06-03,49.4884,49.4884,48.9768,49.4419,10100,106.3000,0
2020-06-04,49.1628,49.7675,49.1628,49.4419,15600,106.3000,0
2020-06-05,48.5117,49.4419,48.5117,49.4419,17900,106.3000,0
2020-06-08,49.1163,49.4419,49.1163,49.3488,14800,106.1000,0
2020-06-09,49.2558,49.3023,49.0697,49.1628,20540,105.7000,0
2020-06-10,49.1628,49.3023,48.8837,49.2093,23600,105.8000,0
2020-06-11,48.4186,49.2558,48.1395,48.9302,19900,105.2000,0
2020-06-12,47.9069,48.9767,47.9069,48.8372,20800,105.0000,0
2020-06-15,47.4884,49.7209,47.4884,47.9070,18200,103.0000,0
2020-06-16,49.4884,49.4884,48.0000,48.0000,16300,103.2000,0
2020-06-17,47.7209,48.1395,47.7209,48.1395,19500,103.5000,0
2020-06-18,47.9535,48.0000,47.9069,48.0000,15300,103.2000,0
2020-06-19,47.7674,48.1860,47.7674,48.1395,17600,103.5000,0
2020-06-22,47.9069,48.3721,47.9069,48.2326,19300,103.7000,0
2020-06-23,49.0698,49.1163,48.1396,48.1395,14920,103.5000,0
2020-06-24,48.1860,48.3255,48.1860,48.2326,17400,103.7000,0
2020-06-25,48.2791,49.0698,48.2791,48.5116,13700,104.3000,0
2020-06-26,48.8372,48.8372,48.3721,48.5116,18300,104.3000,0
2020-06-29,48.5581,48.8372,48.2790,48.4651,14300,104.2000,0
2020-06-30,48.5116,49.3023,48.5116,49.3023,19800,106.0000,0
2020-07-01,49.0697,50.0465,49.0697,49.9535,23700,107.4000,0
2020-07-02,49.7675,50.0000,49.7675,49.9535,15600,107.4000,0
2020-07-03,49.9070,49.9070,49.7675,49.8605,19200,107.2000,0
2020-07-06,49.4419,49.7675,49.4419,49.6744,13400,106.8000,0
2020-07-07,49.7674,50.0000,49.3488,49.5349,16100,106.5000,0
2020-07-08,50.3256,50.9768,49.8605,50.1860,17620,107.9000,0
2020-07-09,50.3255,52.0930,50.3255,50.7442,21600,109.1000,0
2020-07-10,51.2093,53.4884,51.1163,51.1628,26100,110.0000,0
2020-07-13,51.3954,53.0233,51.3954,52.3256,19900,112.5000,0
2020-07-14,52.6512,53.9070,52.3256,52.8372,24820,113.6000,0
2020-07-15,53.2558,53.2558,53.0232,53.0233,21400,114.0000,0
2020-07-16,54.5000,59.1000,54.5000,55.1000,29300,55.1000,0
2020-07-17,56.8000,56.8000,53.5000,54.5000,24700,54.5000,0
2020-07-20,52.2000,54.9000,52.2000,54.0000,24900,54.0000,0
2020-07-21,52.6000,53.8000,52.0000,53.1000,22200,53.1000,0
2020-07-22,53.0000,53.0000,52.2000,52.2000,26600,52.2000,0
2020-07-23,52.6000,52.6000,50.9000,50.9000,15400,50.9000,0
2020-07-24,51.1000,51.1000,49.1000,51.0000,17100,51.0000,0
2020-07-27,49.1000,49.1000,43.0000,47.6000,16620,47.6000,0
2020-07-28,46.7000,48.5000,46.7000,48.1000,21900,48.1000,0
2020-07-29,47.9000,47.9000,45.0000,47.0000,26300,47.0000,0
2020-07-30,46.9000,48.0000,46.9000,47.6000,21223,47.6000,0
2020-07-31,46.5000,47.6000,46.5000,47.1000,20710,47.1000,0
2020-08-03,47.0000,54.0000,46.1000,51.0000,23490,51.0000,0
2020-08-04,49.6000,50.4000,49.5000,49.8000,18100,49.8000,0
2020-08-05,51.4000,51.4000,48.9000,50.0000,24600,50.0000,0
2020-08-06,49.1000,50.4000,49.1000,49.2000,22361,49.2000,0
2020-08-07,49.1000,49.7000,49.0000,49.4000,23400,49.4000,0
2020-08-10,49.3000,50.5000,49.3000,49.8000,24060,49.8000,0
2020-08-11,49.6000,49.9000,49.5000,49.7000,26900,49.7000,0
2020-08-12,51.0000,51.0000,49.7000,50.0000,24030,50.0000,0
2020-08-13,50.0000,50.5000,49.8000,50.0000,27300,50.0000,32500
2020-08-14,50.0000,50.0000,48.2000,49.2000,19500,49.2000,0
2020-08-17,49.3000,50.2000,49.3000,49.6000,24500,49.6000,0
2020-08-18,51.3000,51.3000,49.4000,50.4000,26441,50.4000,0
2020-08-19,48.6000,50.2000,48.6000,50.0000,18610,50.0000,0
2020-08-20,49.0000,50.5000,49.0000,49.4000,20000,49.4000,0
2020-08-21,49.8000,49.8000,49.3000,49.7000,22800,49.7000,0
2020-08-24,49.6000,50.0000,49.5000,49.8000,24340,49.8000,0
2020-08-25,49.9000,50.4000,49.5000,49.8000,20675,49.8000,0
2020-08-26,50.0000,51.0000,49.2000,51.0000,26200,51.0000,0
2020-08-27,50.0000,50.0000,49.5000,49.9000,21071,49.9000,0
2020-08-28,49.8000,50.7000,49.5000,50.7000,26190,50.7000,0
2020-08-31,50.1000,51.5000,50.0000,51.4000,16655,51.4000,0
2020-09-01,51.0000,51.3000,50.8000,51.2000,20830,51.2000,0
2020-09-03,50.8000,51.3000,49.8000,51.2000,21360,51.2000,0
2020-09-04,50.0000,51.1000,50.0000,50.8000,19200,50.8000,0
