date,open,high,low,close,volume,unadjusted,putthrough
2020-01-09,27.2752,27.2752,27.2752,27.2752,403500,30.0000,0
2020-01-10,27.7298,28.4571,27.6389,27.6389,382330,30.4000,0
2020-01-13,27.7298,27.7753,27.4116,27.4116,263410,30.1500,0
2020-01-14,27.1843,27.1843,26.5933,26.8206,573820,29.5000,0
2020-01-15,26.7751,27.0479,26.7751,26.9570,228400,29.6500,0
2020-01-16,26.8206,27.3207,26.6842,27.1388,283220,29.8500,0
2020-01-17,27.0933,27.1843,26.9570,27.0025,229940,29.7000,0
2020-01-20,27.0934,27.1843,26.8661,26.9570,238670,29.6500,0
2020-01-21,27.0025,27.1843,26.9115,27.0934,248440,29.8000,0
2020-01-22,27.1389,27.3662,27.0025,27.3661,228590,30.1000,0
2020-01-30,27.2752,27.8207,27.0933,27.4570,183910,30.2000,0
2020-01-31,27.4115,27.4115,27.0479,27.0479,211690,29.7500,0
2020-02-03,26.9570,26.9570,26.5933,26.8206,213310,29.5000,0
2020-02-04,26.8661,27.1388,26.8206,27.0025,208640,29.7000,0
2020-02-05,26.9116,26.9570,26.8207,26.9115,199390,29.6000,0
2020-02-06,26.9115,27.0933,26.9115,26.9570,206740,29.6500,0
2020-02-07,26.9570,27.0025,26.7297,26.7752,245720,29.4500,0
2020-02-10,26.7752,26.9116,26.6843,26.8661,190510,29.5500,0
2020-02-11,26.8206,26.8661,26.6388,26.6388,197110,29.3000,0
2020-02-12,26.6843,26.6843,26.2751,26.4115,190780,29.0500,0
2020-02-13,26.4115,26.5479,26.2297,26.3206,206670,28.9500,0
2020-02-14,26.2751,26.2751,26.1388,26.2297,201670,28.8500,0
2020-02-17,26.1842,26.4570,26.1842,26.3660,207150,29.0000,0
2020-02-18,26.3660,26.3660,25.9569,26.2297,208630,28.8500,0
2020-02-19,26.2297,26.4570,26.1842,26.2751,200730,28.9000,0
2020-02-20,26.2751,26.4115,26.0933,26.1842,206170,28.8000,0
2020-02-21,26.1842,26.3660,26.1387,26.1842,203920,28.8000,0
