date,open,high,low,close,volume,unadjusted,putthrough
2017-02-06,8.6636,8.7410,8.6636,8.6636,6400,11.2000,0
2017-02-07,8.7410,8.7410,7.5033,7.5033,1300,9.7000,0
2017-02-08,8.2768,8.2768,8.1995,8.1995,400,10.6000,0
2017-02-09,7.3486,7.3486,7.1165,7.1166,500,9.2000,0
2017-02-10,7.1940,7.1940,7.1940,7.1939,100,9.3000,0
2017-02-13,7.1939,7.1939,7.1939,7.1939,100,9.3000,0
2017-02-14,7.1165,7.1165,6.9618,6.9619,300,9.0000,0
2017-02-15,7.0393,7.0393,6.4978,6.4977,200,8.4000,0
2017-02-16,6.5751,6.5751,6.1883,6.1883,200,8.0000,0
2017-02-17,6.3430,6.3430,6.3430,6.3430,1000,8.2000,0
2017-02-20,6.3430,6.3430,6.3430,6.3430,100,8.2000,0
2017-02-21,6.3430,6.3430,6.3430,6.3430,200,8.2000,0
2017-02-22,6.3430,6.3430,6.3430,6.3430,100,8.2000,0
2017-02-23,6.3430,6.3430,6.3430,6.3430,100,8.2000,0
2017-02-28,5.4148,6.3430,5.4148,6.3430,2100,8.2000,0
2017-03-01,4.7186,5.4148,4.7186,5.4148,2200,7.0000,0
2017-03-02,4.6413,4.6413,4.6413,4.6412,10000,6.0000,0
2017-03-07,4.8733,5.0280,4.7959,5.0280,20100,6.5000,0
2017-03-08,5.1054,5.1054,5.1054,5.1054,10900,6.6000,0
2017-03-09,5.1828,5.1828,5.1828,5.1827,300,6.7000,0
2017-03-10,5.1053,5.1053,5.1053,5.1054,200,6.6000,0
2017-03-13,5.2601,5.2601,5.1828,5.1827,200,6.7000,0
2017-03-14,5.1053,5.1053,5.1053,5.1054,44000,6.6000,0
2017-03-16,5.1054,5.2601,5.1054,5.2601,38700,6.8000,0
2017-03-17,5.3375,5.3375,5.3375,5.3374,2300,6.9000,0
2017-03-20,5.3374,5.4148,5.3374,5.4148,38000,7.0000,0
2017-03-21,5.4148,5.4922,5.1054,5.1054,13000,6.6000,0
2017-03-22,5.4148,5.4148,5.4148,5.4148,5000,7.0000,0
2017-03-23,5.3374,5.3374,5.3374,5.3374,20000,6.9000,0
2017-03-24,5.2600,5.2600,5.1827,5.2601,25200,6.8000,0
2017-03-27,5.8789,5.8789,5.4148,5.4148,1100,7.0000,0
2017-03-29,5.4147,5.4147,5.4147,5.4148,5000,7.0000,0
2017-03-30,5.2601,5.2601,5.2601,5.2601,200,6.8000,0
2017-03-31,4.6413,4.6413,4.6413,4.6412,100,6.0000,0
2017-04-03,4.6412,4.6412,4.3318,4.6412,25000,6.0000,0
2017-04-04,4.6412,4.6412,4.6412,4.6412,8500,6.0000,0
2017-04-05,4.6412,4.7959,4.6412,4.7959,7200,6.2000,0
