date,open,high,low,close,volume,unadjusted,putthrough
2009-12-30,9.0099,9.0099,6.7574,7.6584,140500,17.0000,0
2009-12-31,7.7935,7.7935,7.7935,7.7935,48900,17.3000,0
2010-01-04,8.3341,8.3341,8.1088,8.3341,36500,18.5000,0
2010-01-05,8.8747,8.8747,8.3341,8.5594,75600,19.0000,0
2010-01-06,9.1000,9.1000,8.1990,8.1990,73300,18.2000,8000
2010-01-07,7.8837,8.7396,7.6584,8.7396,151000,19.4000,0
2010-01-08,8.7396,8.7396,8.7396,8.7396,38000,19.4000,0
2010-01-11,9.3252,9.3252,9.3252,9.3252,23400,20.7000,0
2010-01-12,9.9559,9.9559,9.9559,9.9559,123800,22.1000,0
2010-01-13,10.5866,10.6316,9.2802,9.8658,235500,21.9000,0
2010-01-14,9.6856,10.0910,9.2351,9.2351,32400,20.5000,0
2010-01-15,8.9198,9.0099,8.8297,8.8297,68300,19.6000,0
2010-01-18,8.3342,8.3342,8.2441,8.2440,24400,18.3000,0
2010-01-19,7.9287,8.1089,7.7034,7.8836,46100,17.5000,0
2010-01-20,7.8836,7.9286,7.3430,7.3881,87100,16.4000,0
2010-01-21,7.5683,7.5683,6.9376,6.9826,104300,15.5000,0
2010-01-22,6.5321,7.3430,6.5321,6.7574,61700,15.0000,0
2010-01-25,6.7574,7.1178,6.6223,7.1178,32800,15.8000,0
2010-01-26,7.2079,7.3881,7.2079,7.3881,50400,16.4000,0
2010-01-27,7.6584,7.6584,6.9376,6.9826,19700,15.5000,0
2010-01-28,6.7574,6.7574,6.6222,6.7123,34100,14.9000,0
2010-01-29,6.3519,6.8024,6.2618,6.6673,26800,14.8000,0
2010-02-01,6.5772,6.9376,6.5772,6.9376,53700,15.4000,0
2010-02-02,7.3430,7.3881,6.8475,6.8925,39900,15.3000,0
2010-02-03,7.1628,7.1628,6.8475,6.9826,31800,15.5000,0
2010-02-04,6.8475,7.0276,6.8475,6.9826,16500,15.5000,0
2010-02-05,6.9826,6.9826,6.5321,6.5322,26900,14.5000,0
2010-02-08,6.3520,6.7124,6.3520,6.5772,9000,14.6000,0
2010-02-09,6.5772,6.7574,6.4871,6.5772,4700,14.6000,0
2010-02-10,6.8475,6.8475,6.8475,6.8475,100,15.2000,0
2010-02-11,6.9376,6.9376,6.6673,6.9376,22900,15.4000,0
2010-02-12,6.7574,6.8025,6.3520,6.5772,12200,14.6000,0
2010-02-22,6.6222,6.8925,6.6222,6.7574,4700,15.0000,0
2010-02-23,6.5322,6.5772,6.3970,6.3970,5900,14.2000,0
2010-02-24,6.6222,6.6222,6.4871,6.6223,5000,14.7000,0
2010-02-25,6.7574,6.7574,6.4872,6.4871,3700,14.4000,0
2010-02-26,6.5321,6.6222,6.4871,6.5322,9000,14.5000,0
2010-03-01,6.6673,6.6673,6.5322,6.6223,15100,14.7000,0
2010-03-02,6.6223,6.7574,6.5322,6.5322,11000,14.5000,0
2010-03-03,6.7124,6.7124,6.4421,6.5772,22400,14.6000,0
2010-03-04,6.1718,6.6673,6.1718,6.3069,33500,14.0000,0
2010-03-05,6.3069,6.5772,6.3069,6.5772,13500,14.6000,0
2010-03-08,6.7574,6.8024,6.7574,6.8024,29200,15.1000,0
2010-03-09,7.2529,7.2529,6.8024,6.8925,22900,15.3000,0
2010-03-10,7.0276,7.0276,6.5772,6.6673,22300,14.8000,0
2010-03-11,6.6673,6.6673,6.5772,6.6223,5600,14.7000,0
2010-03-12,6.6673,6.7574,6.6223,6.7123,29000,14.9000,0
2010-03-15,6.7573,7.1628,6.7573,7.1628,89600,15.9000,0
2010-03-16,7.4781,7.4781,7.2078,7.4782,206300,16.6000,0
2010-03-17,7.9737,7.9737,7.2079,7.2980,46500,16.2000,0
2010-03-18,7.5232,7.5232,7.1178,7.3430,36000,16.3000,0
2010-03-19,7.5232,7.6583,6.9826,7.2079,38600,16.0000,0
2010-03-22,6.8475,7.0277,6.8475,7.0277,12800,15.6000,0
2010-03-23,6.7574,7.1628,6.7574,6.8475,20100,15.2000,0
2010-03-24,7.1178,7.2529,6.7574,6.9826,70400,15.5000,0
2010-03-25,6.8024,6.8475,6.5772,6.6673,25500,14.8000,0
2010-03-26,6.5322,7.1178,6.5322,6.7574,29100,15.0000,0
2010-03-29,6.5322,6.9826,6.5322,6.8024,28500,15.1000,0
2010-03-30,6.6222,6.7123,6.3970,6.5772,16200,14.6000,0
2010-03-31,6.6222,6.6222,6.4421,6.5772,12100,14.6000,0
2010-04-01,6.5772,6.9376,6.3970,6.5772,25100,14.6000,0
2010-04-02,6.8925,6.8925,6.6222,6.7574,14000,15.0000,0
2010-04-05,6.8475,6.9826,6.7124,6.9826,33600,15.5000,0
2010-04-06,6.8925,6.8925,6.5321,6.5322,10400,14.5000,0
2010-04-07,6.5322,6.7124,6.4872,6.5772,58600,14.6000,0
2010-04-08,6.8925,7.0277,6.8475,7.0277,75700,15.6000,0
2010-04-09,7.4331,7.4331,7.2980,7.4331,214300,16.5000,0
2010-04-12,7.6583,7.6583,6.9376,6.9826,63000,15.5000,0
2010-04-13,6.9826,6.9826,6.7574,6.8024,32000,15.1000,0
2010-04-14,6.8474,6.8925,6.6673,6.8024,39500,15.1000,0
2010-04-15,6.9375,6.9375,6.7123,6.9376,91900,15.4000,0
2010-04-16,7.2079,7.2079,6.8926,7.1178,37200,15.8000,0
2010-04-19,6.8475,7.3430,6.7574,6.8475,25700,15.2000,0
2010-04-20,6.7574,7.0277,6.5322,6.9826,58800,15.5000,0
2010-04-21,6.8925,7.3430,6.8925,7.3430,121100,16.3000,0
2010-04-22,7.4331,7.6583,6.8925,7.0277,49300,15.6000,0
