date,open,high,low,close,volume,unadjusted,putthrough
2017-06-08,39.6223,39.6223,32.6755,32.6755,10300,63.5000,0
2017-06-09,32.6755,32.6755,32.4182,32.4182,3200,63.0000,9000
2017-06-13,30.8745,30.8745,29.3308,29.3308,6900,57.0000,0
2017-06-14,30.8745,31.1318,30.8745,31.1318,3900,60.5000,0
2017-06-15,30.3599,30.8745,30.3599,30.8745,1400,60.0000,0
2017-06-16,29.8453,29.8453,29.8453,29.8453,1000,58.0000,0
2017-06-20,28.3016,29.3307,28.3016,29.3308,600,57.0000,500
2017-06-21,29.3308,30.8745,29.3308,30.8745,10200,60.0000,0
2017-06-26,30.8745,30.8745,30.8745,30.8745,1000,60.0000,0
2017-06-28,30.6172,30.6172,30.3599,30.3599,6393,59.0000,0
2017-06-29,30.3599,30.3599,30.3599,30.3599,2700,59.0000,0
2017-07-03,30.7716,30.7716,30.7716,30.7716,500,59.8000,0
2017-07-04,30.8745,30.8745,30.8745,30.8745,1700,60.0000,0
2017-07-05,30.8745,30.8745,30.8745,30.8745,100,60.0000,50000
2017-07-06,30.3599,30.3599,30.1026,30.3599,10000,59.0000,0
2017-07-11,30.4114,30.4114,30.2570,30.4114,3000,59.1000,0
2017-07-12,30.3599,30.4114,30.3599,30.4114,5500,59.1000,0
2017-07-17,30.6172,30.6687,30.6172,30.6172,16000,59.5000,0
2017-07-18,30.6172,30.7716,30.6172,30.7716,7000,59.8000,0
2017-07-20,30.8745,30.8745,30.8745,30.8745,7900,60.0000,1000
2017-07-28,30.8745,30.8745,30.8745,30.8745,9000,60.0000,0
2017-07-31,30.3599,30.3599,30.3599,30.3599,1000,59.0000,0
2017-08-01,30.9774,30.9774,30.9774,30.9774,1000,60.2000,0
2017-08-02,30.8745,30.8745,30.8745,30.8745,2500,60.0000,0
2017-08-04,30.9774,30.9774,30.9774,30.9774,1000,60.2000,0
2017-08-08,30.8745,30.8745,30.8745,30.8745,2000,60.0000,0
2017-08-09,30.8745,30.8745,30.6172,30.6172,500,59.5000,0
2017-08-10,30.3599,30.3599,30.3599,30.3599,7000,59.0000,0
2017-08-11,30.3599,30.3599,30.3599,30.3599,9000,59.0000,0
2017-08-14,30.3599,30.3599,30.3599,30.3599,5027,59.0000,0
2017-08-15,30.3599,30.6172,30.3599,30.3599,6000,59.0000,0
2017-08-16,30.3599,30.3599,30.3599,30.3599,2500,59.0000,0
2017-08-17,30.3599,30.3599,30.3599,30.3599,4600,59.0000,5000
2017-08-18,30.3599,30.3599,30.3599,30.3599,200,59.0000,0
2017-08-21,30.3599,30.3599,29.8453,29.8453,14300,58.0000,0
2017-08-22,29.8453,29.8453,29.8453,29.8453,6000,58.0000,0
2017-08-24,29.5880,29.5880,29.5880,29.5880,6227,57.5000,0
2017-08-25,29.6395,29.6395,29.6395,29.6395,2400,57.6000,0
2017-08-28,29.8453,29.8453,29.8453,29.8453,5000,58.0000,0
2017-08-29,29.8453,29.8453,29.8453,29.8453,4000,58.0000,0
2017-09-05,30.0511,30.0511,30.0511,30.0512,500,58.4000,0
2017-09-06,30.0512,30.0512,30.0512,30.0512,1,58.4000,0
2017-09-07,29.5881,29.8454,29.5881,29.8453,1500,58.0000,0
2017-09-08,29.8453,29.8453,29.8453,29.8453,6026,58.0000,0
2017-09-11,29.8968,29.8968,29.8968,29.8968,1000,58.1000,0
2017-09-12,29.8453,29.8453,29.5881,29.5880,11100,57.5000,0
2017-09-13,29.3307,29.3307,29.3307,29.3308,2200,57.0000,0
2017-09-14,29.3308,29.3308,29.3308,29.3308,200,57.0000,0
2017-09-15,29.3308,29.3308,29.0735,29.0735,4700,56.5000,0
2017-09-18,28.3016,28.3016,27.7871,27.7870,874,54.0000,0
2017-09-19,27.7870,27.7870,26.2433,27.7870,4400,54.0000,0
2017-09-20,27.7870,27.7870,27.7870,27.7870,1400,54.0000,0
2017-09-22,27.7870,27.7870,26.7579,26.7579,1900,52.0000,100000
2017-09-25,29.3308,29.3308,26.7579,26.7579,900,52.0000,0
2017-09-26,28.3016,28.3016,28.3016,28.3016,100,55.0000,0
2017-09-28,26.2433,26.2433,26.2433,26.2433,100,51.0000,0
2017-09-29,27.2724,27.2724,27.2724,27.2725,2000,53.0000,0
2017-10-06,27.2725,27.2725,27.2725,27.2725,901,53.0000,0
2017-10-11,26.2433,26.2433,26.2433,26.2433,1000,51.0000,0
2017-10-16,29.3307,29.3307,29.3307,29.3308,101,57.0000,0
2017-10-18,27.4114,27.4114,27.4114,27.4114,1000,50.0000,0
2017-10-24,24.6703,25.2185,24.6703,25.2185,2000,46.0000,0
2017-10-25,24.6703,24.6703,24.6703,24.6703,1280,45.0000,0
2017-10-27,24.6703,24.6703,24.1221,24.6703,2300,45.0000,0
2017-10-31,27.4114,27.4114,27.4114,27.4114,200,50.0000,0
2017-11-03,27.4114,27.4114,27.4114,27.4114,40,50.0000,0
2017-11-06,28.5079,28.5079,25.2185,27.9596,1340,51.0000,0
2017-11-07,27.4114,27.4114,27.4114,27.4114,100,50.0000,2500
2017-11-10,26.8632,26.8632,26.8632,26.8632,500,49.0000,0
2017-11-13,23.0256,27.4114,23.0256,27.4114,300,50.0000,1000
2017-11-14,28.5079,28.5079,28.5079,28.5078,100,52.0000,0
2017-11-16,29.0560,29.0560,25.7667,25.7667,300,47.0000,493
2017-11-17,28.5078,28.5078,27.4114,27.4114,200,50.0000,0
2017-11-20,28.5079,28.5079,28.5079,28.5078,100,52.0000,0
2017-11-22,27.6855,27.6855,27.6306,27.6307,500,50.4000,0
2017-11-27,27.5759,27.5759,25.2185,25.2185,1600,46.0000,0
2017-11-28,27.4114,27.4114,27.4114,27.4114,204,50.0000,0
2017-11-29,25.2185,25.2185,25.2185,25.2185,1400,46.0000,0
2017-11-30,27.4114,27.4114,27.4114,27.4114,200,50.0000,1000
2017-12-01,27.9596,27.9596,27.9596,27.9596,100,51.0000,0
2017-12-06,25.2185,25.4378,25.2185,25.4378,1900,46.4000,0
2017-12-07,26.8632,26.8632,25.2733,25.7667,700,47.0000,0
2017-12-08,26.0408,26.0408,25.4926,25.4926,1650,46.5000,0
2017-12-12,28.2337,28.2337,28.1789,28.1789,200,51.4000,0
2017-12-13,28.1789,28.5078,28.1789,28.5078,200,52.0000,0
2017-12-14,28.5078,28.5078,25.2733,25.3281,2000,46.2000,0
2017-12-15,25.2185,25.3281,25.2185,25.3281,1100,46.2000,0
2017-12-18,26.8631,26.8631,25.3281,25.3281,300,46.2000,0
2017-12-19,26.2601,26.2601,26.2601,26.2601,100,47.9000,0
2017-12-20,25.7667,25.7667,25.7667,25.7667,100,47.0000,0
2017-12-21,25.9860,25.9860,25.9860,25.9860,100,47.4000,0
2017-12-25,25.2185,25.2185,25.2185,25.2185,100,46.0000,5000
2017-12-27,24.9444,24.9444,24.9444,24.9444,100,45.5000,0
2017-12-29,26.0409,26.0409,23.5738,23.5738,1100,43.0000,0
2018-01-02,26.3149,26.3149,23.0256,23.0256,600,42.0000,0
2018-01-03,25.7119,25.9860,21.9291,25.9860,3200,47.4000,0
2018-01-04,25.7667,25.7667,25.2185,25.2185,400,46.0000,0
2018-01-05,25.6023,25.6023,22.0388,25.6022,1400,46.7000,0
2018-01-08,22.4773,25.2184,22.4773,25.2185,300,46.0000,0
2018-01-09,25.2185,25.2185,25.2185,25.2185,100,46.0000,0
2018-01-10,25.1637,25.2185,25.1637,25.1637,300,45.9000,0
2018-01-12,24.6703,24.6703,24.6703,24.6703,200,45.0000,0
2018-01-15,24.6703,24.6703,24.1221,24.1220,1301,44.0000,5000
2018-01-16,24.6702,24.6702,24.6702,24.6703,100,45.0000,0
2018-01-19,24.1221,24.3962,24.1221,24.3961,2000,44.5000,0
2018-01-24,24.0123,24.0123,24.0123,24.0124,100,43.8000,0
