date,open,high,low,close,volume,unadjusted,putthrough
2017-03-24,15.7728,15.7728,15.7728,15.7728,100,22.1000,0
2017-03-27,17.3429,17.3429,17.3429,17.3430,100,24.3000,0
2017-03-28,19.0559,19.0559,15.8442,15.8442,13800,22.2000,0
2017-03-29,15.8442,17.0575,14.2741,17.0575,1200,23.9000,0
2017-03-30,15.4874,15.4874,15.4874,15.4873,100,21.7000,0
2017-03-31,13.9885,13.9885,13.9885,13.9886,2300,19.6000,0
2017-04-04,15.3446,15.3446,13.5604,13.5604,8800,19.0000,0
2017-04-05,12.2044,13.5604,12.2044,13.5604,1500,19.0000,0
2017-04-07,13.5604,14.6310,13.5604,14.6309,8400,20.5000,0
2017-04-10,14.9878,16.0583,14.9878,16.0583,1400,22.5000,0
2017-04-11,16.6293,16.6293,16.6293,16.6293,100,23.3000,0
2017-04-12,16.0583,16.0583,16.0583,16.0583,3000,22.5000,0
2017-04-13,14.4882,14.4882,14.4882,14.4882,300,20.3000,0
2017-04-14,14.4882,14.4882,13.0608,13.0608,200,18.3000,0
2017-04-17,14.2741,14.2741,14.2741,14.2741,300,20.0000,0
2017-04-21,13.6318,13.6318,13.6318,13.6317,100,19.1000,0
2017-04-24,13.1321,13.1321,13.1321,13.1321,100,18.4000,0
2017-04-25,13.7031,13.7031,13.7031,13.7031,100,19.2000,0
2017-04-27,14.0600,15.0591,14.0600,15.0591,800,21.1000,0
2017-05-09,13.9885,13.9885,13.9885,13.9886,100,19.6000,0
2017-05-11,14.2741,14.2741,14.2741,14.2741,6300,20.0000,0
2017-05-12,14.2741,14.2741,14.2741,14.2741,200,20.0000,0
2017-05-15,14.2741,14.2741,14.2741,14.2741,100,20.0000,0
2017-05-17,15.5588,15.5588,15.5588,15.5587,100,21.8000,0
2017-05-22,15.5587,16.0583,15.5587,16.0583,500,22.5000,0
2017-05-30,17.0626,17.0626,17.0626,17.0626,100,23.8000,0
2017-06-07,17.2060,17.2060,17.2060,17.2059,1500,24.0000,0
2017-06-09,17.2059,17.2059,17.2059,17.2059,100,24.0000,0
2017-06-20,16.8474,16.8474,16.8474,16.8475,1000,23.5000,0
2017-06-29,15.2703,15.2703,15.2703,15.2703,100,21.3000,0
2017-06-30,15.2703,15.2703,15.2703,15.2703,3500,21.3000,0
2017-07-03,15.9155,16.7041,15.9155,16.7041,8400,23.3000,0
2017-07-12,15.0552,15.0552,15.0552,15.0552,1000,21.0000,0
2017-07-13,15.0552,15.0552,15.0552,15.0552,4000,21.0000,0
2017-07-14,15.0552,15.0552,15.0552,15.0552,1500,21.0000,0
2017-07-17,14.3383,14.3383,14.3383,14.3383,4100,20.0000,0
2017-07-18,13.6214,13.6214,13.6214,13.6214,1000,19.0000,0
2017-07-19,14.3383,14.3383,14.3383,14.3383,4000,20.0000,0
2017-08-14,14.3383,14.3383,14.3383,14.3383,400,20.0000,0
2017-08-21,12.9045,14.3383,12.9045,14.3383,1600,20.0000,0
2017-08-25,14.3383,14.3383,14.3383,14.3383,400,20.0000,0
2017-08-28,14.3383,14.3383,14.3383,14.3383,100,20.0000,0
2017-08-29,14.1949,14.1949,14.1949,14.1949,100,19.8000,0
2017-08-30,14.3383,14.6967,12.9045,12.9045,4300,18.0000,0
2017-09-01,14.1950,14.1950,14.1950,14.1949,100,19.8000,0
2017-09-05,14.3383,14.3383,14.3383,14.3383,200,20.0000,0
2017-09-06,14.3383,14.3383,14.3383,14.3383,100,20.0000,0
2017-09-07,14.3383,14.3383,14.3383,14.3383,700,20.0000,0
2017-09-08,14.3383,14.3383,14.3383,14.3383,800,20.0000,0
2017-09-20,14.3383,14.3383,14.3383,14.3383,400,20.0000,0
2017-09-25,13.9798,13.9798,13.9798,13.9798,100,19.5000,0
2017-10-02,15.0552,15.0552,15.0552,15.0552,100,21.0000,0
2017-10-03,15.7721,15.7721,15.7721,15.7721,100,22.0000,0
2017-10-12,15.0552,15.0552,14.3383,14.3383,600,20.0000,0
2017-10-13,14.3383,14.3383,14.3383,14.3383,4300,20.0000,0
2017-10-16,15.4137,15.4137,15.4137,15.4137,400,21.5000,0
2017-10-18,16.8475,16.8475,16.8475,16.8475,200,23.5000,0
2017-10-26,15.4137,15.4137,15.4137,15.4137,300,21.5000,0
2017-11-01,16.8475,16.8475,16.8475,16.8475,300,23.5000,0
2017-11-07,15.2703,15.2703,15.2703,15.2703,100,21.3000,0
2017-11-09,14.3383,14.3383,14.3383,14.3383,100,20.0000,0
2017-11-10,15.7721,15.7721,14.0515,14.0515,2900,19.6000,0
2017-11-13,12.9044,12.9044,12.9044,12.9045,100,18.0000,0
2017-11-15,14.1950,14.1950,14.1950,14.1949,600,19.8000,0
2017-11-16,15.4853,15.4853,15.4853,15.4853,1300,21.6000,0
2017-11-24,14.4099,14.4099,14.4099,14.4100,100,20.1000,0
2017-11-27,15.0552,15.0552,15.0552,15.0552,4000,21.0000,0
2017-11-28,15.0552,15.0552,15.0552,15.0552,1000,21.0000,0
2017-11-29,15.0552,15.0552,15.0552,15.0552,400,21.0000,0
2017-11-30,14.3383,14.3383,14.3383,14.3383,3600,20.0000,0
2017-12-01,15.0552,15.0552,14.3383,14.3383,14900,20.0000,0
2017-12-05,14.3383,14.3383,14.3383,14.3383,5000,20.0000,0
