date,open,high,low,close,volume,unadjusted,putthrough
2018-02-21,28.5835,28.5835,24.1415,24.1415,81200,25.0000,0
2018-02-22,25.1072,25.1072,24.1415,24.1415,28900,25.0000,0
2018-02-23,24.3346,24.3346,21.6308,22.2101,37800,23.0000,0
2018-02-26,21.2444,23.4655,19.3131,22.1136,21100,22.9000,0
2018-02-27,23.9484,23.9484,19.3132,23.1758,34700,24.0000,0
2018-02-28,19.6994,21.2445,19.6994,21.2445,2300,22.0000,0
2018-03-01,21.2445,21.4376,20.2788,21.4376,21100,22.2000,0
2018-03-02,21.1479,21.1479,19.7960,20.8582,24900,21.6000,0
2018-03-05,20.4719,20.7616,20.2788,20.5685,35500,21.3000,0
2018-03-06,21.7273,21.7273,19.7960,20.9548,4200,21.7000,0
2018-03-07,19.7960,19.7960,19.3132,19.5063,3000,20.2000,0
2018-03-08,20.2788,20.2788,20.2788,20.2788,2100,21.0000,0
2018-03-09,20.2788,20.2788,17.3818,20.1823,36700,20.9000,0
2018-03-12,19.3132,20.1823,18.8304,19.7960,7000,20.5000,0
2018-03-13,19.3132,19.3132,18.5406,19.1200,15100,19.8000,0
2018-03-14,18.4440,19.0234,18.1543,18.1544,11700,18.8000,0
2018-03-15,17.6716,18.8304,17.3819,18.6372,29700,19.3000,0
2018-03-16,20.1823,20.7616,18.8303,19.3132,33500,20.0000,0
2018-03-19,19.5063,20.4720,19.5063,20.4720,14000,21.2000,0
2018-03-20,19.3132,20.1823,18.4441,19.3132,101100,20.0000,0
2018-03-21,19.7960,19.7960,18.4441,19.1200,63600,19.8000,0
2018-03-22,19.3131,21.6307,19.1200,21.6307,135400,22.4000,0
2018-03-23,21.5341,22.9826,21.2444,22.6930,97700,23.5000,0
2018-03-26,23.4655,23.5621,21.9205,23.1758,198500,24.0000,0
2018-03-27,23.1758,25.8796,20.0857,23.1758,362200,24.0000,0
2018-03-28,22.7895,25.3002,21.7273,23.0792,433200,23.9000,0
2018-03-29,22.9826,24.4311,22.6929,22.9827,272700,23.8000,0
2018-03-30,23.2724,24.1415,23.2724,24.0449,46000,24.9000,0
2018-04-02,24.1415,24.8174,24.1415,24.8174,47800,25.7000,0
2018-04-03,25.0105,26.0728,24.6243,25.3968,49300,26.3000,50000
2018-04-04,25.3968,25.3968,24.7208,25.1071,60400,26.0000,0
2018-04-05,25.1071,25.3968,24.7208,25.3002,206800,26.2000,0
