date,open,high,low,close,volume,unadjusted,putthrough
2016-04-11,6.3551,6.3551,6.3551,6.3551,900,12.3000,0
2016-04-14,7.2851,7.2851,7.2851,7.2851,100,14.1000,2800
2016-04-19,8.0084,8.0084,8.0084,8.0084,400,15.5000,0
2016-04-20,8.0084,8.0084,8.0084,8.0084,300,15.5000,0
2016-04-21,8.5251,8.5251,8.5251,8.5251,200,16.5000,0
2016-04-25,8.2668,8.2668,8.2668,8.2668,200,16.0000,0
2016-04-26,8.2151,8.2151,7.7501,7.7501,3300,15.0000,0
2016-04-27,7.7501,7.8018,7.7501,7.8018,1700,15.1000,0
2016-04-29,8.2668,8.8868,8.2668,8.8868,1600,17.2000,0
2016-05-04,9.9201,9.9201,9.9201,9.9201,700,19.2000,0
2016-05-09,11.3668,11.3668,11.3668,11.3668,100,22.0000,0
2016-05-11,11.3668,11.4185,11.3668,11.3668,3100,22.0000,0
2016-05-12,11.4185,11.4185,11.3668,11.3668,1700,22.0000,0
2016-05-13,11.6251,11.8835,11.6251,11.8835,3800,23.0000,0
2016-05-16,12.1418,13.1752,12.1418,13.1752,14300,25.5000,0
2016-05-17,13.4335,13.4335,13.4335,13.4335,6700,26.0000,0
2016-05-18,13.4335,13.4335,13.4335,13.4335,1300,26.0000,2400
2016-05-19,13.4335,13.4335,13.4335,13.4335,1400,26.0000,0
2016-05-20,13.4335,13.6918,13.4335,13.6919,500,26.5000,0
2016-05-23,13.4336,13.4336,13.4336,13.4335,2200,26.0000,0
2016-05-24,13.4335,13.4335,13.4335,13.4335,2400,26.0000,0
2016-05-26,13.4335,13.6918,13.4335,13.4335,6700,26.0000,0
2016-05-27,13.6918,13.6918,13.6918,13.6919,2500,26.5000,0
2016-06-01,13.5369,13.5369,13.5369,13.5369,700,26.2000,0
2016-06-03,13.4852,13.4852,13.4852,13.4852,1700,26.1000,0
2016-06-06,13.6919,13.6919,13.6919,13.6919,2700,26.5000,0
2016-06-09,13.5369,13.5369,13.5369,13.5369,100,26.2000,0
2016-06-13,13.4852,13.4852,13.4852,13.4852,600,26.1000,0
2016-06-17,14.0019,14.0019,14.0019,14.0019,500,27.1000,0
2016-06-22,13.6919,13.6919,13.6919,13.6919,100,26.5000,0
2016-06-23,13.9502,13.9502,13.9502,13.9502,2200,27.0000,0
2016-06-24,11.8835,11.8835,11.8835,11.8835,300,23.0000,0
2016-06-27,13.6402,13.6402,13.6402,13.6402,100,26.4000,0
2016-06-28,13.9502,13.9502,13.9502,13.9502,200,27.0000,0
2016-07-07,14.1052,14.1052,14.1052,14.1052,300,27.3000,0
2016-07-14,14.1052,14.1052,14.1052,14.1052,1900,27.3000,0
2016-07-15,13.9502,13.9502,13.9502,13.9502,400,27.0000,0
2016-07-21,14.4669,16.0169,14.4669,16.0169,7900,31.0000,0
2016-07-22,16.0169,16.0169,16.0169,16.0169,100,31.0000,0
2016-07-25,16.0169,16.7919,16.0169,16.7919,2000,32.5000,0
2016-07-26,16.5336,16.5336,16.3269,16.3269,14500,31.6000,0
2016-07-27,16.0169,16.7919,16.0169,16.7919,2500,32.5000,0
2016-08-02,16.7919,17.3086,16.7919,17.3086,1500,33.5000,0
2016-08-03,18.0836,18.0836,18.0836,18.0836,100,35.0000,0
2016-08-12,18.0836,18.0836,17.0503,17.0502,2400,33.0000,0
2016-08-16,17.1536,17.1536,17.1536,17.1536,300,33.2000,0
2016-08-17,17.2569,17.3086,17.2569,17.3086,300,33.5000,0
2016-08-18,17.2569,17.5669,17.2569,17.5669,2100,34.0000,0
2016-08-19,17.3086,17.4119,17.3086,17.4119,1300,33.7000,0
2016-08-22,17.5669,17.5669,17.5669,17.5669,400,34.0000,0
2016-08-24,17.8252,17.8252,17.8252,17.8252,300,34.5000,0
2016-08-25,18.0835,18.0835,18.0835,18.0836,5700,35.0000,0
2016-09-05,18.1869,18.6003,18.1869,18.6003,700,36.0000,0
2016-09-08,17.8252,17.8252,17.8252,17.8252,300,34.5000,0
2016-09-13,18.1869,18.1869,18.1869,18.1869,100,35.2000,0
2016-09-19,18.0836,18.1352,18.0836,18.1352,400,35.1000,0
2016-09-20,18.1352,18.1352,18.1352,18.1352,100,35.1000,0
2016-09-21,18.1352,18.1352,18.1352,18.1352,300,35.1000,0
2016-09-22,18.1352,18.3419,18.1352,18.3419,1100,35.5000,0
2016-09-23,17.8252,17.8252,17.8252,17.8252,100,34.5000,0
2016-09-26,18.0835,18.0835,18.0835,18.0836,2000,35.0000,0
2016-09-27,17.9803,18.2386,17.9803,18.0836,7800,35.0000,0
2016-09-28,18.0836,18.0836,18.0836,18.0836,8100,35.0000,0
2016-09-30,18.0836,18.0836,18.0836,18.0836,200,35.0000,0
2016-10-03,19.1169,19.1169,18.1869,18.1869,200,35.2000,0
2016-10-04,18.2902,20.1503,18.2902,20.1503,11200,39.0000,2000
2016-10-05,20.4086,20.4086,20.4086,20.4086,5000,39.5000,3000
2016-10-06,18.6002,18.6002,18.6002,18.6003,200,36.0000,0
2016-10-07,18.2386,19.6336,15.8103,19.6336,1600,38.0000,0
2016-10-10,16.0169,19.5819,16.0169,19.5819,1300,37.9000,0
2016-10-11,19.5302,19.5302,19.5302,19.5303,300,37.8000,100
2016-10-12,18.2903,18.2903,18.0836,18.0836,300,35.0000,0
2016-10-17,18.1352,18.1352,18.1352,18.1352,200,35.1000,0
2016-10-21,18.1352,18.1352,18.1352,18.1352,100,35.1000,0
2016-10-24,18.0835,18.0835,17.5669,17.5669,7000,34.0000,0
2016-10-27,17.5669,17.5669,17.5669,17.5669,1200,34.0000,0
2016-10-28,20.1503,20.1503,20.1503,20.1503,100,39.0000,0
2016-11-09,19.6336,19.6336,19.6336,19.6336,400,38.0000,0
