date,open,high,low,close,volume,unadjusted,putthrough
2015-10-07,12.1096,14.6325,12.1096,12.9674,150100,25.7000,0
2015-10-08,13.1188,13.1188,12.6142,12.8160,30370,25.4000,157850
2015-10-09,12.8160,12.8160,12.5133,12.7655,40730,25.3000,527960
2015-10-12,12.5132,12.5132,11.9077,11.9078,119300,23.6000,0
2015-10-13,11.1005,11.6051,11.1005,11.3023,215830,22.4000,0
2015-10-14,11.5041,11.9582,11.5041,11.9582,8450,23.7000,0
2015-10-15,11.8573,12.1096,11.7059,12.0591,43830,23.9000,0
2015-10-16,12.1096,12.1600,12.1096,12.1096,54700,24.0000,0
2015-10-19,12.1096,12.1601,12.1096,12.1096,24740,24.0000,0
2015-10-20,12.1096,12.3619,12.1096,12.3619,25700,24.5000,0
2015-10-21,12.2610,12.3114,12.1601,12.1601,11660,24.1000,0
2015-10-22,12.1601,12.2610,12.1601,12.2105,19700,24.2000,0
2015-10-23,12.2105,12.6646,12.2105,12.6646,116390,25.1000,0
2015-10-26,12.6141,12.7655,12.5637,12.5637,21810,24.9000,0
2015-10-27,12.6142,13.0178,12.6142,13.0178,84070,25.8000,0
2015-10-28,13.0178,13.6233,13.0178,13.5224,126370,26.8000,0
2015-10-29,13.7242,14.4306,13.7242,14.4306,289240,28.6000,0
2015-10-30,15.1370,15.1370,14.4306,14.4306,105240,28.6000,0
2015-11-02,14.7333,14.7333,13.4719,13.6233,33880,27.0000,0
2015-11-03,13.6738,13.9260,13.1187,13.9260,16800,27.6000,0
2015-11-04,13.9260,13.9260,13.2196,13.3206,40300,26.4000,0
2015-11-05,13.2197,13.5224,13.2197,13.3206,46210,26.4000,0
2015-11-06,13.4215,13.8756,13.4215,13.6233,91190,27.0000,0
2015-11-09,13.7747,13.7747,13.3710,13.3710,33090,26.5000,0
2015-11-10,13.3205,13.4719,13.2701,13.2701,57090,26.3000,0
2015-11-11,13.3710,13.3710,13.2196,13.2196,15240,26.2000,0
2015-11-12,13.1691,13.3710,13.1187,13.2196,65860,26.2000,0
2015-11-13,13.2196,13.6737,13.2196,13.6738,58580,27.1000,0
2015-11-16,13.6233,13.6738,13.3711,13.6738,25360,27.1000,0
2015-11-17,13.7243,13.7243,13.6233,13.6233,49190,27.0000,0
2015-11-18,13.6738,13.6738,13.3206,13.3710,8730,26.5000,0
2015-11-19,13.3710,13.3710,13.1187,13.3710,21590,26.5000,0
2015-11-20,13.3710,13.8251,13.3710,13.4215,49640,26.6000,0
2015-11-23,13.5729,13.5729,13.5224,13.5224,39390,26.8000,60000
