date,open,high,low,close,volume,unadjusted,putthrough
2011-09-06,5.4273,5.4273,5.4273,5.4273,80800,9.2000,0
2011-09-07,5.1913,5.1913,5.1913,5.1913,47270,8.8000,100000
2011-09-08,5.3093,5.4273,5.1913,5.4273,413500,9.2000,0
2011-09-09,5.4273,5.4273,5.2503,5.3093,62590,9.0000,0
2011-09-12,5.3683,5.3683,5.0733,5.0733,89140,8.6000,0
2011-09-13,5.1323,5.1913,4.9553,5.1323,109590,8.7000,0
2011-09-14,5.0733,5.0733,4.8963,4.8963,140150,8.3000,0
2011-09-15,4.8373,5.0143,4.6603,4.8373,57160,8.2000,0
2011-09-16,4.6603,4.8373,4.6603,4.6604,74480,7.9000,0
2011-09-19,4.6014,4.7784,4.6014,4.7194,21550,8.0000,0
2011-09-20,4.6014,4.7194,4.6014,4.6014,26460,7.8000,0
2011-09-21,4.6014,4.6014,4.4244,4.4244,51050,7.5000,0
2011-09-22,4.4834,4.6014,4.4244,4.6014,26700,7.8000,0
2011-09-23,4.5424,4.6014,4.5424,4.6014,8100,7.8000,0
2011-09-26,4.4244,4.6604,4.4244,4.4244,21060,7.5000,0
2011-09-27,4.4834,4.4834,4.4244,4.4834,46590,7.6000,0
2011-09-28,4.4834,4.6604,4.4834,4.4834,21670,7.6000,0
2011-09-29,4.3654,4.4834,4.3064,4.3654,39000,7.4000,0
2011-09-30,4.5424,4.5424,4.3064,4.4834,5540,7.6000,0
2011-10-03,4.3064,4.3654,4.3064,4.3654,15850,7.4000,0
2011-10-04,4.3654,4.3654,4.1884,4.1884,7510,7.1000,0
2011-10-05,4.1294,4.3064,4.1294,4.3064,12650,7.3000,0
2011-10-06,4.3654,4.3654,4.3064,4.3654,7550,7.4000,0
2011-10-07,4.4244,4.4244,4.2474,4.3064,43730,7.3000,0
2011-10-10,4.1884,4.2474,4.1884,4.2474,28560,7.2000,0
2011-10-11,4.2474,4.2474,4.1884,4.2474,10000,7.2000,0
2011-10-12,4.1884,4.1884,4.0704,4.0704,30620,6.9000,0
2011-10-13,3.9524,4.1294,3.9524,4.1294,5230,7.0000,0
2011-10-14,4.1294,4.2474,4.1294,4.1294,14180,7.0000,0
2011-10-17,4.1884,4.2474,4.1884,4.1884,24100,7.1000,0
2011-10-18,4.1884,4.1884,4.0704,4.0704,9620,6.9000,0
2011-10-19,4.0114,4.0704,4.0114,4.0115,6440,6.8000,0
2011-10-20,4.0705,4.1295,3.9525,3.9525,13980,6.7000,0
2011-10-21,3.9525,4.1295,3.9525,4.1294,15910,7.0000,0
2011-10-24,4.0704,4.1884,4.0114,4.0115,15760,6.8000,0
2011-10-25,3.8935,4.0115,3.8935,3.8935,25240,6.6000,0
2011-10-26,3.8345,3.8345,3.7165,3.7165,100650,6.3000,0
2011-10-27,3.7165,3.8345,3.7165,3.7165,2300,6.3000,0
2011-10-28,3.7755,3.8345,3.5985,3.7755,21500,6.4000,0
2011-10-31,3.8345,3.8345,3.6575,3.6575,16180,6.2000,0
2011-11-01,3.7755,3.7755,3.4805,3.4805,99100,5.9000,0
2011-11-02,3.5395,3.5395,3.4805,3.5395,11880,6.0000,0
2011-11-03,3.5395,3.5395,3.4805,3.5395,32640,6.0000,0
2011-11-04,3.5985,3.5985,3.4805,3.5395,160940,6.0000,0
2011-11-07,3.5395,3.5395,3.4805,3.4805,39240,5.9000,0
2011-11-08,3.5395,3.5395,3.4215,3.4805,13900,5.9000,0
2011-11-09,3.5395,3.5395,3.4805,3.5395,47990,6.0000,0
2011-11-10,3.5395,3.5395,3.4805,3.5395,34520,6.0000,0
2011-11-11,3.5395,3.5985,3.5395,3.5395,83010,6.0000,0
2011-11-14,3.5985,3.6575,3.5985,3.6575,152620,6.2000,0
2011-11-15,3.8345,3.8345,3.7755,3.8345,207370,6.5000,0
2011-11-16,3.9525,4.0115,3.9525,4.0115,231820,6.8000,0
2011-11-17,4.0705,4.1295,4.0115,4.1294,52960,7.0000,0
2011-11-18,4.1884,4.1884,4.0114,4.1294,80140,7.0000,0
2011-11-21,4.0114,4.1294,3.9524,3.9525,52710,6.7000,0
2011-11-22,3.8345,3.9525,3.7755,3.8935,119220,6.6000,0
2011-11-23,3.8935,3.9525,3.7165,3.9525,16140,6.7000,90000
2011-11-24,3.9525,3.9525,3.8345,3.8935,30170,6.6000,0
2011-11-25,3.8345,3.8345,3.7165,3.7165,5660,6.3000,0
2011-11-28,3.7165,3.7755,3.7165,3.7755,49120,6.4000,0
2011-11-29,3.7755,3.8345,3.7755,3.8345,42500,6.5000,100000
2011-11-30,3.7755,3.8345,3.7755,3.8345,29610,6.5000,0
2011-12-01,3.8935,3.8935,3.7755,3.8345,86140,6.5000,0
2011-12-02,3.8345,3.8935,3.7755,3.8345,89200,6.5000,0
2011-12-05,3.8935,4.0115,3.8935,4.0115,50970,6.8000,0
2011-12-06,4.0115,4.0115,3.8935,4.0115,98110,6.8000,0
2011-12-07,4.0115,4.1295,4.0115,4.1294,79940,7.0000,0
2011-12-08,4.1884,4.1884,4.1294,4.1884,20180,7.1000,0
2011-12-09,4.1294,4.1294,4.0114,4.1294,9180,7.0000,0
2011-12-12,4.0704,4.1294,4.0704,4.1294,13000,7.0000,0
2011-12-13,4.0114,4.0704,4.0114,4.0704,23500,6.9000,0
2011-12-14,4.0704,4.0704,3.8934,3.9525,10630,6.7000,0
2011-12-15,3.8345,3.8935,3.7755,3.8935,13080,6.6000,0
2011-12-16,3.9525,3.9525,3.9525,3.9525,6130,6.7000,0
2011-12-19,3.9525,3.9525,3.9525,3.9525,10110,6.7000,0
2011-12-20,3.8345,3.9525,3.8345,3.8345,23110,6.5000,0
2011-12-21,3.9525,3.9525,3.8345,3.8345,5210,6.5000,0
2011-12-22,3.9525,3.9525,3.7755,3.7755,400,6.4000,0
2011-12-23,3.7165,3.7755,3.7165,3.7755,32370,6.4000,0
2011-12-26,3.7165,3.7755,3.7165,3.7755,13900,6.4000,0
2011-12-27,3.6575,3.7755,3.5985,3.7755,5010,6.4000,0
2011-12-28,3.7755,3.7755,3.7165,3.7165,1630,6.3000,0
2011-12-29,3.6575,3.7165,3.5395,3.7165,60400,6.3000,0
2011-12-30,3.5395,3.5395,3.5395,3.5395,9970,6.0000,0
2012-01-03,3.7165,3.7165,3.5985,3.6575,21460,6.2000,0
2012-01-04,3.6575,3.6575,3.6575,3.6575,2000,6.2000,0
2012-01-05,3.6575,3.7165,3.6575,3.7165,8510,6.3000,0
2012-01-06,3.7165,3.7165,3.6575,3.6575,9520,6.2000,0
2012-01-09,3.7165,3.7165,3.7165,3.7165,400,6.3000,0
2012-01-10,3.7165,3.7755,3.7165,3.7755,1710,6.4000,0
2012-01-11,3.7755,3.8345,3.7755,3.8345,13690,6.5000,0
2012-01-12,3.8345,3.8345,3.8345,3.8345,930,6.5000,0
2012-01-13,3.8935,3.8935,3.8935,3.8935,100,6.6000,0
2012-01-16,3.9525,3.9525,3.8935,3.9525,9150,6.7000,0
2012-01-17,3.9525,4.0115,3.8935,4.0115,11280,6.8000,0
2012-01-18,4.0705,4.0705,3.8345,4.0704,22400,6.9000,0
2012-01-19,4.0704,4.1294,4.0704,4.1294,4700,7.0000,0
2012-01-20,4.0704,4.1294,4.0704,4.1294,9500,7.0000,0
2012-01-30,4.0114,4.1884,4.0114,4.1884,5700,7.1000,0
2012-01-31,4.1884,4.1884,4.1294,4.1884,16900,7.1000,0
2012-02-01,4.1884,4.1884,4.1884,4.1884,3750,7.1000,0
2012-02-02,4.1884,4.2474,4.1294,4.2474,31760,7.2000,37476
