date,open,high,low,close,volume,unadjusted,putthrough
2006-07-11,4.8886,4.8886,4.8886,4.8886,88400,67.0000,0
2006-07-12,5.0710,5.0710,4.9616,4.9616,151690,68.0000,0
2006-07-13,4.9616,4.9616,4.9251,4.9251,27770,67.5000,0
2006-07-14,4.8886,4.8886,4.8157,4.8156,18100,66.0000,0
2006-07-17,4.7062,4.7062,4.5967,4.5967,30970,63.0000,0
2006-07-18,4.5237,4.5237,4.5237,4.5238,51920,62.0000,0
2006-07-19,4.4873,4.4873,4.3779,4.3778,19760,60.0000,0
2006-07-20,4.3048,4.5967,4.3048,4.5967,59600,63.0000,0
2006-07-21,4.5967,4.5967,4.4508,4.4508,14550,61.0000,0
2006-07-24,4.3778,4.3778,4.3049,4.3049,15150,59.0000,0
2006-07-25,4.1955,4.1955,4.1590,4.1590,113460,57.0000,0
2006-07-26,4.0860,4.1590,4.0860,4.1590,106560,57.0000,0
2006-07-27,4.3049,4.3414,4.3049,4.3414,65820,59.5000,0
2006-07-28,4.5238,4.5238,4.4508,4.4508,75180,61.0000,0
2006-07-31,4.4508,4.4508,4.2684,4.2684,48330,58.5000,0
2006-08-01,4.2319,4.2319,4.1225,4.1225,35760,56.5000,0
2006-08-02,4.0860,4.3049,4.0860,4.3049,133050,59.0000,0
2006-08-03,4.3779,4.4873,4.3779,4.4873,141160,61.5000,0
2006-08-04,4.6697,4.6697,4.5967,4.5967,164950,63.0000,0
2006-08-07,4.5967,4.5967,4.4508,4.4508,69930,61.0000,0
2006-08-08,4.5238,4.5967,4.5238,4.5603,33250,62.5000,0
2006-08-09,4.5968,4.5968,4.5603,4.5603,75630,62.5000,0
2006-08-10,4.5238,4.5968,4.5238,4.5967,72900,63.0000,0
2006-08-11,4.6697,4.7061,4.6697,4.7062,107520,64.5000,0
2006-08-14,4.8886,4.9251,4.8886,4.9251,109620,67.5000,0
2006-08-15,4.9251,4.9251,4.7427,4.8886,86840,67.0000,0
2006-08-16,4.9616,4.9980,4.9616,4.9980,159490,68.5000,0
2006-08-17,5.0345,5.0345,4.9980,5.0345,155380,69.0000,0
2006-08-18,5.0345,5.0345,4.9980,4.9980,100360,68.5000,0
2006-08-21,4.9615,5.0345,4.9615,5.0345,111380,69.0000,0
2006-08-22,4.9980,4.9980,4.9980,4.9980,248350,68.5000,0
2006-08-23,4.9980,5.0710,4.9980,5.0710,162610,69.5000,0
2006-08-24,5.2899,5.2899,5.2169,5.2899,221220,72.5000,0
2006-08-25,5.2534,5.2899,5.2534,5.2899,101840,72.5000,0
2006-08-28,5.2899,5.3993,5.2899,5.3993,100940,74.0000,0
2006-08-29,5.3993,5.5087,5.3993,5.5088,109570,75.5000,0
2006-08-30,5.6182,5.6182,5.5453,5.5453,92820,76.0000,0
2006-08-31,5.5088,5.5088,5.3994,5.5088,92930,75.5000,0
2006-09-01,5.6182,5.6547,5.6182,5.6547,68520,77.5000,0
2006-09-05,5.7277,5.8006,5.7277,5.8006,113610,79.5000,0
2006-09-06,5.8006,5.8371,5.8006,5.8006,165790,79.5000,0
2006-09-07,5.7641,5.7641,5.7276,5.7277,223950,78.5000,0
2006-09-08,5.7642,5.7642,5.7642,5.7642,100800,79.0000,0
2006-09-11,5.9466,5.9466,5.8736,5.8736,155440,80.5000,0
2006-09-12,5.8371,5.8371,5.8006,5.8006,73950,79.5000,0
2006-09-13,5.7641,5.9465,5.7641,5.9101,60580,81.0000,0
2006-09-14,5.9101,5.9101,5.9101,5.9101,106750,81.0000,0
2006-09-15,6.2040,6.2040,6.1632,6.1638,225440,75.5000,0
2006-09-18,6.2046,6.2046,6.2046,6.2046,69320,76.0000,0
2006-09-19,6.2046,6.2046,6.1638,6.2046,140910,76.0000,0
2006-09-20,6.2454,6.2862,6.2454,6.2862,78250,77.0000,0
2006-09-21,6.2862,6.2862,6.2454,6.2454,45460,76.5000,0
2006-09-22,6.2862,6.2862,6.2454,6.2454,25800,76.5000,0
2006-09-25,6.2862,6.2862,6.2046,6.2046,40170,76.0000,0
2006-09-26,6.2046,6.2862,6.2046,6.2862,59310,77.0000,0
2006-09-27,6.3678,6.4087,6.3678,6.4087,87090,78.5000,0
2006-09-28,6.4087,6.4495,6.4087,6.4495,70630,79.0000,0
2006-09-29,6.4903,6.4903,6.4495,6.4495,50890,79.0000,0
2006-10-02,6.4495,6.5311,6.4495,6.5312,50050,80.0000,0
2006-10-03,6.6128,6.6128,6.5720,6.6128,46670,81.0000,0
2006-10-04,6.6128,6.6536,6.6128,6.6536,64840,81.5000,0
2006-10-05,6.6536,6.6536,6.4495,6.4495,67240,79.0000,0
2006-10-06,6.5311,6.5311,6.4903,6.4903,33430,79.5000,0
2006-10-09,6.5311,6.5719,6.5311,6.5312,40810,80.0000,0
2006-10-10,6.5312,6.5312,6.4496,6.4495,67510,79.0000,0
2006-10-11,6.4903,6.5311,6.4903,6.5312,19820,80.0000,0
2006-10-12,6.5312,6.5312,6.5312,6.5312,32500,80.0000,0
2006-10-13,6.5312,6.5720,6.5312,6.5720,52480,80.5000,0
2006-10-16,6.5720,6.5720,6.5312,6.5720,38800,80.5000,0
2006-10-17,6.5312,6.5312,6.4904,6.4903,80680,79.5000,0
2006-10-18,6.4495,6.5311,6.4495,6.5312,76160,80.0000,0
2006-10-19,6.5312,6.6128,6.5312,6.6128,63010,81.0000,0
2006-10-20,6.6536,6.6944,6.6536,6.6536,49830,81.5000,0
2006-10-23,6.6536,6.6536,6.6536,6.6536,20710,81.5000,0
2006-10-24,6.6536,6.6536,6.6128,6.6128,35490,81.0000,0
2006-10-25,6.6128,6.6128,6.5312,6.6128,26710,81.0000,0
2006-10-26,6.6128,6.6128,6.6128,6.6128,35750,81.0000,0
2006-10-27,6.6128,6.6536,6.6128,6.6128,50190,81.0000,0
2006-10-30,6.6944,6.6944,6.6128,6.6128,93240,81.0000,0
2006-10-31,6.5312,6.6128,6.5312,6.6128,40270,81.0000,0
2006-11-01,6.6128,6.6536,6.6128,6.6128,40730,81.0000,0
2006-11-02,6.6128,6.6128,6.5312,6.5312,44100,80.0000,0
2006-11-03,6.5312,6.5720,6.5312,6.5720,26380,80.5000,0
2006-11-06,6.6128,6.6945,6.6128,6.6944,106500,82.0000,0
2006-11-07,6.7352,6.8169,6.7352,6.8169,95870,83.5000,0
2006-11-08,6.9394,7.1026,6.9394,7.1026,128490,87.0000,0
2006-11-09,7.3067,7.4292,7.3067,7.4292,99280,91.0000,0
2006-11-10,7.5517,7.5517,7.2659,7.2659,74770,89.0000,0
2006-11-13,7.4292,7.5925,7.4292,7.5925,88440,93.0000,0
2006-11-14,7.7150,7.9191,7.7150,7.8782,131640,96.5000,0
2006-11-15,7.9598,7.9598,7.6333,7.6333,116030,93.5000,0
2006-11-16,7.5925,7.6741,7.5925,7.6741,74340,94.0000,0
2006-11-17,7.7149,7.8374,7.7149,7.8374,98300,96.0000,0
2006-11-20,8.0823,8.1640,8.0823,8.1640,223620,100.0000,0
2006-11-21,8.5722,8.5722,8.5722,8.5721,70190,105.0000,0
2006-11-22,8.9803,8.9803,8.9803,8.9803,55540,110.0000,0
2006-11-23,9.3885,9.3885,9.3885,9.3885,89280,115.0000,0
2006-11-24,9.7967,9.7967,9.7967,9.7967,154600,120.0000,0
2006-11-27,9.3885,9.3885,9.3069,9.3069,50510,114.0000,0
2006-11-28,8.8987,9.3885,8.8987,9.0620,231350,111.0000,0
2006-11-29,8.6538,8.6538,8.6538,8.6538,135160,106.0000,0
2006-11-30,8.6538,9.0620,8.6538,9.0620,120200,111.0000,0
2006-12-01,9.1436,9.1436,8.9804,8.9803,111970,110.0000,0
2006-12-04,9.0619,9.2252,9.0619,9.0620,64970,111.0000,0
2006-12-05,9.0620,9.0620,8.8987,8.8987,69780,109.0000,0
2006-12-06,8.9803,9.3069,8.9803,9.3069,102900,114.0000,0
2006-12-07,9.7151,9.7151,9.7151,9.7151,93410,119.0000,0
2006-12-08,10.1233,10.1233,10.1233,10.1233,58440,124.0000,0
2006-12-11,10.6131,10.6131,10.6131,10.6131,145220,130.0000,0
2006-12-12,11.1029,11.1029,10.2865,10.2866,151940,126.0000,0
2006-12-13,10.6132,10.7764,10.6132,10.7764,110580,132.0000,0
2006-12-14,11.2662,11.2662,11.2662,11.2663,128780,138.0000,0
2006-12-15,11.7561,11.7561,11.7561,11.7561,105910,144.0000,0
2006-12-18,11.7561,11.7561,11.5112,11.7561,128790,144.0000,0
2006-12-19,11.7561,12.3276,12.0010,12.3276,109750,151.0000,0
2006-12-20,12.3276,12.8991,12.7358,12.8990,110010,158.0000,0
2006-12-21,12.8990,12.8990,12.4092,12.8990,147010,158.0000,0
2006-12-22,12.3275,12.3275,12.3275,12.3276,9550,151.0000,0
2006-12-25,11.7561,11.7561,11.7561,11.7561,65550,144.0000,0
2006-12-26,12.3276,12.3276,11.1846,12.3276,92900,151.0000,0
2006-12-27,0.0000,12.6542,12.4092,12.5725,56650,154.0000,0
2006-12-28,12.4909,12.4909,12.2459,12.2459,51200,150.0000,0
2006-12-29,12.2459,12.2459,11.9193,11.9194,15610,146.0000,0
2007-01-02,11.7561,11.7561,11.5928,11.7561,23910,144.0000,0
2007-01-03,12.1643,12.1643,12.0010,12.1643,38060,149.0000,0
2007-01-04,12.7358,12.7358,12.7358,12.7358,88460,156.0000,0
