date,open,high,low,close,volume,unadjusted,putthrough
2016-08-12,13.8067,13.8067,13.8067,13.8067,5000,23.2000,0
2016-08-15,15.8301,15.8301,15.8301,15.8301,1100,26.6000,0
2016-08-17,17.8535,17.8535,17.8535,17.8535,200,30.0000,0
2016-08-24,15.1755,15.1755,15.1755,15.1755,400,25.5000,0
2016-08-25,13.6877,13.6877,12.9141,12.9140,5000,21.7000,0
2016-08-29,12.4975,12.4975,12.4975,12.4974,2600,21.0000,0
2016-08-30,12.4974,12.4974,12.4974,12.4974,2900,21.0000,0
2016-09-01,13.6876,13.6876,12.5569,12.5570,5900,21.1000,0
2016-09-05,12.9141,12.9141,12.7950,12.7950,5500,21.5000,0
2016-09-07,12.5569,12.9140,12.5569,12.9140,14200,21.7000,0
2016-09-08,12.9140,13.6876,12.9140,13.6877,7500,23.0000,0
2016-09-09,13.3901,13.3901,12.8545,12.8545,4000,21.6000,0
2016-09-12,13.0330,13.0330,13.0330,13.0330,2000,21.9000,0
2016-09-14,13.5686,13.5686,13.5686,13.5686,100,22.8000,0
2016-09-16,14.8183,14.8779,14.8183,14.8779,3100,25.0000,0
2016-09-19,17.0798,17.0798,14.8779,14.8779,600,25.0000,0
2016-09-20,17.4964,17.4964,17.2584,17.4964,1800,29.4000,0
2016-09-21,19.9959,19.9959,19.9959,19.9959,5900,33.6000,0
2016-09-22,22.9715,22.9715,22.6144,22.9120,3310,38.5000,0
2016-09-23,22.9120,23.2096,20.8291,21.4242,3200,36.0000,0
2016-09-26,21.4242,21.4242,20.8291,20.8291,1500,35.0000,0
2016-09-27,20.7696,20.7696,19.6389,19.6388,4300,33.0000,0
2016-09-28,17.0798,20.5315,17.0798,20.5315,600,34.5000,0
2016-10-03,17.8535,17.8535,17.6750,17.6750,3300,29.7000,0
2016-10-06,17.7345,17.7345,17.7345,17.7345,500,29.8000,0
2016-10-10,17.3179,17.5560,17.3179,17.5559,2000,29.5000,0
2016-10-12,16.9608,16.9608,16.9608,16.9608,700,28.5000,0
2016-10-13,16.6632,16.9608,16.6632,16.9608,10600,28.5000,0
2016-10-17,16.3657,16.3657,16.0681,16.0681,2600,27.0000,0
2016-10-18,15.2349,15.2349,14.8779,14.8779,2500,25.0000,0
2016-10-21,15.4730,16.0681,14.8779,14.8779,3100,25.0000,0
2016-10-24,14.8779,14.8779,14.8779,14.8779,700,25.0000,0
2016-10-25,17.0203,17.0203,17.0203,17.0203,500,28.6000,0
2016-10-26,17.0203,17.0203,15.5325,15.5325,4200,26.1000,0
2016-10-27,14.2232,18.8651,14.2232,18.4486,3700,31.0000,0
2016-10-28,19.3413,19.8174,18.1510,19.8174,7800,33.3000,0
2016-10-31,20.8291,21.4242,19.6389,20.5315,13100,34.5000,0
2016-11-01,20.8291,20.8886,20.8291,20.8291,3700,35.0000,0
2016-11-02,21.4242,21.4242,19.0437,19.3413,7400,32.5000,0
2016-11-03,19.6389,19.6389,17.9130,17.9130,5200,30.1000,0
2016-11-04,17.8535,19.6388,17.0203,19.0437,1200,32.0000,0
2016-11-07,19.8174,21.2456,19.8174,21.2456,8700,35.7000,0
2016-11-08,21.4241,23.4475,21.4241,23.4476,84500,39.4000,0
2016-11-09,26.6612,26.6612,23.2096,26.1851,41600,44.0000,0
2016-11-10,27.3753,28.8631,27.3753,28.8631,47710,48.5000,0
2016-11-11,29.7558,30.9460,24.3997,24.5188,38300,41.2000,0
2016-11-14,24.5188,29.6963,22.9120,26.7802,27491,45.0000,0
2016-11-15,27.3753,28.8631,27.3753,27.9109,14020,46.9000,0
2016-11-16,28.5060,28.5060,25.2924,25.2924,7700,42.5000,0
2016-11-17,26.1256,26.1256,23.8046,24.9949,8130,42.0000,0
2016-11-18,26.7207,26.7207,24.3998,25.1734,8800,42.3000,0
2016-11-21,27.2563,27.2563,22.3764,25.3519,17900,42.6000,0
2016-11-22,25.7685,25.7685,24.5187,25.2329,18500,42.4000,0
2016-11-23,25.5305,25.5305,24.1022,24.9354,14900,41.9000,0
2016-11-24,24.3998,26.0066,23.5071,24.1022,11400,40.5000,0
2016-11-25,25.2329,25.2329,22.9120,23.0310,5428,38.7000,0
2016-11-28,25.5305,26.7802,25.2924,25.5900,19730,43.0000,0
2016-11-29,26.6612,26.6612,24.2212,25.6495,19200,43.1000,0
2016-11-30,26.0661,26.0661,25.2924,25.8876,9410,43.5000,0
2016-12-01,24.9949,25.5900,24.9949,25.5900,8300,43.0000,0
2016-12-02,26.7207,26.7207,24.6973,25.2924,11190,42.5000,0
2016-12-05,25.2924,26.4826,25.2924,25.8876,18200,43.5000,1000
2016-12-06,26.4232,26.4232,21.9598,21.9598,29830,36.9000,0
2016-12-07,21.4242,22.5549,19.1032,21.9598,15040,36.9000,0
2016-12-08,20.8291,20.8291,19.9364,20.7696,2610,34.9000,0
2016-12-09,20.2340,20.2340,17.7940,17.7940,11965,29.9000,0
2016-12-12,17.2584,17.2584,15.7706,16.0681,10500,27.0000,0
2016-12-13,17.7939,18.4486,17.7939,18.4486,23702,31.0000,0
2016-12-14,20.2339,20.3530,19.6388,19.6388,13400,33.0000,0
2016-12-15,17.9130,19.5793,17.8535,18.4486,12770,31.0000,0
2016-12-16,18.4486,18.4486,17.3179,18.4486,6525,31.0000,0
2016-12-19,18.1510,18.1510,17.0798,17.2584,4100,29.0000,0
2016-12-20,17.7940,17.7940,16.6633,17.1393,7000,28.8000,0
2016-12-21,16.8417,17.7939,16.8417,17.4369,6300,29.3000,1000
2016-12-22,17.2584,18.3891,17.2584,18.2701,6300,30.7000,0
2016-12-23,17.2584,17.7940,17.2584,17.4964,2900,29.4000,0
2016-12-26,20.0554,20.0554,17.4369,17.4369,5300,29.3000,0
2016-12-27,19.5793,19.5793,17.0203,17.0203,20501,28.6000,0
2016-12-28,16.9608,17.6749,16.9608,17.1393,3010,28.8000,0
2016-12-29,18.9842,18.9842,17.2583,17.3179,3500,29.1000,0
2016-12-30,17.0203,17.0203,16.3657,16.6633,3900,28.0000,0
2017-01-03,18.3296,18.3296,18.3296,18.3296,300,30.8000,0
2017-01-04,16.5442,16.5442,16.3657,16.3657,2141,27.5000,0
2017-01-05,17.1394,17.3179,16.7823,17.2584,6709,29.0000,0
2017-01-06,17.3179,17.3179,17.2584,17.2584,500,29.0000,0
2017-01-09,16.6633,16.9608,16.6633,16.9608,6282,28.5000,0
2017-01-10,16.6632,16.6632,16.6632,16.6633,1600,28.0000,0
2017-01-11,17.0799,17.0799,16.7228,16.9013,2200,28.4000,0
2017-01-12,17.5559,17.5559,16.6633,16.6633,1400,28.0000,0
2017-01-13,19.2223,19.2223,19.2223,19.2223,100,32.3000,0
2017-01-16,17.1394,17.2584,17.0204,17.1393,2500,28.8000,0
2017-01-17,14.5803,18.4486,14.5803,17.2584,7710,29.0000,0
2017-01-18,14.5209,17.8535,14.5209,17.7345,1410,29.8000,0
2017-01-19,17.9725,17.9725,16.2467,16.2467,600,27.3000,0
2017-01-20,15.8301,17.1989,15.8301,17.1989,200,28.9000,0
2017-01-23,17.6750,17.6750,16.5443,16.6037,2100,27.9000,0
2017-01-24,17.5559,17.5559,14.3423,16.9608,1600,28.5000,0
2017-01-25,17.4369,17.4369,17.4369,17.4369,117,29.3000,0
2017-02-02,16.0681,16.6632,16.0681,16.6633,1900,28.0000,0
2017-02-03,14.1638,17.3774,14.1638,16.9608,5333,28.5000,11
2017-02-06,17.4964,17.4964,17.0798,17.2584,6400,29.0000,0
2017-02-07,16.6633,17.1989,16.6633,17.1989,2100,28.9000,0
2017-02-08,17.1394,17.2584,17.1394,17.2584,6400,29.0000,0
2017-02-09,17.2584,17.2584,17.2584,17.2584,4110,29.0000,0
2017-02-10,17.2584,17.2584,17.2584,17.2584,4800,29.0000,0
2017-02-14,17.8535,17.8535,14.8779,17.6154,1618,29.6000,0
2017-02-15,17.8534,17.8534,17.8534,17.8535,100,30.0000,0
2017-02-16,20.4720,20.4720,15.4730,17.2584,1600,29.0000,0
2017-02-17,16.9608,16.9608,16.9608,16.9608,2400,28.5000,0
2017-02-20,17.2584,17.2584,17.2584,17.2584,300,29.0000,0
2017-02-21,16.4847,17.1989,16.4847,17.1989,1100,28.9000,0
2017-02-22,16.4848,16.4848,16.4252,16.4252,1000,27.6000,0
2017-02-23,16.3657,16.3657,16.3657,16.3657,128,27.5000,0
2017-02-24,16.0681,16.0681,16.0681,16.0681,200,27.0000,0
2017-02-27,16.0681,16.0681,15.9491,15.9491,3450,26.8000,0
2017-02-28,17.2584,17.2584,17.2584,17.2584,100,29.0000,0
2017-03-01,14.9374,17.2584,14.9374,16.6633,3000,28.0000,0
2017-03-02,16.6633,16.6633,16.6633,16.6633,4200,28.0000,0
2017-03-03,16.6633,16.6633,16.6633,16.6633,2000,28.0000,0
2017-03-07,15.5326,16.6633,15.5326,16.6633,1200,28.0000,0
2017-03-08,16.1277,16.1277,16.0682,16.0681,2720,27.0000,0
2017-03-10,16.1276,16.1871,15.4730,15.4730,1400,26.0000,0
2017-03-13,15.9491,15.9491,15.9491,15.9491,1000,26.8000,0
2017-03-16,16.0681,16.0681,14.8779,14.8779,1100,25.0000,0
2017-03-17,15.5920,15.5920,15.5920,15.5920,3000,26.2000,0
2017-03-20,15.6515,15.6515,15.5920,15.5920,4000,26.2000,0
2017-03-21,15.5920,15.5920,15.5920,15.5920,200,26.2000,0
2017-03-27,15.7705,15.7705,15.7705,15.7706,200,26.5000,0
2017-03-28,13.4496,15.7706,13.4496,15.7706,300,26.5000,0
2017-03-30,15.6515,15.6515,15.6515,15.6516,100,26.3000,0
2017-04-03,13.3306,13.9258,13.3306,13.8067,4100,23.2000,0
2017-04-04,13.7472,13.7472,13.5687,13.5686,5500,22.8000,0
2017-04-05,15.5920,15.5920,15.5920,15.5920,100,26.2000,0
2017-04-07,15.5325,16.6632,13.2711,13.8067,600,23.2000,0
2017-04-10,14.9969,14.9969,14.9969,14.9969,1800,25.2000,0
2017-04-11,14.9969,14.9969,14.9969,14.9969,300,25.2000,0
2017-04-12,12.7950,12.9735,12.7950,12.9735,400,21.8000,0
2017-04-13,13.6876,13.6876,13.4496,13.6877,2300,23.0000,0
2017-04-14,15.0565,15.0565,15.0565,15.0564,200,25.3000,0
2017-04-17,14.8779,14.8779,14.8779,14.8779,500,25.0000,0
2017-04-18,15.4135,15.4135,15.4135,15.4135,600,25.9000,0
2017-04-19,14.8779,14.9374,14.8779,14.9374,4000,25.1000,0
2017-04-24,14.9374,14.9374,14.9374,14.9374,600,25.1000,0
2017-04-25,14.9374,14.9374,14.9374,14.9374,1400,25.1000,0
2017-04-26,16.3062,16.3062,13.0925,16.2467,4200,27.3000,0
2017-04-27,16.9608,16.9608,14.8779,14.8779,1100,25.0000,0
2017-04-28,14.6399,14.6399,14.6399,14.6399,1500,24.6000,0
2017-05-03,13.9853,14.8779,13.9853,14.8779,1300,25.0000,0
2017-05-04,14.9969,15.2350,14.9969,15.2350,2300,25.6000,0
2017-05-05,15.4730,15.4730,15.4730,15.4730,1400,26.0000,0
2017-05-09,15.4730,15.4730,15.4730,15.4730,100,26.0000,0
2017-05-10,15.4730,15.4730,15.1754,15.1755,4820,25.5000,0
2017-05-12,14.5804,14.5804,13.6877,13.6877,2800,23.0000,0
2017-05-15,15.4731,15.4731,15.4731,15.4730,2950,26.0000,0
2017-05-16,15.5920,15.5920,15.4730,15.4730,2600,26.0000,0
2017-05-18,15.8301,15.8301,15.8301,15.8301,100,26.6000,0
2017-05-19,15.8896,16.0086,15.7706,16.0086,1700,26.9000,0
2017-05-22,16.0681,16.0681,16.0681,16.0681,2400,27.0000,0
2017-05-23,16.0681,16.0681,16.0681,16.0681,100,27.0000,0
2017-05-24,17.2583,17.2583,15.7705,15.7706,5210,26.5000,0
2017-05-25,16.0682,16.0682,15.7706,15.8896,3400,26.7000,0
2017-05-26,16.0681,16.0681,15.4730,15.4730,1900,26.0000,0
2017-05-30,15.4731,15.5326,15.4731,15.4730,1800,26.0000,23000
2017-05-31,16.0681,16.0681,16.0681,16.0681,300,27.0000,0
2017-06-01,16.0681,16.0681,16.0681,16.0681,8900,27.0000,0
2017-06-02,16.1276,16.6037,16.0681,16.0681,5600,27.0000,0
2017-06-05,16.1871,16.1871,16.1871,16.1872,5100,27.2000,0
2017-06-06,16.2467,16.2467,16.2467,16.2467,1300,27.3000,0
2017-06-07,16.3657,16.4847,16.3062,16.3657,30900,27.5000,0
2017-06-08,16.8418,16.9608,16.8418,16.9013,1600,28.4000,0
2017-06-09,16.7228,16.7228,16.6633,16.6633,4000,28.0000,0
2017-06-12,16.6633,16.6633,16.6633,16.6633,3000,28.0000,0
2017-06-13,16.6633,16.8418,16.6633,16.8418,2900,28.3000,0
2017-06-14,16.6460,16.7765,16.6460,16.6460,8100,25.5000,0
2017-06-15,17.0377,17.0377,17.0377,17.0376,100,26.1000,0
2017-06-16,19.5834,19.5834,17.1029,17.2987,1600,26.5000,0
2017-06-20,16.6460,16.6460,16.6460,16.6460,4000,25.5000,0
2017-06-21,16.7766,16.7766,16.7766,16.7765,800,25.7000,0
