date,open,high,low,close,volume,unadjusted,putthrough
2017-03-02,18.0973,18.0973,14.6171,14.8259,20000,21.3000,0
2017-03-03,18.7934,18.7934,18.7934,18.7934,100,27.0000,0
2017-03-06,21.5776,21.5776,21.5776,21.5776,700,31.0000,0
2017-03-07,18.3758,18.3758,18.3758,18.3758,1000,26.4000,0
2017-03-08,15.6612,15.6612,15.6612,15.6612,100,22.5000,0
2017-03-09,13.3642,13.3642,13.3642,13.3642,5100,19.2000,0
2017-03-10,15.3131,15.3131,15.3131,15.3131,100,22.0000,0
2017-03-13,15.6611,16.0092,15.6611,16.0092,900,23.0000,0
2017-03-15,13.5730,13.5730,13.5730,13.5730,1000,19.5000,0
2017-03-16,11.8329,11.8329,11.6241,11.8329,5500,17.0000,0
2017-03-17,13.3642,13.3642,12.6682,13.3642,15047,19.2000,0
2017-03-22,13.3642,13.3642,13.2946,13.2946,738,19.1000,0
2017-03-24,13.3642,13.3642,13.3642,13.3642,1500,19.2000,0
2017-03-28,12.5289,12.5289,12.5289,12.5289,300,18.0000,0
2017-03-29,12.5985,12.5985,12.5985,12.5985,200,18.1000,0
2017-03-30,12.8769,12.8769,12.6681,12.8770,14000,18.5000,0
2017-03-31,13.2250,13.2250,13.2250,13.2250,2000,19.0000,0
2017-04-04,13.0162,13.0162,13.0162,13.0162,3000,18.7000,0
2017-04-05,12.9466,12.9466,12.9466,12.9466,100,18.6000,0
2017-04-07,11.1369,12.8770,11.1369,12.8770,200,18.5000,0
2017-04-10,12.1113,12.5290,12.1113,12.5289,2000,18.0000,0
2017-04-11,12.9465,12.9465,12.9465,12.9466,1000,18.6000,0
2017-04-12,12.9466,13.5730,12.9466,13.3642,19734,19.2000,0
2017-04-13,13.3642,13.5730,13.1554,13.1554,9300,18.9000,0
2017-04-14,13.0162,13.0162,13.0162,13.0162,1000,18.7000,0
2017-04-17,13.1554,13.5730,13.1554,13.5034,19100,19.4000,0
2017-04-18,13.2946,13.2946,13.2946,13.2946,265,19.1000,0
2017-04-19,12.7378,12.7378,12.7378,12.7377,11100,18.3000,0
2017-04-21,12.5985,12.7377,12.5985,12.7377,6201,18.3000,0
2017-04-24,12.7377,12.8769,12.5985,12.6681,3000,18.2000,0
2017-04-25,12.5289,12.5289,12.5289,12.5289,1134,18.0000,0
2017-04-26,12.4593,12.5289,12.3897,12.4593,11116,17.9000,0
2017-04-27,12.2505,12.3201,12.2505,12.3201,2500,17.7000,0
2017-04-28,12.2505,12.2505,12.1809,12.1809,1400,17.5000,0
2017-05-04,10.5104,12.3897,10.5104,12.3897,5300,17.8000,0
2017-05-05,12.3897,12.3897,12.3201,12.3201,5100,17.7000,0
2017-05-08,12.5289,12.5289,12.5289,12.5289,100,18.0000,0
2017-05-09,10.7888,12.5289,10.7888,12.5289,3300,18.0000,0
2017-05-10,12.8769,12.8769,9.9535,12.3201,500,17.7000,0
2017-05-11,10.0231,12.3897,10.0231,10.4408,5400,15.0000,0
2017-05-12,10.6496,10.6496,10.6496,10.6496,5000,15.3000,0
2017-05-15,10.6496,10.6496,10.4408,10.4408,7000,15.0000,0
2017-05-16,9.8144,10.4408,9.8144,10.4408,2700,15.0000,0
2017-05-17,11.1369,11.1369,10.0232,10.0231,2400,14.4000,0
2017-05-18,10.0927,10.0927,10.0927,10.0927,4400,14.5000,0
2017-05-19,10.4407,10.4407,10.1623,10.1623,500,14.6000,0
2017-05-22,10.3711,10.3711,10.3711,10.3712,5300,14.9000,0
2017-05-23,10.1624,10.2320,10.0232,10.1623,2100,14.6000,0
2017-05-24,10.0927,10.0927,9.9535,9.9535,6000,14.3000,0
2017-05-25,10.0927,10.1623,10.0927,10.1623,8400,14.6000,0
2017-05-26,10.0927,10.1623,10.0927,10.1623,7000,14.6000,0
2017-05-29,10.0927,11.5544,10.0927,11.5545,12800,16.6000,0
2017-05-30,11.1369,11.1369,11.1369,11.1368,2000,16.0000,0
2017-05-31,11.1368,11.1368,11.1368,11.1368,100,16.0000,0
2017-06-01,10.5104,10.5104,10.4407,10.5104,5500,15.1000,0
2017-06-02,10.6496,10.6496,10.6496,10.6496,2430,15.3000,0
2017-06-05,11.1368,11.4849,11.1368,11.1368,4500,16.0000,0
2017-06-06,11.4152,11.4152,11.4152,11.4152,1000,16.4000,0
2017-06-07,11.4848,11.4848,11.1368,11.1368,2700,16.0000,0
2017-06-08,11.1368,11.3456,11.1368,11.1368,3700,16.0000,0
2017-06-09,11.4848,11.4848,11.4848,11.4848,200,16.5000,0
2017-06-12,11.8328,11.8328,11.4848,11.4848,5600,16.5000,0
2017-06-13,11.6240,11.6240,11.6240,11.6241,1593,16.7000,0
2017-06-14,11.6241,11.6241,11.6241,11.6241,24,16.7000,0
2017-06-15,11.2761,11.2761,11.2761,11.2760,1020,16.2000,0
2017-06-16,11.7632,11.9024,11.7632,11.9025,3100,17.1000,0
2017-06-19,10.4408,11.8329,10.4408,10.5800,9800,15.2000,0
2017-06-20,11.8329,11.8329,11.8329,11.8329,100,17.0000,0
2017-06-21,11.8329,11.8329,11.8329,11.8329,100,17.0000,0
2017-06-22,12.1809,12.1809,10.4408,10.4408,45015,15.0000,0
2017-06-23,10.6496,10.6496,10.6496,10.6496,100,15.3000,0
2017-06-26,10.6496,10.6496,10.5104,10.6496,7000,15.3000,0
2017-06-27,10.7888,10.7888,10.4408,10.4408,93000,15.0000,0
2017-06-28,10.4408,11.3457,10.4408,11.3456,26300,16.3000,0
2017-06-29,10.8584,11.0672,10.8584,11.0672,1900,15.9000,0
2017-06-30,11.4848,12.5289,11.1368,11.1368,400,16.0000,0
2017-07-03,11.3456,11.3456,11.1368,11.1368,11700,16.0000,0
2017-07-04,11.1368,11.1368,11.1368,11.1368,2600,16.0000,0
2017-07-05,11.1368,11.1368,11.1368,11.1368,2500,16.0000,0
2017-07-06,11.1368,11.1368,11.1368,11.1368,500,16.0000,0
2017-07-07,11.1368,11.1368,11.1368,11.1368,17000,16.0000,0
2017-07-10,10.7888,10.7888,10.5104,10.5104,8600,15.1000,0
2017-07-11,10.9976,10.9976,10.9976,10.9976,100,15.8000,0
2017-07-12,10.3712,10.9280,10.3712,10.9280,15100,15.7000,0
2017-07-13,11.1368,11.1368,11.1368,11.1368,100,16.0000,0
2017-07-14,10.7888,10.8584,10.7888,10.7888,1200,15.5000,0
2017-07-17,10.7888,10.8584,10.7888,10.8584,4200,15.6000,0
2017-07-18,10.4408,10.5104,10.4408,10.5104,19800,15.1000,0
2017-07-19,10.4408,10.4408,10.4408,10.4408,400,15.0000,86621
2017-07-20,10.5104,10.5800,10.5104,10.5800,300,15.2000,0
2017-07-21,10.4408,10.7888,10.4408,10.4408,2600,15.0000,0
2017-07-25,10.7192,10.7888,10.7192,10.7888,4100,15.5000,0
2017-07-26,10.7888,10.7888,10.7888,10.7888,100,15.5000,0
2017-07-28,10.3016,10.5104,10.3016,10.3712,9600,14.9000,0
2017-07-31,10.3016,10.4408,10.3016,10.4408,10400,15.0000,0
2017-08-02,10.4408,10.5104,10.2320,10.4408,14800,15.0000,0
2017-08-03,10.3712,11.0672,10.3712,11.0672,31300,15.9000,0
2017-08-04,11.9721,11.9721,10.4408,10.4408,200,15.0000,0
2017-08-07,11.0672,11.0672,11.0672,11.0672,200,15.9000,0
2017-08-08,10.9280,10.9280,10.7192,10.7192,600,15.4000,0
2017-08-09,10.5104,10.5104,10.2320,10.2320,9400,14.7000,0
2017-08-10,10.7192,10.7192,10.7192,10.7192,4330,15.4000,0
2017-08-11,10.5800,11.4849,10.4408,11.4848,74900,16.5000,0
2017-08-14,11.0672,12.3201,10.9976,11.4848,69000,16.5000,0
2017-08-15,12.3897,12.3897,11.2064,11.4848,18700,16.5000,0
2017-08-16,12.1808,13.0161,11.4848,11.6241,38700,16.7000,0
2017-08-17,12.0417,12.0417,11.2065,11.2064,30200,16.1000,0
2017-08-18,12.2121,12.2121,11.2064,11.9254,2350,16.6000,0
2017-08-21,12.1409,12.1409,11.4944,11.4943,200,16.0000,0
2017-08-22,12.2127,12.2127,11.4943,11.8535,10500,16.5000,0
2017-08-23,9.7702,11.2788,9.7702,11.2788,19200,15.7000,0
2017-08-24,11.8535,11.8535,10.7759,11.1351,25100,15.5000,0
2017-08-25,11.1351,11.4943,11.0633,11.0633,1000,15.4000,0
2017-08-28,10.8478,11.4225,10.7041,11.1351,2200,15.5000,0
2017-08-29,10.9914,10.9914,10.0575,10.0575,4500,14.0000,0
2017-08-30,11.4943,11.4943,11.1351,11.1351,6700,15.5000,0
2017-09-01,11.4225,11.4225,11.1351,11.3506,4830,15.8000,0
2017-09-05,11.7816,11.7816,11.1351,11.1351,4900,15.5000,0
2017-09-06,11.2069,11.4943,11.0633,11.2070,4500,15.6000,0
2017-09-08,11.1351,11.4943,11.1351,11.2788,2500,15.7000,0
2017-09-11,11.4943,11.4943,11.0633,11.1351,9822,15.5000,0
2017-09-12,11.2069,11.2069,10.9196,11.1351,44330,15.5000,0
2017-09-13,11.4225,11.4225,10.7759,10.7759,21100,15.0000,0
2017-09-14,11.1351,11.1351,11.1351,11.1351,100,15.5000,0
2017-09-18,11.1351,11.3506,10.7759,10.7759,20600,15.0000,0
2017-09-19,10.7759,10.9914,10.7759,10.7759,9800,15.0000,0
2017-09-20,11.1351,11.1351,10.7759,10.7759,200,15.0000,0
2017-09-21,10.9196,10.9196,10.9196,10.9196,5000,15.2000,0
2017-09-22,10.9914,10.9914,10.9914,10.9914,5000,15.3000,0
2017-09-25,10.9914,10.9914,10.7759,10.7759,13800,15.0000,0
2017-09-26,11.1351,11.4943,11.1351,11.1351,16400,15.5000,0
2017-09-27,11.4943,11.4943,10.9914,11.1351,10900,15.5000,0
2017-09-28,11.1351,11.3506,11.1351,11.1351,10600,15.5000,0
2017-09-29,11.2069,11.4225,11.1351,11.1351,22850,15.5000,0
2017-10-02,11.4943,12.2127,11.2069,11.9972,77748,16.7000,0
2017-10-03,11.9972,12.7156,11.8535,12.4282,55880,17.3000,0
2017-10-04,12.5719,14.0805,12.2845,12.7874,23500,17.8000,0
2017-10-05,12.7874,13.6495,12.3564,13.1466,39103,18.3000,0
2017-10-06,13.1466,13.9368,12.7874,13.2903,53437,18.5000,0
2017-10-09,14.0087,15.0863,13.2903,13.8650,78427,19.3000,0
2017-10-10,14.2242,15.4455,13.7932,14.4397,62303,20.1000,0
2017-10-11,15.3736,15.8046,13.7931,14.0805,30100,19.6000,0
2017-10-12,14.2242,14.2242,13.0029,13.0029,36217,18.1000,0
2017-10-13,13.1466,13.5058,13.1466,13.5058,25100,18.8000,0
2017-10-16,13.4340,13.4340,13.0029,13.0748,16400,18.2000,0
2017-10-17,13.2903,13.2903,12.8593,12.9311,13200,18.0000,0
2017-10-18,12.6437,12.8593,12.5719,12.7874,26500,17.8000,0
2017-10-19,12.5719,13.5776,12.5719,13.2903,7400,18.5000,0
2017-10-20,13.5058,15.0144,13.2185,13.2185,12310,18.4000,0
2017-10-23,13.2903,13.2903,13.0030,13.0029,11500,18.1000,0
2017-10-24,13.4339,13.4339,13.0747,13.3621,4100,18.6000,0
2017-10-25,13.2903,13.5058,13.1466,13.1466,3610,18.3000,0
2017-10-26,13.5776,13.5776,13.5776,13.5777,100,18.9000,0
2017-10-27,13.0748,13.0748,13.0748,13.0748,503,18.2000,0
2017-10-30,13.2903,13.2903,12.5719,12.5719,16400,17.5000,0
2017-10-31,11.8535,12.7874,11.8535,12.2127,10200,17.0000,0
2017-11-01,12.4282,13.2903,12.4282,13.2903,71000,18.5000,0
2017-11-02,14.5116,14.5116,12.8593,13.0029,9800,18.1000,0
2017-11-03,13.6495,13.6495,13.3621,13.3621,200,18.6000,0
2017-11-06,13.9368,13.9368,13.5776,13.5777,300,18.9000,0
2017-11-07,13.0030,13.0030,12.9311,12.9311,4600,18.0000,0
2017-11-08,13.6495,14.2960,12.9311,12.9311,1700,18.0000,0
2017-11-09,13.6495,14.0087,13.0029,13.0029,3600,18.1000,0
2017-11-10,13.8650,13.8650,11.2788,12.6437,1100,17.6000,0
2017-11-13,13.6494,13.6494,11.4943,12.5719,800,17.5000,0
2017-11-14,12.9311,12.9311,12.1409,12.5719,2300,17.5000,0
2017-11-15,12.2127,12.2845,12.2127,12.2127,7400,17.0000,0
2017-11-16,12.5719,12.5719,12.5719,12.5719,100,17.5000,0
2017-11-17,11.9253,12.5001,11.9253,12.5001,300,17.4000,0
2017-11-20,12.8593,12.9311,11.9972,11.9972,2500,16.7000,0
2017-11-21,12.9311,13.2185,11.8535,11.9254,17200,16.6000,0
2017-11-22,12.7875,12.7875,11.6380,12.5719,300,17.5000,0
2017-11-23,12.9311,12.9311,11.7098,12.3564,14100,17.2000,0
2017-11-24,12.8593,12.8593,11.6380,11.6380,8100,16.2000,0
2017-11-27,12.6438,12.6438,11.2070,11.3506,30900,15.8000,0
2017-11-28,11.3506,11.4224,11.3506,11.4225,3600,15.9000,0
2017-11-29,12.5001,12.5001,12.5001,12.5001,150,17.4000,0
2017-11-30,12.7875,12.7875,11.7099,11.7098,9300,16.3000,0
2017-12-01,12.2127,12.2127,11.7098,12.0690,12025,16.8000,0
2017-12-04,12.2127,12.2127,11.8535,12.1409,2600,16.9000,0
2017-12-05,12.3564,12.3564,11.9972,11.9972,29600,16.7000,0
2017-12-06,12.2127,12.9311,11.8535,12.2127,15400,17.0000,0
2017-12-07,12.4282,12.4282,12.2127,12.2127,4000,17.0000,0
2017-12-08,12.2127,12.6437,12.2127,12.6437,12300,17.6000,0
2017-12-11,12.4282,12.4282,12.3563,12.3564,1900,17.2000,0
2017-12-12,11.7098,11.7098,11.6380,11.6380,2400,16.2000,0
2017-12-13,12.2127,12.2127,11.6380,11.6380,15200,16.2000,0
2017-12-14,11.4943,11.6380,11.4943,11.6380,7600,16.2000,0
2017-12-15,13.2185,13.2185,12.2127,12.2127,14400,17.0000,0
2017-12-18,12.6437,12.6437,11.7098,11.8535,3100,16.5000,0
2017-12-19,13.0748,13.0748,11.8535,11.8535,600,16.5000,0
2017-12-20,11.6380,12.2127,11.6380,12.2127,800,17.0000,0
