date,open,high,low,close,volume,unadjusted,putthrough
2006-12-18,70.2510,70.2510,50.8396,55.3689,40500,299.5000,81000
2006-12-19,57.3100,60.8965,56.3857,56.3857,45100,305.0000,63000
2006-12-20,57.3101,57.3101,54.5370,54.5370,19300,295.0000,0
2006-12-21,49.9152,49.9152,49.2867,49.2866,12500,266.6000,0
2006-12-22,44.4245,44.4245,44.4245,44.4245,1400,240.3000,14200
2006-12-25,39.9876,43.4447,39.9876,43.4447,81300,235.0000,0
2006-12-26,40.0061,43.4447,36.6045,41.4666,20300,224.3000,0
2006-12-27,43.4447,43.4447,39.7473,39.7473,120200,215.0000,74700
2006-12-28,40.6717,40.6717,39.7473,40.1355,196660,217.1000,149660
2006-12-29,40.2094,40.2094,38.8229,39.7473,64300,215.0000,35400
2007-01-02,42.7052,42.7052,36.9742,39.7473,29100,215.0000,30000
2007-01-03,40.6717,40.6717,39.7473,40.0616,31700,216.7000,43500
2007-01-04,40.1171,40.6717,39.9322,40.6716,38500,220.0000,261660
2007-01-05,44.2951,44.2951,42.1506,43.8329,4700,237.1000,0
2007-01-08,48.2143,48.2143,46.5875,47.9371,31200,259.3000,0
2007-01-09,43.1489,52.7253,43.1489,52.7252,72200,285.2000,10000
2007-01-10,54.5369,56.7369,53.8899,54.5370,87400,295.0000,15000
2007-01-11,55.4614,59.1588,55.4614,59.1588,80300,320.0000,119320
2007-01-12,63.5218,63.5218,58.6042,60.0831,124000,325.0000,30000
2007-01-15,65.9990,65.9990,60.4528,61.0075,48200,330.0000,0
2007-01-16,62.4865,62.4865,55.2765,57.3100,36000,310.0000,0
2007-01-17,59.1587,60.0831,55.4613,57.3100,99700,310.0000,0
2007-01-18,54.5369,58.6041,54.5369,58.6041,67200,317.0000,0
2007-01-19,58.2344,59.1587,57.4949,58.4193,86500,316.0000,6000
2007-01-22,62.8562,64.6125,58.2344,61.0075,133700,330.0000,67200
2007-01-23,62.4865,62.4865,59.1773,61.0075,52900,330.0000,30000
2007-01-24,61.9319,62.1167,61.0260,61.0259,29800,330.1000,0
2007-01-25,60.8225,61.0259,60.0831,60.2680,55900,326.0000,20000
2007-01-26,58.6781,59.1588,58.0495,58.2529,30400,315.1000,0
2007-01-29,57.3101,60.4529,57.3101,60.2680,68000,326.0000,0
2007-01-30,61.0075,63.7806,60.0831,61.9318,119700,335.0000,58000
2007-01-31,65.6292,68.8460,62.4864,68.8460,162800,372.4000,120500
2007-02-01,73.9484,73.9484,64.7049,68.7720,35100,372.0000,30000
2007-02-02,68.4023,72.0997,68.4023,70.2510,65900,380.0000,5500
2007-02-05,65.6292,69.1418,62.8007,68.0326,14300,368.0000,0
2007-02-06,66.5536,67.4780,66.5351,67.2746,29600,363.9000,154000
2007-02-07,67.1082,68.0326,67.1082,67.1082,46800,363.0000,0
2007-02-08,67.1082,67.1082,60.7486,62.1167,45500,336.0000,0
2007-02-09,61.9318,64.7049,61.1923,62.1167,46100,336.0000,0
2007-02-12,62.3016,65.8141,61.0075,65.6292,23000,355.0000,0
2007-02-13,66.5536,66.5536,65.9989,66.1839,8600,358.0000,0
2007-02-14,66.6461,66.6461,64.8898,66.3687,18400,359.0000,0
2007-02-15,66.5536,72.9501,66.5536,70.2325,25100,379.9000,0
2007-02-26,74.8728,76.5366,73.0241,76.5366,44100,414.0000,9800
2007-02-27,83.0071,83.0071,75.7971,83.0071,54100,449.0000,0
2007-02-28,84.1163,84.1163,79.1248,80.4189,9900,435.0000,0
2007-03-01,81.3433,81.7130,74.5770,80.2341,14700,434.0000,0
2007-03-02,78.7517,81.5312,77.8252,79.6774,33200,430.0000,0
2007-03-05,79.6774,83.1980,79.6774,81.7157,37600,441.0000,0
