date,open,high,low,close,volume,unadjusted,putthrough
2017-07-20,14.9991,14.9991,14.9991,14.9991,2000,17.1500,0
2017-07-21,16.0486,16.0486,16.0486,16.0486,10010,18.3500,5380000
2017-07-24,17.1418,17.1418,17.1418,17.1419,10,19.6000,290000
2017-07-25,18.3226,18.3226,18.3226,18.3226,10,20.9500,0
2017-07-26,19.5908,19.5908,19.5908,19.5907,6020,22.4000,690000
2017-07-27,20.9463,20.9463,19.8531,20.9463,1078970,23.9500,660000
2017-07-28,22.3894,22.3894,22.1270,22.3894,360000,25.6000,0
2017-07-31,23.9199,23.9199,23.9199,23.9199,220000,27.3500,45000
2017-08-01,25.5816,25.5816,25.5816,25.5816,551530,29.2500,0
2017-08-02,27.3308,27.3308,24.4884,25.3630,703050,29.0000,261000
2017-08-03,25.3630,25.3630,23.6138,23.6138,353980,27.0000,26000
2017-08-04,24.4884,25.2318,23.6138,25.1881,194320,28.8000,0
2017-08-07,26.1501,26.1501,24.6633,25.1881,124720,28.8000,0
2017-08-08,24.4884,24.6633,23.7013,23.7013,245060,27.1000,20000
2017-08-09,23.6138,24.2261,22.0833,24.2260,675340,27.7000,0
2017-08-10,24.2260,24.2260,22.6517,22.8267,86550,26.1000,0
2017-08-11,21.8647,23.6138,21.8647,23.6138,152900,27.0000,0
2017-08-14,23.6138,23.8324,22.3894,23.1328,161420,26.4500,0
2017-08-15,22.8267,22.8267,21.5148,22.0395,391180,25.2000,106000
2017-08-16,22.5643,22.5643,21.9520,22.3019,106700,25.5000,33000
2017-08-17,22.3019,22.4768,22.1270,22.1270,80110,25.3000,0
2017-08-18,22.1270,22.1270,21.6897,21.8646,67000,25.0000,0
2017-08-21,21.8209,22.5205,21.7771,22.4768,135980,25.7000,0
2017-08-22,22.4768,22.4768,21.9958,22.2145,16960,25.4000,0
2017-08-23,21.8647,22.2145,21.8647,22.0395,38920,25.2000,0
2017-08-24,22.0395,22.0395,21.7771,21.8646,22810,25.0000,0
2017-08-25,21.8646,22.3894,21.8646,22.2145,158370,25.4000,0
2017-08-28,21.9521,22.6081,21.7772,22.5643,161300,25.8000,0
2017-08-29,22.7392,22.7392,22.1270,22.5643,62230,25.8000,0
2017-08-30,22.4768,22.4768,21.8646,22.1270,114910,25.3000,0
2017-08-31,21.9958,22.3456,21.6022,21.8646,225550,25.0000,0
2017-09-01,21.8646,22.3456,21.7771,22.3019,161080,25.5000,0
2017-09-05,22.6955,22.6955,22.0395,22.3019,126890,25.5000,0
2017-09-06,21.9083,22.1270,21.8646,21.9521,521380,25.1000,0
2017-09-07,22.0396,22.1270,21.8646,22.1270,172410,25.3000,0
2017-09-08,22.2145,23.0890,22.1707,22.6518,253780,25.9000,0
2017-09-11,23.1766,23.5264,22.3020,22.7392,320470,26.0000,400000
2017-09-12,22.1707,23.0016,22.1707,22.7392,482780,26.0000,50000
2017-09-13,23.3951,23.6138,22.4768,23.1765,585880,26.5000,0
2017-09-14,23.7887,24.4884,23.4389,23.7013,607710,27.1000,120000
2017-09-15,24.0511,24.2698,23.4827,23.4826,696120,26.8500,617000
2017-09-18,23.4826,23.6575,23.0016,23.1765,475760,26.5000,255000
2017-09-19,23.0016,23.1765,22.6517,22.7392,1038800,26.0000,0
2017-09-20,22.7392,22.7392,22.0395,22.0395,1205870,25.2000,0
2017-09-21,22.0395,22.3893,22.0395,22.3019,1105750,25.5000,0
2017-09-22,22.9141,23.8324,22.9141,23.8324,969900,27.2500,15000000
2017-09-25,24.4883,24.8382,23.7887,23.9636,268030,27.4000,0
2017-09-26,23.9636,23.9636,23.3077,23.6138,347490,27.0000,0
2017-09-27,23.6138,23.8324,23.4389,23.7013,212930,27.1000,325000
2017-09-28,23.8762,23.8762,23.5701,23.6138,399530,27.0000,0
2017-09-29,23.7887,23.8324,23.0890,23.5263,146050,26.9000,0
2017-10-02,23.7012,23.7012,23.0015,23.1765,176220,26.5000,0
2017-10-03,23.1765,23.1765,22.6080,22.7392,227080,26.0000,0
2017-10-04,23.0016,23.0890,22.7392,22.8704,56960,26.1500,20000
2017-10-05,23.5263,23.5263,22.8267,22.8267,136710,26.1000,0
2017-10-06,22.6518,22.9579,22.5643,22.6955,134870,25.9500,0
2017-10-09,23.1765,23.1765,22.4769,22.6955,102920,25.9500,20000
2017-10-10,22.7392,22.7392,22.4769,22.6955,141910,25.9500,40000
2017-10-11,22.4769,22.6955,22.4769,22.6955,107260,25.9500,0
2017-10-12,22.6955,23.6138,22.5643,23.6138,245820,27.0000,1738000
2017-10-13,23.6138,24.0511,23.2640,23.8324,347950,27.2500,1828010
2017-10-16,23.6138,23.8761,23.6138,23.7450,318450,27.1500,0
2017-10-17,23.7450,23.7450,23.3077,23.3077,218340,26.6500,85000
2017-10-18,23.3077,23.6138,23.1765,23.1765,81190,26.5000,0
2017-10-19,22.8267,23.4389,22.7829,23.2640,125880,26.6000,0
2017-10-20,23.3077,23.4826,23.0016,23.0016,184910,26.3000,0
2017-10-23,22.7392,22.7392,22.2145,22.2145,816130,25.4000,20000
2017-10-24,22.0396,22.3894,21.4274,21.9521,634590,25.1000,0
2017-10-25,22.3019,23.3514,22.3019,22.8267,909870,26.1000,530140
2017-10-26,23.0016,23.0453,22.7392,22.7392,496990,26.0000,1500000
2017-10-27,22.7392,22.8267,22.3894,22.3894,305970,25.6000,0
2017-10-30,22.3894,22.3894,22.1270,22.3894,218990,25.6000,70000
2017-10-31,22.2145,22.3894,22.0396,22.1270,143460,25.3000,1529860
2017-11-01,22.3019,22.4768,22.1707,22.3457,142450,25.5500,0
2017-11-02,22.3894,22.3894,20.8152,21.8646,308420,25.0000,0
2017-11-03,21.8646,22.0395,21.6022,21.8646,278550,25.0000,1500000
2017-11-06,21.8646,22.0395,21.8646,21.8646,62350,25.0000,30000
2017-11-07,21.8646,22.3894,21.8646,22.3019,122000,25.5000,0
2017-11-08,22.2144,22.2144,21.8646,21.9084,248710,25.0500,1500000
2017-11-09,21.9521,22.1708,21.8647,22.1270,90240,25.3000,0
2017-11-10,22.1707,22.1707,21.8646,21.9084,270440,25.0500,0
2017-11-13,21.8209,21.9084,21.4274,21.4273,163100,24.5000,1500000
2017-11-14,21.4273,22.1270,21.0775,21.4711,562720,24.5500,0
2017-11-15,21.5586,21.8647,21.5586,21.6897,400170,24.8000,0
2017-11-16,21.6022,22.3894,21.6022,22.2582,254430,25.4500,60000
2017-11-17,22.2582,22.3457,21.9084,21.9084,266190,25.0500,0
2017-11-20,21.9084,22.2618,21.7759,21.7763,158930,24.6500,0
2017-11-21,22.0413,22.0855,21.5996,21.6438,98690,24.5000,0
2017-11-22,21.6438,22.0855,21.6438,21.9088,208710,24.8000,1500000
2017-11-23,22.3505,22.3505,21.7321,22.0855,216190,25.0000,0
2017-11-24,22.0855,22.0855,21.7321,21.8204,133290,24.7000,0
2017-11-27,21.8204,21.9087,21.5554,21.6438,89850,24.5000,1500000
2017-11-28,21.7321,21.9972,21.1137,21.6438,324720,24.5000,0
2017-11-29,21.6438,21.6438,20.1420,20.1861,587020,22.8500,100000
2017-11-30,20.6278,20.6278,20.0094,20.3628,159140,23.0500,0
2017-12-01,20.3628,21.0695,20.2303,21.0254,239280,23.8000,0
2017-12-04,21.0254,21.3346,20.4953,21.0254,340630,23.8000,0
2017-12-05,21.0254,21.0254,20.6720,20.9370,121990,23.7000,1500000
2017-12-06,21.0253,21.0253,20.5395,20.6720,144070,23.4000,0
2017-12-07,20.7603,20.8929,20.3628,20.6720,93600,23.4000,0
2017-12-08,20.6720,20.6720,20.1861,20.3186,464320,23.0000,0
2017-12-11,20.3186,20.3186,20.1419,20.1419,191290,22.8000,0
2017-12-12,20.1419,20.1419,19.1260,19.4352,140320,22.0000,0
2017-12-13,19.0818,19.4352,18.9935,19.4352,266020,22.0000,0
2017-12-14,19.4352,19.5235,18.5518,18.5518,363340,21.0000,0
2017-12-15,18.5518,19.8328,18.5518,19.8327,494780,22.4500,0
2017-12-18,20.3186,20.3186,19.8769,20.3186,188120,23.0000,0
2017-12-19,20.2303,20.2303,19.8769,19.8769,124010,22.5000,0
2017-12-20,20.0978,20.1861,19.7886,20.0978,114030,22.7500,0
2017-12-21,20.0978,20.2303,19.7444,20.2303,97660,22.9000,0
2017-12-22,19.8769,20.1420,19.8769,20.1419,156870,22.8000,0
2017-12-25,20.1419,20.4511,19.9652,20.0978,182590,22.7500,2000000
2017-12-26,19.8769,20.0978,19.7886,20.0536,153420,22.7000,0
2017-12-27,19.8769,20.0536,19.6119,19.9653,113030,22.6000,0
2017-12-28,20.1862,20.1862,19.8328,20.0536,175190,22.7000,2000000
2017-12-29,19.6119,20.0536,19.6119,20.0536,117160,22.7000,0
2018-01-02,21.0254,21.0254,19.9653,20.4953,433820,23.2000,0
2018-01-03,20.6720,21.8646,20.0536,21.8646,306380,24.7500,0
2018-01-04,21.9971,22.6155,21.9971,22.5272,446070,25.5000,113550
2018-01-05,22.5272,22.6155,21.9971,22.2621,140980,25.2000,130000
2018-01-08,22.2621,22.2621,21.6879,22.1738,172230,25.1000,1162230
2018-01-09,21.9971,23.5873,21.9971,23.5873,893460,26.7000,850000
2018-01-10,23.6756,23.7640,23.0572,23.4106,459990,26.5000,0
2018-01-11,23.4106,23.4989,22.7922,23.4106,332540,26.5000,34100
2018-01-12,23.0572,23.6315,22.8805,23.4989,385660,26.6000,0
2018-01-15,23.8523,23.8523,23.1455,23.4989,122590,26.6000,0
2018-01-16,23.4989,23.4989,23.0572,23.4106,152260,26.5000,35000
2018-01-17,23.2339,24.1173,23.0572,23.4989,890000,26.6000,0
2018-01-18,23.4989,23.9848,23.4989,23.9848,422930,27.1500,150000
2018-01-19,23.9848,24.1173,23.7198,24.1173,362190,27.3000,0
2018-01-22,24.1173,24.1173,23.1455,23.3222,406590,26.4000,0
2018-01-25,23.2780,23.2780,22.7038,23.1456,324870,26.2000,0
2018-01-26,23.6757,24.7358,22.7039,24.7357,1681240,28.0000,0
2018-01-29,25.5308,25.5308,24.1173,25.0449,480970,28.3500,0
2018-01-30,24.7357,25.1774,24.6474,25.0891,206650,28.4000,0
2018-01-31,24.9124,25.0008,24.2940,24.7357,427500,28.0000,900000
2018-02-01,24.7357,24.9124,24.1173,24.6915,234810,27.9500,200000
2018-02-02,24.5590,24.6473,24.2056,24.4707,106760,27.7000,0
2018-02-05,24.4707,24.4707,23.4106,23.4106,358290,26.5000,0
2018-02-06,21.7638,23.5441,21.7638,23.4546,509040,26.3000,0
2018-02-07,23.6330,24.0789,23.2762,24.0789,95620,27.0000,0
2018-02-08,23.9005,24.0343,23.6330,23.9005,343250,26.8000,0
2018-02-09,23.9005,23.9005,22.2507,23.9005,338000,26.8000,0
2018-02-12,24.0789,24.5248,23.9005,24.5248,226530,27.5000,200000
2018-02-13,24.9261,24.9261,24.1681,24.3464,222840,27.3000,0
2018-02-21,24.5248,24.5248,24.0789,24.3018,77150,27.2500,0
2018-02-22,24.0788,24.0788,23.6329,24.0789,120260,27.0000,0
2018-02-23,23.9897,24.4802,23.7222,24.4802,121750,27.4500,0
2018-02-26,24.5248,24.9707,24.0789,24.8815,559940,27.9000,0
2018-02-27,24.9707,25.3720,24.7031,24.9261,94080,27.9500,0
2018-02-28,24.9707,25.0599,24.7923,24.7923,179450,27.8000,0
2018-03-01,24.7923,24.7923,24.1234,24.3464,203620,27.3000,0
2018-03-02,24.3464,24.4356,24.1680,24.2127,48050,27.1500,0
2018-03-05,24.2573,24.2573,23.6330,23.6330,113390,26.5000,0
2018-03-06,23.3655,23.9897,23.1871,23.9897,531610,26.9000,0
2018-03-07,24.0789,24.7923,23.3654,24.7923,482280,27.8000,0
2018-03-08,24.7923,25.4166,24.1234,25.4166,1464480,28.5000,100000
2018-03-09,25.4166,25.4166,24.8815,24.9707,368170,28.0000,0
2018-03-12,24.9707,25.2382,24.6140,25.1491,595470,28.2000,150000
2018-03-13,24.9707,25.0599,24.6140,24.8815,361030,27.9000,0
2018-03-14,24.6140,24.9707,24.5248,24.9707,344170,28.0000,30000
2018-03-15,24.8815,24.9261,23.9897,23.9897,609290,26.9000,0
2018-03-16,23.9897,24.6140,23.9897,24.0789,274870,27.0000,159000
2018-03-19,24.7032,24.7923,23.6330,24.4356,488820,27.4000,0
2018-03-20,24.3464,24.5248,23.8113,24.4356,420380,27.4000,2000000
2018-03-21,23.9897,24.0789,23.6330,23.6776,85480,26.5500,0
2018-03-22,23.9897,24.1681,23.7222,24.1681,458380,27.1000,0
2018-03-23,24.1681,24.1681,23.5438,24.1235,402890,27.0500,0
2018-03-26,24.0789,24.0789,22.7412,23.2763,117250,26.1000,0
2018-03-27,23.8560,23.9006,23.1871,23.9005,127690,26.8000,0
2018-03-28,23.2762,23.7667,23.2762,23.6330,46310,26.5000,0
2018-03-29,23.1871,23.5438,22.3845,23.1871,281850,26.0000,0
2018-03-30,22.4737,23.1871,22.3845,22.3845,134130,25.1000,0
2018-04-02,22.5629,22.9196,22.1615,22.8304,328280,25.6000,0
2018-04-03,22.9196,22.9196,22.2953,22.9195,711610,25.7000,0
2018-04-04,22.3844,22.8303,22.2952,22.7858,266880,25.5500,0
2018-04-05,22.5167,22.8307,22.3373,22.8309,303800,25.4000,0
2018-04-06,22.8309,22.8309,22.2916,22.7411,160440,25.3000,260000
2018-04-09,22.7411,23.0557,22.5613,22.8309,448430,25.4000,0
2018-04-10,22.8309,22.8309,22.2916,22.7411,295190,25.3000,0
2018-04-11,22.3816,22.7411,22.0220,22.5613,308430,25.1000,0
2018-04-12,22.4714,22.4714,22.0220,22.1119,136240,24.6000,150000
2018-04-13,22.1119,22.3816,20.5838,21.5726,631590,24.0000,59000
2018-04-16,21.2580,21.4827,20.6737,21.4827,374960,23.9000,0
2018-04-17,21.4827,21.5726,20.7636,21.4827,409470,23.9000,20000
2018-04-18,21.3928,21.3928,20.6737,21.3478,416460,23.7500,0
2018-04-19,20.7186,21.2130,20.6737,21.2130,148630,23.6000,95000
2018-04-20,20.9433,21.3928,20.7636,21.1231,254040,23.5000,0
2018-04-23,21.1231,21.1231,20.5838,21.0332,257210,23.4000,95000
2018-04-24,20.8534,20.8534,20.4939,20.8535,34550,23.2000,0
2018-04-26,20.6737,20.6737,19.6850,20.6737,100790,23.0000,65000
2018-04-27,20.6737,20.6737,20.2243,20.5838,51420,22.9000,195000
2018-05-02,20.3141,20.3141,20.0445,20.0445,125060,22.3000,1124000
2018-05-03,19.9546,19.9546,19.5951,19.9546,100700,22.2000,92000
2018-05-04,19.7748,19.8647,19.5052,19.8647,109460,22.1000,0
2018-05-07,19.7748,20.4040,19.7748,20.4040,43040,22.7000,1000000
2018-05-08,19.7748,20.3141,19.5051,20.1344,345030,22.4000,0
2018-05-09,20.1344,20.1344,19.5052,19.7748,241940,22.0000,0
2018-05-10,19.5950,19.7748,19.4153,19.7748,186090,22.0000,0
2018-05-11,19.4153,19.6400,19.1007,19.5052,324360,21.7000,0
2018-05-14,19.0108,19.3254,18.8760,19.1456,146510,21.3000,0
2018-05-15,18.9658,19.5501,18.9209,19.4153,82830,21.6000,0
