date,open,high,low,close,volume,unadjusted,putthrough
2010-11-22,4.2331,4.2331,4.2331,4.2331,5000,12.0000,0
2011-02-23,4.2331,4.2331,4.2331,4.2331,300,12.0000,0
2011-03-08,4.4095,4.4095,4.4095,4.4095,200,12.5000,0
2011-03-15,3.9862,3.9862,3.9862,3.9862,100,11.3000,0
2011-03-18,3.5982,4.0568,3.5982,4.0567,200,11.5000,0
2011-03-28,3.5276,3.5276,3.5276,3.5276,100,10.0000,0
2011-04-18,3.2454,3.2454,3.2454,3.2454,100,9.2000,0
2011-05-09,2.9279,2.9279,2.9279,2.9279,100,8.3000,0
2011-05-17,2.6457,2.6457,2.6457,2.6457,100,7.5000,0
2011-05-30,2.3988,2.3988,2.3988,2.3988,100,6.8000,0
2011-06-01,2.1871,2.1871,2.1871,2.1871,100,6.2000,0
2011-06-17,1.7991,1.7991,1.7991,1.7991,100,5.1000,0
2011-06-20,1.6227,1.6227,1.6227,1.6227,100,4.6000,0
2011-06-30,1.4816,1.4816,1.4816,1.4816,100,4.2000,0
2011-08-08,1.2347,1.2347,1.2347,1.2347,100,3.5000,0
2011-08-09,1.1289,1.1289,1.1289,1.1288,100,3.2000,0
2011-10-14,1.0935,1.0935,1.0935,1.0936,100,3.1000,0
2012-01-30,0.8819,0.8819,0.8819,0.8819,100,2.5000,0
2012-03-12,1.2347,1.2347,1.2347,1.2347,100,3.5000,0
2012-05-30,0.9171,0.9171,0.9171,0.9172,100,2.6000,0
2012-06-29,0.9878,0.9878,0.9878,0.9877,100,2.8000,0
2012-11-30,5.0796,5.0796,5.0796,5.0797,1100,14.4000,0
2012-12-03,4.8328,4.8328,4.8328,4.8328,350,13.7000,0
2012-12-04,4.6211,4.6211,4.6211,4.6212,50,13.1000,0
2012-12-05,4.4095,4.5859,4.4095,4.4095,250,12.5000,0
2012-12-06,4.1978,4.1978,4.1978,4.1978,70030,11.9000,0
2012-12-07,4.0214,4.2331,4.0214,4.1626,127540,11.8000,0
2012-12-10,4.0920,4.2332,4.0920,4.1626,65140,11.8000,0
2012-12-11,4.2684,4.2684,4.1273,4.1273,40060,11.7000,0
2012-12-12,4.1273,4.1273,4.0920,4.1273,70880,11.7000,0
2012-12-13,4.1273,4.1626,4.0920,4.1273,41740,11.7000,0
2012-12-14,4.1273,4.2331,4.1273,4.2331,103800,12.0000,0
2012-12-17,4.2331,4.2684,4.1978,4.2331,74960,12.0000,0
2012-12-18,4.2331,4.2684,4.1978,4.1978,114650,11.9000,0
2012-12-19,4.1978,4.2331,4.1625,4.2331,87880,12.0000,0
2012-12-20,4.2331,4.4448,4.2331,4.4448,123280,12.6000,0
2012-12-21,4.5506,4.5506,4.4448,4.5153,18570,12.8000,0
2012-12-24,4.5506,4.5506,4.4095,4.4801,60550,12.7000,0
2012-12-25,4.4801,4.4801,4.4095,4.4448,48460,12.6000,0
2012-12-26,4.5154,4.5154,4.4095,4.4448,28720,12.6000,0
2012-12-27,4.5506,4.5859,4.5154,4.5859,24190,13.0000,0
2012-12-28,4.7270,4.7976,4.6212,4.7975,33890,13.6000,0
2013-01-02,4.9386,5.0092,4.7622,4.8328,82510,13.7000,0
2013-01-03,4.9386,4.9386,4.7975,4.7975,30910,13.6000,0
2013-01-04,4.7975,4.9386,4.7975,4.9386,16160,14.0000,0
2013-01-07,4.9386,5.0092,4.9386,5.0092,47100,14.2000,0
2013-01-08,5.0092,5.0092,4.9034,5.0092,34450,14.2000,0
2013-01-09,5.0092,5.0798,4.9386,4.9386,35350,14.0000,0
2013-01-10,4.9739,4.9739,4.9386,4.9386,21600,14.0000,0
