date,open,high,low,close,volume,unadjusted,putthrough
2018-12-10,12.4931,12.4931,9.5637,10.5114,1109300,12.2000,0
2018-12-11,10.7699,10.7699,10.3391,10.5114,207065,12.2000,0
2018-12-12,10.5114,10.5114,10.2529,10.4253,216630,12.1000,0
2018-12-13,10.2530,10.3391,9.9945,10.2529,298600,11.9000,0
2018-12-14,10.0806,10.0806,9.6498,9.6498,340861,11.2000,0
2018-12-17,9.6498,9.6498,8.6159,8.7021,304710,10.1000,0
2018-12-18,8.2713,8.7883,8.2713,8.7882,143590,10.2000,0
2018-12-19,8.7020,8.8744,8.6159,8.7021,105911,10.1000,17800
2018-12-20,8.7021,8.8744,8.6159,8.7021,180230,10.1000,0
2018-12-21,8.7883,8.7883,8.4436,8.6159,253600,10.0000,0
2018-12-24,7.7543,8.7882,7.3235,8.2713,248700,9.6000,0
2018-12-25,8.2713,8.3575,7.9267,8.1851,304500,9.5000,0
2018-12-26,8.3574,8.4436,8.2713,8.2713,279510,9.6000,0
2018-12-27,8.4436,8.5298,8.2713,8.4436,305650,9.8000,0
2018-12-28,8.4436,8.6159,8.3574,8.5298,467400,9.9000,0
2019-01-02,8.5298,8.6160,8.4436,8.5298,325780,9.9000,0
2019-01-03,8.5298,8.6160,8.2713,8.2713,196900,9.6000,0
2019-01-04,8.1851,8.5298,8.1851,8.4436,209200,9.8000,0
2019-01-07,8.4436,8.5298,8.3574,8.4436,234500,9.8000,0
2019-01-08,8.4436,8.5298,8.1851,8.3574,176810,9.7000,0
2019-01-09,8.3574,8.3574,8.1851,8.1851,124380,9.5000,0
2019-01-10,8.1851,8.1851,8.0128,8.1851,101000,9.5000,0
2019-01-11,8.1851,8.1851,7.8405,8.0990,271300,9.4000,0
2019-01-14,8.0990,8.0990,7.7544,7.7543,86440,9.0000,0
2019-01-15,7.8405,7.8405,7.3235,7.6682,100500,8.9000,0
2019-01-16,7.6682,7.6682,6.8928,6.9789,134640,8.1000,21400
2019-01-17,7.1512,7.1512,6.9789,6.9789,17715,8.1000,0
2019-01-18,7.6682,7.6682,6.9789,7.3235,158900,8.5000,0
2019-01-21,7.3235,7.4958,6.2896,7.2374,266110,8.4000,0
2019-01-22,7.4097,7.4959,7.3236,7.4097,183800,8.6000,0
2019-01-23,7.4097,8.0128,7.3235,7.9267,331700,9.2000,0
2019-01-24,7.9267,8.0990,7.9267,8.0990,342800,9.4000,0
2019-01-25,7.8405,8.0128,7.5820,8.0128,166960,9.3000,500000
2019-01-28,7.7543,8.0128,7.6682,7.8405,262200,9.1000,0
2019-01-29,7.8405,7.9267,7.7543,7.9267,110400,9.2000,0
2019-01-30,7.8405,7.9267,7.6682,7.9267,96601,9.2000,0
2019-01-31,7.9267,7.9267,7.7544,7.8405,49107,9.1000,0
2019-02-01,7.8405,7.9267,7.8405,7.8405,92000,9.1000,0
2019-02-11,8.8744,8.8744,7.9267,8.0990,123121,9.4000,0
2019-02-12,8.3575,8.3575,8.0128,8.0990,113742,9.4000,0
2019-02-13,8.0128,8.0990,7.7544,8.0128,161300,9.3000,0
2019-02-14,7.7543,8.0128,7.7543,7.9267,171260,9.2000,0
2019-02-15,7.8405,7.8405,7.7544,7.7543,104910,9.0000,0
2019-02-18,7.7543,7.7543,7.6681,7.7543,99725,9.0000,0
2019-02-19,7.5820,7.7543,7.5820,7.7543,63060,9.0000,0
2019-02-20,7.5820,7.7543,7.5820,7.6682,16300,8.9000,0
2019-02-21,7.4097,7.5820,6.8928,7.4097,928542,8.6000,0
2019-02-22,7.4959,7.5820,7.3235,7.5820,179970,8.8000,0
2019-02-25,7.5820,7.5820,7.4097,7.4959,109214,8.7000,0
2019-02-26,7.3236,7.4097,7.0651,7.1512,249990,8.3000,0
2019-02-27,7.1512,7.1512,6.8927,6.9789,281770,8.1000,0
2019-02-28,7.0651,7.0651,6.8066,6.8066,239800,7.9000,25000
2019-03-01,6.8066,6.8928,6.8066,6.8927,97000,8.0000,0
2019-03-04,6.8065,6.8927,6.8065,6.8927,205014,8.0000,0
2019-03-05,6.9789,7.0650,6.8927,6.8927,143511,8.0000,0
2019-03-06,6.6342,7.0650,6.6342,6.9789,121400,8.1000,0
2019-03-07,6.9789,7.0651,6.8927,7.0651,102300,8.2000,0
2019-03-08,6.8928,6.9789,6.8066,6.8927,105800,8.0000,0
2019-03-11,6.8927,6.8927,6.8065,6.8066,68311,7.9000,0
2019-03-12,6.8928,6.8928,6.8066,6.8927,137400,8.0000,0
2019-03-13,6.8927,7.1512,6.8927,7.1512,365800,8.3000,0
2019-03-14,7.1512,7.8405,7.1512,7.6682,633190,8.9000,0
2019-03-15,7.6682,7.7544,7.4959,7.5820,162290,8.8000,0
2019-03-18,7.5820,7.5820,7.4097,7.4959,297100,8.7000,0
2019-03-19,7.4959,8.1852,7.3236,8.0128,818220,9.3000,0
2019-03-20,8.0128,8.8744,8.0128,8.8744,1311265,10.3000,0
2019-03-21,9.0467,9.4775,8.5298,8.7882,902481,10.2000,0
2019-03-22,8.7882,9.1328,8.3574,8.9606,859710,10.4000,0
2019-03-25,8.6160,9.3914,8.4436,9.1329,1292868,10.6000,0
2019-03-26,9.2191,9.3052,8.7883,9.0467,651170,10.5000,0
2019-03-27,9.1329,9.9944,9.1329,9.8222,2189763,11.4000,0
2019-03-28,9.6499,9.8222,9.3914,9.4775,677596,11.0000,0
2019-03-29,9.3913,9.4775,9.3052,9.4775,432580,11.0000,0
2019-04-01,9.3052,9.7360,9.2190,9.4775,592030,11.0000,0
2019-04-02,9.3913,9.7360,9.3052,9.4775,521940,11.0000,0
2019-04-03,9.4775,9.4775,8.8744,9.0467,992060,10.5000,0
2019-04-04,9.1329,9.3052,8.9605,9.3052,511131,10.8000,0
2019-04-05,9.2190,9.9083,9.2190,9.5637,707916,11.1000,0
2019-04-08,9.6499,10.2530,9.6499,10.2529,1591014,11.9000,0
2019-04-09,10.1667,10.1667,9.1328,9.4775,1650450,11.0000,0
2019-04-10,9.4775,9.6498,9.2190,9.4775,522623,11.0000,0
2019-04-11,9.4775,9.6498,9.4775,9.6498,513120,11.2000,0
2019-04-12,9.5636,9.7360,9.4775,9.7360,404100,11.3000,0
2019-04-16,9.6498,9.6498,9.3914,9.4775,403900,11.0000,0
2019-04-17,9.4775,9.6498,9.3052,9.3914,654550,10.9000,0
2019-04-18,9.3914,9.3914,8.8744,9.1329,482726,10.6000,0
2019-04-19,9.1329,9.3914,9.0467,9.3914,408497,10.9000,0
2019-04-22,9.2191,9.3914,9.0468,9.3052,194310,10.8000,0
2019-04-23,9.2190,9.3052,9.0467,9.2190,227400,10.7000,107500
2019-04-24,9.1328,9.3052,9.1328,9.3052,82220,10.8000,0
2019-04-25,9.3052,9.8222,9.3052,9.5637,637595,11.1000,0
2019-04-26,9.6499,9.6499,9.3914,9.4775,331610,11.0000,0
2019-05-02,9.4775,9.4775,9.2190,9.3052,221890,10.8000,0
2019-05-03,9.3052,9.3914,9.2190,9.3052,175748,10.8000,0
2019-05-06,9.2190,9.2190,8.5298,8.7021,516930,10.1000,0
2019-05-07,8.6159,8.8744,8.6159,8.7021,255350,10.1000,0
2019-05-08,8.6159,8.6159,8.4436,8.5298,204898,9.9000,0
2019-05-09,8.5298,8.5298,8.4436,8.5298,113000,9.9000,0
2019-05-10,8.6160,8.7883,8.4436,8.7021,94840,10.1000,0
2019-05-13,8.7021,8.7883,8.6159,8.7882,102931,10.2000,0
2019-05-14,8.6159,8.7020,8.5297,8.5298,253070,9.9000,0
2019-05-15,8.6160,9.0468,8.6160,8.9606,1022184,10.4000,0
2019-05-16,9.0468,9.1329,8.8744,9.0467,335295,10.5000,0
2019-05-17,8.9605,9.0467,8.8744,8.8744,276700,10.3000,0
2019-05-20,8.8744,8.9606,8.6159,8.7021,318888,10.1000,0
2019-05-21,8.7883,8.7883,8.6159,8.7021,218258,10.1000,0
2019-05-22,8.7021,8.7883,8.6159,8.6159,383759,10.0000,0
2019-05-23,8.7021,8.7021,8.4436,8.5298,357810,9.9000,0
2019-05-24,8.5298,8.8744,8.5298,8.7021,177817,10.1000,0
2019-05-27,8.6159,8.7021,8.4436,8.6159,166030,10.0000,0
2019-05-28,8.5297,8.6159,8.1851,8.3574,529960,9.7000,0
2019-05-29,8.2712,8.4436,8.1851,8.3574,223270,9.7000,0
2019-05-30,8.3574,8.5297,8.2712,8.3574,95902,9.7000,0
2019-05-31,8.2712,8.4436,8.0989,8.0990,114544,9.4000,0
2019-06-03,8.0128,8.0128,7.4097,7.5820,318010,8.8000,0
2019-06-04,7.7543,7.9266,7.5820,7.7543,123100,9.0000,0
2019-06-05,7.9266,8.1851,7.7543,7.8405,680044,9.1000,445200
2019-06-06,8.0128,8.0128,7.6682,7.7543,174020,9.0000,0
2019-06-07,7.8405,7.9266,7.8405,7.9267,126110,9.2000,0
2019-06-10,7.8405,7.9267,7.8405,7.9267,258820,9.2000,0
2019-06-11,7.8405,7.8405,7.7544,7.7543,147761,9.0000,0
2019-06-12,7.8405,7.8405,7.5820,7.6682,220500,8.9000,0
2019-06-13,7.6682,7.6682,7.4097,7.4097,362620,8.6000,0
2019-06-14,7.4959,7.5820,7.3235,7.3235,123982,8.5000,0
2019-06-17,7.4097,7.6681,7.3235,7.5820,553232,8.8000,0
2019-06-18,7.4958,8.0990,7.4958,7.9267,628710,9.2000,0
2019-06-19,8.0129,8.0129,7.7544,7.9267,170482,9.2000,0
2019-06-20,7.8405,7.8405,7.6682,7.7543,302600,9.0000,0
2019-06-21,7.7543,7.7543,7.4958,7.6682,144860,8.9000,0
2019-06-24,7.6682,7.6682,7.4959,7.5820,158500,8.8000,0
2019-06-25,7.5820,7.5820,7.4958,7.4959,86829,8.7000,0
2019-06-26,7.4959,7.5821,7.4959,7.5820,291558,8.8000,0
2019-06-27,7.5820,7.5820,7.4097,7.4959,155800,8.7000,0
2019-06-28,7.4959,7.4959,7.4097,7.4097,80410,8.6000,0
2019-07-01,7.4959,7.5820,7.4097,7.5820,86810,8.8000,0
2019-07-02,7.4958,7.6682,7.4958,7.5820,119300,8.8000,0
2019-07-03,7.7543,7.7543,7.4097,7.4959,205832,8.7000,0
2019-07-04,7.4959,7.4959,7.3236,7.4959,266041,8.7000,0
2019-07-05,7.4097,7.4097,7.3236,7.4097,108700,8.6000,0
2019-07-08,7.4097,7.4097,7.3235,7.3235,108920,8.5000,0
2019-07-09,7.3235,7.4097,7.3235,7.4097,106800,8.6000,0
2019-07-10,7.4097,7.4959,7.4097,7.4959,186704,8.7000,0
2019-07-11,7.5821,7.5821,7.4959,7.4959,105622,8.7000,0
2019-07-12,7.5821,7.6682,7.4959,7.5820,274001,8.8000,0
2019-07-15,7.5820,7.6682,7.4958,7.5820,65720,8.8000,0
2019-07-16,7.4958,7.4958,7.3235,7.4097,138000,8.6000,0
2019-07-17,7.4097,7.4097,7.3235,7.4097,55100,8.6000,0
2019-07-18,7.4097,7.4097,7.3235,7.4097,172800,8.6000,0
2019-07-19,7.4959,7.4959,7.0651,7.2374,298900,8.4000,0
2019-07-22,7.2374,7.2374,6.8928,6.9789,213178,8.1000,0
2019-07-23,6.8927,6.9789,6.8066,6.9789,252500,8.1000,0
2019-07-24,7.1512,7.1512,6.8927,7.0651,425030,8.2000,0
2019-07-25,7.0651,7.4959,7.0651,7.4959,306416,8.7000,0
2019-07-26,7.4959,7.5821,7.4097,7.4097,95579,8.6000,0
2019-07-29,7.3235,7.4097,7.1512,7.2374,121800,8.4000,0
2019-07-30,7.2374,7.2374,7.0651,7.1512,171110,8.3000,0
2019-07-31,7.2374,7.2374,7.0650,7.1512,79100,8.3000,0
2019-08-01,7.1512,7.1512,7.0650,7.0651,149300,8.2000,0
2019-08-02,7.0651,7.0651,6.8928,7.0651,133700,8.2000,0
2019-08-05,6.9789,7.1513,6.8928,7.1512,208334,8.3000,0
2019-08-06,6.9789,7.2374,6.8927,7.0651,200100,8.2000,0
2019-08-07,7.0651,7.1513,6.9789,6.9789,181220,8.1000,0
2019-08-08,7.0651,7.0651,6.9789,6.9789,123630,8.1000,0
2019-08-09,6.9789,7.0651,6.9789,6.9789,56405,8.1000,0
2019-08-12,6.9789,7.0651,6.9789,7.0651,53900,8.2000,0
2019-08-13,6.9789,6.9789,6.8928,6.9789,98100,8.1000,0
2019-08-14,6.9789,7.4097,6.9789,7.1512,264450,8.3000,0
2019-08-15,7.0650,7.1512,6.9789,7.0651,107400,8.2000,0
2019-08-16,7.1513,7.1513,6.9789,6.9789,87400,8.1000,0
2019-08-19,6.8927,7.1512,6.8927,7.0651,131000,8.2000,0
2019-08-20,7.0651,7.1513,7.0651,7.0651,158750,8.2000,0
2019-08-21,6.9789,7.0651,6.9789,7.0651,135900,8.2000,0
