date,open,high,low,close,volume,unadjusted,putthrough
2014-12-08,15.0725,15.0725,15.0725,15.0725,152060,39.6000,0
2014-12-09,16.1002,16.1002,15.4151,15.4150,319600,40.5000,249300
2014-12-10,15.6053,15.7956,15.2247,15.5673,141420,40.9000,0
2014-12-11,15.2247,15.2628,14.9202,15.1105,86670,39.7000,0
2014-12-12,14.9202,15.1486,14.8821,14.9583,155260,39.3000,0
2014-12-15,14.8441,14.8441,14.5396,14.5396,88190,38.2000,0
2014-12-16,14.4254,14.4254,13.5500,13.7784,182070,36.2000,0
2014-12-17,14.4255,14.4255,13.5881,13.7022,123960,36.0000,0
2014-12-18,13.7022,14.6537,13.5880,14.4635,67820,38.0000,0
2014-12-19,14.6538,14.6538,14.0068,14.3112,33600,37.6000,0
2014-12-22,13.8925,14.3493,13.8925,14.3493,26380,37.7000,0
2014-12-23,14.3112,14.7680,14.1971,14.7680,45010,38.8000,0
2014-12-24,14.8061,15.5292,14.8061,15.2247,376320,40.0000,0
2014-12-25,15.4150,15.4150,14.7680,15.2247,33780,40.0000,0
2014-12-26,14.5396,15.3008,14.5396,15.1105,7330,39.7000,0
2014-12-29,14.8441,14.8441,14.4635,14.7299,7550,38.7000,0
2014-12-30,14.4635,15.0344,13.7022,14.7299,7550,38.7000,0
2014-12-31,14.5777,14.8060,14.5777,14.6157,22310,38.4000,0
2015-01-05,14.5776,14.9583,14.5776,14.8441,6890,39.0000,0
2015-01-06,14.8441,14.8441,14.5777,14.7680,16440,38.8000,0
2015-01-07,14.5396,14.8441,14.5396,14.6919,7360,38.6000,0
2015-01-08,14.8441,14.8441,14.5777,14.6157,23800,38.4000,0
2015-01-09,14.6157,14.8821,14.6157,14.8822,51100,39.1000,0
2015-01-12,14.8822,15.2248,14.8441,14.9202,77160,39.2000,0
2015-01-13,15.1486,15.1486,14.9202,15.0725,6220,39.6000,0
2015-01-14,15.0344,15.3389,15.0344,15.1867,145930,39.9000,0
2015-01-15,15.2248,15.3009,15.2248,15.2628,84720,40.1000,0
2015-01-16,15.3009,15.3009,15.2247,15.2628,10270,40.1000,0
2015-01-19,15.2247,15.2247,15.1867,15.1867,32820,39.9000,0
2015-01-20,15.1106,15.2628,15.0725,15.1867,33980,39.9000,0
2015-01-21,15.1486,15.2248,15.1486,15.1867,13120,39.9000,0
2015-01-22,15.1486,15.2248,15.1106,15.1105,9400,39.7000,0
2015-01-23,15.1866,15.2247,15.0344,15.1867,10870,39.9000,0
2015-01-26,15.1867,15.1867,15.1106,15.1105,9720,39.7000,0
2015-01-27,15.1105,15.1866,14.8821,14.8822,63840,39.1000,0
2015-01-28,15.0344,15.0725,14.9203,15.0725,14630,39.6000,0
2015-01-29,15.1106,15.1106,14.9203,14.9583,25390,39.3000,0
2015-01-30,14.8441,15.0725,14.8441,15.0725,3010,39.6000,0
2015-02-02,14.8441,14.9203,14.8061,14.9202,27470,39.2000,0
2015-02-03,14.8060,14.8821,14.7299,14.7299,32650,38.7000,0
2015-02-04,14.6157,14.8441,14.6157,14.7680,7910,38.8000,0
2015-02-05,14.6538,14.7680,14.6538,14.7299,22840,38.7000,0
2015-02-06,14.7299,14.7299,14.6538,14.6538,20690,38.5000,0
2015-02-09,14.8441,14.8441,14.4635,14.4635,83810,38.0000,0
2015-02-10,14.4635,14.6538,13.7403,14.6538,57240,38.5000,0
2015-02-11,14.6538,14.7680,14.0829,14.7680,54510,38.8000,0
2015-02-12,14.7680,14.7680,14.1971,14.7680,20020,38.8000,0
2015-02-13,14.5777,14.6158,14.1209,14.2351,68010,37.4000,0
2015-02-24,14.2351,14.6157,14.0829,14.5396,29620,38.2000,0
2015-02-25,14.4635,14.4635,14.1209,14.1970,24630,37.3000,0
2015-02-26,14.1970,14.4254,14.0828,14.4254,15850,37.9000,0
2015-02-27,14.4254,14.4254,14.2732,14.4254,8440,37.9000,0
2015-03-02,14.4254,14.5396,14.3112,14.4635,20390,38.0000,0
2015-03-03,14.4254,14.5396,14.3493,14.5396,10930,38.2000,0
2015-03-04,14.4635,14.4635,14.2732,14.4635,26130,38.0000,0
2015-03-05,14.4635,14.4635,14.2732,14.2732,11300,37.5000,0
2015-03-06,14.4254,14.4635,14.2732,14.4635,4800,38.0000,0
2015-03-09,14.3874,14.4635,14.2732,14.3874,18580,37.8000,0
2015-03-10,14.4255,14.4635,14.3113,14.3112,8300,37.6000,0
2015-03-11,14.3493,14.3493,14.3112,14.3112,1520,37.6000,0
2015-03-12,14.4254,14.4254,14.2351,14.3112,4840,37.6000,0
2015-03-13,14.3112,14.3873,14.3112,14.3112,3190,37.6000,0
2015-03-16,14.2731,14.3873,14.2351,14.3874,33520,37.8000,0
2015-03-17,14.3113,14.3493,14.3113,14.3112,6500,37.6000,0
2015-03-18,14.2731,14.3112,14.2351,14.3112,21830,37.6000,0
2015-03-19,14.2731,14.4634,14.2731,14.4254,1020,37.9000,0
2015-03-20,14.4254,15.1866,14.4254,14.4254,33200,37.9000,0
2015-03-23,14.6538,14.9963,14.3493,14.6157,6820,38.4000,0
2015-03-24,14.5015,14.5776,14.4635,14.5777,10650,38.3000,0
2015-03-25,14.4635,14.4635,14.3874,14.3874,26930,37.8000,0
2015-03-26,14.4635,14.6919,14.4635,14.6919,15160,38.6000,0
2015-03-27,14.5397,14.6538,14.5397,14.6157,4260,38.4000,0
2015-03-30,14.5015,14.5776,14.4254,14.4254,24810,37.9000,0
2015-03-31,14.9963,14.9963,14.4635,14.8441,40,39.0000,0
2015-04-01,14.5015,14.8441,14.3874,14.8441,25800,39.0000,0
2015-04-02,14.3874,14.4635,14.3493,14.4635,12010,38.0000,0
2015-04-03,14.4635,14.5777,14.4635,14.5396,2120,38.2000,0
2015-04-06,14.5396,14.5396,14.5396,14.5396,2010,38.2000,0
2015-04-07,14.5396,14.6157,14.4254,14.6157,30510,38.4000,0
2015-04-08,14.8441,14.9202,14.4254,14.4254,9590,37.9000,0
2015-04-09,14.5776,14.5776,14.4635,14.5015,1640,38.1000,0
2015-04-10,14.5015,14.6918,14.4254,14.6157,18760,38.4000,0
2015-04-13,14.4635,14.4635,14.4635,14.4635,20620,38.0000,0
2015-04-14,14.4635,14.6538,14.4635,14.6538,27420,38.5000,0
2015-04-15,14.6919,14.6919,14.4635,14.6538,7740,38.5000,0
2015-04-16,14.6157,14.6919,14.4635,14.6157,17300,38.4000,0
2015-04-17,14.6157,14.7679,14.4635,14.6538,7400,38.5000,0
2015-04-20,14.6538,14.6538,14.5396,14.6157,14500,38.4000,0
2015-04-21,14.6157,14.6538,14.4635,14.6538,7300,38.5000,0
2015-04-22,14.7299,14.7299,14.4635,14.6157,24150,38.4000,0
2015-04-23,14.8634,14.8634,14.3680,14.6151,9760,35.4000,0
2015-04-24,13.7068,14.5325,13.7068,14.4500,2740,35.0000,0
2015-04-27,14.0784,14.3674,14.0784,14.3674,19230,34.8000,0
2015-05-04,14.2435,14.2435,13.6655,13.6655,28340,33.1000,0
2015-05-05,13.7481,13.8306,13.6242,13.7068,5340,33.2000,0
2015-05-06,13.6242,14.0371,13.6242,13.7068,1110,33.2000,0
2015-05-07,13.6655,13.9132,13.6655,13.9133,4660,33.7000,0
2015-05-08,13.6656,13.7069,13.6656,13.7068,8020,33.2000,0
2015-05-11,13.7068,13.7894,13.7068,13.7481,9050,33.3000,0
2015-05-12,13.8307,14.0371,13.8307,13.9958,2950,33.9000,0
2015-05-13,13.9958,13.9958,13.6242,13.6243,13150,33.0000,0
2015-05-14,13.6243,13.6243,13.5830,13.5830,22320,32.9000,0
2015-05-15,13.9959,13.9959,13.6243,13.6243,360,33.0000,0
2015-05-18,13.6243,13.6243,13.4179,13.4178,2520,32.5000,0
