date,open,high,low,close,volume,unadjusted,putthrough
2011-03-03,19.7651,19.7651,19.7651,19.7651,7720,27.5000,0
2011-03-07,19.7651,19.7651,18.8307,19.2620,2110,26.8000,0
2011-03-08,18.3276,18.3276,18.3276,18.3276,30,25.5000,0
2011-03-09,17.4651,17.4651,17.4651,17.4651,10,24.3000,0
2011-03-10,16.6026,16.6026,16.6026,16.6027,10,23.1000,0
2011-03-11,15.8121,15.8121,15.8121,15.8121,120,22.0000,0
2011-03-14,15.0215,15.0215,15.0215,15.0215,10,20.9000,0
2011-03-15,14.3028,14.3028,14.3028,14.3027,130,19.9000,0
2011-03-17,13.0090,13.0090,13.0090,13.0090,10,18.1000,0
2011-03-18,12.3621,12.3621,12.3621,12.3622,180,17.2000,0
2011-03-21,11.7872,11.7872,11.7872,11.7872,610,16.4000,0
2011-03-22,11.2122,11.2122,11.2122,11.2122,10,15.6000,0
2011-03-23,11.2122,11.2122,11.2122,11.2122,6720,15.6000,0
2011-03-24,10.2060,10.7091,10.2060,10.2060,6540,14.2000,0
2011-03-25,9.7029,10.4216,9.7029,10.4216,15260,14.5000,0
2011-03-28,10.4216,10.4935,10.4216,10.4935,7840,14.6000,0
2011-03-29,9.9904,10.9966,9.9904,9.9903,2320,13.9000,0
2011-03-30,9.6309,10.4215,9.6309,10.2778,640,14.3000,0
2011-03-31,10.0622,10.5653,10.0622,10.4216,1220,14.5000,0
2011-04-01,10.4216,10.4216,9.9185,9.9185,1240,13.8000,0
2011-04-05,10.2060,10.2060,9.5591,9.5591,2180,13.3000,0
2011-04-06,9.7028,9.7028,9.1279,9.6310,860,13.4000,0
2011-04-07,9.1998,9.1998,9.1998,9.1997,1230,12.8000,0
2011-04-08,8.7685,9.1997,8.7685,8.7685,960,12.2000,0
2011-04-13,8.6248,8.6966,8.6248,8.6966,1700,12.1000,0
2011-04-14,8.4810,8.6966,8.4810,8.6966,270,12.1000,0
2011-04-15,8.9841,8.9841,8.4091,8.9841,1730,12.5000,0
2011-04-18,8.9841,9.1278,8.9841,9.1279,18,12.7000,0
2011-04-19,9.1279,9.1279,9.1279,9.1279,10,12.7000,0
2011-04-20,9.1998,9.1998,9.1998,9.1997,10,12.8000,0
2011-04-25,8.9841,9.4872,8.9841,9.4872,1320,13.2000,0
2011-04-28,9.5591,9.5591,9.4872,9.5591,580,13.3000,0
2011-04-29,9.5591,9.5591,9.5591,9.5591,100,13.3000,0
2011-05-04,9.1997,9.1997,9.1997,9.1997,20,12.8000,0
2011-05-05,9.6309,9.6309,9.3434,9.3435,110,13.0000,0
2011-05-09,8.9123,9.4872,8.9123,9.4872,20,13.2000,0
2011-05-10,9.1278,9.1278,9.0560,9.0560,2040,12.6000,0
2011-05-11,8.6248,8.6248,8.6248,8.6248,800,12.0000,0
2011-05-13,8.6248,8.6248,8.6248,8.6248,20,12.0000,0
2011-05-19,9.0560,9.0560,9.0560,9.0560,10,12.6000,0
2011-05-20,9.4872,9.4872,9.4872,9.4872,10,13.2000,0
2011-05-23,9.6309,9.6309,9.6309,9.6310,10,13.4000,0
2011-05-24,9.9904,9.9904,9.9904,9.9903,10,13.9000,0
2011-05-25,10.3497,10.3497,10.3497,10.3497,300,14.4000,125000
2011-05-26,9.9903,9.9903,9.9903,9.9903,200,13.9000,0
2011-05-27,9.5256,9.5256,9.5256,9.5255,190,12.3000,0
2011-05-30,9.6029,9.6029,9.6029,9.6030,100,12.4000,50000
2011-05-31,9.6030,9.6030,9.6030,9.6030,100,12.4000,50000
2011-06-01,9.6030,9.6030,9.2932,9.2932,210,12.0000,50000
2011-06-02,9.6804,9.7579,8.9060,9.2932,45610,12.0000,50000
2011-06-03,9.7579,9.7579,9.6804,9.6804,200,12.5000,0
2011-06-06,10.0676,10.0676,10.0676,10.0676,100,13.0000,0
2011-06-07,10.4548,10.4548,9.6029,9.6030,68310,12.4000,0
2011-06-08,9.8353,9.8353,9.5256,9.6804,66400,12.5000,0
2011-06-09,9.6804,9.6804,9.2932,9.2932,68200,12.0000,0
2011-06-10,9.5255,9.5255,8.9060,8.9060,290,11.5000,0
2011-06-13,9.2932,9.2932,8.5188,8.5187,4810,11.0000,0
2011-06-14,8.9059,8.9059,8.1315,8.6736,5600,11.2000,0
2011-06-15,8.9059,9.0608,8.2864,8.6736,1590,11.2000,0
2011-06-16,8.9059,8.9059,8.2864,8.9060,280,11.5000,0
2011-06-17,8.5188,8.5188,8.5188,8.5187,110,11.0000,0
2011-06-20,8.8285,8.8285,8.6736,8.8285,320,11.4000,0
2011-06-21,8.6736,8.9834,8.4413,8.8285,4100,11.4000,0
2011-06-22,8.9834,8.9834,8.8285,8.8285,40,11.4000,0
2011-06-23,8.8285,8.8285,8.8285,8.8285,180,11.4000,0
2011-06-24,8.8285,8.8285,8.4413,8.4413,50,10.9000,0
2011-06-27,8.7511,8.7511,8.0541,8.1315,1260,10.5000,0
2011-06-28,8.4413,8.4413,8.4413,8.4413,40,10.9000,0
2011-06-29,8.7511,8.7511,8.7511,8.7511,150,11.3000,0
2011-06-30,8.7511,8.8285,8.5188,8.5187,400,11.0000,0
2011-07-01,8.7510,8.7510,8.7510,8.7511,100,11.3000,0
2011-07-04,8.7511,8.7511,8.7511,8.7511,100,11.3000,0
2011-07-05,8.7511,8.7511,8.7511,8.7511,100,11.3000,0
2011-07-06,8.7511,8.7511,8.7511,8.7511,100,11.3000,0
2011-07-07,8.7511,8.7511,8.5188,8.7511,400,11.3000,0
2011-07-08,8.7511,8.7511,8.7511,8.7511,100,11.3000,0
2011-07-11,8.7511,8.7511,8.5188,8.7511,240,11.3000,0
2011-07-12,8.7511,8.7511,8.7511,8.7511,30,11.3000,0
2011-07-13,8.7511,8.7511,8.7511,8.7511,50,11.3000,0
2011-07-14,8.7511,8.7511,8.7511,8.7511,50,11.3000,0
2011-07-15,8.3639,8.3639,8.3639,8.3639,600,10.8000,0
2011-07-18,8.5188,8.5188,8.5188,8.5187,40,11.0000,0
2011-07-19,8.5961,8.5961,8.5187,8.5962,300,11.1000,0
2011-07-20,8.5962,8.5962,8.5962,8.5962,100,11.1000,0
2011-07-21,8.3639,8.5962,8.2090,8.3639,1700,10.8000,0
2011-07-22,8.7511,8.7511,8.0541,8.7511,1390,11.3000,0
2011-07-25,8.7511,8.7511,8.3639,8.3639,300,10.8000,0
2011-07-26,8.5188,8.5188,8.5188,8.5187,120,11.0000,0
2011-07-27,8.1315,8.1315,8.1315,8.1315,110,10.5000,0
2011-07-28,7.7443,7.7443,7.7443,7.7443,110,10.0000,0
2011-07-29,7.7443,7.8992,7.7443,7.8992,110,10.2000,0
2011-08-02,7.5894,7.5894,7.5894,7.5894,40,9.8000,0
2011-08-03,7.8217,7.8217,7.8217,7.8218,20,10.1000,0
2011-08-05,7.9767,7.9767,7.9767,7.9766,10,10.3000,0
2011-08-12,8.2089,8.2089,8.2089,8.2090,10,10.6000,0
2011-08-17,8.2864,8.2864,7.8992,8.2864,4690,10.7000,0
2011-08-18,8.4413,8.4413,7.8992,7.8992,20,10.2000,0
2011-08-19,8.2864,8.2864,8.2864,8.2864,10,10.7000,0
2011-08-22,8.1315,8.1315,8.1315,8.1315,10,10.5000,0
2011-08-23,8.1315,8.1315,7.7443,7.8992,30,10.2000,0
2011-08-24,7.5120,7.5120,7.5120,7.5120,10,9.7000,0
2011-08-26,7.8218,7.8218,7.8218,7.8218,60,10.1000,0
2011-08-29,8.1316,8.1316,8.1316,8.1315,70,10.5000,0
2011-08-30,8.5187,8.5187,8.4413,8.4413,40,10.9000,0
2011-08-31,8.5187,8.5187,8.5187,8.5187,410,11.0000,0
2011-09-01,8.5187,8.5187,8.5187,8.5187,20,11.0000,0
2011-09-05,8.5961,8.5961,8.1315,8.1315,60,10.5000,0
2011-09-06,8.3638,8.4413,7.7443,8.1315,120,10.5000,0
2011-09-07,8.1315,8.1315,7.7443,7.7443,60,10.0000,0
2011-09-08,8.1315,8.1315,8.1315,8.1315,450,10.5000,0
2011-09-09,7.7443,8.1315,7.7443,8.1315,780,10.5000,0
2011-09-12,8.4413,8.4413,8.3638,8.3639,1350,10.8000,0
2011-09-13,8.5188,8.5188,8.5188,8.5187,300,11.0000,600000
2011-09-14,8.6736,8.6736,8.1315,8.6736,2480,11.2000,0
2011-09-15,8.6736,8.6736,8.2864,8.6736,430,11.2000,0
2011-09-16,8.2864,8.6736,8.2864,8.2864,150,10.7000,0
2011-09-19,8.5187,8.5187,7.8992,7.8992,170,10.2000,0
2011-09-20,7.8992,7.8992,7.5120,7.8992,80,10.2000,0
2011-09-21,8.0541,8.0541,7.5894,8.0541,110,10.4000,0
2011-09-22,7.6669,7.6669,7.6669,7.6669,110,9.9000,0
2011-09-23,7.3571,7.9767,7.3571,7.9766,1360,10.3000,0
2011-09-27,7.5894,7.9766,7.5894,7.9766,110,10.3000,0
2011-09-28,7.8992,7.8992,7.5894,7.8992,430,10.2000,0
2011-09-29,7.8992,7.8992,7.5120,7.8992,580,10.2000,0
2011-09-30,7.5120,7.5120,7.5120,7.5120,130,9.7000,0
2011-10-04,7.2022,7.8218,7.2022,7.5120,10600,9.7000,0
2011-10-05,7.8218,7.8218,7.8218,7.8218,500,10.1000,0
2011-10-06,8.1316,8.1316,8.1316,8.1315,100,10.5000,0
2011-10-07,7.7443,8.5187,7.7443,8.5187,140,11.0000,0
2011-10-10,8.5187,8.5187,8.5187,8.5187,110,11.0000,0
2011-10-11,8.1315,8.1315,8.1315,8.1315,410,10.5000,0
2011-10-12,8.5187,8.5187,8.1315,8.4413,3530,10.9000,0
2011-10-13,8.6736,8.6736,8.1315,8.4413,2200,10.9000,0
2011-10-14,8.0541,8.4413,8.0541,8.4413,2660,10.9000,0
2011-10-17,8.4413,8.4413,8.4413,8.4413,10,10.9000,0
2011-10-18,8.4413,8.8285,8.4413,8.8285,7580,11.4000,0
2011-10-19,9.2157,9.2157,8.5187,9.2157,35080,11.9000,0
2011-10-20,9.3706,9.6029,9.1383,9.6030,21850,12.4000,0
2011-10-21,10.0677,10.0677,9.1383,9.1383,16430,11.8000,0
2011-10-24,9.4481,9.4481,9.4481,9.4481,100,12.2000,0
2011-10-25,9.4481,9.8353,8.9834,9.8353,120,12.7000,0
2011-10-26,9.8353,9.8353,9.3706,9.3706,120,12.1000,0
2011-10-27,8.9059,9.6804,8.9059,8.9060,230,11.5000,0
2011-10-28,8.9060,9.2158,8.5188,8.5187,2390,11.0000,0
2011-10-31,8.1315,8.5187,8.1315,8.1315,1170,10.5000,0
2011-11-01,8.1315,8.1315,7.7443,7.7443,50,10.0000,0
2011-11-02,7.3571,7.7443,7.3571,7.7443,50,10.0000,0
2011-11-03,7.7443,8.1315,7.3571,7.3571,100,9.5000,0
2011-11-04,7.6669,7.6669,7.0473,7.0473,2070,9.1000,0
2011-11-07,7.3571,7.3571,7.3571,7.3571,60,9.5000,0
