date,open,high,low,close,volume,unadjusted,putthrough
2007-11-01,37.8581,44.9471,37.7073,44.3438,35600,294.0000,0
2007-11-02,46.8928,46.8928,38.3860,38.3861,29500,254.5000,0
2007-11-05,36.2745,36.2745,36.0332,36.0331,2100,238.9000,0
2007-11-06,32.5489,32.5489,32.5489,32.5490,3000,215.8000,10000
2007-11-07,29.3062,32.8808,29.3062,29.5625,125000,196.0000,0
2007-11-08,30.1658,31.6741,27.1492,27.9034,48400,185.0000,0
2007-11-09,28.0542,28.3559,26.8627,27.9034,18700,185.0000,0
2007-11-12,27.1493,27.6772,25.6410,25.6410,25600,170.0000,0
2007-11-13,24.8114,24.8114,23.8612,23.8612,14400,158.2000,0
2007-11-14,21.5837,26.3800,21.5837,25.0377,81000,166.0000,0
2007-11-15,25.6410,25.6410,22.3982,22.6244,24000,150.0000,0
2007-11-16,22.6244,23.0769,22.1719,23.0769,38100,153.0000,12400
2007-11-19,22.9412,24.8114,22.9261,24.8114,23500,164.5000,0
2007-11-20,26.5459,26.5459,24.6002,25.1885,61300,167.0000,0
2007-11-21,25.4298,26.8476,23.8461,24.6606,32400,163.5000,0
2007-11-22,25.1734,25.3393,24.1327,24.2835,23700,161.0000,0
2007-11-23,24.4343,24.4343,23.9064,24.1327,10500,160.0000,0
2007-11-26,24.2835,24.6606,24.1327,24.5852,23900,163.0000,6000
2007-11-27,24.4344,25.3393,24.0120,24.2835,21300,161.0000,0
2007-11-28,24.8868,24.8868,23.9818,24.1327,28500,160.0000,0
2007-11-29,24.2835,24.2835,23.9970,24.0724,13500,159.6000,0
2007-11-30,24.1327,24.1327,23.0920,23.8612,20200,158.2000,0
2007-12-03,24.1327,24.2835,24.1025,24.2232,19900,160.6000,0
2007-12-04,25.0377,25.0377,22.9261,24.2835,19300,161.0000,0
2007-12-05,24.2081,24.2835,23.8310,24.1327,19300,160.0000,0
2007-12-06,24.1327,24.1327,23.5294,23.7556,12000,157.5000,0
2007-12-07,24.5852,24.5852,23.0769,23.5746,19200,156.3000,0
2007-12-10,23.8310,23.8310,23.0769,23.3635,32600,154.9000,0
2007-12-11,22.7753,22.9261,22.4736,22.6244,20100,150.0000,0
2007-12-12,22.6244,22.6998,22.1719,22.4736,38700,149.0000,0
2007-12-13,22.3228,22.3228,21.4178,21.4178,11400,142.0000,0
2007-12-14,21.6591,22.0211,21.6591,21.8702,20000,145.0000,0
2007-12-17,21.7948,21.7948,20.2111,20.2111,12200,134.0000,0
2007-12-18,20.2413,20.3318,19.3061,20.2865,13300,134.5000,0
2007-12-19,21.1161,21.9758,21.0406,21.9758,15200,145.7000,0
2007-12-20,21.8702,21.8702,20.2865,20.2865,5400,134.5000,0
2007-12-21,22.6243,22.6243,21.1161,21.3423,11000,141.5000,0
2007-12-24,22.4584,22.4584,20.9652,20.9653,15700,139.0000,0
2007-12-25,20.9955,20.9955,20.8446,20.9653,10700,139.0000,0
2007-12-26,22.0211,22.0211,20.9653,21.1161,5300,140.0000,0
2007-12-27,22.6093,22.6093,20.8144,21.1161,16400,140.0000,0
2007-12-28,21.1463,21.7194,21.1161,21.7194,14600,144.0000,0
2008-01-02,21.1161,21.1161,20.9653,20.9653,500,139.0000,0
2008-01-03,20.4826,21.0105,20.4826,20.6636,14000,137.0000,0
2008-01-04,21.4177,21.4177,20.3619,20.6636,3800,137.0000,0
2008-01-07,20.9653,20.9653,18.8687,19.3061,7200,128.0000,0
2008-01-08,19.1553,19.9094,19.1553,19.3061,6800,128.0000,0
2008-01-09,19.3815,19.3815,18.7028,18.7782,7000,124.5000,0
2008-01-10,18.5821,18.7028,17.3453,18.7028,17100,124.0000,0
2008-01-11,18.0995,18.5821,17.7978,17.9487,18800,119.0000,0
2008-01-14,17.5716,17.5716,16.9683,16.9683,10000,112.5000,0
2008-01-15,15.9125,16.8929,15.5203,15.5203,19000,102.9000,0
2008-01-16,17.1794,17.1794,16.3649,17.1795,26500,113.9000,0
2008-01-17,17.1946,18.7029,16.4404,17.4962,34000,116.0000,0
2008-01-18,16.1387,18.0995,16.1387,17.3454,15200,115.0000,0
2008-01-21,18.0995,19.2911,17.6621,19.1553,80500,127.0000,0
2008-01-22,20.3619,20.4826,18.5520,19.5927,82500,129.9000,0
2008-01-23,21.1161,21.2066,17.6470,19.0799,67800,126.5000,0
2008-01-24,19.9095,19.9095,18.4012,18.7028,37800,124.0000,0
2008-01-25,19.0045,19.3061,18.4011,19.0045,64800,126.0000,0
2008-01-28,19.0045,19.2307,18.4766,18.8687,24500,125.1000,0
2008-01-29,18.9290,20.3619,18.4011,19.3061,100600,128.0000,0
2008-01-30,20.3619,21.5233,20.3619,21.5233,107600,142.7000,0
2008-01-31,21.8702,22.4283,19.6078,21.5686,63600,143.0000,0
2008-02-01,21.7194,22.1719,20.3469,22.1719,51400,147.0000,0
2008-02-12,22.5490,22.6244,20.6485,21.2669,46200,141.0000,0
2008-02-13,20.8295,20.8295,20.1055,20.3620,45300,135.0000,0
2008-02-14,20.5882,21.1161,20.2263,20.4374,18600,135.5000,0
2008-02-15,20.5128,20.5128,19.8341,20.0905,43100,133.2000,0
2008-02-18,19.3062,19.6078,18.8537,19.4117,41700,128.7000,0
2008-02-19,18.8536,19.8642,18.8536,19.0799,38200,126.5000,0
2008-02-20,19.4570,19.4570,17.6772,18.2503,40900,121.0000,0
2008-02-21,16.8928,18.2503,16.8778,16.8778,28400,111.9000,0
2008-02-22,16.1538,17.7979,15.2488,17.4962,92200,116.0000,0
2008-02-25,17.1945,17.3454,16.5912,17.3454,46500,115.0000,0
2008-02-26,16.9633,18.3387,16.0464,16.8102,50500,110.0000,0
2008-02-27,16.8102,17.7271,16.0461,16.5046,48800,108.0000,0
2008-02-28,16.8102,17.2534,16.2295,16.6574,60400,109.0000,0
2008-02-29,16.5046,16.5504,16.0614,16.3518,40500,107.0000,0
2008-03-03,16.6116,16.6116,14.7472,14.9764,29200,98.0000,0
2008-03-04,14.9764,14.9764,13.8914,13.8914,13100,90.9000,0
2008-03-05,12.5771,12.9898,12.5771,12.6077,55100,82.5000,0
2008-03-06,13.8608,13.8608,13.7539,13.8608,7000,90.7000,0
2008-03-07,15.2362,15.2362,15.2362,15.2362,42400,99.7000,0
2008-03-10,16.7491,16.7491,15.6030,15.7710,82000,103.2000,0
2008-03-11,15.6640,15.6640,14.6860,14.6860,46700,96.1000,0
2008-03-12,15.3584,16.2753,14.8235,15.2973,47000,100.1000,0
2008-03-13,15.9086,16.4893,15.2515,15.8933,37600,104.0000,0
2008-03-14,15.4348,15.6641,14.9764,15.1292,47700,99.0000,0
2008-03-17,14.6707,14.6860,13.6927,13.7538,30600,90.0000,0
2008-03-18,12.8369,12.8369,12.5618,12.5618,73700,82.2000,0
2008-03-19,13.6010,13.6163,12.0728,12.2256,24100,80.0000,0
2008-03-20,12.5312,12.6076,11.4615,11.6143,35900,76.0000,0
2008-03-21,11.6143,11.6143,10.5904,10.5904,41600,69.3000,0
2008-03-24,9.7040,9.7193,9.7040,9.7041,27600,63.5000,0
2008-03-25,8.7413,8.7413,8.7413,8.7413,16300,57.2000,36550
2008-03-26,7.8702,9.0011,7.8702,8.3440,39300,54.6000,0
2008-03-27,8.5579,8.6496,8.5579,8.6496,4000,56.6000,0
2008-03-28,8.8177,8.8177,8.8177,8.8177,700,57.7000,0
2008-03-31,8.9858,8.9858,8.9858,8.9858,6200,58.8000,0
2008-04-01,9.1539,9.1539,9.1539,9.1539,300,59.9000,0
2008-04-02,9.3220,9.3220,9.3220,9.3220,100,61.0000,0
2008-04-03,9.5054,9.5054,9.5054,9.5054,200,62.2000,0
2008-04-04,9.6888,9.6888,9.6888,9.6888,100,63.4000,0
2008-04-07,9.9792,9.9792,9.9792,9.9792,1300,65.3000,0
2008-04-08,10.2696,10.2696,9.6888,10.0861,80600,66.0000,0
2008-04-09,10.2236,10.2236,9.6582,9.6582,12100,63.2000,0
2008-04-11,9.4290,9.4290,9.4290,9.4290,3000,61.7000,0
2008-04-16,9.1539,9.1539,9.1539,9.1539,100,59.9000,0
2008-04-17,8.8941,9.4137,8.8941,9.1692,47700,60.0000,0
2008-04-18,9.3220,9.3526,8.8636,8.8636,29300,58.0000,0
2008-04-21,8.6497,8.7108,8.6191,8.6191,9800,56.4000,0
2008-04-22,8.5580,8.5580,8.3899,8.3898,6700,54.9000,0
2008-04-23,8.1606,8.1606,8.1606,8.1606,100,53.4000,0
2008-04-24,7.9161,8.1606,7.9161,7.9161,18700,51.8000,0
