date,open,high,low,close,volume,unadjusted,putthrough
2006-05-18,10.6267,10.6267,10.6267,10.6267,275600,50.0000,0
2006-05-19,10.0954,10.0954,10.0954,10.0954,443520,47.5000,0
2006-05-22,9.6066,9.6066,9.6066,9.6065,64200,45.2000,0
2006-05-23,9.1389,9.1389,9.1389,9.1390,12760,43.0000,0
2006-05-24,8.6927,8.6927,8.6927,8.6927,46460,40.9000,0
2006-05-25,8.2676,8.2676,8.2676,8.2676,156690,38.9000,0
2006-05-26,7.8638,7.8638,7.8638,7.8638,40310,37.0000,0
2006-05-29,7.4812,7.4812,7.4812,7.4812,65110,35.2000,0
2006-05-30,7.1199,7.1199,7.1199,7.1199,19540,33.5000,0
2006-05-31,6.7798,6.7798,6.7798,6.7798,31850,31.9000,0
2006-06-01,6.4610,7.0986,6.4610,7.0986,359050,33.4000,0
2006-06-02,7.4387,7.4387,7.4387,7.4387,192900,35.0000,0
2006-06-05,7.8000,7.8000,7.8000,7.8000,102280,36.7000,0
2006-06-06,8.1826,8.1826,8.0763,8.0763,304920,38.0000,0
2006-06-07,7.6725,7.6725,7.6725,7.6725,240390,36.1000,0
2006-06-08,7.8638,7.9488,7.8638,7.9488,170970,37.4000,0
2006-06-09,7.9488,7.9913,7.9488,7.9913,202770,37.6000,0
2006-06-12,7.9700,7.9700,7.8425,7.8425,66580,36.9000,0
2006-06-13,7.8425,7.8425,7.8425,7.8425,100080,36.9000,0
2006-06-14,7.8425,7.8425,7.6937,7.6937,39190,36.2000,0
2006-06-15,7.6937,7.6937,7.6937,7.6937,43000,36.2000,0
2006-06-16,7.6512,7.6512,7.5662,7.6512,31200,36.0000,0
2006-06-19,7.6512,7.6512,7.5449,7.6087,34410,35.8000,0
2006-06-20,7.4387,7.4387,7.2474,7.2474,90990,34.1000,0
2006-06-21,6.9286,7.1199,6.9286,7.1199,79820,33.5000,0
2006-06-22,7.1199,7.4600,7.1199,7.4600,52500,35.1000,0
2006-06-23,7.6725,7.6725,7.4387,7.4387,111530,35.0000,0
2006-06-26,7.3324,7.3324,7.0774,7.0774,85640,33.3000,0
2006-06-27,7.0774,7.0774,6.8224,7.0136,84870,33.0000,0
2006-06-28,7.0136,7.0136,7.0136,7.0136,54880,33.0000,0
2006-06-29,7.0136,7.0136,6.9923,7.0136,64250,33.0000,0
2006-06-30,7.0136,7.2899,7.0136,7.2899,140080,34.3000,0
2006-07-03,7.2261,7.2261,7.1836,7.1837,33510,33.8000,0
2006-07-04,7.1199,7.1837,7.1199,7.1837,55160,33.8000,0
2006-07-05,7.1837,7.1837,7.1624,7.1624,12850,33.7000,0
2006-07-06,7.1199,7.2262,7.1199,7.2049,25250,33.9000,0
2006-07-07,7.2262,7.4387,7.1624,7.4387,142240,35.0000,0
2006-07-10,7.4387,7.4387,7.2687,7.2687,8040,34.2000,0
2006-07-11,7.2687,7.2687,7.2049,7.2049,25600,33.9000,0
2006-07-12,7.2262,7.2262,7.2049,7.2049,20820,33.9000,0
2006-07-13,7.1199,7.1199,7.1199,7.1199,30550,33.5000,0
2006-07-14,7.0774,7.1199,7.0774,7.0986,57520,33.4000,0
2006-07-17,7.0773,7.0773,7.0136,7.0136,25900,33.0000,0
2006-07-18,6.8436,6.9923,6.8436,6.9924,35100,32.9000,0
2006-07-19,6.9074,6.9074,6.9074,6.9074,77200,32.5000,0
2006-07-20,6.6311,7.2262,6.6311,7.2262,53130,34.0000,0
2006-07-21,6.8649,7.0137,6.8649,6.9074,12640,32.5000,0
2006-07-24,6.8011,6.8649,6.5886,6.5886,34500,31.0000,0
2006-07-25,6.3973,6.3973,6.3761,6.3760,92690,30.0000,0
2006-07-26,6.2697,6.2697,6.2485,6.2485,53680,29.4000,0
2006-07-27,6.2698,6.3760,6.2485,6.3760,63490,30.0000,0
2006-07-28,6.3760,6.3760,6.2485,6.2485,29460,29.4000,0
2006-07-31,6.1635,6.1635,6.0360,6.0360,45400,28.4000,0
2006-08-01,6.0360,6.0360,5.7810,5.7809,20950,27.2000,0
2006-08-02,5.5046,5.5684,5.5046,5.5684,68130,26.2000,0
2006-08-03,5.8022,5.8447,5.8022,5.8447,26560,27.5000,0
2006-08-04,6.1210,6.1210,6.1210,6.1210,9100,28.8000,0
2006-08-07,6.4185,6.4185,6.4185,6.4185,82970,30.2000,0
2006-08-08,6.4185,6.5885,6.4185,6.5886,64420,31.0000,0
2006-08-09,6.7186,6.7186,6.7186,6.7184,75020,31.0000,0
2006-08-10,6.7184,6.7617,6.7184,6.7617,36950,31.2000,0
2006-08-11,6.8050,6.9351,6.8050,6.9351,100500,32.0000,0
2006-08-14,7.2819,7.2819,7.2819,7.2818,89240,33.6000,0
2006-08-15,7.5202,7.5202,7.2818,7.2818,149780,33.6000,0
2006-08-16,7.3685,7.5635,7.3685,7.5636,148440,34.9000,0
2006-08-17,7.7370,7.7370,7.6286,7.6286,211380,35.2000,0
2006-08-18,7.6286,7.6286,7.5853,7.5852,178480,35.0000,0
2006-08-21,7.5852,7.5852,7.4768,7.4769,71040,34.5000,0
