date,open,high,low,close,volume,unadjusted,putthrough
2006-11-16,0.0000,8.2201,0.0000,8.2201,4470,60.0000,0
2006-11-17,8.2201,8.4941,8.2201,8.4941,28570,62.0000,0
2006-11-20,8.4941,8.4941,8.1516,8.3571,13710,61.0000,0
2006-11-21,8.3571,8.3571,8.2886,8.2886,2370,60.5000,0
2006-11-22,8.0146,8.0146,7.9461,7.9461,600,58.0000,0
2006-11-23,7.7406,7.7406,7.6036,7.6036,4320,55.5000,0
2006-11-24,7.6036,7.6036,7.2611,7.2611,8090,53.0000,0
2006-11-27,6.9186,6.9186,6.9186,6.9186,4110,50.5000,0
2006-11-28,6.5761,6.5761,6.5761,6.5761,5100,48.0000,0
2006-11-29,6.2473,6.5761,6.2473,6.5761,25030,48.0000,0
2006-11-30,6.8501,6.8501,6.8501,6.8501,6610,50.0000,0
2006-12-01,7.1926,7.1926,7.1926,7.1926,6100,52.5000,0
2006-12-04,7.5351,7.5351,7.5351,7.5351,12020,55.0000,0
2006-12-05,7.6721,7.6721,7.5351,7.5351,8810,55.0000,0
2006-12-06,7.5351,7.5351,7.2611,7.2611,9050,53.0000,0
2006-12-07,7.2611,7.5351,6.9186,7.5351,2110,55.0000,0
2006-12-11,7.5351,7.5351,7.2611,7.2611,950,53.0000,0
2006-12-12,7.1241,7.1241,6.9186,6.9186,4840,50.5000,0
2006-12-13,6.9186,6.9186,6.8501,6.9186,4240,50.5000,0
2006-12-14,6.9186,6.9186,6.9186,6.9186,6750,50.5000,0
2006-12-15,6.7816,7.2611,6.7816,7.2611,2690,53.0000,0
2006-12-18,7.2611,7.5351,7.2611,7.5351,6620,55.0000,0
2006-12-19,7.3981,7.3981,7.3981,7.3981,5500,54.0000,0
2006-12-20,7.0556,7.0556,7.0556,7.0556,1800,51.5000,0
2006-12-21,7.0556,7.3981,7.0556,7.0556,3410,51.5000,0
2006-12-22,7.0556,6.8501,6.7131,6.8501,2290,50.0000,0
2006-12-25,6.8501,6.8501,6.5761,6.5761,6050,48.0000,0
2006-12-26,6.5761,6.5761,6.5761,6.5761,5160,48.0000,0
2006-12-27,6.8852,6.8852,6.8852,6.8849,250,49.0000,0
2006-12-28,6.9552,6.9552,6.8849,6.9552,3460,49.5000,0
2006-12-29,6.9552,6.9552,6.6180,6.6179,6080,47.1000,0
2007-01-02,6.9411,6.9411,6.9411,6.9411,1460,49.4000,0
2007-01-03,7.2362,7.2362,7.2362,7.2362,3980,51.5000,0
2007-01-04,7.3767,7.3767,7.3065,7.3064,10670,52.0000,0
2007-01-05,7.0254,7.0254,7.0254,7.0254,650,50.0000,0
2007-01-08,7.0254,7.0254,7.0254,7.0254,1200,50.0000,0
2007-01-09,7.0254,7.0254,6.7444,6.7444,1970,48.0000,0
2007-01-10,0.0000,7.0254,6.8849,7.0254,2620,50.0000,0
2007-01-11,0.0000,7.0254,6.8849,6.8849,1400,49.0000,0
2007-01-12,6.8849,6.8849,6.8849,6.8849,1180,49.0000,0
2007-01-15,0.0000,7.0114,6.8990,7.0114,2200,49.9000,0
2007-01-16,6.6742,6.6742,6.6742,6.6742,3800,47.5000,0
2007-01-17,0.0000,6.9552,6.8147,6.8147,3140,48.5000,0
2007-01-18,6.8147,6.8147,6.8147,6.8147,3900,48.5000,0
2007-01-19,6.8147,7.0255,6.8147,7.0254,8130,50.0000,0
2007-01-22,0.0000,7.0957,7.0254,7.0957,4000,50.5000,0
2007-01-23,7.0254,7.0957,7.0254,7.0957,4000,50.5000,0
2007-01-25,6.7444,6.7444,6.7444,6.7444,550,48.0000,0
2007-01-26,0.0000,6.7444,6.4072,6.6039,2430,47.0000,0
2007-01-29,6.9271,6.9271,6.9271,6.9271,13490,49.3000,0
2007-01-30,7.0957,7.0957,7.0957,7.0957,10300,50.5000,0
2007-01-31,7.1660,7.1660,7.1660,7.1659,4460,51.0000,0
2007-02-01,7.1659,7.1659,7.1659,7.1659,2750,51.0000,0
2007-02-02,7.1659,7.1659,7.1659,7.1659,2730,51.0000,0
2007-02-05,7.1659,7.1659,7.1659,7.1659,7200,51.0000,0
2007-02-06,7.1659,7.1659,6.8146,7.1659,8370,51.0000,0
2007-02-07,7.1659,7.1659,7.1659,7.1659,2310,51.0000,0
2007-02-08,6.9551,6.9551,6.9551,6.9552,1290,49.5000,0
2007-02-09,6.9552,6.9552,6.8849,6.9552,2620,49.5000,0
2007-02-12,6.9552,7.0957,6.9552,7.0957,1890,50.5000,0
2007-02-13,7.1660,7.3767,7.1660,7.1659,21750,51.0000,0
2007-02-14,7.5172,7.5172,7.4469,7.5172,28620,53.5000,0
2007-02-15,7.8685,7.8685,7.8685,7.8685,30810,56.0000,0
2007-02-26,8.2198,8.2198,8.2198,8.2197,6450,58.5000,0
2007-02-27,8.5710,8.5710,8.5710,8.5710,21260,61.0000,0
2007-02-28,8.9925,8.9925,8.9925,8.9925,24970,64.0000,0
2007-03-01,9.4140,9.4140,9.4140,9.4141,46720,67.0000,0
2007-03-02,9.8356,9.8356,9.5546,9.5546,85510,68.0000,0
2007-03-05,9.5546,9.5546,9.5546,9.5546,26870,68.0000,0
2007-03-06,9.1331,9.1331,9.1331,9.1330,24860,65.0000,0
2007-03-07,8.7115,8.9925,8.7115,8.8520,28010,63.0000,0
2007-03-08,8.7115,9.2033,8.7115,9.2033,34500,65.5000,0
