date,open,high,low,close,volume,unadjusted,putthrough
2016-06-07,7.4309,7.4309,7.0722,7.0722,5100,13.8000,0
2016-06-08,6.4572,6.7135,6.4572,6.6622,1400,13.0000,0
2016-06-09,6.0472,6.4060,6.0472,6.4060,600,12.5000,0
2016-06-10,5.8423,7.0210,5.8423,6.7647,6700,13.2000,0
2016-06-13,6.7647,7.1747,6.2010,7.1747,14100,14.0000,0
2016-06-14,7.1747,7.1747,7.1747,7.1747,2000,14.0000,0
2016-06-15,6.5085,6.9697,6.5085,6.9697,2100,13.6000,0
2016-06-16,7.1747,7.1747,7.1747,7.1747,12000,14.0000,0
2016-06-17,6.5085,7.6872,6.5085,6.9697,5400,13.6000,0
2016-06-20,7.5847,7.5847,7.2259,7.2772,10200,14.2000,0
2016-06-21,6.6110,7.7897,6.6110,7.3285,13400,14.3000,0
2016-06-22,7.4310,7.4310,7.4310,7.4310,4000,14.5000,0
2016-06-24,6.7648,6.7648,6.7648,6.7647,100,13.2000,0
2016-06-27,6.1497,7.4309,6.1497,7.4310,1100,14.5000,0
2016-06-28,6.7648,8.1485,6.7648,8.1484,5300,15.9000,0
2016-06-30,7.4309,7.4822,7.4309,7.4822,40000,14.6000,0
2016-07-01,7.5847,7.6359,7.5847,7.6360,11800,14.9000,0
2016-07-05,6.9698,7.6360,6.9698,7.6360,22000,14.9000,0
2016-07-06,7.5848,7.5848,6.9698,7.5847,1200,14.8000,0
2016-07-07,7.5335,7.6872,7.5335,7.6872,18100,15.0000,0
2016-07-08,6.9697,8.1997,6.9697,7.8922,3800,15.4000,0
2016-07-11,7.1747,7.6872,7.1747,7.6872,2600,15.0000,0
2016-07-12,7.0722,7.4310,7.0722,7.4310,5700,14.5000,0
2016-07-13,6.7648,7.9435,6.7648,7.6872,3200,15.0000,0
2016-07-14,7.6872,7.6872,7.6872,7.6872,10500,15.0000,0
2016-07-18,7.6872,7.6872,7.6872,7.6872,400,15.0000,0
2016-07-19,7.5335,7.6872,7.5335,7.6872,9100,15.0000,0
2016-07-21,7.9434,7.9434,7.9434,7.9434,3800,15.5000,0
2016-07-22,7.6872,7.6872,7.6872,7.6872,2500,15.0000,0
2016-07-26,6.9697,8.1997,6.9697,8.1997,2800,16.0000,0
2016-07-27,7.4310,8.1997,7.4310,8.1997,600,16.0000,0
2016-07-28,7.4310,8.1997,7.4310,7.9434,400,15.5000,0
2016-08-01,7.6872,7.6872,7.6872,7.6872,100,15.0000,0
2016-08-02,7.2260,7.4310,7.2260,7.4310,5100,14.5000,0
2016-08-03,7.1235,7.2260,7.1235,7.1747,4100,14.0000,0
2016-08-09,6.9697,7.8922,6.9697,7.1747,1600,14.0000,0
2016-08-11,6.7135,7.8922,6.7135,7.2260,600,14.1000,0
2016-08-15,7.2260,7.2260,7.2260,7.2260,400,14.1000,0
2016-08-16,7.6872,7.6872,7.6872,7.6872,200,15.0000,0
2016-08-17,7.4310,7.6872,7.4310,7.6872,4000,15.0000,0
2016-08-18,6.9697,7.6872,6.9697,7.6872,28100,15.0000,0
2016-08-19,7.0722,7.6872,7.0722,7.6872,3000,15.0000,0
