date,open,high,low,close,volume,unadjusted,putthrough
2010-01-22,22.9072,22.9072,18.6530,22.9072,117370,35.0000,0
2010-01-25,21.7946,21.7946,21.7946,21.7946,5280,33.3000,0
2010-01-26,20.7474,20.7474,20.7474,20.7474,32860,31.7000,0
2010-01-27,19.7657,19.7657,19.7657,19.7657,7740,30.2000,0
2010-01-28,18.7840,18.7840,18.7840,18.7839,2490,28.7000,0
2010-01-29,17.8676,17.8676,17.8676,17.8676,30530,27.3000,0
2010-02-01,17.6713,18.3257,17.6713,17.8676,112910,27.3000,0
2010-02-02,17.6713,17.8022,17.1477,17.1477,46370,26.2000,0
2010-02-03,17.2131,17.9985,17.1477,17.9985,40270,27.5000,0
2010-02-04,18.6530,18.6530,18.0639,18.0640,24700,27.6000,0
2010-02-05,17.4095,17.6713,17.2786,17.2786,26520,26.4000,0
2010-02-08,17.2786,17.3440,17.0168,17.0168,30380,26.0000,0
2010-02-09,17.0168,17.0168,16.4278,16.4277,24180,25.1000,0
2010-02-10,16.5586,17.0167,16.4931,17.0168,19310,26.0000,0
2010-02-11,17.0168,17.2786,16.8859,17.2786,7710,26.4000,0
2010-02-12,17.6058,17.6058,17.0168,17.0168,5570,26.0000,0
2010-02-22,17.6713,17.6713,17.1477,17.6058,950,26.9000,0
2010-02-23,16.9940,18.0816,16.9260,17.6736,7420,26.0000,0
2010-02-24,17.6736,18.0815,17.0618,18.0815,21160,26.6000,0
2010-02-25,17.4017,18.0815,17.3338,17.3338,5840,25.5000,0
2010-02-26,17.3338,17.6737,16.5181,16.6540,24740,24.5000,0
2010-03-01,16.6540,17.1298,16.6540,16.7220,11060,24.6000,0
2010-03-02,16.9939,16.9939,16.4501,16.9939,25780,25.0000,0
2010-03-03,16.9939,16.9939,16.6540,16.9939,18140,25.0000,0
2010-03-04,17.2658,17.2658,16.3141,16.9939,13450,25.0000,0
2010-03-05,16.9259,16.9259,16.5181,16.7220,36370,24.6000,0
2010-03-08,16.7220,16.8580,16.6540,16.7900,66150,24.7000,0
2010-03-09,16.8580,17.2658,16.6540,16.8579,49710,24.8000,0
2010-03-10,16.8579,16.8579,16.1781,16.7220,43890,24.6000,0
2010-03-11,16.5181,16.7220,16.3821,16.3821,32100,24.1000,0
2010-03-12,16.7900,16.7900,16.3141,16.4501,25050,24.2000,0
2010-03-15,16.4501,16.9259,16.4501,16.4501,30480,24.2000,0
2010-03-16,16.3821,16.4501,15.9743,16.2461,39430,23.9000,0
2010-03-17,16.2461,16.2461,15.8382,15.8383,45610,23.3000,0
2010-03-18,15.8383,16.5860,15.8383,16.5860,93120,24.4000,0
2010-03-19,16.5860,16.6540,16.4500,16.4501,94770,24.2000,0
2010-03-22,16.3141,16.4501,15.9743,15.9742,28960,23.5000,0
2010-03-23,15.6343,15.9742,15.3624,15.3625,45050,22.6000,0
2010-03-24,15.3625,15.6344,14.9546,14.9546,80470,22.0000,55110
2010-03-25,14.9546,15.0906,14.8866,14.9546,67070,22.0000,0
2010-03-26,14.9546,15.0226,14.8186,14.9546,41230,22.0000,0
2010-03-29,14.9546,15.1585,14.9546,14.9546,56500,22.0000,0
2010-03-30,14.6827,14.9546,14.2748,14.2749,48430,21.0000,0
2010-03-31,14.2749,14.9547,14.2749,14.9546,88480,22.0000,0
2010-04-01,15.2945,15.7023,15.2265,15.7023,157200,23.1000,0
2010-04-02,16.4500,16.4500,16.4500,16.4501,74940,24.2000,0
2010-04-05,17.2658,17.2658,17.2658,17.2658,191930,25.4000,0
2010-04-06,18.0815,18.0815,17.6737,17.6736,343680,26.0000,0
2010-04-07,17.6736,18.4213,17.4017,18.0135,152330,26.5000,0
2010-04-08,17.8775,18.2174,17.8096,18.2174,144790,26.8000,0
2010-04-09,18.4213,19.0331,18.1494,19.0331,254550,28.0000,0
2010-04-12,19.0331,19.7129,18.8971,19.7129,182780,29.0000,0
2010-04-13,19.7129,20.6646,19.7129,20.6646,220630,30.4000,0
2010-04-14,21.4123,21.6842,21.0725,21.6842,251400,31.9000,0
2010-04-15,22.4319,22.7038,22.0921,22.7038,307030,33.4000,0
2010-04-16,23.4515,23.4515,21.6162,21.6162,191940,31.8000,0
2010-04-19,21.4802,22.0920,20.5966,20.7325,177990,30.5000,0
2010-04-20,20.7325,21.7521,20.7325,21.7522,269350,32.0000,0
2010-04-21,22.4320,22.4320,21.0724,21.7522,75680,32.0000,0
2010-04-22,21.4123,21.6842,20.8005,21.0724,179680,31.0000,0
2010-04-26,21.0724,21.4123,20.9364,20.9365,138830,30.8000,0
2010-04-27,20.7326,21.0725,20.3927,20.3927,83610,30.0000,0
2010-04-28,20.3927,21.3444,19.4410,19.7129,128180,29.0000,0
2010-04-29,19.7129,20.3927,19.6449,19.7129,144790,29.0000,0
2010-05-04,19.7129,20.3247,19.5769,19.6449,84680,28.9000,0
2010-05-05,19.0331,19.6449,19.0331,19.0331,101450,28.0000,0
2010-05-06,18.8292,19.9848,18.8292,19.9848,301310,29.4000,0
2010-05-07,20.9365,20.9365,19.1691,19.1691,335050,28.2000,0
2010-05-10,19.0331,20.1208,18.7612,19.9848,58130,29.4000,136480
2010-05-11,20.3927,20.3927,19.4410,19.4410,38580,28.6000,0
2010-05-12,19.0331,19.0331,18.4893,18.4893,167440,27.2000,0
2010-05-13,17.9455,19.0331,17.6736,18.5573,293650,27.3000,54330
2010-05-14,19.0331,19.4410,18.5573,19.0331,249050,28.0000,0
2010-05-17,19.0331,19.0331,18.0814,18.0815,62760,26.6000,0
2010-05-18,17.6736,18.0815,17.5377,17.5377,58310,25.8000,110800
2010-05-19,17.5377,17.5377,16.7220,16.7220,78260,24.6000,0
2010-05-20,15.9743,16.6540,15.9063,16.3141,131870,24.0000,138140
2010-05-21,15.4984,16.1102,15.4984,15.4984,226200,22.8000,0
2010-05-24,15.4984,16.2461,15.4984,16.2461,51720,23.9000,0
2010-05-25,16.9938,16.9938,16.6540,16.9939,64290,25.0000,0
2010-05-26,17.8096,17.8096,17.6737,17.8096,48770,26.2000,0
2010-05-27,17.3338,17.6736,17.0619,17.4697,12470,25.7000,0
2010-05-28,18.2854,18.2854,17.8096,18.0135,45170,26.5000,0
2010-05-31,17.2455,18.1531,17.2455,18.1526,34260,26.0000,0
2010-06-01,18.1526,18.3621,18.0130,18.1526,28930,26.0000,0
2010-06-02,18.2922,18.2922,17.8733,17.9431,34520,25.7000,0
2010-06-03,17.5242,18.0129,17.5242,17.8733,68100,25.6000,0
2010-06-04,17.1053,17.8733,17.1053,17.1053,79820,24.5000,0
2010-06-07,16.7562,17.1053,16.4769,16.4770,66660,23.6000,0
2010-06-08,17.1054,17.2450,16.7563,16.7562,91920,24.0000,0
2010-06-09,17.5940,17.5940,17.3846,17.3846,15340,24.9000,0
2010-06-10,17.2450,17.3846,17.1053,17.1053,12030,24.5000,0
2010-06-11,17.4544,17.5940,17.4544,17.4544,24050,25.0000,0
2010-06-14,17.4544,18.0129,17.4544,17.8035,41560,25.5000,0
2010-06-15,17.2450,17.8035,17.2450,17.8035,17800,25.5000,0
2010-06-16,18.1526,18.1526,17.7337,17.8733,34240,25.6000,0
2010-06-17,17.8035,18.0129,17.4544,17.9431,6630,25.7000,0
2010-06-18,18.0827,18.0827,17.5940,17.9431,30800,25.7000,0
2010-06-21,18.1526,18.1526,17.4544,17.5242,4280,25.1000,0
2010-06-22,17.5242,17.5242,17.1751,17.3148,14320,24.8000,0
2010-06-23,17.3846,17.9432,17.3148,17.4544,6900,25.0000,0
2010-06-24,17.1751,17.8035,17.1751,17.1751,17430,24.6000,0
2010-06-25,16.8260,17.3846,16.8260,16.9657,42800,24.3000,0
2010-06-28,17.4544,17.4544,17.1053,17.3846,2100,24.9000,0
2010-06-29,16.8959,18.0130,16.8959,18.0130,30400,25.8000,0
2010-06-30,17.4545,17.4545,17.1752,17.4544,19160,25.0000,0
2010-07-01,17.3846,17.8035,17.1053,17.8035,43400,25.5000,0
2010-07-02,17.8035,17.8733,17.1053,17.7337,19550,25.4000,0
2010-07-05,17.9432,17.9432,17.1752,17.8035,21260,25.5000,0
2010-07-06,17.3148,17.8035,16.9657,17.4544,57730,25.0000,0
2010-07-07,17.1053,17.8035,17.1053,17.5242,70360,25.1000,0
2010-07-08,17.4544,17.7337,17.4544,17.7337,40500,25.4000,0
