date,open,high,low,close,volume,unadjusted,putthrough
2010-11-09,9.6304,9.9514,9.5020,9.6304,97540,15.0000,0
2010-11-10,10.0798,10.0798,9.1810,9.2452,45950,14.4000,0
2010-11-11,9.6946,9.6946,8.7958,8.8599,43310,13.8000,0
2010-11-12,8.9883,9.2451,8.9883,9.2452,12200,14.4000,0
2010-11-15,9.6946,9.6946,8.7958,8.7957,26330,13.7000,0
2010-11-16,8.9883,9.1809,8.9883,9.1809,14900,14.3000,0
2010-11-17,9.6303,9.6303,9.1809,9.1809,7310,14.3000,0
2010-11-18,9.3735,9.6303,9.3735,9.6304,7790,15.0000,0
2010-11-19,9.4378,9.4378,9.2452,9.4378,11300,14.7000,0
2010-11-22,9.1810,9.1810,9.1810,9.1809,3000,14.3000,0
2010-11-23,9.5019,9.5661,9.3735,9.4378,21130,14.7000,0
2010-11-24,9.4378,9.5662,9.3736,9.5662,28800,14.9000,0
2010-11-25,9.4378,9.4378,9.1810,9.1809,10070,14.3000,0
2010-11-26,9.5019,9.5019,9.3093,9.4378,26260,14.7000,0
2010-11-29,9.2452,9.6304,9.2452,9.6304,6530,15.0000,0
2010-11-30,9.7588,9.7588,9.4378,9.6304,1200,15.0000,0
2010-12-01,9.4378,9.5662,9.3736,9.5662,9590,14.9000,0
2010-12-02,9.5662,9.9514,9.5020,9.9514,46320,15.5000,0
2010-12-03,10.0798,10.4008,9.6304,10.4008,27500,16.2000,0
2010-12-06,10.9144,10.9144,9.8872,10.0798,18230,15.7000,0
2010-12-07,9.7588,10.0798,9.6304,9.6304,50940,15.0000,0
2010-12-08,9.4378,9.6304,9.3094,9.3094,3500,14.5000,0
2010-12-09,9.7588,9.7588,9.7588,9.7588,530,15.2000,0
2010-12-10,10.1440,10.1440,9.7588,9.9514,1690,15.5000,0
2010-12-13,10.3366,10.3366,9.5020,9.5020,6870,14.8000,0
2010-12-14,9.3736,9.7588,9.3094,9.7588,7450,15.2000,0
2010-12-15,9.7588,9.8872,9.7588,9.8872,22160,15.4000,0
2010-12-16,9.8230,9.9514,9.6304,9.6304,21000,15.0000,0
2010-12-17,9.5020,9.9514,9.5020,9.9514,2670,15.5000,0
2010-12-20,10.2082,10.2082,9.6304,9.6304,520,15.0000,0
2010-12-21,9.6304,9.6304,9.6304,9.6304,1020,15.0000,0
2010-12-22,9.6304,10.0156,9.6304,9.6304,8670,15.0000,0
2010-12-24,10.0156,10.0156,10.0156,10.0156,18580,15.6000,0
2010-12-27,10.1440,10.4008,10.1440,10.3366,7500,16.1000,0
2010-12-29,9.8230,10.2724,9.8230,10.2724,610,16.0000,0
2010-12-30,9.7588,10.2724,9.7588,10.2724,4100,16.0000,0
2010-12-31,9.9514,9.9514,9.7588,9.7588,1700,15.2000,0
2011-01-04,9.3736,9.9514,9.3736,9.4378,5780,14.7000,0
2011-01-05,9.4378,9.7588,9.3094,9.7588,7950,15.2000,0
2011-01-06,9.3736,9.8872,9.3736,9.8872,2770,15.4000,0
2011-01-07,9.4378,9.7588,9.4378,9.7588,2200,15.2000,0
2011-01-10,9.8230,9.8230,9.3094,9.3094,2550,14.5000,0
2011-01-11,9.5662,9.5662,9.5662,9.5662,100,14.9000,0
2011-01-12,9.6304,9.6304,9.6304,9.6304,2100,15.0000,0
2011-01-13,9.3736,9.5662,9.3736,9.5662,1630,14.9000,0
2011-01-14,9.4378,9.4378,9.4378,9.4378,2800,14.7000,0
2011-01-17,9.4378,9.5662,9.4378,9.5662,8500,14.9000,100000
2011-01-18,9.4378,9.5662,9.1810,9.5662,10850,14.9000,20000
2011-01-19,9.1810,9.1810,9.1810,9.1809,10,14.3000,0
2011-01-20,8.8599,9.6303,8.8599,9.4378,9030,14.7000,0
2011-01-21,9.1810,9.3094,9.0526,9.3094,2510,14.5000,0
2011-01-24,9.1168,9.5020,8.8600,9.5020,7680,14.8000,0
2011-01-25,9.5020,9.5020,9.5020,9.5020,900,14.8000,0
2011-01-26,9.5020,9.5020,9.1810,9.3094,2100,14.5000,0
2011-01-27,9.1168,9.1168,9.1168,9.1167,1020,14.2000,0
2011-01-28,8.9883,9.3093,8.9883,9.3094,5040,14.5000,0
2011-02-08,9.5020,9.5020,9.5020,9.5020,20,14.8000,0
