date,open,high,low,close,volume,unadjusted,putthrough
2018-09-05,23.8641,23.8641,22.1240,23.3669,697470,47.0000,0
2018-09-06,22.4223,23.3669,22.4223,23.3669,332460,47.0000,0
2018-09-07,23.3669,23.6155,23.1183,23.4663,276640,47.2000,0
2018-09-10,22.9194,23.4663,22.8697,23.1183,127280,46.5000,0
2018-09-11,22.9691,23.2675,22.7703,23.2675,252160,46.8000,20000
2018-09-12,23.2675,23.2675,22.8200,22.8697,28030,46.0000,0
2018-09-13,22.7703,22.7703,21.3782,21.9748,136940,44.2000,0
2018-09-14,21.9499,21.9748,21.1296,21.2291,494030,42.7000,0
2018-09-17,21.3285,21.3783,20.4585,20.9308,155060,42.1000,0
2018-09-18,20.9308,21.5274,20.6325,21.5274,236840,43.3000,0
2018-09-19,21.4280,22.6709,21.4280,22.5714,369050,45.4000,0
2018-09-20,22.5714,23.0189,22.5714,22.6709,74690,45.6000,0
2018-09-21,22.4223,22.4720,22.2234,22.4720,120710,45.2000,0
2018-09-24,21.6268,22.3726,21.3285,21.4528,168300,43.1500,0
2018-09-25,22.3228,22.3228,21.3782,21.4528,41650,43.1500,0
2018-09-26,21.4528,21.8257,21.3782,21.4279,27170,43.1000,0
2018-09-27,21.2539,21.3782,20.8810,20.9308,112200,42.1000,0
2018-09-28,21.3783,21.3783,21.0302,21.3782,18270,43.0000,50000
2018-10-01,21.3782,21.6019,21.1296,21.3782,59710,43.0000,0
2018-10-02,21.1793,21.3782,20.8810,21.1296,93500,42.5000,0
2018-10-03,21.0302,21.1296,20.8810,21.0799,110520,42.4000,0
2018-10-04,21.1296,21.1296,20.8810,20.8811,98740,42.0000,0
2018-10-05,20.8811,21.1297,20.7817,21.1296,138020,42.5000,0
2018-10-08,21.2290,21.2290,20.9307,21.1296,138950,42.5000,0
2018-10-09,21.0302,21.3782,21.0302,21.3285,228760,42.9000,0
2018-10-10,21.2788,21.4279,21.2788,21.3782,188300,43.0000,0
2018-10-11,21.1793,21.3285,20.8810,21.1545,297170,42.5500,0
2018-10-12,21.0302,21.3285,21.0302,21.2788,179930,42.8000,0
2018-10-15,21.2291,21.4280,21.0799,21.4279,286890,43.1000,0
2018-10-16,21.3285,21.4776,21.2787,21.4777,277350,43.2000,0
2018-10-17,21.4777,21.6269,21.3285,21.4279,258900,43.1000,0
2018-10-18,21.3285,21.4279,21.2787,21.4279,179440,43.1000,0
2018-10-19,21.3782,21.5771,21.3285,21.4279,231390,43.1000,0
2018-10-22,21.4279,21.4776,21.3285,21.3285,171130,42.9000,0
2018-10-23,21.3285,21.3285,21.1793,21.2788,163030,42.8000,0
2018-10-24,21.2788,21.2788,21.1296,21.1794,125540,42.6000,0
2018-10-25,20.9805,21.0800,20.8314,20.9308,82440,42.1000,0
2018-10-26,20.9308,21.1297,20.8811,21.0302,111330,42.3000,0
2018-10-29,21.0302,21.1296,20.7816,20.8811,90900,42.0000,0
2018-10-30,20.8811,20.8811,20.4834,20.4833,125980,41.2000,0
2018-10-31,20.4833,20.8810,20.4833,20.6822,137470,41.6000,0
2018-11-01,20.5828,20.8811,20.5828,20.7816,151580,41.8000,0
2018-11-02,20.6822,20.9805,20.6822,20.9805,212830,42.2000,0
2018-11-05,20.8811,21.0302,20.7816,20.7816,117540,41.8000,0
2018-11-06,20.7816,20.8810,20.6822,20.7319,85080,41.7000,0
2018-11-07,20.6822,20.8313,20.5827,20.7319,109090,41.7000,0
