date,open,high,low,close,volume,unadjusted,putthrough
2015-03-18,14.6982,14.6982,12.2485,12.9834,391350,21.2000,0
2015-03-19,13.4733,13.4733,12.3710,13.1672,100950,21.5000,0
2015-03-20,13.2284,13.4734,12.8610,12.8609,31280,21.0000,0
2015-03-23,12.6159,12.8609,12.0035,12.0035,178850,19.6000,0
2015-03-24,12.0035,12.0647,11.8810,11.9423,16140,19.5000,0
2015-03-25,11.8811,12.1260,11.8811,12.1260,3800,19.8000,0
2015-03-26,11.8810,12.0648,11.8810,12.0035,14030,19.6000,0
2015-03-27,12.0647,12.0647,11.9423,12.0035,6790,19.6000,0
2015-03-30,11.8810,11.9423,11.5748,11.5748,21650,18.9000,0
2015-03-31,11.5748,11.7585,11.5748,11.7586,8420,19.2000,0
2015-04-01,11.6361,11.6361,11.5749,11.6361,6700,19.0000,0
2015-04-02,11.7586,12.1873,11.7586,12.1873,3020,19.9000,0
2015-04-03,11.5749,11.8811,11.5749,11.8811,150,19.4000,0
2015-04-06,11.6361,11.6361,11.4524,11.6361,3530,19.0000,0
2015-04-07,11.8811,11.8811,11.1462,11.2074,6070,18.3000,0
2015-04-08,11.2074,11.2074,10.8399,11.1461,27220,18.2000,0
2015-04-09,11.1461,11.5136,11.0236,11.5136,11000,18.8000,0
2015-04-10,11.6973,11.6973,11.5136,11.6361,1030,19.0000,0
2015-04-13,11.5136,11.5136,11.3299,11.3299,3500,18.5000,0
2015-04-14,11.2687,11.9423,11.0849,11.9423,115140,19.5000,0
2015-04-15,11.9423,11.9423,11.6361,11.6361,2600,19.0000,0
2015-04-16,11.6361,11.8811,11.5749,11.8811,35560,19.4000,0
2015-04-17,12.1873,12.1873,11.6974,12.0648,170,19.7000,0
2015-04-20,12.0648,12.0648,11.6361,11.6361,12860,19.0000,0
2015-04-21,11.6973,11.6973,11.6361,11.6361,10830,19.0000,0
2015-04-22,11.6361,11.8811,11.6361,11.8811,110,19.4000,0
2015-04-23,11.8811,12.3710,11.6361,11.6361,10110,19.0000,0
2015-04-24,11.7586,11.8198,11.6973,11.8198,6840,19.3000,0
2015-04-27,12.1260,12.2485,11.8810,12.2485,3280,20.0000,0
2015-05-04,11.9423,12.0648,11.6361,12.0648,7970,19.7000,0
2015-05-05,11.4524,11.9423,11.3299,11.9423,22510,19.5000,0
2015-05-06,11.8811,11.8811,11.8811,11.8811,100,19.4000,0
2015-05-07,12.1873,12.1873,11.9423,11.9423,90,19.5000,0
2015-05-08,11.9423,12.4935,11.8198,11.8198,11930,19.3000,0
2015-05-11,11.8810,11.8810,11.8810,11.8811,100,19.4000,0
2015-05-12,11.7586,12.1261,11.7586,12.0648,11330,19.7000,0
2015-05-13,11.9423,11.9423,11.9423,11.9423,210,19.5000,0
2015-05-14,11.9423,11.9423,11.9423,11.9423,6050,19.5000,0
2015-05-15,11.7586,11.9423,11.4524,11.8811,2270,19.4000,0
2015-05-18,12.0648,12.0648,11.8199,11.9423,32200,19.5000,0
2015-05-19,11.9423,12.0035,11.6361,12.0035,7530,19.6000,0
2015-05-20,12.0035,12.2485,12.0035,12.2485,13140,20.0000,0
2015-05-21,12.2485,12.2485,11.9423,12.2485,6600,20.0000,0
2015-05-22,12.3097,12.3710,12.3097,12.3098,56540,20.1000,0
2015-05-25,12.3098,12.6160,12.2486,12.3098,30540,20.1000,0
2015-05-26,12.0648,12.0648,11.5136,11.5136,11610,18.8000,0
2015-05-27,11.5748,11.6973,11.5748,11.6973,14820,19.1000,0
2015-05-28,11.6973,11.7585,11.6361,11.7586,16430,19.2000,0
2015-05-29,11.6974,11.6974,11.6974,11.6973,14240,19.1000,106800
2015-06-01,11.5136,11.6973,11.5136,11.6361,19850,19.0000,0
2015-06-02,11.4524,11.4524,11.4524,11.4524,250,18.7000,0
2015-06-03,11.4524,11.5136,11.3299,11.4524,14240,18.7000,0
2015-06-04,11.6361,11.6361,11.5749,11.6361,12240,19.0000,0
2015-06-05,11.5749,11.6361,11.5136,11.6361,8770,19.0000,0
2015-06-08,11.6361,11.6361,11.4524,11.6361,13750,19.0000,0
2015-06-09,11.6361,12.0036,11.6361,11.7586,37100,19.2000,0
2015-06-10,11.7586,11.8198,11.6974,11.6973,5920,19.1000,0
2015-06-11,11.6973,11.6973,11.5748,11.6361,21140,19.0000,0
2015-06-12,11.7586,11.7586,11.5136,11.5748,10850,18.9000,0
2015-06-15,11.6360,11.9423,11.6360,11.8811,99870,19.4000,0
2015-06-16,11.6974,11.9423,11.6361,11.8811,26940,19.4000,0
2015-06-17,11.9423,12.6773,11.9423,12.6772,141280,20.7000,0
2015-06-18,13.5346,13.5346,13.5346,13.5346,135100,22.1000,0
2015-06-19,14.0858,14.4532,13.9633,14.4532,443180,23.6000,0
2015-06-22,14.6369,14.6369,13.9020,13.9021,90270,22.7000,0
2015-06-23,13.9021,14.5145,13.7796,14.4532,92630,23.6000,0
2015-06-24,14.1470,14.6369,14.1470,14.2083,72170,23.2000,0
2015-06-25,14.3920,14.3920,13.7796,13.9021,119340,22.7000,0
2015-06-26,13.9021,14.2083,13.9021,14.1470,46320,23.1000,0
2015-06-29,14.1470,14.2695,14.0245,14.0858,70480,23.0000,0
2015-06-30,13.8408,14.6982,13.8408,14.3308,95680,23.4000,0
2015-07-01,14.2083,14.2696,13.9633,14.0858,35000,23.0000,0
2015-07-02,14.0858,14.1470,14.0858,14.0858,61410,23.0000,0
2015-07-03,14.0858,14.3920,14.0246,14.0858,69420,23.0000,0
2015-07-06,14.2083,14.3308,13.7183,13.7183,66740,22.4000,0
2015-07-07,14.0858,14.2082,13.7795,13.9021,37050,22.7000,0
2015-07-08,14.2083,14.2083,13.6571,13.9021,70400,22.7000,0
2015-07-09,13.7796,13.9021,13.7796,13.9021,2420,22.7000,0
2015-07-10,13.8409,14.0246,13.8409,13.9021,12320,22.7000,0
2015-07-13,13.7184,13.9021,13.7184,13.7796,5770,22.5000,0
2015-07-14,13.7796,13.9021,13.7796,13.9021,47630,22.7000,0
