date,open,high,low,close,volume,unadjusted,putthrough
2009-07-16,15.4683,17.4019,15.4683,15.5070,2401900,40.1000,0
2009-07-17,14.9269,15.0816,14.7336,14.7336,1002480,38.1000,0
2009-07-20,13.9989,13.9989,13.9989,13.9989,156560,36.2000,0
2009-07-21,13.3028,13.7282,13.3028,13.4961,2133390,34.9000,0
2009-07-22,13.7281,13.8828,13.5348,13.6895,949090,35.4000,0
2009-07-23,13.6122,14.3469,13.6122,14.3469,758310,37.1000,150000
2009-07-24,15.0430,15.0430,15.0430,15.0430,640060,38.9000,0
2009-07-27,15.7777,15.7777,15.2750,15.7777,3264870,40.8000,40000
2009-07-28,15.7777,16.1644,15.3523,15.3910,2008120,39.8000,0
2009-07-29,15.4683,15.6617,14.9269,14.9270,1060730,38.6000,0
2009-07-30,14.6176,14.8883,14.3083,14.6563,830120,37.9000,0
2009-07-31,14.8883,15.3524,14.8497,15.3523,1807290,39.7000,0
2009-08-03,15.4683,15.7777,15.2750,15.4683,1203870,40.0000,0
2009-08-04,15.8550,15.8550,15.4683,15.5844,1428170,40.3000,240000
2009-08-05,15.4297,15.5844,15.3137,15.4683,1130020,40.0000,0
2009-08-06,15.4683,15.5843,15.2749,15.2750,1483460,39.5000,20000
2009-08-07,15.2750,15.3910,15.1590,15.2363,668260,39.4000,0
2009-08-10,15.3523,15.4683,15.2750,15.4297,730910,39.9000,0
2009-08-11,15.3524,15.4297,15.1977,15.2363,557710,39.4000,0
2009-08-12,15.3910,15.4297,15.1590,15.1590,1001200,39.2000,0
2009-08-13,15.3910,15.3910,15.1590,15.2363,1161040,39.4000,0
2009-08-14,15.2750,15.4297,15.2363,15.3523,878140,39.7000,0
2009-08-17,15.4683,15.5457,15.2750,15.2750,1534900,39.5000,0
2009-08-18,15.0816,15.2750,15.0430,15.1203,778860,39.1000,0
2009-08-19,15.1203,15.2363,15.0816,15.1203,713790,39.1000,0
2009-08-20,15.0816,15.1203,15.0043,15.0043,867530,38.8000,0
2009-08-21,15.2750,15.4684,15.0816,15.1203,1127700,39.1000,0
2009-08-24,15.0816,15.1976,15.0816,15.1203,684140,39.1000,0
2009-08-25,15.0816,15.0816,14.9656,15.0043,715430,38.8000,0
2009-08-26,14.9270,15.0043,14.9270,14.9270,635150,38.6000,0
2009-08-27,14.8883,14.9270,14.8110,14.8496,609730,38.4000,0
2009-08-28,14.8883,14.9269,14.8496,14.9270,928800,38.6000,0
2009-08-31,15.1977,15.2364,14.8883,15.0430,763090,38.9000,0
2009-09-01,14.9270,15.0043,14.8883,14.9656,628060,38.7000,0
2009-09-03,14.7722,15.0043,14.7722,14.8109,659050,38.3000,0
2009-09-04,14.7722,14.9269,14.5015,14.5016,683440,37.5000,0
2009-09-07,13.9989,14.3856,13.9215,14.2309,737000,36.8000,0
2009-09-08,14.3082,14.5016,14.3082,14.5016,477720,37.5000,50000
2009-09-09,14.6176,14.6176,14.4243,14.4242,324240,37.3000,0
2009-09-10,14.3082,14.3855,14.1922,14.2309,373890,36.8000,0
2009-09-11,14.2309,14.3082,14.1536,14.1535,570170,36.6000,0
2009-09-14,14.1535,14.1922,14.0762,14.0762,598780,36.4000,0
2009-09-15,13.9989,14.3082,13.9989,14.1149,776350,36.5000,0
2009-09-16,14.6950,14.8110,14.5403,14.8109,1260580,38.3000,0
2009-09-17,15.0816,15.0816,14.6175,14.6949,1075010,38.0000,0
2009-09-18,14.3082,14.6949,14.3082,14.6949,876100,38.0000,40000
2009-09-21,14.6949,14.6949,14.6176,14.6563,852040,37.9000,0
2009-09-22,14.5016,14.5790,14.3083,14.4629,702320,37.4000,0
2009-09-23,14.6949,14.6949,14.4629,14.4629,885880,37.4000,0
2009-09-24,14.3469,14.4242,14.3082,14.3082,444170,37.0000,0
2009-09-25,14.2309,14.6949,14.2309,14.5789,608020,37.7000,0
2009-09-28,14.6949,14.6949,14.4242,14.4242,469480,37.3000,0
2009-09-29,14.3469,14.4242,14.2695,14.3082,484260,37.0000,0
2009-09-30,14.1922,14.3082,14.1922,14.2309,449040,36.8000,0
2009-10-01,14.1536,14.3082,14.0762,14.0762,434790,36.4000,0
2009-10-02,13.7668,13.9215,13.6508,13.7282,592860,35.5000,0
2009-10-05,13.7282,13.9216,13.6509,13.6895,364210,35.4000,0
2009-10-06,13.7282,13.8442,13.6508,13.6508,309510,35.3000,0
2009-10-07,13.6508,13.8442,13.6508,13.6895,245860,35.4000,0
2009-10-08,13.7282,13.7282,13.6508,13.6895,333010,35.4000,0
2009-10-09,13.7282,13.7668,13.6895,13.7282,488560,35.5000,0
2009-10-12,13.7669,13.8442,13.7282,13.8442,448330,35.8000,0
2009-10-13,13.8442,13.8829,13.7669,13.7668,336930,35.6000,0
2009-10-14,13.7281,14.3855,13.6895,14.3856,929480,37.2000,0
2009-10-15,14.8110,14.8497,14.3083,14.5016,1060150,37.5000,0
2009-10-16,14.1536,14.3856,14.1536,14.1922,347270,36.7000,0
2009-10-19,14.2309,14.2309,14.1149,14.1922,454800,36.7000,0
2009-10-20,14.2309,14.2309,14.1149,14.1922,433970,36.7000,0
2009-10-21,13.9988,14.0762,13.9602,13.9989,384800,36.2000,0
2009-10-22,13.9989,14.1536,13.9989,14.1535,448640,36.6000,0
2009-10-23,14.3082,14.8496,14.1922,14.3082,2529720,37.0000,0
2009-10-26,14.3082,14.4629,14.1148,14.1149,322910,36.5000,0
2009-10-27,13.9215,14.1149,13.7669,13.8442,470240,35.8000,0
2009-10-28,13.9215,14.1149,13.7669,13.8055,428140,35.7000,37230
2009-10-29,13.5348,13.6895,13.3801,13.4188,815460,34.7000,0
2009-10-30,13.6508,13.6508,13.3415,13.4575,523470,34.8000,0
2009-11-02,12.9161,13.3028,12.8001,12.8387,641990,33.2000,0
2009-11-03,12.7614,12.8387,12.2200,12.2200,606340,31.6000,0
2009-11-04,12.0266,12.7614,12.0266,12.3360,466720,31.9000,0
2009-11-05,12.5680,12.9161,12.5294,12.9161,261170,33.4000,0
2009-11-06,12.9548,13.0708,12.7614,12.7614,296090,33.0000,0
2009-11-09,12.4907,12.6841,12.1813,12.1813,291820,31.5000,0
2009-11-10,12.1813,12.2200,11.7946,11.7946,242450,30.5000,0
2009-11-11,11.7946,11.9880,11.7946,11.9880,255010,31.0000,0
2009-11-12,11.9880,12.3747,11.9880,12.2973,221650,31.8000,0
2009-11-13,12.2973,12.3746,12.2586,12.3360,244650,31.9000,0
2009-11-16,12.3360,12.3360,12.1426,12.1427,121650,31.4000,0
2009-11-17,12.1427,12.1427,11.9107,11.9106,151170,30.8000,0
2009-11-18,11.9106,11.9879,11.8719,11.9106,187600,30.8000,0
2009-11-19,11.8333,11.9493,11.8333,11.8720,234250,30.7000,0
2009-11-20,11.8720,11.9493,11.7947,11.7946,129660,30.5000,0
2009-11-23,11.6399,11.6786,11.3692,11.3692,201440,29.4000,0
2009-11-24,11.2145,11.3305,10.8278,10.8278,260020,28.0000,0
2009-11-25,10.4411,10.5184,10.2864,10.2864,239410,26.6000,0
2009-11-26,9.8224,10.0544,9.7837,9.7837,505360,25.3000,0
2009-11-27,9.3970,10.2477,9.3970,10.2478,257220,26.5000,0
2009-11-30,10.7119,10.7505,10.6345,10.7505,367620,27.8000,0
