date,open,high,low,close,volume,unadjusted,putthrough
2010-03-19,13.6764,13.6764,13.6764,13.6764,66100,26.4000,0
2010-03-22,14.3499,14.3499,14.2981,14.3498,487370,27.7000,0
2010-03-23,14.5052,14.6088,13.6763,13.6764,349160,26.4000,0
2010-03-24,13.1066,13.6246,13.1066,13.2101,78590,25.5000,0
2010-03-25,12.6403,12.9511,12.6403,12.6403,40060,24.4000,0
2010-03-26,13.0547,13.0547,12.5367,12.5367,14800,24.2000,0
2010-03-29,12.4331,12.6921,11.9150,11.9150,96800,23.0000,0
2010-03-30,11.8632,12.4848,11.8632,12.4849,97630,24.1000,0
2010-03-31,13.1066,13.1066,13.1066,13.1065,31140,25.3000,0
2010-04-01,13.7282,13.7282,13.2101,13.7282,359730,26.5000,0
2010-04-02,13.7282,13.9354,13.2102,13.2101,97110,25.5000,0
2010-04-05,13.2101,13.2101,12.6921,12.8993,83270,24.9000,0
2010-04-06,13.4691,13.4691,12.6921,12.6921,63980,24.5000,0
2010-04-07,12.6921,13.3138,12.6921,13.3137,150190,25.7000,0
2010-04-08,13.5727,13.5727,13.2619,13.2619,51720,25.6000,0
2010-04-09,13.2619,13.5209,13.2101,13.4692,105310,26.0000,0
2010-04-12,13.8836,13.8836,13.5210,13.5728,128010,26.2000,0
2010-04-13,13.5728,13.5728,13.3656,13.3655,102620,25.8000,0
2010-04-14,13.3655,13.4173,12.9511,13.4173,60890,25.9000,0
2010-04-15,13.4691,13.6245,13.3655,13.6246,78710,26.3000,0
2010-04-16,13.4692,13.6764,13.4174,13.5210,217630,26.1000,0
2010-04-19,13.0548,13.5728,13.0548,13.3655,67600,25.8000,0
2010-04-20,13.9353,13.9353,13.4173,13.6246,249290,26.3000,0
2010-04-21,13.9872,14.2981,13.9354,14.2980,509740,27.6000,0
2010-04-22,14.9715,14.9715,14.9715,14.9715,110440,28.9000,0
2010-04-26,15.6968,15.6968,15.2823,15.6967,515370,30.3000,0
2010-04-27,15.5413,15.5413,14.9714,15.1787,106350,29.3000,0
2010-04-28,14.5570,15.2823,14.5570,15.2823,284810,29.5000,0
2010-04-29,15.5413,16.0076,15.1269,16.0076,291750,30.9000,0
2010-05-04,16.7847,16.7847,16.1630,16.7846,183080,32.4000,0
2010-05-05,16.3184,17.6135,16.3184,17.6135,263860,34.0000,0
2010-05-06,18.4942,18.4942,17.6653,18.4942,422880,35.7000,0
2010-05-07,17.7689,18.1316,17.6135,18.1316,345100,35.0000,0
2010-05-10,18.1316,18.1316,17.2509,17.2509,161870,33.3000,0
2010-05-11,17.2509,17.2509,16.4220,16.4220,100440,31.7000,0
2010-05-12,15.6449,15.6449,15.6449,15.6449,23420,30.2000,0
2010-05-13,14.8678,15.0232,14.8678,14.8679,451300,28.7000,20000
2010-05-14,15.0233,15.0751,14.1426,15.0751,257130,29.1000,0
2010-05-17,15.5413,15.5413,14.4016,14.4534,100980,27.9000,0
2010-05-18,13.9872,14.6606,13.9872,14.4016,46730,27.8000,100000
2010-05-19,13.9872,14.5052,13.7281,13.7282,139390,26.5000,0
2010-05-20,13.0547,14.0908,13.0547,14.0908,136190,27.2000,0
2010-05-21,13.4173,13.4691,13.4173,13.4173,146910,25.9000,25000
2010-05-24,13.2619,13.8835,13.0547,13.2619,34550,25.6000,0
2010-05-25,13.7281,13.8836,13.2101,13.5728,46790,26.2000,0
2010-05-26,13.8836,14.2463,13.6246,14.2462,138640,27.5000,0
2010-05-27,14.2462,14.4534,14.0390,14.2462,86580,27.5000,0
2010-05-28,14.9197,14.9197,14.3498,14.9197,125670,28.8000,25000
2010-05-31,14.9197,15.0233,14.5053,14.6607,106740,28.3000,0
2010-06-01,14.6607,14.8679,14.4017,14.5052,76510,28.0000,0
2010-06-02,14.5052,14.5052,13.8835,14.5052,45410,28.0000,90000
2010-06-03,14.7642,15.2305,14.5052,15.0233,132990,29.0000,0
2010-06-04,15.0233,15.0751,14.7643,15.0233,39420,29.0000,30000
2010-06-07,14.2980,14.8161,14.2980,14.2980,140160,27.6000,90000
2010-06-08,13.9872,14.7124,13.9872,14.0908,28600,27.2000,90000
2010-06-09,14.5052,14.5052,14.1426,14.1426,54420,27.3000,45000
2010-06-10,14.1426,14.5052,14.1426,14.4016,34720,27.8000,50000
2010-06-11,14.7642,14.7642,14.4534,14.5052,41460,28.0000,95000
2010-06-14,14.6088,14.6088,14.4534,14.4534,23290,27.9000,0
2010-06-15,14.7124,14.7124,14.4016,14.4534,66080,27.9000,50000
2010-06-16,15.1269,15.1269,15.1269,15.1269,130750,29.2000,245000
2010-06-17,15.8522,15.8522,15.8522,15.8522,75330,30.6000,151300
2010-06-18,16.6293,16.6293,16.0594,16.6292,646810,32.1000,20000
2010-06-21,17.4581,17.4581,17.4581,17.4581,126770,33.7000,0
2010-06-22,18.2870,18.2870,18.2870,18.2870,382690,35.3000,0
2010-06-23,18.2870,19.1677,17.5617,19.1676,413330,37.0000,0
2010-06-24,19.1676,19.6856,18.7532,19.5821,242290,37.8000,0
2010-06-25,18.7532,19.5821,18.6496,18.6496,171600,36.0000,0
2010-06-28,18.0798,19.4267,18.0798,19.4267,357740,37.5000,0
2010-06-29,19.1677,20.2038,19.1677,19.4267,177030,37.5000,30000
2010-06-30,18.5460,19.4785,18.4942,19.4785,281670,37.6000,93800
2010-07-01,19.4785,20.4110,19.4267,20.2555,345910,39.1000,20000
2010-07-02,20.2555,21.2398,20.1001,21.2398,234480,41.0000,20000
2010-07-05,21.2398,22.2759,21.2398,22.2759,215710,43.0000,0
2010-07-06,22.7939,22.7939,21.2916,21.2916,396580,41.1000,0
2010-07-07,21.2916,22.3277,20.4627,22.3277,539310,43.1000,0
2010-07-08,23.2084,23.2084,21.7579,21.7579,424760,42.0000,0
2010-07-09,21.7579,22.8458,21.0326,22.8458,384540,44.1000,0
2010-07-12,23.2602,23.9855,23.0012,23.9855,134810,46.3000,0
2010-07-13,23.9855,25.1252,23.9855,25.1252,289830,48.5000,0
2010-07-14,24.3481,25.9023,23.8819,24.0891,743300,46.5000,0
2010-07-15,24.0891,25.2806,24.0891,25.2806,354430,48.8000,0
2010-07-16,26.4203,26.4203,26.4203,26.4203,227260,51.0000,0
2010-07-19,25.3842,27.1974,25.3842,25.3842,176190,49.0000,20000
2010-07-20,24.3481,25.3842,24.1927,24.6589,311820,47.6000,0
