date,open,high,low,close,volume,unadjusted,putthrough
2011-02-25,21.0296,21.0296,20.7203,20.7203,300,67.0000,0
2011-02-28,20.7203,20.7203,19.4833,19.4833,2000,63.0000,6500
2011-03-01,19.3287,19.3287,18.7102,18.7101,1700,60.5000,8800
2011-03-03,17.8133,17.8133,17.8133,17.8133,100,57.6000,0
2011-03-04,16.5763,16.5763,16.5763,16.5763,1000,53.6000,0
2011-03-07,15.4320,15.4320,15.4320,15.4320,100,49.9000,0
2011-03-08,14.3805,14.3805,14.3805,14.3805,100,46.5000,0
2011-03-09,13.3909,13.3909,13.3909,13.3909,100,43.3000,6000
2011-03-10,12.4631,14.1950,12.4631,14.1950,7900,45.9000,10000
2011-03-11,13.7620,13.7930,12.0611,12.0611,13800,39.0000,0
2011-03-14,13.8857,13.8857,12.1230,13.2981,11000,43.0000,0
2011-03-15,12.9579,12.9579,12.9579,12.9579,200,41.9000,0
2011-03-16,13.7929,13.7929,13.6073,13.6074,1900,44.0000,0
2011-03-17,12.8033,13.5765,12.8033,13.5764,2600,43.9000,0
2011-03-18,13.7310,13.7310,13.7310,13.7311,900,44.4000,0
2011-03-21,14.5042,14.5042,14.3805,14.3805,6100,46.5000,0
2011-03-22,14.3805,14.3805,14.3805,14.3805,100,46.5000,0
2011-03-23,13.3909,13.8238,13.3909,13.8239,5100,44.7000,0
2011-03-24,12.8961,13.8548,12.8652,13.8548,1300,44.8000,0
2011-03-25,12.0611,12.8033,12.0611,12.0611,5500,39.0000,0
2011-03-28,13.1126,13.1126,11.5972,11.5972,300,37.5000,0
2011-03-29,12.7415,12.7415,11.7518,11.7518,2300,38.0000,0
2011-03-30,12.0611,12.6486,12.0611,12.6487,500,40.9000,0
2011-03-31,12.9580,12.9580,12.3394,12.3394,7200,39.9000,0
2011-04-01,12.3394,12.3394,12.3394,12.3394,300,39.9000,0
2011-04-04,12.3394,12.3394,11.6281,12.1848,4300,39.4000,0
2011-04-05,12.5250,13.1126,11.4426,11.4426,4500,37.0000,0
2011-04-06,12.9580,12.9580,12.6487,12.6487,2000,40.9000,0
2011-04-08,12.7414,12.7414,11.9992,11.9992,7000,38.8000,0
2011-04-13,12.3085,12.3085,11.5662,11.5663,6100,37.4000,0
