date,open,high,low,close,volume,unadjusted,putthrough
2009-08-14,7.1998,7.1998,7.1998,7.1998,320950,48.0000,0
2009-08-17,7.3498,7.3498,6.9148,6.9149,86630,46.1000,120000
2009-08-18,6.6149,7.2599,6.5999,6.9749,49070,46.5000,0
2009-08-19,7.1849,7.1849,6.8999,7.0498,30300,47.0000,0
2009-08-20,6.8998,6.9598,6.8248,6.8849,148730,45.9000,0
2009-08-21,6.8999,7.1249,6.8999,7.1248,241130,47.5000,0
2009-08-24,7.1998,7.1998,7.1248,7.1698,91680,47.8000,20000
2009-08-25,7.1698,7.1698,7.0498,7.1698,34270,47.8000,0
2009-08-26,7.1848,7.1998,7.1248,7.1248,82880,47.5000,0
2009-08-27,7.0348,7.1248,6.9748,7.0498,91230,47.0000,0
2009-08-28,7.0498,7.3948,7.0498,7.3948,474080,49.3000,0
2009-08-31,7.7248,7.7248,7.7248,7.7248,156800,51.5000,0
2009-09-01,8.0998,8.0998,7.8748,8.0998,347200,54.0000,0
2009-09-03,7.9498,8.3998,7.8748,8.3998,248700,56.0000,0
2009-09-04,8.3998,8.3998,8.0248,8.0248,112340,53.5000,0
2009-09-07,7.8748,7.9498,7.6498,7.7248,252680,51.5000,0
2009-09-08,7.9498,7.9498,7.7248,7.7998,90870,52.0000,0
2009-09-09,7.7998,7.7998,7.4398,7.4998,63070,50.0000,0
2009-09-10,7.4998,7.7998,7.4098,7.4998,80250,50.0000,0
2009-09-11,7.7248,7.8748,7.4998,7.8748,303550,52.5000,0
2009-09-14,7.8748,8.2498,7.8748,7.9498,169370,53.0000,0
2009-09-15,7.8748,7.9498,7.6498,7.9498,173330,53.0000,0
2009-09-16,7.8748,7.8748,7.6498,7.6498,106760,51.0000,0
2009-09-17,7.7998,7.7998,7.3798,7.4998,190050,50.0000,0
2009-09-18,7.4998,7.7248,7.4698,7.6498,330750,51.0000,0
2009-09-21,7.8748,8.0248,7.7248,8.0248,195890,53.5000,0
2009-09-22,8.0998,8.3998,7.9498,8.3998,525410,56.0000,0
2009-09-23,8.3998,8.4748,8.0248,8.0248,254430,53.5000,0
2009-09-24,7.8748,7.9498,7.7248,7.7998,108880,52.0000,0
2009-09-25,7.9498,8.0998,7.7998,7.9498,267940,53.0000,0
2009-09-28,8.3248,8.3248,8.3248,8.3248,104250,55.5000,0
2009-09-29,8.6998,8.6998,8.3248,8.3998,550090,56.0000,0
2009-09-30,8.3998,8.6248,8.1748,8.3998,506590,56.0000,0
2009-10-01,8.3248,8.3998,8.0998,8.0998,351110,54.0000,0
2009-10-02,7.7998,8.0248,7.7248,7.7998,282930,52.0000,0
2009-10-05,7.8748,8.1748,7.7998,7.9498,255330,53.0000,0
2009-10-06,8.1748,8.3248,8.0248,8.3248,269080,55.5000,0
2009-10-07,8.6998,8.6998,8.6248,8.6998,409020,58.0000,0
2009-10-08,9.0748,9.0748,9.0748,9.0748,107060,60.5000,0
2009-10-09,9.5248,9.5248,9.5248,9.5248,130950,63.5000,0
2009-10-12,9.9748,9.9748,9.9748,9.9748,32530,66.5000,0
2009-10-13,10.4248,10.4248,10.4248,10.4248,91570,69.5000,164020
2009-10-14,10.8748,10.8748,10.7248,10.8748,820890,72.5000,24170
2009-10-15,11.3998,11.3998,11.0998,11.3998,645870,76.0000,0
2009-10-16,11.2498,11.3998,10.8748,10.8748,271610,72.5000,0
2009-10-19,10.4998,10.8748,10.3498,10.3498,355450,69.0000,0
2009-10-20,10.4248,10.7998,10.1998,10.7998,388710,72.0000,0
2009-10-21,10.9498,11.0998,10.4998,10.4998,234410,70.0000,0
2009-10-22,10.1998,10.5748,10.1998,10.4998,185870,70.0000,30000
2009-10-23,10.4248,10.4998,10.0498,10.0498,240350,67.0000,0
2009-10-26,9.7498,10.1998,9.5998,9.5998,209860,64.0000,0
2009-10-27,9.3748,9.4498,9.1498,9.2998,182630,62.0000,0
2009-10-28,9.7498,9.7498,9.5248,9.7498,170490,65.0000,0
2009-10-29,9.4498,9.7498,9.2998,9.7498,277330,65.0000,0
2009-10-30,10.1998,10.1998,10.0498,10.1998,229460,68.0000,0
2009-11-02,9.8248,9.8248,9.7498,9.7498,242710,65.0000,0
2009-11-03,9.8998,9.8998,9.2998,9.3748,278920,62.5000,0
2009-11-04,9.7498,9.8248,9.3748,9.5248,188020,63.5000,0
2009-11-05,9.6748,9.9748,9.5248,9.8998,148670,66.0000,0
2009-11-06,9.9748,9.9748,9.4498,9.4498,185950,63.0000,0
2009-11-09,9.2248,9.4498,8.9998,8.9998,137230,60.0000,0
2009-11-10,8.9998,9.2248,8.5498,8.6248,152380,57.5000,0
2009-11-11,8.6248,8.9998,8.6248,8.9998,76080,60.0000,0
2009-11-12,9.3748,9.4498,9.2998,9.4498,127080,63.0000,0
2009-11-13,9.3748,9.8998,9.2998,9.8998,274490,66.0000,0
2009-11-16,9.7498,9.8998,9.6748,9.6748,83640,64.5000,23000
2009-11-17,9.6748,9.6748,9.4498,9.5248,126090,63.5000,0
2009-11-18,9.5248,9.9748,9.4498,9.9748,178200,66.5000,0
2009-11-19,10.1248,10.4248,9.8998,10.1248,275670,67.5000,0
2009-11-20,9.8998,10.1248,9.7498,9.8248,131270,65.5000,0
2009-11-23,9.8248,9.8248,9.3748,9.4498,134660,63.0000,0
2009-11-24,9.4498,9.5248,9.2998,9.3748,76530,62.5000,0
2009-11-25,9.2248,9.2998,8.9248,8.9248,207270,59.5000,0
2009-11-26,8.5498,8.6248,8.5498,8.5498,74010,57.0000,0
2009-11-27,8.1748,8.9248,8.1748,8.6248,116410,57.5000,0
2009-11-30,8.6248,8.9248,8.2498,8.6998,54650,58.0000,0
2009-12-01,8.8498,8.8498,8.5498,8.5498,85650,57.0000,0
2009-12-02,8.2498,8.4748,8.1748,8.1748,139330,54.5000,0
2009-12-03,8.0248,8.2498,7.7998,8.1748,68150,54.5000,0
2009-12-04,8.0998,8.3248,7.9498,8.1748,30940,54.5000,0
2009-12-07,8.1748,8.3248,8.1748,8.3248,30180,55.5000,0
2009-12-08,8.3248,8.3248,7.9498,8.0248,97470,53.5000,0
2009-12-09,7.7998,7.7998,7.6498,7.6498,124490,51.0000,0
2009-12-10,7.6498,7.7248,7.3498,7.4998,63270,50.0000,0
2009-12-11,7.4998,7.4998,7.1248,7.1248,37060,47.5000,0
