date,open,high,low,close,volume,unadjusted,putthrough
2014-10-10,3.2717,3.2717,3.2717,3.2717,150100,3.6000,0
2017-06-22,1.9994,1.9994,1.9994,1.9993,1000,2.2000,0
2017-07-05,2.2719,2.2719,2.2719,2.2720,500,2.5000,0
2017-07-11,2.0902,2.0902,2.0902,2.0902,1000,2.3000,0
2017-07-13,2.3628,2.3628,2.3628,2.3629,500,2.6000,0
2017-09-12,3.2717,3.2717,3.2717,3.2717,500,3.6000,0
2018-04-09,3.6352,3.6352,3.6352,3.6352,1000,4.0000,0
2018-07-30,4.7830,4.7830,4.7830,4.7830,1000,5.0000,0
2018-10-09,4.3047,4.3047,4.3047,4.3047,10400,4.5000,0
2018-10-30,4.3047,4.3047,4.3047,4.3047,13000,4.5000,13000
2018-12-17,6.0266,6.0266,6.0266,6.0265,100,6.3000,0
2018-12-18,6.8874,6.8874,6.8874,6.8875,100,7.2000,0
2018-12-19,7.7484,7.7484,7.6528,7.6528,200,8.0000,0
2018-12-20,8.7051,8.7051,8.7051,8.7050,100,9.1000,0
2018-12-21,9.5659,9.9486,9.5659,9.9486,1700,10.4000,0
2018-12-24,11.1922,11.2878,11.1922,11.2878,1800,11.8000,0
2018-12-25,12.8183,12.8183,9.6616,9.6616,400,10.1000,0
2018-12-26,9.5659,9.5659,9.5659,9.5659,200,10.0000,0
2018-12-27,9.5659,9.8529,9.5659,9.8529,2800,10.3000,0
2019-01-30,8.2267,8.2267,8.2267,8.2267,500,8.6000,0
2019-02-22,8.2267,8.2267,8.2267,8.2267,1000,8.6000,0
2019-02-26,8.6093,8.8007,8.6093,8.8007,2500,9.2000,0
2019-02-27,8.7050,8.7050,8.7050,8.7050,200,9.1000,0
2019-03-11,8.6093,8.6093,8.6093,8.6093,500,9.0000,0
2019-03-18,8.6093,8.6093,8.6093,8.6093,1000,9.0000,0
2019-04-09,7.3657,7.3657,7.3657,7.3658,500,7.7000,0
2019-04-10,8.4181,8.4181,8.4181,8.4180,500,8.8000,0
2019-04-11,8.6093,8.6093,8.6093,8.6093,500,9.0000,0
2019-04-12,8.6093,8.6093,7.5571,7.5571,700,7.9000,0
2019-04-18,9.5660,9.5660,9.5660,9.5659,500,10.0000,0
2019-04-19,9.5659,11.0008,9.5659,9.8529,5800,10.3000,0
2019-04-22,12.2444,12.2444,9.2789,12.1487,1600,12.7000,0
2019-04-23,13.2966,13.4879,13.2966,13.2967,300,13.9000,0
2019-04-24,14.9229,15.3056,14.3490,14.3489,4700,15.0000,0
2019-04-25,13.8706,13.8706,13.8706,13.8706,500,14.5000,0
2019-04-26,11.8618,11.8618,11.8618,11.8618,100,12.4000,0
2019-05-02,10.1399,10.1399,10.1399,10.1399,5200,10.6000,10000
2019-05-03,9.3746,9.3746,9.3746,9.3746,100,9.8000,0
2019-05-06,8.2267,9.4703,8.0354,9.4703,19908,9.9000,0
2019-05-07,8.2267,8.2267,8.0354,8.0354,5000,8.4000,0
2019-05-08,6.8875,6.8875,6.8875,6.8875,100,7.2000,0
2019-05-09,6.2179,6.2179,5.9309,5.9309,500,6.2000,0
2019-05-10,5.1656,6.8875,5.1656,6.8875,3100,7.2000,0
2019-05-13,7.7484,7.7484,7.7484,7.7484,100,8.1000,0
2019-05-14,8.8963,8.8963,7.9397,7.9397,6900,8.3000,0
2019-05-15,9.4702,9.5659,9.4702,9.5659,3500,10.0000,0
2019-05-16,10.9051,10.9051,9.5659,9.7573,65400,10.2000,0
2019-05-17,8.6094,8.6094,8.6094,8.6093,1000,9.0000,0
2019-05-20,9.6615,9.6615,9.6615,9.6616,100,10.1000,0
2019-05-21,8.4180,8.4180,8.4180,8.4180,100,8.8000,0
2019-05-22,9.6616,9.6616,9.5659,9.6616,79350,10.1000,0
2019-05-23,8.3224,9.8529,8.3224,9.8529,1100,10.3000,0
2019-05-27,7.3658,9.6616,7.3658,9.6616,1200,10.1000,0
2019-05-28,9.5659,9.5659,9.5659,9.5659,900,10.0000,0
2019-05-29,10.8095,10.8095,10.8095,10.8095,100,11.3000,0
2019-05-30,11.4791,12.2444,11.4791,12.2444,21200,12.8000,0
2019-05-31,12.0531,12.0531,12.0531,12.0531,2000,12.6000,0
2019-06-03,10.4269,10.4269,10.3312,10.3312,500,10.8000,0
2019-06-04,8.8963,8.8963,8.8963,8.8963,100,9.3000,160000
2019-06-10,9.5659,10.0442,9.5659,10.0442,2000,10.5000,0
2019-06-11,9.5659,11.1921,9.5659,11.1922,14200,11.7000,0
2019-06-12,9.5660,9.5660,9.5660,9.5659,200,10.0000,0
2019-06-14,8.2267,8.2267,8.2267,8.2267,100,8.6000,0
2019-06-18,9.2790,9.2790,9.2790,9.2790,6000,9.7000,0
2019-06-19,7.9398,10.6182,7.9398,10.6182,26200,11.1000,0
2019-06-20,8.8485,11.6997,8.8485,11.6999,22300,11.9000,0
2019-06-21,9.8318,9.8318,9.8318,9.8319,1070,10.0000,0
2019-06-24,8.5538,11.3067,8.5538,11.3067,26300,11.5000,0
2019-06-25,9.0454,9.3403,9.0454,9.3403,300,9.5000,0
2019-06-26,9.3403,10.3235,9.1437,10.3235,2400,10.5000,0
2019-07-01,10.3235,10.7168,10.3235,10.7167,300,10.9000,0
2019-07-05,9.8319,9.8319,9.8319,9.8319,300,10.0000,0
2019-07-12,8.4554,8.4554,8.4554,8.4554,300,8.6000,0
