date,open,high,low,close,volume,unadjusted,putthrough
2009-10-30,7.1168,7.4478,6.6203,6.9513,173500,42.0000,0
2009-11-02,6.5872,6.5872,6.4051,6.4051,2200,38.7000,0
2009-11-03,6.0575,6.0575,6.0575,6.0575,1000,36.6000,0
2009-11-04,5.6437,6.0409,5.6437,5.6438,80800,34.1000,0
2009-11-05,5.6769,5.6935,5.2962,5.4452,53800,32.9000,0
2009-11-06,5.7266,5.7266,5.1638,5.1638,11000,31.2000,0
2009-11-09,5.0976,5.0976,4.8824,4.9652,5300,30.0000,0
2009-11-10,5.2466,5.2466,4.6507,5.1142,7700,30.9000,0
2009-11-11,5.2963,5.2963,4.8990,4.9652,18800,30.0000,0
2009-11-12,4.8493,5.2466,4.7169,5.2466,2500,31.7000,0
2009-11-13,4.9652,5.1307,4.9652,5.1307,17200,31.0000,0
2009-11-16,5.2962,5.2962,4.7997,4.7997,2000,29.0000,0
2009-11-17,4.8825,5.0480,4.7997,4.7997,3800,29.0000,0
2009-11-18,4.8659,4.8825,4.8659,4.8824,1500,29.5000,0
2009-11-19,4.8824,4.8824,4.7996,4.8824,2100,29.5000,0
2009-11-20,4.8493,4.8493,4.6341,4.6342,4900,28.0000,89600
2009-11-23,4.6342,4.6342,4.5514,4.5514,2100,27.5000,0
2009-11-24,4.9486,4.9486,4.6342,4.6342,1500,28.0000,0
2009-11-25,4.5349,4.5349,4.3694,4.3694,3000,26.4000,0
2009-11-26,4.7004,4.7004,4.1046,4.1046,7600,24.8000,0
2009-11-27,4.3860,4.5018,3.9391,4.5018,2600,27.2000,0
2009-11-30,4.4687,4.4687,4.4356,4.4356,6100,26.8000,0
2009-12-01,4.6177,4.6177,4.4687,4.5514,3400,27.5000,60000
2009-12-03,4.4687,4.4687,4.3859,4.4356,1600,26.8000,44000
2009-12-04,4.3694,4.3694,4.1377,4.1377,3900,25.0000,0
2009-12-07,4.1377,4.2370,3.9722,4.1708,31600,25.2000,0
2009-12-08,4.1377,4.1377,4.0384,4.1377,6100,25.0000,0
2009-12-09,4.1377,4.1377,4.0549,4.0549,149700,24.5000,144000
2009-12-10,4.3363,4.3363,4.3363,4.3363,1300,26.2000,0
2009-12-11,4.3363,4.3363,4.0384,4.0384,1600,24.4000,0
2009-12-14,4.3694,4.3694,4.2867,4.3694,34800,26.4000,0
2009-12-15,4.3032,4.3032,4.3032,4.3032,115400,26.0000,0
2009-12-16,4.4025,4.4191,4.4025,4.4190,1500,26.7000,0
2009-12-17,4.1542,4.4687,4.1542,4.4687,3500,27.0000,0
2009-12-18,4.5515,4.6177,4.3859,4.6176,1500,27.9000,0
2009-12-21,4.6342,4.7500,4.5514,4.7500,138200,28.7000,130000
2009-12-22,4.8659,4.8659,4.8328,4.8493,4000,29.3000,0
2009-12-23,4.8493,5.0976,4.7500,4.7500,4300,28.7000,0
2009-12-24,4.9155,4.9321,4.7997,4.8162,39700,29.1000,0
2009-12-25,4.9155,4.9155,4.8162,4.8824,134500,29.5000,0
2009-12-28,5.1307,5.1969,5.0479,5.0811,14400,30.7000,0
2009-12-29,5.4121,5.4121,5.4121,5.4121,1000,32.7000,0
2009-12-30,5.2962,5.4121,5.0480,5.1804,13000,31.3000,0
2009-12-31,5.4121,5.4452,5.1307,5.2135,126100,31.5000,0
2010-01-04,5.4528,5.4699,5.4528,5.4699,2100,32.0000,0
2010-01-05,5.3673,5.3673,5.0938,5.0939,21500,29.8000,0
2010-01-06,5.1110,5.1110,4.8546,4.8546,46200,28.4000,38100
2010-01-07,4.8888,4.9572,4.7179,4.7178,101900,27.6000,0
2010-01-08,4.9400,4.9400,4.5981,4.5982,41800,26.9000,0
2010-01-11,4.4273,4.5469,4.4273,4.4785,2300,26.2000,0
2010-01-12,4.8375,4.8375,4.5298,4.5469,7200,26.6000,0
2010-01-13,4.5298,4.5298,4.3589,4.3588,6400,25.5000,0
2010-01-14,4.3075,4.5297,4.3075,4.4443,7700,26.0000,0
2010-01-15,4.5981,4.5981,4.2734,4.2734,4000,25.0000,0
2010-01-18,4.1367,4.1537,4.0512,4.1024,4600,24.0000,0
2010-01-19,3.9315,4.3930,3.9315,4.3930,103500,25.7000,0
2010-01-20,4.5468,4.5810,4.4443,4.5298,8300,26.5000,0
2010-01-21,4.5811,4.5811,4.4614,4.4956,4700,26.3000,0
2010-01-22,4.5298,4.5298,4.4443,4.4443,2000,26.0000,0
2010-01-25,4.7520,4.7691,4.3588,4.3588,169900,25.5000,0
2010-01-28,4.8717,4.8717,4.7349,4.7349,200,27.7000,0
2010-02-01,4.6153,4.7007,4.5811,4.5811,3400,26.8000,0
2010-02-02,4.6153,4.6153,4.3076,4.3076,2900,25.2000,0
2010-02-03,4.1879,4.6153,4.1025,4.4443,134200,26.0000,0
2010-02-05,4.3589,4.3589,4.2905,4.3247,4100,25.3000,0
2010-02-08,4.3076,4.3076,4.1196,4.1195,700,24.1000,0
2010-02-09,4.1366,4.1537,4.1024,4.1024,4100,24.0000,0
2010-02-10,4.1195,4.3930,4.1195,4.1879,2700,24.5000,0
2010-02-11,4.4101,4.4101,4.4101,4.4101,200,25.8000,0
2010-02-12,4.6152,4.6152,4.4101,4.4101,4500,25.8000,0
2010-02-22,4.1366,4.4443,4.1024,4.1195,7400,24.1000,0
2010-02-23,4.1024,4.1024,4.1024,4.1024,300,24.0000,0
2010-02-24,4.1537,4.1537,4.1537,4.1537,1000,24.3000,0
2010-02-25,4.1879,4.1879,4.0170,4.0170,7000,23.5000,0
2010-02-26,4.0854,4.0854,4.0854,4.0854,5300,23.9000,0
2010-03-01,4.0854,4.0854,4.0854,4.0854,5300,23.9000,0
2010-03-02,3.8119,3.9999,3.8119,3.9999,71200,23.4000,0
2010-03-03,3.9999,4.0854,3.9999,4.0854,20500,23.9000,0
2010-03-04,4.2563,4.2563,4.0854,4.0854,9700,23.9000,0
2010-03-05,4.1880,4.1880,4.1025,4.1708,22000,24.4000,0
2010-03-08,4.2734,4.2734,3.9315,3.9315,11200,23.0000,0
2010-03-09,4.2563,4.2563,3.9315,4.0854,27600,23.9000,0
