date,open,high,low,close,volume,unadjusted,putthrough
2015-03-31,9.2801,9.5530,8.8707,9.2801,3855500,13.6000,0
2015-04-01,9.0072,9.2119,8.6660,8.6660,2209490,12.7000,0
2015-04-02,8.6660,9.0072,8.6660,9.0072,935310,13.2000,0
2015-04-03,9.0072,9.1437,8.9390,9.1436,569350,13.4000,0
2015-04-06,9.0754,9.4848,9.0071,9.4166,2636480,13.8000,0
2015-04-07,9.4848,9.5531,9.3484,9.4166,1453580,13.8000,150000
2015-04-08,9.4848,9.5531,9.3484,9.4166,1311780,13.8000,0
2015-04-09,9.4166,9.4848,9.2801,9.4848,1637810,13.9000,0
2015-04-10,9.4848,9.5530,9.4166,9.4166,1644610,13.8000,0
2015-04-13,9.4166,9.4848,9.3484,9.3483,682090,13.7000,150000
2015-04-14,9.3483,9.3483,9.2118,9.2119,865310,13.5000,0
2015-04-15,9.2119,9.3484,9.1437,9.2801,641430,13.6000,0
2015-04-16,9.3483,9.3483,9.2119,9.2119,910930,13.5000,0
2015-04-17,9.2801,9.2801,9.2119,9.2801,539770,13.6000,0
2015-04-20,9.2801,9.3483,9.2119,9.2801,683100,13.6000,144000
2015-04-21,9.1436,9.3483,9.1436,9.2119,659760,13.5000,0
2015-04-22,9.1437,9.2801,9.1437,9.2119,681400,13.5000,0
2015-04-23,9.2119,9.2801,9.1437,9.2119,238820,13.5000,0
2015-04-24,9.1437,9.2119,9.0754,9.1436,265140,13.4000,0
2015-04-27,9.2118,9.2118,9.0071,9.1436,215330,13.4000,0
2015-05-04,9.0754,9.0754,8.8024,8.8024,678920,12.9000,0
2015-05-05,8.7342,8.9389,8.5977,8.8024,244100,12.9000,0
2015-05-06,8.8024,8.8706,8.7342,8.8024,356100,12.9000,0
2015-05-07,8.8024,8.8706,8.7342,8.8024,463020,12.9000,0
2015-05-08,8.7342,8.8706,8.7342,8.8707,273760,13.0000,0
2015-05-11,8.8707,8.8707,8.8025,8.8024,162530,12.9000,0
2015-05-12,8.8024,8.8706,8.7342,8.8024,870250,12.9000,0
2015-05-13,8.8706,8.9389,8.7342,8.8707,531500,13.0000,0
2015-05-14,8.8707,8.8707,8.8025,8.8024,287330,12.9000,0
2015-05-15,8.8706,8.8706,8.8024,8.8024,435650,12.9000,0
2015-05-18,8.7342,8.8024,8.6659,8.8024,733610,12.9000,0
2015-05-19,8.8024,8.8024,8.7342,8.8024,782140,12.9000,0
2015-05-20,8.8024,8.9389,8.8024,8.9389,759920,13.1000,0
2015-05-21,8.9389,8.9389,8.8024,8.8707,696260,13.0000,0
2015-05-22,8.8707,8.9389,8.8025,8.8707,1130330,13.0000,0
2015-05-25,8.8707,8.8707,8.8025,8.8707,456140,13.0000,0
2015-05-26,8.8707,8.8707,8.8025,8.8024,519830,12.9000,0
2015-05-27,8.8024,8.8706,8.7342,8.8024,677060,12.9000,0
2015-05-28,8.8024,8.8706,8.8024,8.8024,678810,12.9000,0
2015-05-29,8.7342,8.9389,8.7342,8.8024,753100,12.9000,0
2015-06-01,8.7342,8.8706,8.7342,8.8024,296930,12.9000,0
2015-06-02,8.8024,8.8706,8.7342,8.8024,467000,12.9000,0
2015-06-03,8.8024,8.8706,8.7342,8.8024,519090,12.9000,0
2015-06-04,8.8024,8.8706,8.7342,8.8024,415990,12.9000,0
2015-06-05,8.8024,8.8706,8.7342,8.8024,443250,12.9000,0
2015-06-08,8.8706,9.4165,8.8706,9.1436,1700970,13.4000,0
2015-06-09,9.0754,9.1436,8.9389,9.0072,239150,13.2000,0
2015-06-10,9.0072,9.1437,8.9390,9.0072,156810,13.2000,50000
2015-06-11,9.0072,9.0754,8.9390,9.0072,971140,13.2000,0
2015-06-12,9.0072,9.0072,8.8707,8.9389,410880,13.1000,0
2015-06-15,8.8707,9.0071,8.8707,9.0072,830820,13.2000,0
2015-06-16,9.0072,9.0754,8.9390,8.9389,588200,13.1000,200000
2015-06-17,8.9389,9.0071,8.9389,8.9389,390230,13.1000,0
2015-06-18,8.9389,9.1436,8.9389,9.0072,554880,13.2000,0
2015-06-19,9.0072,9.0754,8.9390,9.0072,489170,13.2000,5429500
2015-06-22,9.0072,9.0072,8.9390,9.0072,128860,13.2000,659518
2015-06-23,8.9390,8.9390,8.8707,8.8707,194720,13.0000,0
