date,open,high,low,close,volume,unadjusted,putthrough
2014-08-26,14.1668,15.7859,14.1668,15.7859,22700,39.0000,0
2014-08-27,17.3645,17.3645,17.3645,17.3645,22100,42.9000,0
2014-08-28,19.0645,19.0645,19.0645,19.0645,34603,47.1000,0
2014-08-29,20.9669,20.9669,17.1621,19.1049,27929,47.2000,0
2014-09-03,18.2954,20.2382,17.8501,18.0526,7700,44.6000,0
2014-09-04,18.0526,18.0526,16.2716,16.2716,4251,40.2000,0
2014-09-05,14.8144,16.2716,14.6525,14.7740,16729,36.5000,0
2014-09-08,14.8550,15.7859,14.8550,15.7859,400,39.0000,0
2014-09-09,14.9764,15.6645,14.8549,15.6644,7900,38.7000,0
2014-09-10,14.3692,14.3692,14.1668,14.2882,4500,35.3000,0
2014-09-11,14.1668,14.1668,13.9644,14.1668,2500,35.0000,0
2014-09-12,13.9644,13.9644,13.5597,13.5597,900,33.5000,0
2014-09-15,13.8835,14.8954,13.4383,14.8144,6000,36.6000,0
2014-09-16,13.7620,13.7620,13.7620,13.7620,1200,34.0000,0
2014-09-17,13.8025,14.5715,13.8025,14.1668,1000,35.0000,0
2014-09-18,14.5716,14.7739,14.1668,14.7740,2200,36.5000,0
2014-09-19,14.7740,15.1788,14.7740,15.1787,12400,37.5000,0
2014-09-22,14.9763,15.9882,14.9763,15.5835,13200,38.5000,0
2014-09-23,15.3406,15.4621,15.0168,15.3811,7600,38.0000,0
2014-09-24,15.3811,15.5835,15.3811,15.5835,2500,38.5000,0
2014-09-25,15.7049,15.7049,15.2597,15.3001,3500,37.8000,0
2014-09-26,15.3811,15.4620,15.0168,15.2597,6300,37.7000,0
2014-09-29,15.3407,15.3811,15.2597,15.3811,6400,38.0000,0
2014-09-30,15.3406,15.3406,15.1787,15.1787,900,37.5000,0
2014-10-01,15.3406,15.3406,15.3406,15.3406,6800,37.9000,49
2014-10-02,15.3406,15.3406,14.9763,15.1787,7000,37.5000,0
2014-10-03,15.1787,15.3406,15.1382,15.1787,8100,37.5000,0
2014-10-06,15.0977,15.0977,15.0168,15.0168,3800,37.1000,0
2014-10-07,14.8954,14.8954,14.8144,14.8144,600,36.6000,0
2014-10-08,14.7739,14.7739,14.7739,14.7740,300,36.5000,0
2014-10-09,14.7740,14.7740,14.7740,14.7740,2400,36.5000,0
2014-10-10,14.5716,14.6121,14.5716,14.5716,2700,36.0000,0
2014-10-13,14.5716,14.5716,14.5716,14.5716,600,36.0000,0
2014-10-14,16.0288,16.0288,14.3692,14.5716,2700,36.0000,0
