date,open,high,low,close,volume,unadjusted,putthrough
2009-07-23,2.7656,3.4372,2.7656,3.4372,31510,17.4000,0
2009-07-24,3.5557,3.5952,3.5557,3.5952,25230,18.2000,0
2009-07-27,3.4174,3.7532,3.4174,3.4174,27240,17.3000,0
2009-07-28,3.4569,3.5557,3.2594,3.2594,7790,16.5000,0
2009-07-29,3.3582,3.3582,3.1409,3.1409,7130,15.9000,0
2009-07-30,3.0224,3.0224,3.0026,3.0026,19850,15.2000,0
2009-07-31,3.1211,3.1409,3.1211,3.1409,5520,15.9000,0
2009-08-03,3.1607,3.2002,3.1607,3.1606,1800,16.0000,0
2009-08-04,3.2199,3.2199,3.0026,3.0026,14300,15.2000,0
2009-08-05,3.0026,3.0619,3.0026,3.0026,12190,15.2000,0
2009-08-06,3.0026,3.1409,3.0026,3.1409,5320,15.9000,0
2009-08-07,3.1409,3.1409,3.0224,3.1409,11350,15.9000,0
2009-08-10,3.1409,3.1409,3.0619,3.1409,8480,15.9000,0
2009-08-11,3.0421,3.1804,3.0421,3.1606,6870,16.0000,0
2009-08-12,3.1606,3.2001,3.0223,3.1606,25190,16.0000,0
2009-08-13,3.1606,3.1804,3.1013,3.1013,8550,15.7000,0
2009-08-14,3.0815,3.1013,3.0618,3.0618,23420,15.5000,0
2009-08-17,3.0618,3.1013,3.0618,3.1013,3610,15.7000,0
2009-08-18,3.0618,3.1013,3.0618,3.1013,14520,15.7000,0
2009-08-19,3.1013,3.1211,3.0420,3.0816,12400,15.6000,0
2009-08-20,3.1211,3.1211,3.0421,3.1013,13410,15.7000,0
2009-08-21,3.1013,3.1013,3.0223,3.0223,38050,15.3000,0
2009-08-24,3.1408,3.1408,3.0618,3.0816,27600,15.6000,0
2009-08-25,3.0618,3.0618,3.0223,3.0618,36500,15.5000,0
2009-08-26,3.1013,3.1013,3.0618,3.0618,7980,15.5000,0
2009-08-27,3.0618,3.0816,2.9630,3.0816,8930,15.6000,0
2009-08-28,3.0816,3.2199,3.0816,3.2199,62220,16.3000,0
2009-08-31,3.3779,3.3779,3.3582,3.3779,272010,17.1000,0
2009-09-01,3.5162,3.5162,3.3977,3.4767,79400,17.6000,0
2009-09-03,3.3582,3.6347,3.3582,3.6347,202170,18.4000,0
2009-09-04,3.8125,3.8125,3.6347,3.6347,156140,18.4000,0
2009-09-07,3.4767,3.6347,3.4569,3.4569,51300,17.5000,0
2009-09-08,3.5557,3.5557,3.2989,3.4964,55620,17.7000,0
2009-09-09,3.4964,3.4964,3.3384,3.3384,130470,16.9000,0
2009-09-10,3.3384,3.4569,3.3384,3.3384,29170,16.9000,0
2009-09-11,3.3582,3.4767,3.3582,3.3779,36240,17.1000,0
2009-09-14,3.4174,3.4174,3.3779,3.3779,49060,17.1000,0
2009-09-15,3.3384,3.3779,3.3384,3.3581,38930,17.0000,0
2009-09-16,3.3581,3.5161,3.3581,3.5162,178460,17.8000,0
2009-09-17,3.6545,3.6545,3.5360,3.5754,52600,18.1000,0
2009-09-18,3.5161,3.5952,3.5161,3.5952,33360,18.2000,0
2009-09-21,3.6545,3.7532,3.5557,3.6545,93530,18.5000,0
2009-09-22,3.6545,3.6545,3.5952,3.6545,67590,18.5000,0
2009-09-23,3.7335,3.7335,3.5557,3.6742,67660,18.6000,0
2009-09-24,3.5162,3.6347,3.5162,3.6347,37120,18.4000,0
2009-09-25,3.5952,3.6347,3.5754,3.6347,60080,18.4000,0
2009-09-28,3.7137,3.7137,3.5754,3.5754,61520,18.1000,0
2009-09-29,3.6544,3.6544,3.5161,3.6149,68320,18.3000,0
2009-09-30,3.6939,3.7137,3.5556,3.6940,93820,18.7000,0
2009-10-01,3.6940,3.6940,3.5755,3.5952,37660,18.2000,0
2009-10-02,3.5162,3.6545,3.5162,3.6545,34700,18.5000,0
2009-10-05,3.6545,3.6545,3.5557,3.6347,12210,18.4000,0
2009-10-06,3.6149,3.6545,3.5754,3.6545,35190,18.5000,0
2009-10-07,3.6940,3.6940,3.6347,3.6545,74750,18.5000,0
2009-10-08,3.5952,3.6545,3.5952,3.6545,51400,18.5000,0
2009-10-09,3.8323,3.8323,3.6743,3.8322,118590,19.4000,0
2009-10-12,4.0100,4.0100,4.0100,4.0100,39820,20.3000,0
2009-10-13,4.2075,4.2075,4.2075,4.2076,53750,21.3000,0
2009-10-14,4.4051,4.4051,4.4051,4.4051,30200,22.3000,0
2009-10-15,4.6224,4.6224,4.6224,4.6224,54940,23.4000,30000
2009-10-16,4.8397,4.8397,4.8397,4.8397,291860,24.5000,30000
2009-10-19,5.0767,5.0767,4.9385,5.0767,216190,25.7000,0
2009-10-20,5.3137,5.3137,5.3137,5.3138,150070,26.9000,0
2009-10-21,5.3138,5.3336,5.0570,5.0965,313410,25.8000,0
2009-10-22,5.3335,5.3335,5.2150,5.3335,604510,27.0000,0
2009-10-23,5.5508,5.5705,5.0767,5.0767,229530,25.7000,0
2009-10-26,4.9384,5.3137,4.9384,5.0372,247360,25.5000,0
2009-10-27,5.0372,5.0372,4.8002,4.8199,126910,24.4000,0
2009-10-28,4.8397,4.9384,4.5829,4.8397,123330,24.5000,0
2009-10-29,4.6224,4.7409,4.6027,4.6026,144100,23.3000,0
2009-10-30,4.7804,4.8199,4.6026,4.8199,116430,24.4000,0
2009-11-02,4.6224,4.8397,4.5829,4.5829,224070,23.2000,40000
2009-11-03,4.4051,4.5434,4.3656,4.3656,81000,22.1000,0
2009-11-04,4.1483,4.4841,4.1483,4.4841,131190,22.7000,0
2009-11-05,4.4051,4.7014,4.4051,4.7014,129880,23.8000,0
2009-11-06,4.9187,4.9187,4.9187,4.9187,97400,24.9000,0
2009-11-09,4.9187,4.9187,4.6817,4.6817,89430,23.7000,0
2009-11-10,4.7410,4.7410,4.5632,4.6421,39020,23.5000,0
2009-11-11,4.5433,4.6421,4.5433,4.6421,68030,23.5000,0
2009-11-12,4.8001,4.8001,4.6421,4.7409,24510,24.0000,0
2009-11-13,4.5631,4.7014,4.5039,4.7014,115260,23.8000,0
2009-11-16,4.5236,4.6816,4.4841,4.6619,228060,23.6000,0
2009-11-17,4.6619,4.6619,4.4841,4.4841,33140,22.7000,0
2009-11-18,4.5039,4.5039,4.3458,4.4249,20720,22.4000,0
2009-11-19,4.6027,4.6224,4.3656,4.4841,57590,22.7000,0
2009-11-20,4.4248,4.5434,4.4248,4.5039,73570,22.8000,199560
2009-11-23,4.4051,4.4249,4.3854,4.4249,12550,22.4000,0
2009-11-24,4.3064,4.4249,4.3064,4.3458,37420,22.0000,0
2009-11-25,4.2470,4.2470,4.1285,4.1285,23070,20.9000,0
2009-11-26,3.9310,3.9310,3.9310,3.9310,90030,19.9000,42900
2009-11-27,3.7532,4.1088,3.7532,3.9310,58880,19.9000,0
2009-11-30,3.9508,4.1088,3.9508,4.1088,35280,20.8000,0
2009-12-01,3.9903,4.3063,3.9903,4.3063,46200,21.8000,0
2009-12-02,4.4446,4.5038,4.1878,4.1878,49890,21.2000,0
2009-12-03,4.0298,4.3458,4.0100,4.3458,50290,22.0000,0
2009-12-04,4.3458,4.4051,4.3458,4.3458,57270,22.0000,0
2009-12-07,4.3458,4.4446,4.3458,4.3458,21220,22.0000,0
2009-12-08,4.1878,4.3458,4.1285,4.3261,65530,21.9000,0
2009-12-09,4.1286,4.1286,4.1286,4.1285,18370,20.9000,0
2009-12-10,4.3063,4.3063,3.9310,3.9310,21870,19.9000,0
2009-12-11,3.9903,3.9903,3.7532,3.7532,23180,19.0000,0
2009-12-14,3.5952,3.9310,3.5952,3.7532,29400,19.0000,252000
2009-12-15,3.7532,3.9112,3.5952,3.9113,43220,19.8000,0
2009-12-16,3.8123,3.9608,3.8123,3.9508,12140,16.0000,0
2009-12-17,3.9508,3.9508,3.8273,3.9261,5080,15.9000,0
2009-12-18,4.0989,4.0989,4.0743,4.0989,13000,16.6000,0
2009-12-21,4.2717,4.2964,4.1977,4.2965,49800,17.4000,0
2009-12-22,4.1237,4.4447,4.1237,4.4199,12840,17.9000,0
2009-12-23,4.4199,4.4199,4.2717,4.2718,1850,17.3000,0
2009-12-24,4.1483,4.2718,4.1483,4.2718,5420,17.3000,0
2009-12-25,4.1977,4.2965,4.1977,4.2965,13420,17.4000,0
2009-12-28,4.2965,4.3212,4.1977,4.2965,2160,17.4000,0
2009-12-29,4.2965,4.2965,4.1977,4.2965,3150,17.4000,0
2009-12-30,4.1977,4.2965,4.1977,4.2718,5090,17.3000,33710
2009-12-31,4.3212,4.3212,4.1977,4.2471,17450,17.2000,0
