date,open,high,low,close,volume,unadjusted,putthrough
2013-03-21,4.3617,6.2452,4.3617,5.9478,134000,12.0000,0
2013-03-22,5.3530,5.3530,5.3530,5.3531,11700,10.8000,0
2013-03-25,4.8574,4.9566,4.8574,4.8574,7600,9.8000,0
2013-03-26,4.4113,4.5104,4.4113,4.4113,130200,8.9000,16000
2013-03-27,4.0643,4.4113,4.0643,4.4113,45000,8.9000,0
2013-03-28,4.3617,4.6591,4.3617,4.4609,7200,9.0000,0
2013-03-29,4.4609,4.4609,4.2131,4.4113,9100,8.9000,0
2013-04-01,4.3617,4.3617,4.1139,4.1635,10500,8.4000,0
2013-04-02,4.1635,4.3122,3.9652,4.3122,19500,8.7000,0
2013-04-03,4.2626,4.2626,3.9157,3.9157,43600,7.9000,0
2013-04-04,3.9157,3.9157,3.7174,3.9157,8200,7.9000,0
2013-04-05,3.9157,3.9157,3.6183,3.6183,13500,7.3000,0
2013-04-08,3.7174,3.7174,3.3705,3.3704,53200,6.8000,0
2013-04-09,3.2217,3.2217,3.1721,3.2218,33300,6.5000,0
2013-04-10,3.3209,3.3209,3.0235,3.1226,7600,6.3000,0
2013-04-11,2.8252,3.3209,2.8252,3.3209,3900,6.7000,0
2013-04-12,3.4200,3.4200,3.1226,3.4200,6900,6.9000,0
2013-04-15,3.4200,3.4200,3.0730,3.1226,18500,6.3000,0
2013-04-16,2.9243,3.1722,2.8252,3.1722,15200,6.4000,0
2013-04-17,3.3209,3.4696,3.0731,3.2218,9400,6.5000,0
2013-04-18,3.3705,3.3705,3.1227,3.2218,56700,6.5000,0
2013-04-22,3.4201,3.5192,3.1722,3.5191,21200,7.1000,0
2013-04-23,3.4695,3.4695,3.3704,3.4696,6800,7.0000,0
2013-04-24,3.5687,3.5687,3.2713,3.5191,18500,7.1000,0
2013-04-25,3.2217,3.4695,3.2217,3.4696,3100,7.0000,0
2013-04-26,3.4696,3.4696,3.2218,3.2218,6400,6.5000,0
2013-05-02,3.1722,3.2714,3.1722,3.2713,2700,6.6000,0
2013-05-03,3.2217,3.2217,3.1722,3.1722,12400,6.4000,0
2013-05-06,3.4696,3.4696,3.2218,3.2713,11000,6.6000,0
2013-05-07,3.2713,3.2713,3.2217,3.2713,8800,6.6000,0
2013-05-08,3.2713,3.2713,3.1722,3.1722,26500,6.4000,0
2013-05-09,3.1722,3.2713,3.1722,3.2713,8000,6.6000,0
2013-05-10,3.2217,3.2713,3.1226,3.2218,7800,6.5000,0
2013-05-13,3.1722,3.1722,3.0731,3.0731,19200,6.2000,0
2013-05-14,3.0731,3.1722,3.0235,3.1722,10900,6.4000,0
2013-05-15,3.0731,3.1722,3.0731,3.1722,27900,6.4000,0
2013-05-16,3.0731,3.1226,2.9739,3.1226,40800,6.3000,0
2013-05-17,3.0730,3.1722,3.0235,3.1722,13400,6.4000,0
2013-05-20,3.1226,3.3705,3.1226,3.3704,63800,6.8000,0
2013-05-21,3.3704,3.5191,3.3704,3.4696,43400,7.0000,0
2013-05-22,3.5192,3.5192,3.2713,3.4200,9700,6.9000,0
2013-05-23,3.3209,3.4200,3.2217,3.2218,39500,6.5000,0
2013-05-24,3.2218,3.3705,3.2218,3.3704,18100,6.8000,0
2013-05-27,3.3208,3.3704,3.2713,3.2713,15000,6.6000,0
2013-05-28,3.2713,3.2713,3.2217,3.2218,14800,6.5000,0
2013-05-29,3.1722,3.2218,3.1722,3.2218,32600,6.5000,0
2013-05-30,3.1722,3.2714,3.1227,3.2713,21900,6.6000,0
2013-05-31,3.2713,3.3209,3.2217,3.3209,21600,6.7000,0
2013-06-03,3.2218,3.3705,3.2218,3.3704,28800,6.8000,0
2013-06-04,3.4200,3.4200,3.2713,3.3209,65100,6.7000,0
2013-06-05,3.3209,3.5687,3.3209,3.5687,231400,7.2000,0
2013-06-06,3.9157,3.9157,3.9157,3.9157,20600,7.9000,0
2013-06-07,4.2627,4.2627,3.9157,4.0148,69000,8.1000,0
2013-06-10,3.6678,3.8165,3.6183,3.6183,97000,7.3000,0
2013-06-11,3.6183,3.9653,3.6183,3.8165,80400,7.7000,0
2013-06-12,3.7669,3.7669,3.5687,3.6183,29600,7.3000,0
2013-06-13,3.6183,3.7174,3.5687,3.7174,12500,7.5000,0
2013-06-14,3.6183,3.7174,3.5687,3.7174,13200,7.5000,0
2013-06-17,3.4696,3.5687,3.4200,3.4200,28100,6.9000,0
2013-06-18,3.4200,3.5191,3.3704,3.4696,21700,7.0000,0
2013-06-19,3.5192,3.5192,3.4200,3.4696,10200,7.0000,0
2013-06-20,3.5192,3.5192,3.4696,3.4696,1800,7.0000,0
2013-06-21,3.4696,3.4696,3.3705,3.4696,12300,7.0000,0
2013-06-24,3.4696,3.4696,3.3705,3.4200,13200,6.9000,0
2013-06-25,3.4696,3.4696,3.2713,3.4200,30000,6.9000,0
2013-06-26,3.3704,3.4200,3.3704,3.4200,4100,6.9000,0
2013-06-27,3.3704,3.4200,3.3209,3.4200,16400,6.9000,0
2013-06-28,3.4200,3.6678,3.4200,3.5687,34100,7.2000,0
2013-07-01,3.4696,3.5191,3.4696,3.5191,9300,7.1000,0
2013-07-02,3.5191,3.5687,3.4695,3.5191,10800,7.1000,0
2013-07-03,3.5191,3.5191,3.3704,3.3704,22400,6.8000,0
2013-07-04,3.3704,3.5191,3.3704,3.5191,15700,7.1000,0
2013-07-05,3.6678,3.8661,3.4200,3.5191,2800,7.1000,0
2013-07-08,3.5191,3.6182,3.4695,3.5191,15100,7.1000,0
2013-07-09,3.4200,3.5191,3.4200,3.5191,23600,7.1000,0
2013-07-10,3.4695,3.5191,3.4695,3.5191,4200,7.1000,0
2013-07-11,3.4200,3.4695,3.4200,3.4696,7500,7.0000,0
2013-07-12,3.4696,3.5192,3.4696,3.5191,12700,7.1000,0
2013-07-15,3.4200,3.4695,3.4200,3.4696,2500,7.0000,0
2013-07-16,3.4696,3.4696,3.3705,3.3704,25000,6.8000,0
2013-07-17,3.3704,3.3704,3.3704,3.3704,10800,6.8000,0
2013-07-18,3.3704,3.4200,3.3704,3.4200,10200,6.9000,0
2013-07-19,3.3209,3.4200,3.3209,3.4200,1300,6.9000,0
2013-07-22,3.3704,3.4200,3.3704,3.4200,1000,6.9000,0
2013-07-23,3.3704,3.3704,3.3704,3.3704,1100,6.8000,0
2013-07-24,3.3208,3.3208,3.3208,3.3209,3900,6.7000,0
2013-07-25,3.4696,3.4696,3.4696,3.4696,100,7.0000,0
2013-07-26,3.2218,3.3705,3.2218,3.3704,900,6.8000,0
2013-07-29,3.2713,3.3208,3.2713,3.2713,1800,6.6000,0
2013-07-30,3.5687,3.5687,3.5687,3.5687,151,7.2000,0
2013-08-01,3.2217,3.3209,3.2217,3.3209,22400,6.7000,0
2013-08-02,3.3705,3.3705,3.3705,3.3704,1000,6.8000,0
2013-08-05,3.3704,3.3704,3.3704,3.3704,1000,6.8000,0
2013-08-06,3.3704,3.3704,3.3704,3.3704,500,6.8000,0
2013-08-07,3.2217,3.3208,3.1226,3.3209,10600,6.7000,0
2013-08-09,3.4696,3.4696,3.3209,3.3209,14300,6.7000,0
2013-08-13,3.3209,3.3209,3.3209,3.3209,10000,6.7000,0
2013-08-14,3.4696,3.4696,3.2713,3.4200,17500,6.9000,0
2013-08-15,3.3209,3.4200,3.3209,3.4200,3200,6.9000,0
2013-08-16,3.4200,3.4200,3.4200,3.4200,52000,6.9000,0
2013-08-19,3.4696,3.5687,3.4200,3.4200,18200,6.9000,0
2013-08-20,3.4200,3.4696,3.4200,3.4696,12300,7.0000,0
2013-08-21,3.4696,3.4696,3.4200,3.4200,19500,6.9000,0
2013-08-22,3.3704,3.4200,3.3704,3.4200,6000,6.9000,0
2013-08-27,3.4200,3.4200,3.3704,3.4200,7100,6.9000,0
2013-08-28,3.2713,3.3209,3.1226,3.3209,58000,6.7000,0
2013-08-29,3.2218,3.3209,3.2218,3.3209,1100,6.7000,0
2013-09-03,3.1226,3.2713,3.1226,3.2713,9800,6.6000,0
2013-09-04,3.1226,3.2217,3.1226,3.1226,3700,6.3000,0
2013-09-05,3.2217,3.2217,3.2217,3.2218,2300,6.5000,0
2013-09-06,3.1227,3.2218,3.1227,3.2218,12000,6.5000,0
2013-09-10,3.0731,3.1722,3.0731,3.1722,11800,6.4000,0
2013-09-11,3.2218,3.4696,3.0731,3.2218,2100,6.5000,0
2013-09-12,3.1722,3.2218,3.1227,3.2218,5900,6.5000,0
2013-09-13,3.2218,3.2218,3.2218,3.2218,200,6.5000,0
2013-09-16,3.1227,3.1722,3.1227,3.1226,10100,6.3000,0
2013-09-17,3.0730,3.1226,3.0730,3.1226,8600,6.3000,0
2013-09-18,3.0730,3.0730,3.0730,3.0731,2000,6.2000,0
2013-09-19,3.2218,3.2218,3.2218,3.2218,100,6.5000,0
2013-09-23,3.1227,3.1722,3.1227,3.1722,6300,6.4000,0
2013-09-24,3.1722,3.2218,3.1226,3.1226,12800,6.3000,0
2013-09-25,3.1226,3.2217,3.1226,3.2218,34000,6.5000,0
2013-09-26,3.2218,3.2218,3.2218,3.2218,10000,6.5000,0
2013-09-27,3.2218,3.2218,3.2218,3.2218,8000,6.5000,0
2013-09-30,3.2218,3.2714,3.2218,3.2713,5600,6.6000,0
2013-10-01,3.2217,3.2713,3.2217,3.2713,6100,6.6000,0
2013-10-02,3.2713,3.2713,3.2217,3.2218,8300,6.5000,0
2013-10-03,3.2218,3.2714,3.2218,3.2713,1000,6.6000,0
2013-10-04,3.3209,3.3209,3.2217,3.2218,5100,6.5000,0
2013-10-07,3.4201,3.4201,3.4201,3.4200,100,6.9000,0
2013-10-08,3.2217,3.3704,3.2217,3.3704,7600,6.8000,0
2013-10-09,3.2713,3.3208,3.2713,3.3209,4100,6.7000,0
2013-10-10,3.2713,3.3209,3.2713,3.2713,18200,6.6000,0
2013-10-11,3.2713,3.3209,3.2713,3.3209,3000,6.7000,0
2013-10-14,3.2713,3.3209,3.2713,3.3209,2400,6.7000,0
2013-10-15,3.2713,3.2713,3.2713,3.2713,14100,6.6000,0
2013-10-16,3.3704,3.3704,3.2713,3.3209,10600,6.7000,0
2013-10-17,3.2713,3.2713,3.2713,3.2713,10000,6.6000,0
2013-10-18,3.2217,3.3209,3.2217,3.3209,4700,6.7000,0
2013-10-21,3.2713,3.4696,3.2713,3.4696,27800,7.0000,0
2013-10-22,3.3705,3.3705,3.3705,3.3704,800,6.8000,0
2013-10-23,3.3704,3.4200,3.3704,3.4200,9400,6.9000,0
2013-10-24,3.3704,3.3704,3.3209,3.3209,5000,6.7000,0
2013-10-25,3.3209,3.3209,3.3209,3.3209,1000,6.7000,0
2013-10-28,3.3209,3.3209,3.2713,3.3209,15800,6.7000,0
2013-10-29,3.3209,3.3209,3.2218,3.3209,25500,6.7000,0
2013-10-30,3.2713,3.2713,3.2713,3.2713,6900,6.6000,0
2013-10-31,3.2713,3.2713,3.2713,3.2713,4000,6.6000,0
2013-11-01,3.2713,3.3209,3.2217,3.3209,13100,6.7000,0
2013-11-04,3.2713,3.3705,3.2713,3.3704,12700,6.8000,0
2013-11-05,3.4200,3.4200,3.4200,3.4200,100,6.9000,0
2013-11-06,3.3209,3.3704,3.3209,3.3704,4600,6.8000,0
2013-11-07,3.3208,3.3704,3.3208,3.3704,18900,6.8000,0
2013-11-08,3.3704,3.4200,3.3704,3.3704,30100,6.8000,0
2013-11-11,3.3704,3.4200,3.3704,3.3704,29300,6.8000,0
2013-11-12,3.4200,3.6182,3.4200,3.4696,107000,7.0000,0
