date,open,high,low,close,volume,unadjusted,putthrough
2008-12-03,4.8499,4.8499,2.3711,2.6944,27100,25.0000,0
2008-12-04,2.8130,2.8130,2.8130,2.8130,600,26.1000,0
2008-12-05,3.0070,3.0070,2.8992,3.0070,19400,27.9000,0
2008-12-08,3.1812,3.1812,2.8212,2.8212,4800,24.3000,0
2008-12-09,3.0070,3.0070,2.7980,2.7979,18200,24.1000,0
2008-12-10,2.6238,2.6238,2.6238,2.6238,1500,22.6000,0
2008-12-11,2.6702,2.7863,2.5541,2.5541,7000,22.0000,11428
2008-12-12,2.7863,2.7979,2.6702,2.7863,17300,24.0000,0
2008-12-15,2.6238,2.8095,2.5773,2.8096,15900,24.2000,0
2008-12-16,2.7516,2.7516,2.6703,2.6818,2300,23.1000,0
2008-12-17,2.7747,2.7863,2.7398,2.7747,2800,23.9000,0
2008-12-18,2.7863,2.9605,2.7747,2.8560,10200,24.6000,0
2008-12-19,2.8560,2.8560,2.7747,2.7747,4300,23.9000,0
2008-12-22,2.8444,2.8444,2.8327,2.8328,300,24.4000,0
2008-12-23,2.8328,2.8328,2.6587,2.6586,3100,22.9000,0
2008-12-24,2.6934,2.6934,2.6934,2.6935,1200,23.2000,0
2008-12-25,2.7283,2.7283,2.7283,2.7283,1700,23.5000,0
2008-12-26,2.8676,2.8676,2.7863,2.7863,500,24.0000,0
2008-12-29,2.8327,2.8327,2.6702,2.6702,2700,23.0000,0
2008-12-30,2.8443,2.8443,2.7747,2.7747,1600,23.9000,0
2008-12-31,2.6586,2.8095,2.6586,2.8096,200,24.2000,0
2009-01-02,2.7864,2.7864,2.7864,2.7863,100,24.0000,0
2009-01-05,2.7863,2.7863,2.6702,2.7631,1900,23.8000,0
2009-01-06,2.7283,2.7283,2.6702,2.7283,1400,23.5000,0
2009-01-07,2.6703,2.6703,2.6354,2.6470,6000,22.8000,0
2009-01-08,2.6702,2.6702,2.6702,2.6702,3200,23.0000,0
2009-01-09,2.6702,2.6934,2.6702,2.6935,1600,23.2000,0
2009-01-12,2.7864,2.7864,2.6471,2.6702,1400,23.0000,0
2009-01-13,2.5657,2.6702,2.4844,2.5077,7300,21.6000,0
2009-01-14,2.5077,2.5077,2.5077,2.5077,1200,21.6000,0
2009-01-15,2.4613,2.4613,2.3568,2.3568,4300,20.3000,0
2009-01-16,2.4961,2.5309,2.4381,2.4380,1800,21.0000,0
2009-01-19,2.5541,2.5541,2.4380,2.4380,2200,21.0000,0
2009-01-20,2.5889,2.5889,2.4380,2.4380,800,21.0000,0
2009-01-22,2.4381,2.4381,2.3220,2.3219,4200,20.0000,0
2009-01-23,2.4844,2.4844,2.4844,2.4845,100,21.4000,0
2009-02-02,2.5542,2.5542,2.4961,2.4961,1600,21.5000,0
2009-02-03,2.6122,2.6122,2.5541,2.5541,1100,22.0000,0
2009-02-04,2.5541,2.5541,2.5541,2.5541,100,22.0000,0
2009-02-05,2.4961,2.4961,2.4961,2.4961,100,21.5000,0
2009-02-06,2.3220,2.4961,2.3220,2.4961,6100,21.5000,0
2009-02-09,2.4381,2.4381,2.4381,2.4380,900,21.0000,0
2009-02-10,2.5309,2.5309,2.5309,2.5309,100,21.8000,0
2009-02-11,2.5425,2.5425,2.3568,2.3568,1200,20.3000,0
2009-02-12,2.5193,2.5193,2.5193,2.5193,200,21.7000,0
2009-02-13,2.4961,2.4961,2.3452,2.3452,1700,20.2000,0
2009-02-16,2.4265,2.4265,2.2639,2.2871,1300,19.7000,0
2009-02-17,2.2987,2.3800,2.1478,2.2871,1100,19.7000,0
2009-02-18,2.1942,2.2058,2.0897,2.2058,3900,19.0000,0
2009-02-19,2.2058,2.2058,2.2058,2.2058,300,19.0000,0
2009-02-20,2.2058,2.2058,2.2058,2.2058,2100,19.0000,0
2009-02-23,2.1478,2.1478,2.1478,2.1478,600,18.5000,0
2009-02-24,2.1478,2.1478,2.1478,2.1478,3300,18.5000,6000
2009-02-25,2.2755,2.2755,2.2639,2.2639,800,19.5000,0
2009-02-26,2.2639,2.2639,2.2523,2.2639,700,19.5000,0
2009-03-02,2.3800,2.3800,2.3800,2.3800,100,20.5000,0
2009-03-03,2.3220,2.3220,2.3220,2.3219,1000,20.0000,0
2009-03-04,2.3799,2.3799,2.3799,2.3800,1000,20.5000,0
2009-03-05,2.4148,2.4148,2.4148,2.4148,100,20.8000,0
2009-03-06,2.4148,2.4148,2.2755,2.4032,400,20.7000,0
2009-03-09,2.4380,2.4380,2.4380,2.4380,1000,21.0000,0
2009-03-10,2.4264,2.4380,2.4148,2.4380,6200,21.0000,0
2009-03-11,2.4728,2.4728,2.2639,2.2639,1100,19.5000,0
2009-03-12,2.3219,2.3219,2.2059,2.2639,1700,19.5000,0
2009-03-13,2.3219,2.3219,2.0898,2.3219,4100,20.0000,0
2009-03-16,2.2639,2.2639,2.2639,2.2639,500,19.5000,0
2009-03-17,2.2639,2.2639,2.2639,2.2639,1600,19.5000,0
