date,open,high,low,close,volume,unadjusted,putthrough
2006-12-25,25.1044,25.1044,25.1044,25.1044,350,130.0000,0
2006-12-26,26.2631,26.2631,26.2631,26.2631,44660,136.0000,0
2006-12-27,0.0000,26.8424,25.4907,25.4907,23300,132.0000,0
2006-12-28,26.6494,26.6494,26.6494,26.6493,18840,138.0000,0
2006-12-29,26.6493,26.6493,26.2631,26.6493,21900,138.0000,0
2007-01-02,25.4906,25.4906,25.4906,25.4907,7910,132.0000,0
2007-01-03,25.1045,25.1045,24.5251,25.1044,13900,130.0000,0
2007-01-04,25.6837,25.6837,25.1044,25.6838,30590,133.0000,0
2007-01-05,26.8425,26.8425,26.4562,26.8424,70250,139.0000,0
2007-01-08,28.0011,28.0011,27.2286,27.2287,62550,141.0000,0
2007-01-09,27.2287,27.2287,27.2287,27.2287,13480,141.0000,0
2007-01-10,28.0011,28.0011,27.4218,27.4218,40410,142.0000,0
2007-01-11,27.4218,27.4218,27.0356,27.0356,8150,140.0000,0
2007-01-12,26.0700,26.8425,26.0700,26.8424,9280,139.0000,0
2007-01-15,26.2631,28.0011,26.2631,28.0011,10350,145.0000,0
2007-01-16,28.0011,28.0011,28.0011,28.0011,1660,145.0000,0
2007-01-17,29.3529,29.3529,28.3873,28.3873,41080,147.0000,0
2007-01-18,27.0355,28.1942,27.0355,27.6149,6420,143.0000,0
2007-01-19,27.6149,27.6149,27.6149,27.6149,24420,143.0000,0
2007-01-22,27.6149,27.6149,26.8425,26.8424,41300,139.0000,0
2007-01-23,26.8424,26.8424,26.6493,26.8424,12890,139.0000,0
2007-01-24,27.6148,28.0011,27.6148,28.0011,27480,145.0000,0
2007-01-25,28.3873,28.3873,26.6493,26.6493,18520,138.0000,0
2007-01-26,0.0000,27.8080,27.0355,27.0356,28060,140.0000,0
2007-01-29,27.6149,28.3874,27.6149,27.6149,31200,143.0000,0
2007-01-30,27.6149,27.6149,27.0356,27.0356,7560,140.0000,0
2007-01-31,28.0012,28.0012,27.6149,27.6149,76660,143.0000,0
2007-02-01,27.8080,28.3873,27.8080,28.0011,83980,145.0000,0
2007-02-02,28.0011,28.0011,28.0011,28.0011,20580,145.0000,0
2007-02-05,28.0011,28.0011,28.0011,28.0011,34850,145.0000,0
2007-02-06,26.8424,28.0011,26.8424,26.8424,27140,139.0000,0
2007-02-07,27.2286,27.6148,27.2286,27.2287,10980,141.0000,0
2007-02-08,27.0356,27.0356,26.8425,27.0356,36810,140.0000,0
2007-02-09,27.4218,27.4218,27.0356,27.4218,21630,142.0000,0
2007-02-12,27.4218,28.0011,27.4218,28.0011,14760,145.0000,0
2007-02-13,27.8080,27.8080,27.2287,27.8080,25930,144.0000,0
2007-02-14,27.8080,27.8080,27.8080,27.8080,10810,144.0000,0
2007-02-15,27.2287,28.9667,27.2287,27.2287,16400,141.0000,0
2007-02-26,28.5805,28.5805,28.1943,28.5804,9700,148.0000,0
2007-02-27,29.1597,29.3528,29.3528,29.1598,19910,151.0000,0
2007-02-28,28.0011,29.1598,28.0011,28.0011,2860,145.0000,0
2007-03-01,28.0011,28.0011,27.2287,28.0011,4910,145.0000,0
2007-03-02,28.7735,28.7735,28.0011,28.0011,14760,145.0000,0
2007-03-05,28.0011,28.1942,28.0011,28.0011,9870,145.0000,0
2007-03-06,28.0011,28.7735,27.0355,28.0011,23390,145.0000,0
2007-03-07,0.0000,28.0011,27.6149,28.0011,12350,145.0000,0
2007-03-08,28.0011,28.0011,27.6149,27.6149,5090,143.0000,0
2007-03-09,27.6149,28.1942,27.6149,27.6149,34250,143.0000,0
2007-03-12,28.0011,28.0011,27.6149,27.6149,12920,143.0000,0
2007-03-13,27.0356,27.6149,27.0356,27.0356,22130,140.0000,0
2007-03-14,26.4563,28.0012,25.6838,26.4562,21720,137.0000,0
2007-03-15,25.4906,25.4906,25.4906,25.4907,34040,132.0000,0
2007-03-16,25.4907,26.6494,25.4907,26.6493,21350,138.0000,0
2007-03-19,27.8080,27.8080,27.0355,27.4218,18970,142.0000,0
2007-03-20,27.0356,27.0356,26.0700,27.0356,29200,140.0000,0
2007-03-21,27.0356,27.0356,27.0356,27.0356,24120,140.0000,0
2007-03-22,26.6494,27.0356,26.6494,27.0356,30900,140.0000,0
2007-03-23,26.0700,26.8425,26.0700,26.4562,23320,137.0000,0
2007-03-26,26.4562,26.4562,26.0700,26.0700,18700,135.0000,0
2007-03-27,25.1044,25.1044,25.1044,25.1044,18060,130.0000,0
2007-03-28,23.9457,24.7182,23.9457,24.7182,38820,128.0000,0
2007-03-29,25.4906,25.6838,25.1044,25.6838,11320,133.0000,0
2007-03-30,26.0700,26.0700,25.6838,25.6838,28970,133.0000,0
2007-04-02,25.6838,25.6838,24.5251,25.1044,4660,130.0000,0
2007-04-03,25.1044,25.1044,24.7182,24.9113,1540,129.0000,0
2007-04-04,24.9113,24.9113,24.1389,24.1389,21300,125.0000,0
2007-04-05,24.1389,24.7182,24.1389,24.7182,33990,128.0000,0
2007-04-06,24.1389,24.1389,24.1389,24.1389,44540,125.0000,0
2007-04-09,24.3320,24.3320,23.9458,24.1389,62670,125.0000,0
2007-04-10,23.9458,23.9458,23.9458,23.9458,35860,124.0000,0
2007-04-11,24.1389,24.1389,24.1389,24.1389,3990,125.0000,0
2007-04-12,24.1389,24.1389,24.1389,24.1389,9230,125.0000,0
2007-04-13,23.9458,23.9458,23.3665,23.7527,6750,123.0000,0
2007-04-16,23.7527,23.7527,22.5940,22.5940,6450,117.0000,0
2007-04-17,21.6284,21.6284,21.6284,21.6284,19390,112.0000,0
2007-04-18,21.2422,22.5940,21.2422,22.5940,13770,117.0000,0
2007-04-19,22.5940,22.5940,22.5940,22.5940,12040,117.0000,0
2007-04-20,22.5940,22.5940,22.4009,22.4009,2920,116.0000,0
2007-04-23,21.6285,21.6285,21.4353,21.4353,1510,111.0000,0
2007-04-24,20.8560,20.8560,20.4697,20.4698,7600,106.0000,0
2007-04-25,19.6974,19.6974,19.5042,19.5042,11670,101.0000,0
2007-05-02,19.5042,19.8904,19.3111,19.3111,7830,100.0000,0
2007-05-03,19.3111,19.3111,18.5387,18.5387,24750,96.0000,0
2007-05-04,18.5387,18.1525,17.7663,18.1524,9720,94.0000,0
2007-05-07,17.9593,18.5386,17.9593,18.3456,19090,95.0000,0
2007-05-08,19.2146,19.2146,19.1180,19.1180,46360,99.0000,0
2007-05-09,19.8904,19.8904,19.8904,19.8904,20610,103.0000,0
2007-05-10,20.2766,20.4697,20.2766,20.2767,17990,105.0000,0
2007-05-11,20.2767,20.2767,20.2767,20.2767,16310,105.0000,0
2007-05-14,20.2767,20.2767,20.2767,20.2767,8200,105.0000,0
2007-05-15,21.2423,21.2423,21.2423,21.2422,10980,110.0000,0
2007-05-16,21.2422,21.2422,21.2422,21.2422,15410,110.0000,0
2007-05-17,21.2422,21.2422,20.6629,20.6629,8600,107.0000,0
2007-05-18,21.2422,21.2422,21.2422,21.2422,17910,110.0000,0
2007-05-21,22.2078,22.2078,22.2078,22.2078,9050,115.0000,0
2007-05-22,23.1734,23.1734,23.1734,23.1733,38330,120.0000,0
2007-05-23,24.3320,24.3320,24.3320,24.3320,23780,126.0000,0
2007-05-24,24.1389,24.7182,24.1389,24.1389,43750,125.0000,0
2007-05-25,23.5596,23.5596,22.9802,23.5596,22010,122.0000,0
2007-05-28,24.1389,24.1389,23.5596,23.5596,28670,122.0000,0
2007-05-29,22.9803,22.9803,22.7872,22.7871,31500,118.0000,0
2007-05-30,23.6408,23.8597,23.6408,23.8529,39780,109.0000,0
2007-05-31,24.9471,24.9471,24.9471,24.9470,44570,114.0000,0
2007-06-01,26.0412,26.0412,26.0412,26.0412,38560,119.0000,0
2007-06-04,27.1354,27.1354,27.1354,27.1354,99200,124.0000,0
2007-06-05,27.1354,27.1354,25.8224,25.8224,41320,118.0000,0
2007-06-06,25.6036,25.8224,25.6036,25.8224,55340,118.0000,0
2007-06-07,25.8224,25.8224,25.6036,25.6035,31780,117.0000,0
2007-06-08,25.1658,25.1658,24.7282,24.7282,15390,113.0000,0
2007-06-11,24.2905,24.5094,24.0717,24.0717,19870,110.0000,0
2007-06-12,24.0717,24.0717,23.1964,23.1964,14100,106.0000,0
2007-06-13,23.1964,24.0717,23.1964,24.0717,26710,110.0000,0
2007-06-14,24.5094,24.5094,23.1964,24.0717,36230,110.0000,0
2007-06-15,23.8529,24.2905,23.6340,24.2905,32830,111.0000,0
2007-06-18,24.2905,25.3847,24.2905,25.3847,35860,116.0000,0
2007-06-19,26.0412,26.4789,26.0412,26.4789,57890,121.0000,0
2007-06-20,27.1354,27.1354,26.4789,26.4789,71530,121.0000,0
2007-06-21,25.8224,25.8224,25.3847,25.3847,56710,116.0000,0
2007-06-22,25.8224,25.8224,25.3847,25.8224,49150,118.0000,0
2007-06-25,25.8224,25.8224,25.6036,25.6035,32340,117.0000,0
2007-06-26,25.6035,25.8223,25.6035,25.8224,46630,118.0000,0
2007-06-27,25.8224,25.8224,25.3847,25.3847,5250,116.0000,0
2007-06-28,25.1659,25.1659,25.1659,25.1659,26500,115.0000,0
2007-06-29,24.7282,25.1659,24.7282,25.1659,12700,115.0000,0
2007-07-02,25.6036,25.6036,25.1659,25.1659,48100,115.0000,0
2007-07-03,25.1659,25.1659,25.1659,25.1659,44500,115.0000,0
2007-07-04,26.2601,26.2601,26.2601,26.2600,42970,120.0000,0
2007-07-05,26.6977,26.4788,26.2600,26.2600,103030,120.0000,0
2007-07-06,27.1353,27.1353,26.2600,26.2600,63760,120.0000,0
2007-07-09,27.5730,27.5730,27.5730,27.5730,78850,126.0000,0
2007-07-10,28.8860,28.8860,28.8860,28.8860,39250,132.0000,0
2007-07-11,30.1990,30.1990,30.1990,30.1990,37440,138.0000,0
2007-07-12,31.5120,31.5120,30.1990,30.1990,166860,138.0000,0
2007-07-13,30.1990,30.4178,30.1990,30.4179,97620,139.0000,0
2007-07-16,29.3237,29.3237,29.1049,29.1049,78750,133.0000,0
2007-07-17,29.1049,30.4179,29.1049,30.4179,51240,139.0000,0
2007-07-18,29.7614,29.7614,29.5426,29.5425,32310,135.0000,0
2007-07-19,29.3237,29.3237,29.1048,29.3237,34980,134.0000,0
2007-07-20,28.8860,28.8860,28.8860,28.8860,37140,132.0000,0
2007-07-23,28.4483,30.1990,28.4483,30.1990,40660,138.0000,0
2007-07-24,30.6367,30.6367,30.6367,30.6367,69550,140.0000,0
2007-07-25,30.6367,30.6367,30.6367,30.6367,54870,140.0000,0
2007-07-26,30.1990,30.1990,29.5425,29.5425,13400,135.0000,0
2007-07-27,29.1048,29.3237,28.8860,28.8860,23360,132.0000,0
2007-07-30,27.5730,28.2295,27.5730,27.7919,20250,127.0000,0
2007-07-31,27.5731,27.5731,27.1354,27.1354,28670,124.0000,0
2007-08-01,28.0107,28.2296,28.0107,28.2295,26490,129.0000,0
2007-08-02,28.2295,28.4483,28.0107,28.4484,31670,130.0000,0
2007-08-03,28.4484,28.4484,27.5731,27.5730,31910,126.0000,0
2007-08-06,27.3542,27.5730,27.1353,27.1354,18210,124.0000,0
2007-08-07,27.1354,27.1354,26.6977,27.1354,44200,124.0000,0
2007-08-08,27.5731,28.4484,27.3542,28.4484,9690,130.0000,0
2007-08-09,28.4484,28.4484,28.0107,28.4484,35680,130.0000,0
2007-08-10,28.8861,28.8861,28.2296,28.6672,36560,131.0000,0
2007-08-13,28.6672,28.6672,27.7919,28.2295,44110,129.0000,0
2007-08-14,28.4483,28.8860,28.2295,28.4484,33890,130.0000,0
