date,open,high,low,close,volume,unadjusted,putthrough
2009-12-23,2.7535,2.7816,2.7535,2.7816,2600,19.8000,0
2009-12-24,2.7535,2.7535,2.5709,2.7535,1000,19.6000,0
2009-12-25,2.6692,2.6692,2.6692,2.6693,1500,19.0000,0
2009-12-31,2.6974,2.6974,2.6693,2.6693,900,19.0000,0
2010-01-04,2.5429,2.5429,2.5429,2.5428,1000,18.1000,0
2010-01-05,2.5428,2.5428,2.3742,2.3883,11500,17.0000,0
2010-01-06,2.5288,2.5288,2.2338,2.2337,3200,15.9000,0
2010-01-08,2.1354,2.2478,2.1354,2.2478,24300,16.0000,0
2010-01-11,2.0371,2.0371,2.0371,2.0371,200,14.5000,0
2010-01-12,2.1776,2.1776,2.1073,2.1073,900,15.0000,0
2010-01-13,2.2478,2.2478,2.2478,2.2478,700,16.0000,0
2010-01-14,2.1073,2.1073,2.1073,2.1073,1000,15.0000,0
2010-01-15,1.9809,1.9949,1.9809,1.9809,900,14.1000,0
2010-01-18,1.8545,1.8966,1.8545,1.8544,1500,13.2000,0
2010-01-20,1.8965,1.8965,1.8684,1.8685,1700,13.3000,0
2010-01-22,1.9106,2.0089,1.9106,2.0090,200,14.3000,0
2010-01-26,2.0792,2.0792,2.0792,2.0792,300,14.8000,0
2010-01-27,1.9387,1.9387,1.9387,1.9387,1800,13.8000,0
2010-01-29,2.0370,2.0370,2.0370,2.0371,100,14.5000,0
2010-02-02,1.8966,1.9107,1.8966,1.9106,2000,13.6000,0
2010-02-03,1.7701,1.7701,1.7701,1.7701,500,12.6000,0
2010-02-08,1.6577,1.6718,1.6577,1.6577,1400,11.8000,0
2010-02-09,1.5594,1.5594,1.5594,1.5594,6100,11.1000,0
2010-02-10,1.6577,1.6577,1.6577,1.6577,100,11.8000,0
2010-02-11,1.7701,1.7701,1.7701,1.7701,700,12.6000,0
2010-02-12,1.6577,1.8684,1.6577,1.8685,300,13.3000,0
2010-03-05,1.7561,1.7561,1.7561,1.7561,500,12.5000,0
2010-03-09,1.6437,1.6437,1.6437,1.6437,300,11.7000,0
2010-03-10,1.6156,1.6156,1.5313,1.5313,11000,10.9000,0
2010-03-11,1.5734,1.5734,1.5734,1.5735,600,11.2000,0
2010-03-12,1.5735,1.5875,1.5454,1.5735,5100,11.2000,0
2010-03-15,1.6578,1.6578,1.6578,1.6577,100,11.8000,0
2010-03-16,1.7560,1.7701,1.7560,1.7701,6500,12.6000,0
2010-03-17,1.7982,1.8825,1.7982,1.8825,12300,13.4000,0
2010-03-18,1.9949,1.9949,1.9949,1.9949,2700,14.2000,0
2010-03-19,2.1213,2.1213,2.1213,2.1214,3100,15.1000,0
