date,open,high,low,close,volume,unadjusted,putthrough
2006-12-20,2.3969,2.3969,2.3969,2.3969,69230,53.5000,0
2006-12-21,2.3969,2.5089,2.2849,2.2849,137260,51.0000,0
2006-12-22,2.1729,2.1729,2.1729,2.1729,35690,48.5000,0
2006-12-25,2.0654,2.2625,2.0654,2.2625,55220,50.5000,0
2006-12-26,2.2625,2.2625,2.1505,2.2311,94420,49.8000,0
2006-12-27,0.0000,2.2401,2.1773,2.1773,28550,48.6000,0
2006-12-28,2.1773,2.1773,2.0877,2.0877,31670,46.6000,0
2006-12-29,2.0877,2.0877,2.0608,2.0609,60540,46.0000,0
2007-01-02,2.0161,2.0788,2.0161,2.0161,62950,45.0000,0
2007-01-03,2.0116,2.0116,1.9668,1.9668,24700,43.9000,0
2007-01-04,2.0609,2.0609,2.0161,2.0609,37880,46.0000,0
2007-01-05,2.1639,2.1639,2.1281,2.1281,31370,47.5000,0
2007-01-08,2.1281,2.1281,2.0564,2.0609,21690,46.0000,0
2007-01-09,2.0609,2.0609,2.0609,2.0609,16190,46.0000,0
2007-01-10,2.0609,2.0609,2.0206,2.0205,20790,45.1000,0
2007-01-11,2.0384,2.0384,2.0160,2.0161,33950,45.0000,0
2007-01-12,2.0161,2.0161,2.0161,2.0161,25100,45.0000,0
2007-01-15,2.1147,2.1147,2.1147,2.1146,33360,47.2000,0
2007-01-16,2.2176,2.2176,2.2176,2.2177,16920,49.5000,0
2007-01-17,2.2401,2.2401,2.1102,2.1101,50510,47.1000,0
2007-01-18,2.0608,2.1280,2.0608,2.1057,38250,47.0000,0
2007-01-19,2.1281,2.1281,2.1057,2.1057,20250,47.0000,0
2007-01-22,2.1415,2.1415,2.0609,2.0833,24150,46.5000,0
2007-01-23,1.9803,2.0609,1.9803,2.0609,22540,46.0000,0
2007-01-24,2.1057,2.1057,1.9937,2.0161,27500,45.0000,0
2007-01-25,1.9310,2.0161,1.9310,1.9937,24580,44.5000,0
2007-01-26,0.0000,2.0161,1.9937,2.0161,15560,45.0000,0
2007-01-29,2.0833,2.1147,2.0833,2.0833,14450,46.5000,0
2007-01-30,2.1863,2.1863,2.1863,2.1863,6230,48.8000,0
2007-01-31,2.2849,2.2849,2.2849,2.2849,10700,51.0000,0
2007-02-01,2.3969,2.3969,2.3969,2.3969,11980,53.5000,0
2007-02-02,2.5089,2.5089,2.5089,2.5089,18280,56.0000,0
2007-02-05,2.6209,2.6209,2.6209,2.6209,25480,58.5000,0
2007-02-06,2.5089,2.6881,2.5089,2.5089,106130,56.0000,0
2007-02-07,2.6229,2.6229,2.6229,2.6230,64210,57.5000,0
2007-02-08,2.7370,2.7370,2.7370,2.7370,78110,60.0000,0
2007-02-09,2.6914,2.7370,2.6230,2.6914,58910,59.0000,0
2007-02-12,2.8054,2.8054,2.8054,2.8054,54670,61.5000,0
2007-02-13,2.9422,2.9422,2.9422,2.9423,32600,64.5000,0
2007-02-14,3.0792,3.0792,3.0792,3.0791,45660,67.5000,0
2007-02-15,3.2159,3.2159,3.2159,3.2160,16780,70.5000,0
2007-02-26,3.3757,3.3757,3.3757,3.3756,100,74.0000,0
2007-02-27,3.5353,3.5353,3.5353,3.5353,3670,77.5000,0
2007-02-28,3.6950,3.6950,3.6493,3.6950,125030,81.0000,0
2007-03-01,3.8775,3.8775,3.8775,3.8774,23080,85.0000,0
2007-03-02,4.0599,4.0599,4.0599,4.0599,29330,89.0000,0
2007-03-05,4.2424,4.2424,4.0599,4.2424,1100,93.0000,0
2007-03-06,4.4477,4.4477,4.4477,4.4476,3710,97.5000,0
