date,open,high,low,close,volume,unadjusted,putthrough
2007-11-05,30.8052,30.8052,29.8622,29.8622,3379950,95.0000,0
2007-11-06,28.4477,28.4477,28.4477,28.4477,572750,90.5000,0
2007-11-07,27.0332,28.9192,27.0332,27.8190,2758160,88.5000,61000
2007-11-08,27.6618,27.9762,27.0332,27.1903,1424890,86.5000,40000
2007-11-09,26.0901,26.5616,26.0901,26.4045,2272600,84.0000,40000
2007-11-12,26.4045,26.8760,26.0902,26.7188,1667190,85.0000,41000
2007-11-13,26.7188,26.8760,26.0901,26.5616,2910860,84.5000,70000
2007-11-14,26.7188,27.8190,26.5616,27.8190,2139660,88.5000,138000
2007-11-15,27.3475,27.5047,26.7188,26.7188,1016050,85.0000,30000
2007-11-16,26.2473,26.5616,26.0901,26.2473,855700,83.5000,88000
2007-11-19,26.2473,26.4045,25.9330,25.9329,887740,82.5000,20000
2007-11-20,25.4614,25.4614,25.3042,25.3043,1203340,80.5000,20000
2007-11-21,24.8328,25.1471,24.8328,25.1471,1338580,80.0000,0
2007-11-22,25.3043,25.6186,25.1471,25.1471,900600,80.0000,0
2007-11-23,25.1471,25.3043,24.8328,24.8328,588830,79.0000,50000
2007-11-26,24.8328,25.1471,24.8328,24.8328,528680,79.0000,118580
2007-11-27,25.1471,25.1471,24.8328,24.8328,615750,79.0000,0
2007-11-28,24.8328,24.9900,24.5185,24.5184,667720,78.0000,0
2007-11-29,24.5184,24.5184,24.2041,24.2041,834760,77.0000,0
2007-11-30,23.8898,24.3613,23.8898,24.3612,848210,77.5000,30000
2007-12-03,24.8327,24.8327,24.6755,24.8328,630220,79.0000,0
2007-12-04,24.9900,25.1471,24.8328,24.9899,796420,79.5000,0
2007-12-05,24.9899,24.9899,24.5184,24.6756,973250,78.5000,0
2007-12-06,24.5184,24.6756,24.5184,24.6756,456540,78.5000,0
2007-12-07,24.5184,24.6756,24.3613,24.5184,377460,78.0000,0
2007-12-10,23.8897,24.2041,23.5754,23.5754,852870,75.0000,26000
2007-12-11,22.7896,23.5754,22.4752,22.9467,1485050,73.0000,200000
2007-12-12,22.9467,23.7325,22.9467,23.4182,581180,74.5000,0
2007-12-13,23.4182,23.5754,23.1039,23.1039,427130,73.5000,0
2007-12-14,23.1039,23.1039,22.9467,22.9467,492400,73.0000,0
2007-12-17,22.7895,22.7895,22.1609,22.1609,384540,70.5000,20000
2007-12-18,22.3181,22.9467,22.1609,22.9467,1043170,73.0000,23000
2007-12-19,23.4182,24.0469,23.2610,23.8897,948480,76.0000,50000
2007-12-20,23.8897,23.8897,23.1039,23.1039,524070,73.5000,0
2007-12-21,23.1039,23.2611,23.1039,23.2611,425260,74.0000,20000
2007-12-24,22.9468,23.2611,22.7896,23.1039,532460,73.5000,38000
2007-12-25,22.7896,22.9467,22.6324,22.7896,552150,72.5000,0
2007-12-26,22.7896,22.7896,22.6324,22.7896,537030,72.5000,0
2007-12-27,22.7896,22.9468,22.7896,22.7896,389360,72.5000,0
2007-12-28,22.7896,23.2611,22.6324,23.2611,539370,74.0000,179750
2008-01-02,23.2611,23.2611,23.1039,23.2611,700320,74.0000,120000
2008-01-03,22.9468,23.1039,22.7896,22.7896,336450,72.5000,65000
2008-01-04,22.6324,22.9468,22.6324,22.6324,277810,72.0000,0
2008-01-07,22.6324,22.6324,22.0037,22.0037,650020,70.0000,80000
2008-01-08,22.3180,22.6324,22.3180,22.3180,630360,71.0000,0
2008-01-09,22.1608,22.4752,22.0037,22.0037,678580,70.0000,83000
2008-01-10,21.6894,21.8465,21.2179,21.3750,789140,68.0000,0
2008-01-11,21.6893,21.8465,21.5322,21.5322,706860,68.5000,0
2008-01-14,21.6894,21.6894,20.9035,20.9035,567450,66.5000,0
2008-01-15,20.2748,20.4320,19.9605,19.9605,1022110,63.5000,127000
2008-01-16,20.9035,20.9035,20.5892,20.9035,1056830,66.5000,0
2008-01-17,20.9035,20.9035,20.1177,20.4320,830310,65.0000,108000
2008-01-18,20.4320,20.9035,20.2748,20.7464,337570,66.0000,0
2008-01-21,20.4321,20.5892,20.2749,20.2748,248090,64.5000,59500
2008-01-22,19.8033,19.9605,19.6461,19.8033,482620,63.0000,40000
2008-01-23,19.4890,19.4890,18.8603,19.0175,911760,60.5000,120500
2008-01-24,19.3318,19.4890,19.0175,19.0175,1071270,60.5000,0
2008-01-25,19.0175,19.4890,18.8603,19.1747,742600,61.0000,0
2008-01-28,19.0175,19.4890,19.0175,19.4890,678990,62.0000,0
2008-01-29,19.6462,20.4320,19.4890,20.4320,1132100,65.0000,0
2008-01-30,21.3750,21.3750,21.0607,21.3750,1473030,68.0000,0
2008-01-31,21.0607,21.2178,20.4320,21.2179,1554860,67.5000,0
2008-02-01,21.3751,21.5322,21.2179,21.5322,1169310,68.5000,0
2008-02-12,21.5322,21.5322,21.0607,21.0607,735250,67.0000,0
2008-02-13,21.0607,21.0607,20.4320,20.7464,676590,66.0000,0
2008-02-14,20.9036,21.2179,20.7464,20.7464,1001960,66.0000,0
2008-02-15,20.7464,20.7464,20.4321,20.4320,490090,65.0000,0
2008-02-18,19.6462,19.8033,19.4890,19.4890,1300970,62.0000,20000
2008-02-19,19.1747,19.6462,19.1747,19.4890,1054750,62.0000,0
2008-02-20,19.4890,19.4890,18.5460,18.5460,1099330,59.0000,0
2008-02-21,17.7602,17.9173,17.7602,17.7601,1570450,56.5000,30000
2008-02-22,16.9743,17.9173,16.9743,17.7601,1917560,56.5000,0
2008-02-25,18.2316,18.5459,18.0744,18.5460,986860,59.0000,0
2008-02-26,18.3888,18.3888,17.7602,17.7601,1462260,56.5000,0
2008-02-27,17.6029,18.2316,17.6029,17.9173,776840,57.0000,0
2008-02-28,18.0745,18.2316,17.7601,17.9173,966770,57.0000,0
2008-02-29,17.9173,18.0745,17.4458,17.6030,932430,56.0000,20000
