date,open,high,low,close,volume,unadjusted,putthrough
2007-11-30,27.8082,28.9205,27.2520,27.5301,456960,99.0000,0
2007-12-03,26.6959,26.9739,26.4178,26.6959,186050,96.0000,0
2007-12-04,26.6959,26.9740,26.4178,26.4178,126880,95.0000,0
2007-12-05,26.2788,26.2788,25.8616,26.0007,75740,93.5000,0
2007-12-06,25.3055,25.5836,25.3055,25.3055,119550,91.0000,0
2007-12-07,25.0274,25.8617,25.0274,25.5836,91490,92.0000,0
2007-12-10,25.3055,25.3055,24.7494,24.8884,112090,89.5000,0
2007-12-11,24.3322,24.4713,23.9151,23.9151,59930,86.0000,0
2007-12-12,23.6370,24.7493,23.4980,24.3322,58290,87.5000,0
2007-12-13,24.1932,24.1932,23.4980,23.4979,64800,84.5000,0
2007-12-14,23.2198,23.3589,22.8027,22.8027,89610,82.0000,0
2007-12-17,22.2465,22.3856,21.8294,21.8294,125770,78.5000,0
2007-12-18,21.8294,22.5246,21.8294,22.5247,35090,81.0000,0
2007-12-19,23.0809,23.6370,23.0809,23.6370,78920,85.0000,0
2007-12-20,23.9151,23.9151,22.8028,23.0808,85820,83.0000,0
2007-12-21,22.9418,23.4979,22.9418,23.3589,55120,84.0000,0
2007-12-24,23.3589,23.3589,23.2199,23.2199,40280,83.5000,0
2007-12-25,22.9418,23.2199,22.9418,23.0808,53110,83.0000,0
2007-12-26,23.0808,23.3589,23.0808,23.3589,40630,84.0000,0
2007-12-27,23.3589,23.6370,23.3589,23.4979,111370,84.5000,0
2007-12-28,23.6369,23.7760,23.4979,23.6370,112470,85.0000,0
2008-01-02,24.0541,24.1932,23.9151,23.9151,143780,86.0000,0
2008-01-03,24.1932,24.1932,23.9151,23.9151,95550,86.0000,0
2008-01-04,23.9151,23.9151,23.6370,23.6370,28890,85.0000,0
2008-01-07,23.0808,23.3589,22.6637,23.3589,78990,84.0000,0
2008-01-08,23.6370,23.6370,23.0808,23.0808,41550,83.0000,0
2008-01-09,22.8027,22.8027,22.3856,22.3856,81550,80.5000,0
2008-01-10,22.1075,22.2466,21.9685,22.2466,127650,80.0000,0
2008-01-11,22.2466,22.5247,22.2466,22.5247,57180,81.0000,0
2008-01-14,22.2466,22.3857,21.9685,21.9685,96000,79.0000,0
