date,open,high,low,close,volume,unadjusted,putthrough
2012-04-11,7.6414,7.6414,7.6414,7.6414,100,20.0000,0
2012-04-12,7.2593,7.4122,7.2593,7.4121,110,19.4000,0
2012-04-13,7.0682,7.0682,7.0682,7.0683,1150,18.5000,0
2012-04-16,7.0683,7.0683,6.7244,6.7244,1520,17.6000,0
2012-04-17,6.7244,6.7244,6.7244,6.7244,1680,17.6000,0
2012-04-18,7.0301,7.0301,7.0301,7.0300,70,18.4000,0
2012-04-19,7.0300,7.0300,7.0300,7.0300,2100,18.4000,0
2012-04-20,6.6861,6.6861,6.6861,6.6862,10,17.5000,0
2012-04-23,6.8772,6.8772,6.8772,6.8772,2000,18.0000,0
2012-04-24,6.8772,6.8772,6.8772,6.8772,1500,18.0000,0
2012-04-26,7.5267,7.5267,7.5267,7.5267,70,19.7000,0
2012-04-27,7.7177,7.7177,7.7177,7.7178,500,20.2000,0
2012-05-02,7.8706,7.9088,7.8706,7.8706,3200,20.6000,0
2012-05-03,8.0234,8.2527,8.0234,8.2527,3030,21.6000,0
2012-05-04,8.2527,8.6348,8.2527,8.6347,1210,22.6000,0
2012-05-07,9.0550,9.0550,9.0550,9.0550,1700,23.7000,0
2012-05-08,9.3989,9.3989,9.3989,9.3989,20,24.6000,0
2012-05-10,9.1599,9.3591,8.9608,9.3593,820,23.5000,0
2012-05-11,9.1602,9.1602,9.1602,9.1602,500,23.0000,0
2012-05-14,8.8018,8.8018,8.8018,8.8017,100,22.1000,0
2012-05-15,8.5229,8.5229,8.4831,8.4831,200,21.3000,0
2012-05-16,8.2043,8.4831,8.0848,8.2043,5200,20.6000,0
2012-05-17,7.8060,7.8060,7.6866,7.6866,520,19.3000,0
2012-05-18,7.6866,7.6866,7.3282,7.3281,1570,18.4000,0
2012-05-21,7.6865,7.6865,7.6865,7.6866,260,19.3000,0
2012-05-22,7.9654,8.0450,7.9654,8.0450,2130,20.2000,0
2012-05-23,7.7662,8.0450,7.7662,8.0450,1000,20.2000,0
2012-05-24,8.1645,8.1645,8.1247,8.1645,800,20.5000,20000
2012-05-25,7.7662,8.5229,7.7662,8.5229,280,21.4000,0
2012-05-30,8.1246,8.1246,8.1246,8.1247,10,20.4000,0
2012-05-31,7.8061,8.3637,7.8061,8.1247,1280,20.4000,0
2012-06-01,8.1247,8.2044,8.1247,8.2043,90,20.6000,0
2012-06-04,8.1246,8.1246,8.1246,8.1247,500,20.4000,0
2012-06-06,8.2044,8.2044,8.2044,8.2043,2070,20.6000,0
2012-06-07,8.0052,8.2840,8.0052,8.2840,630,20.8000,0
2012-06-08,8.3637,8.6823,8.3238,8.6822,8120,21.8000,0
2012-06-11,9.0805,9.0805,8.3238,8.3238,790,20.9000,0
2012-06-12,8.3238,8.7221,8.3238,8.7221,100,21.9000,0
2012-06-13,8.7221,9.1204,8.3238,9.1203,13240,22.9000,0
2012-06-14,8.6822,8.6822,8.6822,8.6822,2000,21.8000,0
2012-06-15,8.6822,8.6822,8.6822,8.6822,2000,21.8000,0
2012-06-18,8.6822,9.0805,8.6822,9.0805,13020,22.8000,0
2012-06-19,9.0805,9.0805,8.7619,8.7619,2100,22.0000,0
2012-06-20,8.7619,9.1602,8.7619,9.1602,9180,23.0000,0
2012-06-21,8.8416,8.8416,8.7619,8.7619,4400,22.0000,0
2012-06-22,8.7619,8.8017,8.7619,8.8017,18300,22.1000,0
2012-06-25,8.8017,8.8415,8.8017,8.8415,2220,22.2000,0
2012-06-26,8.7618,8.8415,8.7618,8.8415,2600,22.2000,0
2012-06-27,9.0805,9.2796,8.5627,9.1602,10950,23.0000,0
2012-06-28,8.7221,8.7221,8.7221,8.7221,120,21.9000,0
2012-06-29,9.1204,9.1204,8.8416,8.8415,260,22.2000,0
2012-07-02,9.2796,9.2796,8.9610,8.9610,6270,22.5000,0
2012-07-03,9.3991,9.3991,9.3991,9.3991,1730,23.6000,0
2012-07-05,9.5584,9.5584,9.5584,9.5584,6240,24.0000,0
2012-07-06,9.5186,9.5186,9.3593,9.3593,440,23.5000,0
2012-07-09,8.9212,9.5584,8.9212,9.0008,6020,22.6000,0
2012-07-10,9.4389,9.4389,9.4389,9.4389,2500,23.7000,0
2012-07-11,9.0805,9.5584,9.0805,9.5584,100,24.0000,0
2012-07-13,9.5584,9.5584,9.5584,9.5584,710,24.0000,0
2012-07-16,9.3593,9.5186,9.3593,9.5186,910,23.9000,0
2012-07-17,9.1602,9.5584,9.1602,9.5584,130,24.0000,0
2012-07-19,9.4787,9.5186,9.4787,9.5186,5360,23.9000,0
2012-07-20,9.5584,9.5584,9.5584,9.5584,7340,24.0000,0
2012-07-23,9.3991,9.5186,9.1601,9.1602,5030,23.0000,0
2012-07-24,9.2399,9.2399,9.2399,9.2398,270,23.2000,0
2012-07-25,9.1601,9.1601,9.1601,9.1602,10,23.0000,0
2012-07-26,9.1602,9.1602,9.1602,9.1602,10,23.0000,0
2012-07-27,9.1602,9.1602,9.1602,9.1602,1350,23.0000,0
2012-07-30,9.3593,9.3593,9.1602,9.1602,8390,23.0000,0
2012-07-31,9.1602,9.3195,9.1602,9.3195,5130,23.4000,0
2012-08-01,9.2797,9.2797,9.2797,9.2796,1320,23.3000,0
2012-08-03,9.2398,9.2398,9.1999,9.2000,150,23.1000,0
2012-08-06,9.2000,9.2797,9.2000,9.2796,5560,23.3000,0
2012-08-07,9.2796,9.3194,9.2398,9.3195,1960,23.4000,0
2012-08-08,9.3593,9.5585,9.3593,9.5584,3100,24.0000,0
2012-08-13,9.5584,9.5584,9.5584,9.5584,1100,24.0000,0
2012-08-14,9.5584,9.5584,9.5584,9.5584,10,24.0000,0
2012-08-15,9.5584,9.5982,9.5584,9.5982,110,24.1000,0
2012-08-21,9.5584,9.5584,9.2398,9.2398,3120,23.2000,0
2012-08-22,9.2398,9.2398,9.2398,9.2398,90,23.2000,0
2012-08-23,9.0008,9.0407,8.8415,8.8415,4250,22.2000,0
2012-08-27,9.0406,9.2796,9.0406,9.2796,2560,23.3000,0
2012-08-28,9.3991,9.3991,9.3991,9.3991,1000,23.6000,0
2012-08-29,9.3991,9.3991,9.3991,9.3991,3330,23.6000,0
2012-08-30,9.5186,9.5186,9.5186,9.5186,2020,23.9000,0
2012-08-31,9.5584,9.5584,9.3991,9.5186,3700,23.9000,0
2012-09-04,9.3195,9.3195,9.2796,9.2796,2300,23.3000,0
2012-09-06,9.3593,9.5584,9.3593,9.5584,2540,24.0000,0
2012-09-10,9.5584,9.5584,9.3991,9.4788,2720,23.8000,0
2012-09-11,9.4788,9.4788,9.4788,9.4788,10,23.8000,0
2012-09-13,9.5585,9.5585,9.5585,9.5584,3000,24.0000,0
2012-09-19,9.4389,9.5982,9.4389,9.5982,4500,24.1000,0
2012-09-20,9.5185,9.5185,9.5185,9.5186,100,23.9000,0
2012-09-21,9.5584,9.5584,9.5584,9.5584,1230,24.0000,0
2012-09-24,9.4787,9.5186,9.4787,9.4788,2410,23.8000,0
2012-09-26,9.4390,9.4390,9.4390,9.4389,10,23.7000,0
2012-09-28,9.5584,9.5584,9.5584,9.5584,2000,24.0000,0
2012-10-02,9.5584,9.5584,9.5584,9.5584,50,24.0000,0
2012-10-03,9.5584,9.5584,9.5584,9.5584,30,24.0000,0
2012-10-08,9.5584,9.5982,9.5584,9.5982,240,24.1000,0
2012-10-09,9.4389,9.4389,9.4389,9.4389,90,23.7000,0
2012-10-10,9.5584,9.5584,9.5584,9.5584,1500,24.0000,0
2012-10-12,9.5982,9.5982,9.5982,9.5982,40,24.1000,0
2012-10-16,9.5982,9.5982,9.5982,9.5982,400,24.1000,0
2012-10-17,9.6779,9.6779,9.5982,9.5982,100,24.1000,0
2012-10-18,9.6380,9.6380,9.6380,9.6381,500,24.2000,0
2012-10-22,9.6381,9.6381,9.6381,9.6381,3280,24.2000,0
2012-10-23,9.6779,9.6779,9.6381,9.6779,2980,24.3000,0
2012-10-24,9.6779,9.6779,9.4788,9.4788,1050,23.8000,0
2012-11-05,9.5186,9.5186,9.5186,9.5186,250,23.9000,0
2012-11-09,9.5584,9.5584,9.5584,9.5584,350,24.0000,0
2012-11-14,9.5584,9.5584,9.5584,9.5584,100,24.0000,0
2012-11-15,9.5584,9.5584,9.5584,9.5584,470,24.0000,0
2012-11-21,9.5186,9.5186,9.4787,9.5186,4790,23.9000,0
2012-11-22,9.5584,9.5584,9.5584,9.5584,260,24.0000,0
2012-11-23,9.5584,9.5584,9.5584,9.5584,50,24.0000,0
2012-11-26,9.4787,9.4787,9.4787,9.4788,90,23.8000,0
2012-11-27,9.4788,9.4788,9.4788,9.4788,1000,23.8000,0
2012-11-28,9.4390,9.4390,9.4390,9.4389,90,23.7000,0
2012-12-03,9.5584,9.5584,9.5584,9.5584,10,24.0000,0
2012-12-12,9.5982,9.6779,9.5982,9.6779,660,24.3000,0
2012-12-13,9.7974,9.7974,9.6779,9.6779,1000,24.3000,0
2012-12-14,9.7576,9.9567,9.7576,9.9567,2780,25.0000,0
2012-12-17,10.1558,10.3550,10.1558,10.3550,790,26.0000,0
2012-12-20,10.3550,10.3550,10.3550,10.3550,210,26.0000,0
2012-12-21,10.5541,10.5541,10.5541,10.5541,500,26.5000,0
2012-12-24,10.1558,10.7532,10.1558,10.7532,150,27.0000,0
2012-12-27,10.5541,10.7532,10.5541,10.7532,1130,27.0000,0
2013-01-02,10.7532,10.7532,10.7532,10.7532,500,27.0000,0
2013-01-03,10.7532,10.7532,10.7532,10.7532,1500,27.0000,0
2013-01-04,10.7532,10.8329,10.7532,10.7532,4070,27.0000,0
2013-01-07,10.7532,10.7930,10.7532,10.7931,1630,27.1000,0
2013-01-08,10.7533,10.7533,10.7533,10.7532,4000,27.0000,0
2013-01-09,10.9523,10.9523,10.9523,10.9524,600,27.5000,0
2013-01-10,11.2531,11.2531,11.2101,11.2527,1200,26.2000,0
2013-01-14,10.8662,10.8662,10.8662,10.8661,10,25.3000,0
2013-01-15,10.6943,11.3385,10.6943,11.3386,30,26.4000,0
2013-01-16,11.3386,11.3386,10.9521,10.9520,1410,25.5000,0
2013-01-17,10.9520,10.9520,10.9520,10.9520,1000,25.5000,0
2013-01-18,11.1667,11.1667,11.1667,11.1668,100,26.0000,0
2013-01-22,11.1668,11.1668,11.0809,11.1668,1680,26.0000,0
2013-01-23,11.1668,11.1668,11.0380,11.0379,1170,25.7000,0
2013-01-28,11.0379,11.0379,11.0379,11.0379,30,25.7000,0
2013-01-29,11.0379,11.0379,11.0379,11.0379,3770,25.7000,0
2013-01-30,11.0379,11.0379,10.9520,10.9520,110,25.5000,0
2013-01-31,10.9520,10.9520,10.9520,10.9520,5010,25.5000,0
2013-02-01,10.9520,10.9520,10.9520,10.9520,2030,25.5000,0
2013-02-05,10.9520,10.9520,10.9091,10.9520,3640,25.5000,0
2013-02-06,10.7373,10.9520,10.7373,10.9520,3010,25.5000,0
2013-02-07,10.9520,10.9520,10.9520,10.9520,3900,25.5000,0
2013-02-19,10.6514,10.6943,10.6514,10.6943,1410,24.9000,0
2013-02-20,10.6514,10.6514,10.6514,10.6514,300,24.8000,0
2013-02-22,10.6514,10.6514,10.6514,10.6514,120,24.8000,0
2013-02-25,10.7373,10.7373,10.6085,10.6514,340,24.8000,0
2013-02-27,9.9213,10.7373,9.9213,10.7373,790,25.0000,0
2013-02-28,10.4796,10.4796,10.4796,10.4796,90,24.4000,0
2013-03-01,10.2649,10.2649,10.2649,10.2649,270,23.9000,0
2013-03-04,10.2649,10.2649,9.6207,9.6206,650,22.4000,0
2013-03-05,10.0930,10.0930,9.6635,9.6636,2000,22.5000,0
2013-03-06,10.0931,10.0931,10.0931,10.0931,5000,23.5000,0
2013-03-07,10.3078,10.3078,10.3078,10.3078,1800,24.0000,0
2013-03-08,10.3078,10.3078,10.3078,10.3078,6390,24.0000,0
2013-03-11,10.3078,10.3078,10.2649,10.2649,5450,23.9000,0
2013-03-12,10.3078,10.5226,10.3078,10.5225,9740,24.5000,0
2013-03-13,10.3507,10.3507,10.3078,10.3078,4140,24.0000,0
2013-03-14,10.3937,10.4796,10.3078,10.4796,7300,24.4000,0
2013-03-15,10.4796,10.5225,10.4796,10.5225,1350,24.5000,0
2013-03-18,10.7372,10.7372,10.3078,10.4796,10960,24.4000,0
2013-03-19,10.3937,10.3937,10.3937,10.3937,80,24.2000,0
2013-03-20,10.4366,10.4366,10.3508,10.3508,4840,24.1000,0
2013-03-21,10.3079,10.3937,10.3079,10.3508,8120,24.1000,0
2013-03-22,10.3079,10.3508,10.2649,10.3078,6110,24.0000,0
2013-03-25,10.3078,10.3078,10.2649,10.2649,1650,23.9000,0
2013-03-26,10.3078,10.3937,10.3078,10.3937,1470,24.2000,0
2013-03-27,10.3937,10.4366,10.3937,10.4366,60,24.3000,0
2013-03-28,10.2648,10.4366,10.2648,10.4366,2330,24.3000,0
2013-03-29,10.3937,10.4366,10.3937,10.4366,2260,24.3000,0
2013-04-01,10.4795,10.4795,10.3078,10.3078,1400,24.0000,0
2013-04-02,10.3078,10.3078,10.3078,10.3078,2000,24.0000,0
2013-04-03,10.3507,10.4366,10.3507,10.4366,1720,24.3000,0
2013-04-04,10.4795,10.6084,10.4795,10.6084,1000,24.7000,0
2013-04-05,10.3937,10.7372,10.3078,10.6943,5520,24.9000,0
2013-04-08,10.8231,10.8231,10.8231,10.8232,420,25.2000,0
2013-04-09,10.4367,10.5226,10.4367,10.5225,120,24.5000,0
2013-04-10,10.5225,10.6943,10.5225,10.5655,2110,24.6000,0
2013-04-11,10.6084,10.6943,10.6084,10.6084,1490,24.7000,0
2013-04-12,10.5225,10.6084,10.5225,10.6084,4850,24.7000,0
2013-04-15,10.3078,10.5225,10.3078,10.4796,1410,24.4000,0
2013-04-16,10.4796,10.5225,10.3078,10.5225,2890,24.5000,0
2013-04-17,10.5225,10.5225,10.5225,10.5225,3600,24.5000,0
2013-04-18,10.5225,10.5225,10.4366,10.5225,5130,24.5000,0
2013-04-22,10.5225,10.5225,10.5225,10.5225,2430,24.5000,0
2013-04-23,10.4366,10.5225,10.4366,10.5225,400,24.5000,0
2013-04-25,10.6513,10.6513,10.6513,10.6514,5090,24.8000,0
2013-05-06,10.9520,11.1668,10.9520,11.1668,5400,26.0000,0
2013-05-07,11.1239,11.1668,10.9521,10.9520,4190,25.5000,0
2013-05-09,10.3554,11.0307,10.3554,11.0308,2520,24.5000,0
2013-05-10,11.0308,11.0758,11.0308,11.0308,1750,24.5000,0
2013-05-14,11.0308,11.4810,11.0308,11.4810,1100,25.5000,0
2013-05-15,11.2559,11.2559,11.2559,11.2559,110,25.0000,0
2013-05-16,11.2559,11.2559,11.2559,11.2559,500,25.0000,0
2013-05-17,11.2559,11.2559,11.2559,11.2559,500,25.0000,0
2013-05-20,11.2559,11.4810,11.2559,11.4810,3860,25.5000,0
2013-05-21,11.7061,11.7061,11.7061,11.7061,1500,26.0000,0
2013-05-27,11.7061,11.7061,11.7061,11.7061,410,26.0000,0
2013-05-29,11.7061,11.7061,11.7061,11.7061,1190,26.0000,0
2013-05-30,11.7061,11.9312,11.7061,11.9313,2010,26.5000,0
2013-05-31,11.9313,11.9313,11.9313,11.9313,1000,26.5000,0
2013-06-03,12.1564,12.1564,12.1564,12.1564,1690,27.0000,0
2013-06-04,11.7062,11.9313,11.7062,11.9313,2950,26.5000,0
2013-06-05,11.9313,11.9313,11.3910,11.3910,1680,25.3000,0
2013-06-10,11.3460,11.4810,11.3460,11.4360,4210,25.4000,0
2013-06-14,11.3460,11.3460,11.3460,11.3460,700,25.2000,0
2013-06-18,11.7062,11.7062,11.4811,11.4810,1140,25.5000,0
2013-06-19,11.2559,11.4810,11.2559,11.3910,3620,25.3000,0
2013-06-25,11.2559,11.2559,11.2559,11.2559,600,25.0000,0
2013-07-02,11.2559,11.2559,11.2559,11.2559,10,25.0000,0
2013-07-03,11.2559,11.2559,11.2559,11.2559,700,25.0000,0
2013-07-04,11.2559,11.2559,11.2559,11.2559,480,25.0000,0
2013-07-05,11.2559,11.2559,11.2559,11.2559,200,25.0000,0
2013-07-08,11.3459,11.3459,11.3459,11.3460,410,25.2000,0
2013-07-11,11.2560,11.2560,11.2560,11.2559,3630,25.0000,0
2013-07-12,11.2559,11.2559,11.2559,11.2559,1000,25.0000,0
2013-07-18,11.4360,11.4360,10.7156,10.7156,4210,23.8000,0
2013-07-19,11.2559,11.2559,10.7156,10.7156,190,23.8000,0
2013-07-22,11.2559,11.2559,11.2559,11.2559,10,25.0000,0
2013-07-23,11.2559,11.2559,11.2559,11.2559,10,25.0000,0
2013-07-25,11.0758,11.0758,11.0758,11.0758,100,24.6000,0
