date,open,high,low,close,volume,unadjusted,putthrough
2016-12-15,11.8341,11.8341,11.8341,11.8341,500,14.0000,0
2016-12-16,11.8341,11.8341,11.8341,11.8341,1000,14.0000,0
2016-12-19,11.8341,11.8341,11.8341,11.8341,1000,14.0000,0
2016-12-20,11.8341,11.8341,11.8341,11.8341,300,14.0000,0
2016-12-23,11.8341,11.8341,11.8341,11.8341,300,14.0000,0
2017-01-03,11.8341,11.8341,11.8341,11.8341,200,14.0000,0
2017-02-06,11.7496,11.7496,11.7496,11.7495,1500,13.9000,0
2017-02-09,11.8340,11.8340,11.8340,11.8341,100,14.0000,0
2018-03-15,11.8341,11.8341,11.8341,11.8341,100,14.0000,0
2018-05-08,10.1435,10.1435,10.1435,10.1435,1000,12.0000,0
2019-08-21,6.1858,6.1858,6.1858,6.1858,600,6.8000,0
2019-08-26,7.0955,7.0955,7.0955,7.0954,600,7.8000,0
2019-09-10,7.5502,7.5502,7.5502,7.5503,2000,8.3000,0
2019-10-04,7.5503,7.5503,7.5503,7.5503,24000,8.3000,0
2019-10-09,7.5503,7.5503,7.5503,7.5503,16200,8.3000,0
2019-11-27,8.1871,8.1871,8.1871,8.1870,2600,9.0000,0
2020-01-21,7.7322,7.7322,7.7322,7.7322,700,8.5000,0
2020-02-03,7.7322,7.7322,7.7322,7.7322,11200,8.5000,0
2020-02-18,7.7322,7.7322,7.7322,7.7322,100,8.5000,0
2020-03-02,7.7322,7.7322,7.7322,7.7322,100,8.5000,0
2020-04-14,6.8225,7.7322,6.8225,7.7322,4300,8.5000,0
2020-04-16,7.2773,7.2773,7.2773,7.2774,3000,8.0000,0
2020-05-12,7.7322,7.7322,7.7322,7.7322,500,8.5000,0
2020-05-18,7.5503,7.6412,7.5503,7.6412,1300,8.4000,0
2020-05-19,7.5502,7.5502,7.5502,7.5503,400,8.3000,0
2020-05-20,7.5503,7.5503,7.5503,7.5503,1000,8.3000,0
2020-05-21,7.5503,7.5503,7.4593,7.4593,1100,8.2000,0
2020-06-30,7.8000,7.8000,7.8000,7.8000,90100,7.8000,0
2020-07-01,8.0000,8.0000,8.0000,8.0000,1800,8.0000,0
2020-07-06,8.5000,8.5000,8.5000,8.5000,100,8.5000,0
2020-07-23,7.8000,7.8000,7.8000,7.8000,115000,7.8000,0
2020-08-20,7.8000,7.8000,7.8000,7.8000,2200,7.8000,0
2020-08-24,8.0000,8.0000,8.0000,8.0000,1000,8.0000,0
2020-09-22,7.5000,7.5000,7.0000,7.0000,1300,7.0000,0
2020-09-23,7.4000,7.4000,7.4000,7.4000,500,7.4000,0
2020-09-29,7.5000,7.5000,7.5000,7.5000,1000,7.5000,0
2020-10-06,8.0000,8.0000,8.0000,8.0000,1000,8.0000,0
2020-10-20,8.0000,8.0000,8.0000,8.0000,1000,8.0000,0
2020-11-17,9.2000,9.2000,9.2000,9.2000,1400,9.2000,0
2020-11-18,10.5000,10.5000,10.5000,10.5000,2000,10.5000,0
2020-11-19,12.0000,12.0000,12.0000,12.0000,13400,12.0000,0
2020-11-20,13.8000,13.8000,13.0000,13.2000,3800,13.2000,0
2020-11-24,11.4000,12.9000,11.4000,11.4000,3800,11.4000,0
2020-11-25,12.9000,12.9000,12.9000,12.9000,100,12.9000,0
2020-11-27,12.8000,12.8000,11.0000,11.0000,900,11.0000,0
2020-12-02,11.8000,11.8000,11.8000,11.8000,100,11.8000,0
2020-12-03,10.1000,11.8000,10.1000,11.8000,200,11.8000,0
2020-12-04,11.0000,12.6000,11.0000,11.8000,4500,11.8000,0
2020-12-07,12.1000,12.1000,12.1000,12.1000,100,12.1000,0
2020-12-08,12.6000,13.0000,12.5000,12.5000,500,12.5000,0
2020-12-09,13.8000,13.8000,12.7000,12.7000,2800,12.7000,0
2020-12-10,13.9000,13.9000,13.9000,13.9000,100,13.9000,0
2020-12-14,13.0000,14.0000,13.0000,14.0000,5100,14.0000,0
2020-12-15,13.5000,13.5000,11.5000,13.0000,500,13.0000,0
2020-12-16,12.9000,14.0000,12.9000,14.0000,8501,14.0000,0
2020-12-25,14.0000,14.0000,13.8000,14.0000,67500,14.0000,0
2020-12-28,15.4000,15.4000,15.4000,15.4000,23300,15.4000,0
2020-12-29,16.9000,16.9000,16.3000,16.5000,57700,16.5000,0
2020-12-30,16.5000,16.5000,14.9000,14.9000,26600,14.9000,0
2020-12-31,15.0000,15.0000,14.0000,14.1000,9600,14.1000,0
2021-01-04,14.2000,14.2000,13.5000,13.8000,22100,13.8000,0
2021-01-05,13.6000,13.6000,13.0000,13.2000,2900,13.2000,0
2021-01-06,11.9000,13.0000,11.9000,12.3000,10300,12.3000,0
2021-01-07,12.0000,12.3000,11.8000,12.0000,6000,12.0000,0
2021-01-08,12.0000,13.2000,12.0000,13.2000,3200,13.2000,0
2021-01-11,13.2000,14.4000,13.5000,13.6000,10800,13.6000,0
2021-01-12,13.6000,13.6000,13.6000,13.6000,1500,13.6000,0
2021-01-13,13.6000,13.6000,12.9000,13.0000,1000,13.0000,0
2021-01-14,12.8000,12.8000,12.0000,12.8000,1800,12.8000,0
2021-01-15,12.4000,13.0000,12.2000,13.0000,8700,13.0000,0
2021-01-18,12.5000,12.8000,12.4000,12.4000,8600,12.4000,0
2021-01-19,12.2000,12.3000,12.1000,12.2000,5100,12.2000,0
2021-01-20,12.2000,12.6000,12.2000,12.6000,13800,12.6000,0
2021-01-21,12.6000,13.0000,12.6000,12.9000,4700,12.9000,0
2021-01-22,12.9000,12.9000,12.5000,12.8000,1200,12.8000,0
2021-01-25,12.5000,12.5000,12.3000,12.3000,1700,12.3000,0
2021-01-26,12.3000,12.7000,12.2000,12.6000,4200,12.6000,0
2021-01-27,12.3000,12.3000,12.3000,12.3000,100,12.3000,0
2021-01-28,11.1000,11.2000,11.1000,11.1000,3100,11.1000,0
2021-01-29,11.2000,12.2000,11.2000,12.2000,4000,12.2000,0
2021-02-01,12.2000,12.2000,12.2000,12.2000,8200,12.2000,0
2021-02-02,11.4000,12.2000,11.4000,12.2000,3000,12.2000,0
2021-02-05,0.0000,12.3000,12.2000,12.3000,2700,12.3000,0
