date,open,high,low,close,volume,unadjusted,putthrough
2009-12-01,9.9912,9.9912,9.9912,9.9912,57340,49.2000,0
2009-12-02,10.4583,10.4583,10.3567,10.4583,168440,51.5000,0
2009-12-03,10.8644,10.8644,9.9912,10.1537,31220,50.0000,0
2009-12-04,9.9506,9.9506,9.7476,9.7475,21440,48.0000,0
2009-12-07,9.8897,9.8897,9.3414,9.4429,27210,46.5000,0
2009-12-08,9.4429,9.4429,8.9758,8.9758,48260,44.2000,0
2009-12-09,8.5290,8.5290,8.5290,8.5291,15700,42.0000,0
2009-12-10,8.1026,8.5291,8.1026,8.5291,76550,42.0000,0
2009-12-11,8.1026,8.2245,8.1026,8.1026,34810,39.9000,0
2009-12-14,8.1229,8.3260,8.1026,8.1026,35370,39.9000,0
2009-12-15,8.1026,8.2244,8.1026,8.1026,13260,39.9000,0
2009-12-16,8.0823,8.0823,7.7168,7.7168,19740,38.0000,0
2009-12-17,7.4325,8.0620,7.4325,7.7168,35340,38.0000,0
2009-12-18,7.8996,8.1026,7.8996,8.1026,29430,39.9000,0
2009-12-21,8.3869,8.4884,8.1229,8.4885,46550,41.8000,0
2009-12-22,8.8134,8.8743,8.1433,8.6306,30770,42.5000,0
2009-12-23,8.2096,8.8411,8.2096,8.6307,23570,41.0000,0
2009-12-24,8.6307,8.6518,8.4202,8.6518,10760,41.1000,0
2009-12-25,8.9465,9.0518,8.6307,8.9044,25060,42.3000,0
2009-12-28,8.8412,8.9465,8.4623,8.4623,15720,40.2000,0
2009-12-29,8.6307,8.8833,8.4834,8.4834,11400,40.3000,0
2009-12-30,8.4834,8.6518,8.4202,8.6097,20210,40.9000,0
2009-12-31,8.7360,8.9465,8.6308,8.6307,70840,41.0000,0
2010-01-04,8.6307,9.0517,8.6307,9.0518,15590,43.0000,0
2010-01-05,8.6308,9.3465,8.6308,8.8412,66900,42.0000,0
2010-01-06,8.8412,9.0517,8.8412,9.0518,76450,43.0000,0
2010-01-07,8.9676,9.0518,8.9465,9.0518,27050,43.0000,0
2010-01-08,9.2413,9.2413,8.9676,8.9676,14830,42.6000,0
2010-01-11,9.1150,9.1150,8.6308,8.9254,8550,42.4000,0
2010-01-12,8.8412,8.9465,8.6307,8.6307,21140,41.0000,0
2010-01-13,8.6518,8.8412,8.6096,8.6097,14650,40.9000,0
2010-01-14,8.8202,8.8202,8.6308,8.7991,13140,41.8000,0
2010-01-15,8.6728,8.8412,8.6728,8.7570,9700,41.6000,0
2010-01-18,8.4623,8.7781,8.4623,8.4623,21370,40.2000,0
2010-01-19,8.6307,8.7360,8.4202,8.5255,12630,40.5000,0
2010-01-20,8.5255,8.6939,8.2097,8.2097,42270,39.0000,0
2010-01-21,8.6097,8.6097,8.2729,8.2729,11040,39.3000,0
2010-01-22,8.3150,8.3150,8.2308,8.2518,6760,39.2000,0
2010-01-25,8.3150,8.3150,8.2307,8.2308,7130,39.1000,0
2010-01-26,8.4203,8.4203,8.3361,8.3360,26220,39.6000,0
2010-01-27,8.2097,8.3781,8.1676,8.3781,2510,39.8000,0
2010-01-28,8.2097,8.3570,8.2097,8.3150,5990,39.5000,0
2010-01-29,8.2097,8.3150,8.2097,8.3150,4720,39.5000,0
2010-02-01,8.2097,8.2308,8.1255,8.1255,8370,38.6000,0
2010-02-02,8.2097,8.2097,8.1676,8.1676,8600,38.8000,0
2010-02-03,8.3781,8.3781,8.1676,8.2308,9110,39.1000,0
2010-02-04,8.2097,8.2097,8.2097,8.2097,7710,39.0000,0
2010-02-05,8.1676,8.1676,8.1676,8.1676,2010,38.8000,0
2010-02-08,8.2097,8.2097,8.1044,8.1045,60,38.5000,0
2010-02-09,8.1045,8.1045,7.9992,8.0203,9100,38.1000,0
2010-02-10,8.1045,8.1256,8.1045,8.1045,5480,38.5000,0
2010-02-11,8.1045,8.2940,8.1045,8.2939,7100,39.4000,0
2010-02-12,8.2307,8.2307,8.2307,8.2308,4040,39.1000,0
2010-02-22,7.8729,8.4203,7.8729,8.4202,1090,40.0000,0
2010-02-23,8.3781,8.3781,8.2097,8.2518,1700,39.2000,0
2010-02-24,8.3781,8.3781,8.2097,8.2097,1510,39.0000,0
2010-02-25,8.2518,8.2518,8.2097,8.2097,12890,39.0000,0
2010-02-26,7.8939,8.2097,7.8097,8.2097,2190,39.0000,0
2010-03-01,7.9150,8.2097,7.8939,8.2097,5030,39.0000,0
2010-03-02,8.3781,8.3781,7.9992,8.0413,4670,38.2000,0
2010-03-03,8.0413,8.1045,7.9992,8.0413,16470,38.2000,0
2010-03-04,8.3150,8.3150,8.1045,8.1255,2400,38.6000,0
2010-03-05,8.2097,8.2097,8.0413,8.0413,10070,38.2000,0
2010-03-08,8.2097,8.4202,8.2097,8.3360,6520,39.6000,0
2010-03-09,8.2518,8.4834,8.2518,8.4834,31500,40.3000,0
2010-03-10,8.5255,8.5466,8.4202,8.4202,8520,40.0000,0
2010-03-11,8.4202,8.4623,8.4202,8.4202,9000,40.0000,0
2010-03-12,8.4202,8.4202,8.3149,8.4202,2810,40.0000,0
2010-03-15,8.6307,8.8412,8.4202,8.6728,16310,41.2000,0
2010-03-16,8.4412,8.6307,8.2518,8.4202,8310,40.0000,0
2010-03-17,8.3991,8.3991,8.2097,8.3150,7800,39.5000,0
2010-03-18,8.3361,8.3361,8.3150,8.3150,4280,39.5000,0
2010-03-19,8.3150,8.3150,8.2097,8.2097,2170,39.0000,0
2010-03-22,8.4202,8.4202,8.2097,8.2097,920,39.0000,0
2010-03-23,8.2097,8.2308,8.1044,8.2097,24300,39.0000,0
2010-03-24,8.1465,8.1676,7.9992,7.9992,19060,38.0000,0
2010-03-25,7.9992,8.0203,7.8939,7.8940,19180,37.5000,0
2010-03-26,7.7887,7.9572,7.7887,7.9150,29300,37.6000,0
2010-03-29,8.1045,8.1045,7.9992,8.0834,28510,38.4000,0
2010-03-30,8.2097,8.3150,8.1045,8.2097,31350,39.0000,0
2010-03-31,8.2939,8.2939,7.8097,7.8098,17110,37.1000,0
2010-04-01,8.1887,8.1887,8.1256,8.1676,9950,38.8000,0
2010-04-02,8.3571,8.3571,8.2097,8.2097,15200,39.0000,0
2010-04-05,8.2097,8.2729,8.2097,8.2518,31900,39.2000,0
2010-04-06,8.2097,8.2518,8.2097,8.2518,3290,39.2000,0
2010-04-07,8.2729,8.3150,8.2729,8.2939,11960,39.4000,0
2010-04-08,8.3781,8.3781,8.2307,8.2939,23410,39.4000,0
2010-04-09,8.3571,8.6307,8.3571,8.4413,24660,40.1000,0
2010-04-12,8.7360,8.7360,8.3150,8.3150,15160,39.5000,0
2010-04-13,8.3150,8.5255,8.3150,8.5255,35420,40.5000,0
2010-04-14,8.2518,8.6097,8.2518,8.6097,16020,40.9000,0
2010-04-15,8.7781,8.7781,8.5465,8.5465,14800,40.6000,0
2010-04-16,8.4202,8.5254,8.3149,8.5255,50490,40.5000,0
2010-04-19,8.6518,8.6518,8.4202,8.4202,21250,40.0000,0
2010-04-20,8.6097,8.7360,8.4202,8.5044,34080,40.4000,0
2010-04-21,8.7360,8.7360,8.4202,8.4413,25540,40.1000,0
2010-04-22,8.4202,8.7360,8.4202,8.6307,28700,41.0000,0
2010-04-26,8.7360,8.7360,8.5886,8.6097,6950,40.9000,0
2010-04-27,8.6097,8.6308,8.5255,8.6097,34280,40.9000,0
2010-04-28,8.4202,8.7360,8.4202,8.7360,51730,41.5000,0
2010-04-29,8.8623,9.1570,8.7360,9.1570,51240,43.5000,0
2010-05-04,9.5991,9.5991,9.5991,9.5991,17460,45.6000,0
2010-05-05,10.0201,10.0201,9.5359,9.5359,36280,45.3000,35000
2010-05-06,9.1780,9.6201,9.1780,9.6201,18340,45.7000,0
2010-05-07,9.1991,9.2622,9.1570,9.1570,21610,43.5000,0
2010-05-10,8.7360,9.0517,8.7360,9.0097,43360,42.8000,0
2010-05-11,9.3255,9.3255,8.8623,8.8623,12010,42.1000,0
2010-05-12,8.8202,8.9044,8.7991,8.7991,13770,41.8000,0
2010-05-13,9.0307,9.0307,9.0307,9.0307,500,42.9000,0
2010-05-14,9.0307,9.0307,8.6518,8.8412,4770,42.0000,0
2010-05-17,9.0517,9.0517,8.4833,8.8412,4330,42.0000,0
2010-05-18,8.4833,8.8412,8.4833,8.8202,9760,41.9000,0
2010-05-19,8.8202,8.8202,8.5255,8.8202,27400,41.9000,0
2010-05-20,8.5255,8.6097,8.4413,8.5465,11000,40.6000,0
2010-05-21,8.4202,8.5465,8.2518,8.2729,13800,39.3000,0
2010-05-24,8.6729,8.6729,8.6308,8.6728,20700,41.2000,0
2010-05-25,8.3360,8.8412,8.3360,8.5465,4580,40.6000,0
2010-05-26,8.5254,8.8412,8.4202,8.4834,2500,40.3000,0
2010-05-27,8.4623,8.6308,8.4413,8.6307,8100,41.0000,0
