date,open,high,low,close,volume,unadjusted,putthrough
2018-08-07,9.4348,9.8122,7.5479,8.2083,465100,8.7000,0
2018-08-08,8.2083,9.9066,8.2083,8.9631,452721,9.5000,0
2018-08-09,9.3405,9.5292,8.1140,9.3405,256811,9.9000,0
2018-08-10,8.7744,9.3405,8.2083,8.3027,213435,8.8000,0
2018-08-13,8.9631,9.3405,8.0197,9.3405,608321,9.9000,0
2018-08-14,9.0575,9.1518,8.1140,8.4914,215585,9.0000,0
2018-08-15,8.8688,8.9631,8.1140,8.3970,301154,8.9000,0
2018-08-16,8.4913,8.8687,8.3027,8.4914,254405,9.0000,0
2018-08-17,8.4914,8.8688,8.3027,8.5857,232938,9.1000,0
2018-08-20,8.6800,8.7744,8.3970,8.3970,312731,8.9000,0
2018-08-21,8.6800,8.7744,8.1140,8.3970,286640,8.9000,0
2018-08-22,8.3027,8.5857,8.0196,8.3027,414933,8.8000,21
2018-08-23,8.4914,8.6801,8.2084,8.3027,170328,8.8000,0
2018-08-24,8.4914,9.8123,8.4914,8.6801,680649,9.2000,0
2018-08-27,8.6801,9.6236,8.4914,8.4914,403722,9.0000,88
2018-08-28,8.8688,9.0575,8.3027,8.4914,280578,9.0000,0
2018-08-29,8.3971,8.4914,8.3027,8.3027,68360,8.8000,0
2018-08-30,8.3027,8.4914,8.2084,8.4914,92124,9.0000,0
2018-08-31,8.2084,8.6801,8.2084,8.3027,181696,8.8000,0
2018-09-04,8.3027,8.3027,8.0197,8.3027,60537,8.8000,0
2018-09-05,8.3027,8.3970,7.8310,8.1140,168869,8.6000,0
2018-09-06,7.7366,8.2083,7.7366,7.9253,185740,8.4000,0
2018-09-07,8.0196,8.0196,7.6423,7.8309,164266,8.3000,0
2018-09-10,7.8309,7.8309,7.4535,7.5479,185593,8.0000,0
2018-09-11,7.4536,8.2083,7.0762,8.2083,370275,8.7000,2350
2018-09-12,7.6422,7.9253,7.4535,7.5479,176225,8.0000,0
2018-09-13,7.6422,7.7366,7.5479,7.6422,198076,8.1000,0
2018-09-14,7.7365,8.1139,7.5479,7.8309,181152,8.3000,0
2018-09-17,8.0196,8.0196,7.6422,7.7366,151610,8.2000,0
2018-09-18,7.7366,7.7366,7.5479,7.6422,134994,8.1000,0
2018-09-19,7.5479,7.6422,7.4535,7.5479,196527,8.0000,0
2018-09-20,7.5479,7.5479,7.4536,7.5479,193494,8.0000,0
2018-09-21,7.6422,8.2083,7.5479,7.8309,360098,8.3000,0
2018-09-24,8.0196,8.4913,7.7366,7.8309,248609,8.3000,0
2018-09-25,8.0196,9.0574,8.0196,8.3970,493247,8.9000,0
2018-09-26,8.7744,8.9631,8.2083,8.4914,435407,9.0000,0
2018-09-27,8.8688,9.4349,8.4914,8.8688,728675,9.4000,0
2018-09-28,8.9631,9.4349,8.7745,8.9631,804080,9.5000,0
2018-10-01,8.9631,8.9631,8.3027,8.3027,40106,8.8000,80
2018-10-02,8.1140,8.3027,7.5479,8.1140,25267,8.6000,800
2018-10-03,8.1140,8.1140,7.9253,7.9253,29002,8.4000,49
2018-10-04,8.0196,8.2083,8.0196,8.0196,43844,8.5000,0
2018-10-05,8.1139,8.3026,8.0196,8.0196,91532,8.5000,0
2018-10-08,8.1139,8.2083,8.0196,8.1140,38167,8.6000,0
2018-10-09,8.0197,8.0197,7.8310,7.9253,50331,8.4000,0
2018-10-10,7.9253,7.9253,7.6423,7.6422,39090,8.1000,0
2018-10-11,7.6422,7.6422,7.3592,7.3592,77606,7.8000,0
2018-10-12,7.4535,7.4535,7.1705,7.4535,45531,7.9000,0
2018-10-15,7.4535,7.5478,7.3592,7.3592,20080,7.8000,0
