date,open,high,low,close,volume,unadjusted,putthrough
2012-07-24,5.4739,5.7020,5.4739,5.4739,239650,19.2000,0
2012-07-25,5.2173,5.2173,5.2173,5.2173,10970,18.3000,0
2012-07-26,5.2173,5.2173,4.9607,4.9892,159640,17.5000,0
2012-07-27,5.0747,5.0747,4.7896,4.7896,120970,16.8000,0
2012-07-30,4.7896,5.0177,4.7611,5.0177,172060,17.6000,0
2012-07-31,5.2458,5.2458,4.9892,5.0462,339380,17.7000,0
2012-08-01,5.0462,5.1602,4.9607,5.0747,39910,17.8000,0
2012-08-02,5.1317,5.1317,5.0177,5.0177,26710,17.6000,0
2012-08-03,5.0747,5.1317,5.0177,5.1317,24420,18.0000,0
2012-08-06,5.1887,5.2457,5.0747,5.1317,124650,18.0000,0
2012-08-07,5.1317,5.1602,4.9892,4.9892,125880,17.5000,0
2012-08-08,5.1032,5.1032,4.9607,5.0177,27100,17.6000,482000
2012-08-09,4.9322,5.0747,4.9322,5.0747,68540,17.8000,68180
2012-08-10,5.0747,5.0747,4.9892,5.0177,101720,17.6000,50000
2012-08-13,5.0747,5.2458,5.0747,5.2458,435250,18.4000,80000
2012-08-14,5.2743,5.5024,5.2743,5.5024,311940,19.3000,100850
2012-08-15,5.6735,5.6735,5.3599,5.4168,82540,19.0000,80000
2012-08-16,5.4168,5.5593,5.3883,5.4168,64250,19.0000,0
2012-08-17,5.4168,5.6734,5.4168,5.6734,310560,19.9000,0
2012-08-20,5.7304,5.9300,5.7304,5.9300,358040,20.8000,260000
2012-08-21,5.6449,5.9300,5.6449,5.6449,444030,19.8000,0
2012-08-22,5.3883,5.6164,5.3883,5.3883,453090,18.9000,0
2012-08-23,5.1602,5.1602,5.1317,5.1317,99190,18.0000,0
2012-08-24,4.8751,5.3598,4.8751,5.0747,503710,17.8000,0
2012-08-27,4.9892,4.9892,4.8466,4.8466,138630,17.0000,0
2012-08-28,4.7896,4.9606,4.6470,4.9607,116180,17.4000,0
2012-08-29,5.1032,5.1888,5.1032,5.1888,139960,18.2000,0
2012-08-30,5.1888,5.3884,5.1603,5.1603,221560,18.1000,0
2012-08-31,5.2458,5.2458,5.0748,5.1317,89890,18.0000,20000
2012-09-04,5.2172,5.3028,5.1887,5.2173,27370,18.3000,0
2012-09-05,5.2458,5.2743,5.0462,5.0462,91220,17.7000,0
2012-09-06,4.9037,5.0747,4.9037,4.9892,55650,17.5000,0
2012-09-07,4.9892,5.0177,4.9037,4.9892,90780,17.5000,0
2012-09-10,4.9892,4.9892,4.7611,4.7611,251110,16.7000,0
2012-09-11,4.7896,4.9036,4.7611,4.9037,35290,17.2000,0
2012-09-12,4.9037,4.9892,4.9037,4.9037,27320,17.2000,0
2012-09-13,4.9322,4.9892,4.8752,4.9607,26650,17.4000,0
2012-09-14,5.0462,5.1888,4.9892,5.1888,191670,18.2000,0
2012-09-17,5.2458,5.2458,5.0748,5.0747,42850,17.8000,0
2012-09-18,5.0747,5.1317,4.9036,5.1317,78310,18.0000,0
2012-09-19,5.1032,5.1032,4.9321,4.9322,34090,17.3000,0
2012-09-20,4.9322,4.9322,4.7041,4.8466,314440,17.0000,0
2012-09-21,4.9606,4.9606,4.8181,4.8752,19660,17.1000,0
2012-09-24,4.8467,4.8467,4.7612,4.7896,19960,16.8000,0
2012-09-25,4.7326,4.8181,4.7041,4.7611,28310,16.7000,0
2012-09-26,4.7896,4.8181,4.7041,4.7041,29670,16.5000,0
2012-09-27,4.7041,4.7896,4.6756,4.7896,80410,16.8000,0
2012-09-28,4.8181,4.8466,4.7611,4.8181,20390,16.9000,0
2012-10-01,4.8466,4.8466,4.6470,4.7611,43920,16.7000,0
2012-10-02,4.6756,4.7326,4.6756,4.7326,20030,16.6000,0
2012-10-03,4.7041,4.7896,4.7041,4.7326,17490,16.6000,0
2012-10-04,4.6471,4.8751,4.6471,4.7326,9920,16.6000,0
2012-10-05,4.7041,4.7896,4.6756,4.6756,28910,16.4000,0
2012-10-08,4.7326,4.7896,4.7041,4.7326,18280,16.6000,0
2012-10-09,4.7896,4.7896,4.7041,4.7326,63960,16.6000,0
2012-10-10,4.7326,4.8466,4.7326,4.7326,62540,16.6000,0
2012-10-11,4.8466,4.9607,4.7896,4.8466,57260,17.0000,0
2012-10-12,4.9036,4.9036,4.8181,4.9037,17070,17.2000,0
2012-10-15,4.8467,4.8752,4.7326,4.8466,41930,17.0000,0
2012-10-16,4.8751,5.0462,4.8751,4.8752,23040,17.1000,0
2012-10-17,4.9322,4.9322,4.7897,4.7896,31900,16.8000,0
2012-10-18,4.9036,4.9036,4.7896,4.8181,82820,16.9000,0
2012-10-19,4.7896,4.8466,4.7041,4.8466,43530,17.0000,30000
2012-10-22,4.7041,4.7896,4.7041,4.7896,4670,16.8000,0
2012-10-23,4.7896,4.8466,4.7326,4.8466,9560,17.0000,0
2012-10-24,4.8466,4.8466,4.7326,4.8466,13980,17.0000,0
2012-10-25,4.7611,4.7611,4.7041,4.7326,25020,16.6000,0
2012-10-26,4.6471,4.7896,4.6471,4.7326,40160,16.6000,0
2012-10-29,4.7896,4.7896,4.7041,4.7041,22730,16.5000,0
2012-10-30,4.7041,4.9322,4.7041,4.9322,49980,17.3000,72500
2012-10-31,5.0747,5.1603,4.9892,5.0462,153410,17.7000,0
2012-11-01,4.9322,5.0462,4.8751,4.9037,80670,17.2000,0
2012-11-02,4.6756,4.7326,4.6756,4.6756,303440,16.4000,0
2012-11-05,4.4475,4.6756,4.4475,4.5045,138680,15.8000,0
2012-11-06,4.3620,4.7041,4.3620,4.7041,180930,16.5000,0
2012-11-07,4.7326,4.9322,4.6186,4.8752,215750,17.1000,0
2012-11-08,4.8752,4.9892,4.8182,4.8752,284800,17.1000,0
2012-11-09,5.0798,5.0798,5.0116,5.0975,291020,14.9000,0
2012-11-12,5.2343,5.3370,5.1317,5.3370,335020,15.6000,0
2012-11-13,5.4396,5.5765,5.3712,5.5765,624910,16.3000,0
2012-11-14,5.5765,5.8502,5.5765,5.8502,449950,17.1000,0
2012-11-15,5.8160,5.9528,5.6449,5.7818,418640,16.9000,0
2012-11-16,5.6792,6.0555,5.6450,6.0555,442140,17.7000,122000
2012-11-19,6.3292,6.3292,6.0897,6.3292,645430,18.5000,0
2012-11-20,6.1581,6.3976,6.1581,6.3292,793110,18.5000,0
2012-11-21,6.2266,6.3634,6.1924,6.2949,500620,18.4000,0
2012-11-22,6.1923,6.6028,6.1923,6.6028,329710,19.3000,100000
2012-11-23,6.5344,6.5686,6.2949,6.2949,487960,18.4000,116500
2012-11-26,6.1581,6.2949,5.9870,6.1239,558350,17.9000,0
2012-11-27,6.1239,6.2950,6.1239,6.2607,357150,18.3000,0
2012-11-28,6.2265,6.2949,6.2265,6.2265,442340,18.2000,30000
2012-11-29,6.2607,6.4660,6.2607,6.2949,408350,18.4000,53000
2012-11-30,6.2265,6.3291,6.0212,6.0555,239060,17.7000,0
2012-12-03,6.1239,6.1239,5.8160,5.9528,312880,17.4000,0
2012-12-04,5.9186,6.0554,5.8844,6.0212,193090,17.6000,0
2012-12-05,6.0212,6.1238,5.9186,5.9186,174980,17.3000,0
2012-12-06,5.9528,6.0212,5.8502,5.8844,153570,17.2000,0
2012-12-07,5.8844,5.9186,5.7476,5.7476,111220,16.8000,0
2012-12-10,5.7134,6.0213,5.6792,6.0212,250390,17.6000,0
2012-12-11,6.0212,6.0554,5.8159,5.8160,113130,17.0000,0
2012-12-12,5.8160,6.0555,5.8160,5.8844,61390,17.2000,0
2012-12-13,5.8502,5.9870,5.8502,5.8502,143690,17.1000,0
2012-12-14,5.8844,6.0555,5.8160,5.9528,233020,17.4000,0
2012-12-17,5.9528,6.1923,5.9528,6.1239,243390,17.9000,0
2012-12-18,6.0555,6.1581,6.0213,6.0212,154940,17.6000,0
2012-12-19,6.0896,6.2949,6.0896,6.2265,424420,18.2000,0
2012-12-20,6.2607,6.2607,6.0212,6.1581,183050,18.0000,0
2012-12-21,6.1239,6.1581,6.0555,6.0555,260540,17.7000,0
2012-12-24,5.9871,6.2608,5.9871,6.2265,189820,18.2000,0
2012-12-25,6.2607,6.2607,6.0897,6.0897,232900,17.8000,0
2012-12-26,6.0897,6.2265,6.0555,6.1239,204290,17.9000,0
2012-12-27,6.1239,6.2607,6.0897,6.1239,332300,17.9000,0
2012-12-28,6.1923,6.1923,6.0555,6.0555,243570,17.7000,72500
2013-01-02,6.1581,6.2266,6.0555,6.1239,489870,17.9000,0
2013-01-03,6.0897,6.1239,5.9186,5.9528,344450,17.4000,0
2013-01-04,6.0212,6.0896,5.9528,5.9870,216110,17.5000,72500
2013-01-07,5.9870,6.0896,5.9528,5.9528,157280,17.4000,0
2013-01-08,5.9528,6.1581,5.9528,6.1239,513230,17.9000,0
2013-01-09,6.1923,6.1923,6.0213,6.0212,334580,17.6000,0
2013-01-10,5.9870,6.0554,5.9186,6.0212,148270,17.6000,0
2013-01-11,6.0896,6.2949,6.0554,6.2949,499300,18.4000,0
2013-01-14,6.5344,6.6028,6.3291,6.6028,523940,19.3000,0
2013-01-15,6.8765,6.8765,6.7396,6.7739,447600,19.8000,0
2013-01-16,6.6713,6.7739,6.6028,6.7397,382620,19.7000,239000
2013-01-17,6.9920,7.2082,6.7757,7.0642,511970,19.6000,0
2013-01-18,6.9561,7.0642,6.7759,6.9921,84170,19.4000,0
2013-01-21,6.8840,6.9561,6.5596,6.6678,134770,18.5000,0
2013-01-22,6.5597,6.5957,6.3795,6.4155,210050,17.8000,0
2013-01-23,6.3434,6.4876,6.2713,6.4876,176240,18.0000,0
2013-01-24,6.3795,6.6678,6.3795,6.6678,81340,18.5000,0
2013-01-25,6.5957,7.0643,6.5957,7.0282,274240,19.5000,0
2013-01-28,6.8480,7.1363,6.5957,6.5957,308530,18.3000,0
