date,open,high,low,close,volume,unadjusted,putthrough
2018-10-18,6.9231,6.9231,6.9231,6.9231,1800,14.4000,0
2018-10-19,7.4039,7.4039,7.4039,7.4038,2200,15.4000,0
2018-10-22,7.9086,7.9086,7.9086,7.9087,2800,16.4500,0
2018-10-23,8.4616,8.4616,8.4616,8.4615,3200,17.6000,0
2018-10-24,9.0384,9.0384,9.0384,9.0385,3700,18.8000,0
2018-10-25,9.6635,9.6635,9.6635,9.6635,800,20.1000,0
2018-10-26,10.3366,10.3366,10.3366,10.3365,19500,21.5000,0
2018-10-29,11.0577,11.0577,11.0577,11.0577,11200,23.0000,0
2018-10-30,11.8269,11.8269,11.8269,11.8269,10200,24.6000,0
2018-10-31,12.6442,12.6442,12.6442,12.6442,10500,26.3000,0
2018-11-01,13.5096,13.5096,13.5096,13.5096,13610,28.1000,0
2018-11-02,14.4471,14.4471,14.4471,14.4471,16600,30.0500,0
2018-11-05,15.4567,15.4567,15.4567,15.4567,38600,32.1500,0
2018-11-06,16.5384,16.5384,16.5384,16.5385,86870,34.4000,0
2018-11-07,17.6923,17.6923,17.6683,17.6683,358700,36.7500,0
2018-11-08,17.3077,17.4520,17.1635,17.4519,77250,36.3000,0
2018-11-09,17.0673,17.4279,16.7307,17.0673,94040,35.5000,0
2018-11-12,16.9711,18.0769,16.9711,17.7885,110590,37.0000,0
2018-11-13,17.4039,17.7885,17.3318,17.4279,103310,36.2500,0
2018-11-14,17.2116,18.2692,17.1635,17.3558,94280,36.1000,0
2018-11-15,17.2596,17.5481,16.8270,17.1635,122210,35.7000,0
2018-11-16,17.0193,17.6443,17.0193,17.6442,73460,36.7000,0
2018-11-19,17.4038,17.8846,17.3317,17.5481,80460,36.5000,0
2018-11-20,17.2116,17.6443,17.1635,17.3558,76790,36.1000,0
2018-11-21,16.9712,17.3077,16.8750,17.0673,77530,35.5000,0
2018-11-22,17.0673,17.7885,16.9711,17.5000,84560,36.4000,0
2018-11-23,17.3558,18.0769,17.2115,17.5962,112660,36.6000,0
2018-11-26,17.4520,18.0529,17.4039,18.0288,127760,37.5000,0
2018-11-27,18.1730,19.0384,17.7403,18.3173,114620,38.1000,0
2018-11-28,18.0288,18.3654,17.6923,18.2212,135880,37.9000,0
2018-11-29,17.9327,18.2693,17.6443,17.8365,124920,37.1000,0
2018-11-30,17.7403,17.7884,17.4278,17.7644,100060,36.9500,0
2018-12-03,17.5481,18.7259,17.5481,18.5096,107730,38.5000,0
2018-12-04,18.5096,18.6538,18.0288,18.2212,89790,37.9000,0
2018-12-05,18.0289,18.2693,17.8847,18.0529,93080,37.5500,0
2018-12-06,18.0289,18.0769,17.6923,17.8846,85200,37.2000,0
2018-12-07,17.6442,17.9327,17.5000,17.9087,90240,37.2500,0
2018-12-10,17.6683,17.7885,17.5000,17.6683,86510,36.7500,0
2018-12-11,17.5000,17.6683,17.4520,17.5962,80490,36.6000,0
2018-12-12,17.5481,17.6202,17.3077,17.5962,75340,36.6000,0
2018-12-13,17.5962,17.6924,17.5241,17.6442,81630,36.7000,0
2018-12-14,17.5480,17.5721,17.4519,17.5721,81190,36.5500,0
2018-12-17,17.5240,17.6202,17.4279,17.5721,87800,36.5500,0
2018-12-18,17.5000,17.6442,17.4038,17.5721,84140,36.5500,0
2018-12-19,17.4519,17.5000,17.3317,17.5000,97400,36.4000,0
2018-12-20,17.4038,17.5240,17.4038,17.5000,77710,36.4000,0
2018-12-21,17.4519,17.4519,17.3077,17.4279,75730,36.2500,0
2018-12-24,17.3317,17.4039,17.3077,17.3798,75900,36.1500,0
2018-12-25,17.2596,17.3077,17.1635,17.3077,84100,36.0000,0
2018-12-26,17.2115,17.3558,17.2115,17.3317,76440,36.0500,0
2018-12-27,17.3077,17.5000,17.2836,17.5000,76750,36.4000,0
2018-12-28,17.5481,17.7163,17.4519,17.6923,80510,36.8000,0
2019-01-02,17.5961,17.7644,17.5961,17.7163,82010,36.8500,0
2019-01-03,17.5480,17.7163,17.5480,17.5481,60760,36.5000,0
2019-01-04,17.4519,17.6202,17.3558,17.5721,70050,36.5500,33490
2019-01-07,17.5481,17.6442,17.3558,17.5721,70500,36.5500,0
2019-01-08,17.5000,17.5481,17.4038,17.5240,75200,36.4500,0
2019-01-09,17.4519,17.5961,17.4519,17.5481,71590,36.5000,0
2019-01-10,17.5000,17.5721,17.4760,17.5481,70860,36.5000,0
2019-01-11,17.4760,17.6923,17.4760,17.6923,85050,36.8000,0
2019-01-14,17.9327,18.2933,17.9327,18.2692,104820,38.0000,0
2019-01-15,18.4134,18.7980,18.2692,18.7981,119310,39.1000,0
2019-01-16,18.9423,19.2308,18.7500,19.2067,124630,39.9500,0
2019-01-17,19.2307,19.5673,19.0384,19.4712,122790,40.5000,0
2019-01-18,19.4952,19.6875,19.3029,19.5673,121470,40.7000,0
2019-01-21,19.4711,19.6635,19.2067,19.5673,113860,40.7000,0
2019-01-22,19.5913,19.6394,19.3750,19.6154,112650,40.8000,0
2019-01-23,19.5192,19.6635,19.2308,19.5673,105780,40.7000,0
2019-01-24,19.4711,19.6394,19.3750,19.5673,81490,40.7000,0
2019-01-25,19.5192,19.5913,19.4711,19.5192,64780,40.6000,0
2019-01-28,19.4952,19.5432,19.4711,19.5192,48050,40.6000,0
2019-01-29,19.4711,19.5192,19.3750,19.4952,46870,40.5500,33490
2019-01-30,19.4231,19.4952,19.3750,19.4952,39500,40.5500,0
2019-01-31,19.4471,19.4952,19.4231,19.4712,18760,40.5000,0
2019-02-01,19.4472,20.3366,19.3270,19.4712,22570,40.5000,0
2019-02-11,19.6154,20.1924,19.6154,19.9519,14780,41.5000,0
2019-02-12,20.1923,21.1538,20.1923,20.4327,18270,42.5000,0
2019-02-13,20.6731,20.6731,20.4808,20.6250,25380,42.9000,0
2019-02-14,20.4808,20.6731,20.4808,20.6490,24060,42.9500,0
2019-02-15,20.5288,20.6490,20.4807,20.6250,16440,42.9000,0
2019-02-18,20.5288,20.6731,20.4327,20.6250,35190,42.9000,0
2019-02-19,20.5769,20.6731,20.4808,20.6490,34340,42.9500,0
2019-02-20,20.6250,20.6490,20.5288,20.6010,12120,42.8500,0
2019-02-21,20.6010,20.6010,19.1827,20.6010,9250,42.8500,0
2019-02-22,20.6010,20.6010,20.2885,20.5288,14400,42.7000,0
2019-02-25,20.2884,20.3125,20.0480,20.3125,14590,42.2500,0
