date,open,high,low,close,volume,unadjusted,putthrough
2006-12-07,5.6608,5.6608,5.6608,5.6608,108700,66.0000,0
2006-12-08,5.9181,5.9181,5.9181,5.9181,10000,69.0000,0
2006-12-11,5.9181,6.1754,5.9181,6.1754,22500,72.0000,0
2006-12-12,6.4756,6.4756,6.4756,6.4756,19900,75.5000,0
2006-12-13,6.4756,6.7758,6.4756,6.7758,5100,79.0000,0
2006-12-14,7.0760,7.0760,7.0760,7.0760,43900,82.5000,0
2006-12-15,7.4191,7.4191,7.4191,7.4190,70000,86.5000,0
2006-12-18,7.4190,7.4619,7.4190,7.4619,144260,87.0000,0
2006-12-19,7.4619,7.5477,7.4619,7.4619,144320,87.0000,0
2006-12-20,7.4619,7.6334,7.4619,7.5477,208330,88.0000,0
2006-12-21,7.5477,7.6335,7.5477,7.5477,273590,88.0000,0
2006-12-22,7.5477,7.2475,7.2046,7.2046,27650,84.0000,0
2006-12-25,6.8615,7.3333,6.8615,7.3333,148840,85.5000,0
2006-12-26,7.6764,7.6764,7.6335,7.6763,65520,89.5000,0
2006-12-27,8.0194,8.0194,8.0194,8.0194,44800,93.5000,0
2006-12-28,8.0194,8.0194,7.9765,7.9765,28560,93.0000,0
2006-12-29,7.6334,7.6334,7.5905,7.5906,25010,88.5000,0
2007-01-02,7.2475,7.2475,7.2475,7.2475,25050,84.5000,0
2007-01-03,7.3762,7.3762,7.2475,7.3761,11440,86.0000,0
2007-01-04,7.7192,7.7192,7.7192,7.7192,19950,90.0000,0
2007-01-05,8.1052,8.1052,8.1052,8.1052,56000,94.5000,0
2007-01-08,8.4912,8.4912,8.2339,8.2338,111830,96.0000,0
2007-01-09,8.4911,8.5769,8.1480,8.5769,142010,100.0000,0
2007-01-10,8.5769,8.5769,8.2338,8.2338,29740,96.0000,0
2007-01-11,8.4911,8.4911,8.4053,8.4054,61250,98.0000,0
2007-01-12,8.3196,8.4054,8.2339,8.4054,110120,98.0000,0
2007-01-15,8.5769,8.5769,8.2339,8.4054,44400,98.0000,0
2007-01-16,8.4054,8.4054,8.0623,8.0623,64210,94.0000,0
2007-01-17,8.0623,8.0623,7.6763,7.6763,30030,89.5000,0
2007-01-18,7.3761,7.6763,7.3761,7.6763,48220,89.5000,0
2007-01-19,7.7192,7.7621,7.7192,7.7621,51020,90.5000,0
2007-01-22,7.7621,7.7621,7.5477,7.5477,27080,88.0000,0
2007-01-23,7.3762,7.5477,7.3762,7.5048,38890,87.5000,0
2007-01-24,7.5048,7.5048,7.3761,7.4619,41000,87.0000,0
2007-01-25,7.1188,7.1188,7.1188,7.1188,21410,83.0000,0
2007-01-26,7.4619,7.4619,7.4619,7.4619,1700,87.0000,0
2007-01-29,7.5048,7.6334,7.4619,7.5048,23240,87.5000,0
2007-01-30,7.6335,7.7192,7.6335,7.7192,15720,90.0000,0
2007-01-31,7.9765,7.9765,7.9765,7.9765,40970,93.0000,0
2007-02-01,8.0623,8.0623,7.6334,7.7192,19700,90.0000,0
2007-02-02,7.6763,7.6763,7.6763,7.6763,6890,89.5000,0
2007-02-05,7.4619,7.6763,7.4619,7.4619,7150,87.0000,0
2007-02-06,7.4619,7.4619,7.3761,7.4619,26310,87.0000,0
2007-02-07,7.6334,7.8050,7.6334,7.6335,27160,89.0000,0
2007-02-08,7.5477,7.6335,7.4620,7.5477,18400,88.0000,0
2007-02-09,7.4619,7.4619,7.4619,7.4619,12210,87.0000,0
2007-02-12,7.8050,7.8050,7.6334,7.6335,21260,89.0000,0
2007-02-13,7.7622,7.8050,7.7193,7.7621,17320,90.5000,0
2007-02-14,7.7192,7.7192,7.7192,7.7192,11880,90.0000,0
2007-02-15,7.8050,7.8050,7.7192,7.8050,17080,91.0000,0
2007-02-26,8.1910,8.1910,8.1481,8.1910,29190,95.5000,0
2007-02-27,8.5770,8.5770,8.5770,8.5769,49800,100.0000,0
2007-02-28,8.2338,8.3625,8.2338,8.2338,11170,96.0000,0
2007-03-01,7.8478,7.8907,7.8478,7.8479,16470,91.5000,0
2007-03-02,8.1481,8.2339,8.1481,8.2338,50410,96.0000,0
2007-03-05,8.4911,8.5769,8.4911,8.4911,53680,99.0000,0
2007-03-06,8.5769,8.8342,8.5769,8.5769,73120,100.0000,0
2007-03-07,9.0057,9.0057,8.7484,9.0058,71000,105.0000,0
2007-03-08,9.4346,9.4346,9.4346,9.4346,59360,110.0000,0
2007-03-09,9.8634,9.8634,9.8634,9.8634,105270,115.0000,0
2007-03-12,10.2922,10.2922,9.4346,9.4346,76490,110.0000,0
2007-03-13,8.8342,9.0058,8.8342,8.8342,15070,103.0000,0
2007-03-14,8.4054,8.4054,8.4054,8.4054,24420,98.0000,0
2007-03-15,8.0623,8.0623,8.0194,8.0194,27430,93.5000,0
2007-03-16,7.6334,8.3625,7.6334,8.3625,24270,97.5000,0
2007-03-19,8.2767,8.4054,8.2767,8.3196,30430,97.0000,0
2007-03-20,8.3196,8.3196,7.9336,8.0623,10900,94.0000,0
2007-03-21,7.8908,7.9765,7.8050,7.8908,20760,92.0000,0
2007-03-22,7.6335,7.8050,7.6335,7.8050,19990,91.0000,0
2007-03-23,7.8050,7.8050,7.7192,7.8050,23490,91.0000,0
2007-03-26,7.4619,7.5048,7.4619,7.5048,19320,87.5000,0
2007-03-27,7.1617,7.1617,7.1617,7.1617,16410,83.5000,0
2007-03-28,6.8186,6.8186,6.8186,6.8186,19580,79.5000,0
2007-03-29,6.8186,7.1188,6.8186,7.1188,1650,83.0000,0
2007-03-30,7.4619,7.4619,7.4619,7.4619,66020,87.0000,0
2007-04-02,7.4619,7.4619,7.1188,7.1188,21610,83.0000,0
2007-04-03,7.0330,7.0330,6.8615,6.8615,13190,80.0000,0
2007-04-04,6.8615,7.2046,6.8615,7.2046,8590,84.0000,0
2007-04-05,7.3761,7.3761,7.2046,7.2046,16080,84.0000,0
2007-04-06,7.1188,7.1188,6.9473,6.9473,11430,81.0000,0
2007-04-09,6.9902,7.0331,6.9902,7.0331,11050,82.0000,0
2007-04-10,6.9473,7.0331,6.9473,7.0331,6840,82.0000,0
2007-04-11,6.8616,6.8616,6.8616,6.8615,2750,80.0000,0
2007-04-12,6.7757,6.7757,6.6900,6.6900,6960,78.0000,0
2007-04-13,6.5185,6.5185,6.3898,6.3898,9760,74.5000,0
2007-04-16,6.1754,6.1754,6.0896,6.0896,21620,71.0000,0
2007-04-17,5.8323,6.0896,5.8323,6.0896,17600,71.0000,0
2007-04-18,6.0896,6.3898,6.0896,6.3898,5990,74.5000,0
2007-04-19,6.6042,6.6471,6.5185,6.5185,25810,76.0000,0
2007-04-20,6.4756,6.4756,6.4327,6.4327,12590,75.0000,0
2007-04-23,6.1325,6.2612,6.1325,6.2611,19480,73.0000,0
2007-04-24,6.1753,6.1753,6.1324,6.1754,11090,72.0000,0
2007-04-25,6.2612,6.3469,6.2612,6.3469,6360,74.0000,0
2007-05-02,6.4327,6.4327,6.3469,6.3469,5210,74.0000,0
2007-05-03,6.2611,6.3469,6.2611,6.3469,1860,74.0000,0
2007-05-04,6.1754,6.3469,6.1754,6.3469,920,74.0000,0
2007-05-07,6.3469,6.4327,6.3469,6.4327,11250,75.0000,0
2007-05-08,6.6042,6.6042,6.4327,6.5185,5660,76.0000,0
2007-05-09,6.5185,6.5185,6.2183,6.2183,6540,72.5000,0
2007-05-10,6.3041,6.3041,6.2183,6.3040,8650,73.5000,0
2007-05-11,6.3040,6.3898,6.2611,6.3898,7450,74.5000,0
2007-05-14,6.2183,6.4327,6.2183,6.4327,15620,75.0000,0
2007-05-15,6.5185,6.5185,6.3469,6.4327,13150,75.0000,0
2007-05-16,6.4327,6.4327,6.3469,6.3469,12320,74.0000,0
2007-05-17,6.3469,6.4327,6.3469,6.4327,11650,75.0000,0
2007-05-18,6.5185,6.4756,6.4327,6.4327,21610,75.0000,0
2007-05-21,6.4327,6.5185,6.4327,6.5185,9930,76.0000,0
2007-05-22,6.8187,6.8187,6.8187,6.8186,40070,79.5000,0
2007-05-23,7.1188,7.1188,7.1188,7.1188,12820,83.0000,0
2007-05-24,7.4619,7.4619,7.4619,7.4619,97400,87.0000,0
2007-05-25,7.4619,7.4619,7.4619,7.4619,73640,87.0000,0
2007-05-28,7.4190,7.4190,7.2475,7.2475,32020,84.5000,0
2007-05-29,7.0331,7.0331,6.9473,6.9902,27460,81.5000,0
2007-05-30,7.0760,7.0760,7.0331,7.0331,21400,82.0000,0
2007-05-31,7.0331,7.0331,7.0331,7.0331,18940,82.0000,0
2007-06-01,6.9473,6.9473,6.9473,6.9473,11340,81.0000,0
2007-06-04,6.6471,6.8615,6.6471,6.8615,23740,80.0000,0
2007-06-05,6.6900,6.6900,6.6900,6.6900,21190,78.0000,0
2007-06-06,6.6042,6.6900,6.5613,6.6900,21100,78.0000,0
2007-06-07,6.7591,7.0058,6.7591,7.0030,1950,71.0000,0
2007-06-08,7.1016,7.1016,6.9044,6.9044,35510,70.0000,0
2007-06-11,6.7564,6.8058,6.7564,6.8058,6160,69.0000,0
2007-06-12,6.7072,6.8551,6.7072,6.8551,7930,69.5000,0
2007-06-13,6.7565,6.7565,6.7565,6.7565,4250,68.5000,0
2007-06-14,6.9045,6.9045,6.8058,6.8058,3760,69.0000,0
2007-06-15,6.7072,6.7565,6.7072,6.7565,7130,68.5000,0
2007-06-18,6.8551,6.8551,6.8058,6.8058,6150,69.0000,0
2007-06-19,6.8058,6.8058,6.7565,6.7565,5100,68.5000,0
2007-06-20,6.8058,6.8058,6.7072,6.7071,7450,68.0000,0
2007-06-21,6.7071,6.7071,6.6085,6.6578,7000,67.5000,0
2007-06-22,6.5098,6.6578,6.5098,6.5099,8450,66.0000,0
2007-06-25,6.5099,6.5099,6.5099,6.5099,4450,66.0000,0
2007-06-26,6.5099,6.5099,6.4113,6.4606,3850,65.5000,0
2007-06-27,6.4606,6.4606,6.4113,6.4112,2140,65.0000,0
2007-06-28,6.2139,6.2139,6.2139,6.2140,13860,63.0000,0
2007-06-29,6.0167,6.1154,6.0167,6.1153,19780,62.0000,0
2007-07-02,5.9180,5.9180,5.8194,5.8194,5700,59.0000,0
2007-07-03,5.7208,5.8194,5.7208,5.8194,7780,59.0000,0
2007-07-04,5.7701,6.0660,5.7701,6.0660,4970,61.5000,0
2007-07-05,6.0660,6.1153,6.0660,6.0660,24910,61.5000,0
2007-07-06,6.1153,6.1153,6.1153,6.1153,18620,62.0000,0
2007-07-09,6.1153,6.1153,6.1153,6.1153,7550,62.0000,0
2007-07-10,6.1153,6.1153,6.1153,6.1153,8380,62.0000,0
2007-07-11,6.2139,6.3126,6.2139,6.3126,8040,64.0000,0
2007-07-12,6.4112,6.4112,6.3126,6.3126,11570,64.0000,0
2007-07-13,6.3126,6.3126,6.3126,6.3126,11460,64.0000,0
2007-07-16,6.0167,6.1153,6.0167,6.1153,5120,62.0000,0
2007-07-17,6.1153,6.1153,6.1153,6.1153,1550,62.0000,0
2007-07-18,6.1153,6.1153,6.0660,6.0660,1090,61.5000,0
2007-07-19,6.0660,6.1153,5.9180,5.9181,11910,60.0000,0
2007-07-20,5.9181,5.9674,5.9181,5.9674,11700,60.5000,0
2007-07-23,6.2633,6.2633,6.1154,6.1153,6170,62.0000,0
2007-07-24,6.0167,6.1646,6.0167,6.1647,11580,62.5000,0
2007-07-25,6.1647,6.1647,5.9674,5.9674,9650,60.5000,0
2007-07-26,5.9674,5.9674,5.8194,5.8194,10930,59.0000,0
2007-07-27,5.8194,5.8194,5.6221,5.7701,9080,58.5000,0
2007-07-30,5.7701,5.7701,5.7208,5.7208,1300,58.0000,0
2007-07-31,5.4742,5.4742,5.4742,5.4742,6880,55.5000,0
2007-08-01,5.3262,5.5235,5.3262,5.4742,7690,55.5000,0
2007-08-02,5.4742,5.5728,5.4742,5.4742,14790,55.5000,0
2007-08-03,5.4742,5.4742,5.2769,5.4742,9060,55.5000,0
2007-08-06,5.4742,5.4742,5.2276,5.2276,6750,53.0000,0
2007-08-07,5.0796,5.2276,5.0796,5.1783,8540,52.5000,0
2007-08-08,5.1783,5.2769,5.1783,5.2276,8430,53.0000,0
2007-08-09,5.1783,5.3262,5.1783,5.3263,8020,54.0000,0
2007-08-10,5.3263,5.4249,5.3263,5.3263,18760,54.0000,0
2007-08-13,5.3263,5.3263,5.1783,5.1783,6710,52.5000,0
2007-08-14,5.0797,5.3263,5.0797,5.2769,8580,53.5000,0
2007-08-15,5.1783,5.2276,5.1289,5.2276,9610,53.0000,0
2007-08-16,5.1290,5.2276,5.0796,5.0797,11860,51.5000,0
2007-08-17,5.0797,5.1290,5.0304,5.0304,15380,51.0000,0
2007-08-20,5.0304,5.0797,5.0304,5.0304,10520,51.0000,0
2007-08-21,4.8331,5.1290,4.8331,4.8824,13280,49.5000,0
