date,open,high,low,close,volume,unadjusted,putthrough
2017-01-13,31.2184,31.2184,31.2184,31.2184,600,75.6000,0
2017-01-16,35.8846,35.8846,35.8846,35.8846,10400,86.9000,0
2017-01-17,41.2528,41.2528,40.8812,41.2529,64517,99.9000,0
2017-01-18,47.3231,47.3231,41.2942,45.0106,10387,109.0000,0
2017-01-19,44.1847,44.1847,41.2941,42.9459,36126,104.0000,0
2017-01-20,40.8812,42.1200,40.8812,42.1200,53302,102.0000,0
2017-01-23,41.2941,41.3767,41.2941,41.2942,11545,100.0000,0
2017-01-24,41.2942,41.7071,41.2942,41.4180,15410,100.3000,0
2017-01-25,41.2941,41.4180,41.2941,41.2942,19900,100.0000,0
2017-02-02,41.3355,41.9136,41.2942,41.7071,10466,101.0000,0
2017-02-03,39.6424,41.6245,39.6424,41.2942,3125,100.0000,0
2017-02-06,39.4360,39.4360,37.1648,39.2295,10365,95.0000,0
2017-02-07,41.1703,41.1703,38.8166,38.8165,21674,94.0000,0
2017-02-08,37.9906,38.8165,37.9906,38.8165,6764,94.0000,0
2017-02-09,38.1971,39.6424,38.1971,39.5185,14400,95.7000,0
2017-02-10,39.6424,39.7250,39.3120,39.4359,12750,95.5000,0
2017-02-13,39.4359,39.6011,39.4359,39.5185,15245,95.7000,0
2017-02-14,39.4359,39.8489,39.3533,39.8076,29368,96.4000,0
2017-02-15,39.2295,39.4360,39.2295,39.4359,13410,95.5000,0
2017-02-16,39.6424,40.4683,39.4359,40.4683,21900,98.0000,0
2017-02-17,40.6748,40.8812,40.4683,40.6748,17060,98.5000,0
2017-02-20,41.3768,42.3679,40.4683,41.2116,11571,99.8000,0
2017-02-21,41.2942,41.5007,41.2116,41.3355,23431,100.1000,0
2017-02-22,41.2942,41.2942,41.2116,41.2529,8270,99.9000,0
2017-02-23,41.0877,41.2529,40.8813,40.8812,16150,99.0000,0
2017-02-24,40.0553,40.8812,40.0553,40.8812,8054,99.0000,0
2017-02-27,40.0966,40.1792,40.0966,40.0966,2121,97.1000,0
2017-02-28,39.8488,40.8812,39.2294,40.8812,8986,99.0000,0
2017-03-01,40.5096,40.5096,40.4683,40.4683,2294,98.0000,0
2017-03-02,40.1792,40.1792,40.0967,40.0966,1120,97.1000,0
2017-03-03,40.4682,40.5095,40.4682,40.4683,6212,98.0000,0
2017-03-06,40.4683,40.7987,40.4683,40.7986,12106,98.8000,0
2017-03-07,40.7160,40.7160,40.0553,40.0553,5462,97.0000,0
2017-03-08,40.4682,40.8812,40.4682,40.7160,9875,98.6000,44
2017-03-09,40.7160,40.7160,40.7160,40.7160,708,98.6000,65
2017-03-10,40.4682,40.4682,39.6424,39.6424,12265,96.0000,0
2017-03-13,40.4683,40.4683,39.6837,39.6837,800,96.1000,0
2017-03-14,39.9315,40.4683,39.9315,40.4683,7274,98.0000,0
2017-03-15,40.4683,40.5096,40.4683,40.4683,3907,98.0000,0
2017-03-16,40.4683,40.4683,40.4683,40.4683,3741,98.0000,0
2017-03-17,39.8489,39.8489,39.8489,39.8489,575,96.5000,0
2017-03-20,40.0554,40.4683,39.8489,39.8489,2598,96.5000,0
2017-03-21,40.2618,40.2618,40.2618,40.2618,1732,97.5000,0
2017-03-22,40.2618,40.2618,40.2618,40.2618,945,97.5000,0
2017-03-24,39.8489,39.8489,39.6424,39.8489,1399,96.5000,0
2017-03-27,40.2618,40.2618,39.8489,39.8489,899,96.5000,2500
2017-03-28,40.2618,40.2618,40.2618,40.2618,350,97.5000,0
2017-03-29,40.2618,40.2618,40.2618,40.2618,10,97.5000,0
2017-03-30,39.6424,39.6424,39.6424,39.6424,1199,96.0000,2500
2017-03-31,39.2295,39.2295,38.8165,39.2295,12030,95.0000,0
2017-04-03,39.1882,39.1882,39.1882,39.1882,10,94.9000,0
2017-04-04,37.1648,38.8166,37.1648,37.1647,12100,90.0000,0
2017-04-05,38.8165,38.8165,38.8165,38.8165,100,94.0000,0
2017-04-07,38.4036,38.8165,38.4036,38.8165,1200,94.0000,335
2017-04-10,38.4036,38.4036,37.7841,37.7842,1910,91.5000,0
2017-04-11,37.2474,37.2474,37.1648,37.2473,2950,90.2000,61
2017-04-12,37.1647,37.3712,37.1647,37.3712,4640,90.5000,0
2017-04-13,37.1647,37.1647,37.1647,37.1647,600,90.0000,0
2017-04-14,38.4035,38.4035,38.4035,38.4036,167,93.0000,0
2017-04-17,37.1648,37.5364,37.1648,37.1647,1134,90.0000,0
2017-04-18,37.1647,37.1647,37.1647,37.1647,500,90.0000,0
2017-04-19,37.1647,37.1647,37.1647,37.1647,1381,90.0000,0
2017-04-20,37.1647,37.1647,37.1647,37.1647,2010,90.0000,0
2017-04-21,37.1647,37.3712,37.1647,37.3712,1702,90.5000,0
2017-04-24,36.7518,37.1647,36.7518,36.7518,1100,89.0000,0
2017-04-25,36.7518,36.7518,36.7518,36.7518,100,89.0000,0
2017-04-26,36.9583,36.9583,36.9583,36.9583,100,89.5000,0
2017-04-27,36.7518,37.1648,36.7518,37.1647,900,90.0000,0
2017-04-28,35.1000,35.5129,35.1000,35.5130,1800,86.0000,0
2017-05-04,35.1001,35.2239,35.1001,35.1826,1910,85.2000,0
2017-05-05,35.1000,35.1000,35.1000,35.1000,2013,85.0000,0
2017-05-08,34.6871,34.6871,34.2741,34.2742,2673,83.0000,0
2017-05-09,34.2742,35.1001,34.2742,35.1000,4403,85.0000,0
