date,open,high,low,close,volume,unadjusted,putthrough
2016-12-26,10.0279,10.0279,10.0279,10.0279,100,14.7000,0
2016-12-27,11.5287,11.5287,11.5287,11.5286,1500,16.9000,0
2016-12-28,13.2340,13.2340,13.2340,13.2340,100,19.4000,0
2016-12-29,15.2123,15.2123,15.0758,15.2123,2100,22.3000,0
2016-12-30,15.1441,15.1441,15.1441,15.1441,600,22.2000,0
2017-01-03,15.1441,15.1441,15.1441,15.1441,400,22.2000,0
2017-01-11,12.8930,12.8930,12.8930,12.8930,100,18.9000,0
2017-02-02,10.9829,10.9829,10.9829,10.9829,800,16.1000,0
2017-02-03,10.9829,10.9829,10.9829,10.9829,600,16.1000,0
2017-02-06,10.2325,10.2325,10.2325,10.2325,100,15.0000,0
2017-02-08,8.7317,8.8682,8.7317,8.8682,800,13.0000,0
2017-02-09,10.0961,10.0961,10.0961,10.0961,600,14.8000,0
2017-02-14,9.5504,9.5504,9.5504,9.5503,2800,14.0000,0
2017-02-15,9.0046,9.0046,9.0046,9.0046,700,13.2000,1200
2017-02-20,8.5271,8.5271,8.5271,8.5271,1000,12.5000,0
2017-03-03,8.5271,8.5271,8.5271,8.5271,500,12.5000,0
2017-03-06,9.6186,9.6186,9.6186,9.6186,100,14.1000,0
2017-03-07,11.0512,11.0512,11.0512,11.0511,100,16.2000,0
2017-03-13,9.4139,9.4139,9.4139,9.4139,100,13.8000,0
2017-03-20,9.2093,9.2093,9.2093,9.2093,600,13.5000,0
2017-03-23,8.5271,9.0729,8.5271,9.0728,1500,13.3000,0
2017-03-28,9.5504,9.5504,8.8682,8.8682,1400,13.0000,0
2017-03-29,9.8915,9.8915,9.8915,9.8914,100,14.5000,0
2017-03-31,9.5503,11.2557,8.4589,8.4589,12400,12.4000,0
2017-04-17,8.9364,8.9364,8.9364,8.9364,1900,13.1000,0
2017-04-20,9.4821,9.5504,9.4139,9.4139,500,13.8000,0
2017-04-24,8.8682,8.8682,8.8682,8.8682,3500,13.0000,0
2017-04-25,8.5271,8.5271,8.5271,8.5271,100,12.5000,0
2017-04-26,8.1860,8.1860,8.1860,8.1860,900,12.0000,0
2017-05-10,8.1860,8.1860,8.1860,8.1860,1700,12.0000,0
2017-05-15,6.9581,8.1860,6.9581,8.1860,2100,12.0000,0
2017-05-16,7.7085,7.7085,7.7085,7.7085,1400,11.3000,0
2017-05-17,8.5271,8.5271,8.1860,8.1860,3500,12.0000,0
2017-05-19,8.1860,8.6636,8.1860,8.6635,4500,12.7000,600
2017-05-23,7.2310,7.2310,7.2310,7.2310,2400,10.6000,0
2017-06-06,7.3762,7.3762,7.2330,7.2330,900,10.1000,0
2017-06-08,8.3788,8.3788,8.3788,8.3788,100,11.7000,0
2017-06-20,8.5486,8.5486,8.5486,8.5487,1500,11.0000,0
2017-06-21,8.1601,8.1601,8.1601,8.1601,500,10.5000,2500
2017-06-22,7.7715,8.1601,7.7715,8.1601,1400,10.5000,0
2017-06-28,7.7716,8.1601,7.7716,8.1601,1100,10.5000,0
2017-06-29,8.0824,8.0824,8.0824,8.0824,1000,10.4000,0
2017-06-30,8.0824,8.0824,8.0824,8.0824,200,10.4000,0
2017-07-04,7.4607,7.4607,7.4607,7.4607,1000,9.6000,0
2017-07-05,7.3830,8.0824,7.3830,8.0824,4900,10.4000,0
2017-07-07,7.7715,8.6264,7.7715,8.6264,2300,11.1000,0
2017-07-10,8.5487,8.5487,8.5487,8.5487,2010,11.0000,1200
2017-07-11,8.5487,9.3259,8.5487,9.3258,2300,12.0000,0
2017-07-12,9.7144,9.7144,9.3258,9.3258,2600,12.0000,0
2017-07-13,9.5589,9.5589,9.5589,9.5590,20,12.3000,0
2017-07-14,8.2378,8.2378,8.2378,8.2378,200,10.6000,0
2017-07-17,7.3829,7.3829,7.3829,7.3830,200,9.5000,0
2017-07-18,8.4710,8.4710,8.4710,8.4710,220,10.9000,2000
2017-07-19,7.3830,9.3259,7.3830,9.3258,1400,12.0000,0
2017-07-20,8.7818,8.7818,8.7818,8.7818,2000,11.3000,0
2017-07-21,8.7818,8.7818,8.7818,8.7818,1000,11.3000,0
2017-07-27,7.5384,7.9269,7.5384,7.9270,3300,10.2000,0
2017-07-31,6.9943,8.5487,6.9943,8.5487,310,11.0000,0
2017-08-02,7.7715,7.7715,7.7715,7.7715,2100,10.0000,1800
2017-08-03,8.1601,8.1601,7.7715,7.7715,1900,10.0000,0
2017-08-04,7.9269,8.1601,7.9269,7.9270,3400,10.2000,0
2017-08-09,8.0824,8.0824,8.0824,8.0824,1000,10.4000,0
2017-08-10,7.9270,8.0824,7.9270,8.0824,2700,10.4000,0
2017-08-11,7.9270,7.9270,7.9270,7.9270,200,10.2000,400
2017-08-14,7.9270,7.9270,7.9270,7.9270,1400,10.2000,0
2017-08-16,7.9270,7.9270,7.7716,7.9270,500,10.2000,0
2017-08-18,7.7716,7.7716,7.7716,7.7715,1600,10.0000,0
2017-08-23,7.7715,7.7715,7.7715,7.7715,2600,10.0000,700
2017-08-24,6.9943,8.0046,6.9943,8.0047,200,10.3000,400
2017-08-25,7.6161,7.6161,7.6161,7.6161,1800,9.8000,0
2017-08-28,6.6058,6.6058,6.6058,6.6058,100,8.5000,0
2017-08-29,7.5384,7.5384,7.5384,7.5384,1600,9.7000,0
2017-08-31,7.7715,7.7715,7.5384,7.7715,2500,10.0000,0
2017-09-01,7.6938,7.6938,7.6938,7.6938,200,9.9000,0
2017-09-05,7.6938,7.6938,7.6938,7.6938,2000,9.9000,700
2017-09-06,7.6938,7.6938,7.6938,7.6938,1300,9.9000,0
2017-09-11,7.6938,7.6938,7.6938,7.6938,200,9.9000,0
2017-09-15,7.6938,7.6938,7.6938,7.6938,4700,9.9000,19000
2017-09-18,7.6938,7.7715,7.6938,7.7715,6000,10.0000,0
2017-09-19,7.6938,7.7715,6.6058,6.9944,136000,9.0000,6000
2017-09-22,5.9064,6.8390,5.9064,6.8390,93600,8.8000,3000
2017-09-25,6.7613,6.7613,6.7613,6.7612,11300,8.7000,0
2017-09-26,7.7715,7.7715,7.6938,7.6938,15000,9.9000,0
2017-09-27,7.6938,7.7715,7.6938,7.7715,7100,10.0000,200000
2017-09-28,7.3829,7.3829,7.3829,7.3830,11000,9.5000,0
2017-09-29,7.3830,7.7716,7.3830,7.7715,2500,10.0000,0
2017-10-03,7.3830,7.4607,7.3830,7.4607,19030,9.6000,0
2017-10-04,7.3830,7.3830,7.1498,7.1498,10000,9.2000,0
2017-10-05,7.3829,7.3829,7.3829,7.3830,11100,9.5000,0
2017-10-06,7.5384,7.5384,7.5384,7.5384,1000,9.7000,0
2017-10-09,7.1498,7.1498,7.1498,7.1498,430,9.2000,0
2017-10-10,7.1498,7.3829,7.1498,7.3830,11000,9.5000,0
2017-10-11,7.3830,7.3830,7.3830,7.3830,700,9.5000,0
2017-10-16,7.2276,7.2276,7.2276,7.2275,200,9.3000,0
2017-10-17,7.2275,7.2275,7.2275,7.2275,50,9.3000,0
2017-10-18,6.9944,6.9944,6.9944,6.9944,2000,9.0000,0
2017-10-20,7.1498,7.1498,6.9944,6.9944,3100,9.0000,0
2017-10-23,7.1498,7.1498,7.0721,7.0721,38200,9.1000,0
2017-10-24,6.9944,6.9944,6.4504,6.4504,1700,8.3000,0
2017-10-26,6.9167,6.9167,6.9167,6.9167,100,8.9000,0
2017-10-27,6.4504,6.4504,6.4504,6.4504,100,8.3000,0
2017-10-30,6.6058,6.9167,6.5281,6.6058,8800,8.5000,0
2017-10-31,6.8389,6.8389,6.8389,6.8390,1000,8.8000,0
2017-11-01,6.8390,6.8390,6.6836,6.6835,1900,8.6000,0
2017-11-03,6.2949,6.2949,6.2949,6.2949,800,8.1000,0
2017-11-07,6.6835,6.7612,6.6835,6.7612,30841,8.7000,0
2017-11-10,6.7612,6.7612,6.7612,6.7612,300,8.7000,5800
2017-11-13,6.7612,6.7612,6.7612,6.7612,741,8.7000,1000
2017-11-14,5.7509,5.7509,5.7509,5.7509,13000,7.4000,0
2017-11-15,6.4503,6.4503,6.0618,6.0618,1500,7.8000,0
2017-11-16,6.2949,6.2949,5.8287,5.8287,30100,7.5000,0
2017-11-17,6.6059,6.6059,5.9064,5.9064,1300,7.6000,0
2017-11-20,6.0618,6.0618,5.9841,5.9841,28300,7.7000,0
2017-11-21,6.0618,6.2172,6.0618,6.2172,6000,8.0000,0
2017-11-22,6.2172,6.5281,6.2172,6.2172,30400,8.0000,0
2017-11-23,5.9841,6.5281,5.9841,6.4504,3300,8.3000,900
2017-11-24,6.5281,6.7613,6.2173,6.2172,16200,8.0000,0
2017-11-27,5.8286,6.5281,5.8286,6.5281,1100,8.4000,0
2017-11-28,6.4504,6.4504,6.4504,6.4504,5000,8.3000,0
2017-11-29,6.4504,6.5281,6.4504,6.4504,157500,8.3000,0
2017-11-30,6.4504,6.4504,6.4504,6.4504,1500,8.3000,0
2017-12-01,6.2173,6.4504,6.2173,6.2172,65000,8.0000,0
2017-12-04,6.1395,6.2172,6.1395,6.2172,50100,8.0000,0
2017-12-05,6.2172,6.9943,6.2172,6.9944,25400,9.0000,0
2017-12-06,6.2950,7.1498,6.2172,7.1498,67200,9.2000,0
2017-12-07,6.2172,6.2172,5.9841,6.2172,53700,8.0000,0
2017-12-08,6.3726,6.6058,6.1395,6.6058,76400,8.5000,0
2017-12-11,6.2172,6.9944,6.1395,6.1395,51300,7.9000,0
2017-12-12,6.6058,6.8389,6.1395,6.1395,18000,7.9000,0
2017-12-13,6.1395,6.1395,6.1395,6.1395,3000,7.9000,150000
2017-12-14,6.0618,6.1395,6.0618,6.1395,3900,7.9000,0
2017-12-15,6.0618,6.0618,5.9841,5.9841,25700,7.7000,0
2017-12-18,6.1395,6.1395,5.9841,5.9841,8200,7.7000,0
2017-12-19,5.9841,5.9841,5.9841,5.9841,1000,7.7000,0
2017-12-20,5.9841,6.0618,5.9841,5.9841,24600,7.7000,0
2017-12-21,6.0618,6.0618,5.9841,5.9841,3200,7.7000,0
2017-12-22,6.1395,6.1395,5.9064,5.9064,13300,7.6000,0
2017-12-25,6.0618,6.1395,6.0618,6.1395,7700,7.9000,0
2017-12-26,6.0618,6.0618,5.9064,5.9064,800,7.6000,0
2017-12-27,6.0618,6.2173,5.9841,5.9841,34800,7.7000,0
2017-12-28,6.0618,6.0618,5.9841,5.9841,6200,7.7000,0
2017-12-29,5.9841,5.9841,5.9841,5.9841,127,7.7000,0
2018-01-02,5.9064,5.9064,5.9064,5.9064,5600,7.6000,0
2018-01-03,5.9064,5.9064,5.8287,5.9064,3300,7.6000,0
2018-01-04,5.9064,5.9064,5.9064,5.9064,2500,7.6000,0
2018-01-05,5.8287,5.8287,5.8287,5.8287,11000,7.5000,0
