date,open,high,low,close,volume,unadjusted,putthrough
2009-11-17,6.8481,6.8481,6.8481,6.8481,213340,36.0000,0
2009-11-18,7.1715,7.1715,7.0003,7.0193,71640,36.9000,0
2009-11-19,6.6769,6.8291,6.6769,6.6769,31280,35.1000,0
2009-11-20,6.3535,6.3535,6.3535,6.3535,17680,33.4000,0
2009-11-23,6.0491,6.0491,6.0491,6.0492,3190,31.8000,0
2009-11-24,5.7639,5.8970,5.7639,5.7638,109190,30.3000,20000
2009-11-25,5.4785,5.4975,5.4785,5.4785,44130,28.8000,0
2009-11-26,5.2122,5.2122,5.2122,5.2122,1710,27.4000,0
2009-11-27,5.2122,5.4595,4.9649,4.9649,105290,26.1000,0
2009-11-30,4.9649,4.9649,4.7176,4.7176,50890,24.8000,0
2009-12-01,4.8508,4.9459,4.7747,4.9459,24500,26.0000,0
2009-12-02,5.0410,5.0410,4.9459,5.0220,21810,26.4000,0
2009-12-03,5.0220,5.0220,4.7747,4.9649,18200,26.1000,0
2009-12-04,5.0029,5.0029,4.7176,4.9459,13990,26.0000,0
2009-12-07,4.7557,4.9269,4.6986,4.6986,13870,24.7000,0
2009-12-08,4.4894,4.4894,4.4703,4.4703,30590,23.5000,0
2009-12-09,4.2611,4.4513,4.2611,4.4513,2100,23.4000,0
2009-12-10,4.4513,4.4513,4.2421,4.4513,10850,23.4000,0
2009-12-11,4.2421,4.2801,4.2421,4.2420,5330,22.3000,0
2009-12-14,4.0328,4.4512,4.0328,4.4132,10590,23.2000,0
2009-12-15,4.3752,4.5464,4.2040,4.2420,101280,22.3000,0
2009-12-16,4.3371,4.3371,4.1469,4.3181,12090,22.7000,0
2009-12-17,4.1469,4.2801,4.1089,4.2040,17280,22.1000,0
2009-12-18,4.2420,4.4132,4.2420,4.4132,8970,23.2000,0
2009-12-21,4.6034,4.6224,4.5844,4.6225,21770,24.3000,0
2009-12-22,4.8235,4.8436,4.4215,4.8370,14550,24.1000,0
2009-12-23,4.6363,4.8169,4.6162,4.8170,5940,24.0000,0
2009-12-24,4.6163,4.9976,4.5762,4.9976,11090,24.9000,0
2009-12-25,4.9976,5.2384,4.9976,5.2384,86680,26.1000,0
2009-12-28,5.4993,5.4993,5.2585,5.4994,115920,27.4000,0
2009-12-29,5.4994,5.6198,5.4994,5.5194,29390,27.5000,0
2009-12-30,5.3388,5.5395,5.3388,5.5194,18910,27.5000,0
2009-12-31,5.4190,5.5595,5.2585,5.2585,28700,26.2000,0
2010-01-04,5.2585,5.3789,5.2184,5.2585,54110,26.2000,0
2010-01-05,5.2585,5.2585,4.9976,4.9976,54250,24.9000,0
2010-01-06,4.8571,5.2184,4.8170,5.1782,18720,25.8000,0
2010-01-07,5.0377,5.1782,4.9775,4.9775,26900,24.8000,0
2010-01-08,4.9775,5.2183,4.9775,5.2184,181880,26.0000,0
2010-01-11,5.0779,5.2184,5.0378,5.2184,36580,26.0000,0
2010-01-12,5.0779,5.3589,5.0177,5.0177,15140,25.0000,0
2010-01-13,4.9976,5.0177,4.8571,5.0177,10570,25.0000,0
2010-01-14,5.0177,5.1783,4.9374,5.0177,4600,25.0000,0
2010-01-15,5.0177,5.0177,4.9173,4.9173,7030,24.5000,0
2010-01-18,4.8169,4.8169,4.6965,4.6965,11200,23.4000,0
2010-01-19,4.6965,4.8169,4.6965,4.7367,7980,23.6000,0
