date,open,high,low,close,volume,unadjusted,putthrough
2017-03-21,11.2869,11.2869,8.5216,8.5216,5900,15.1000,0
2017-03-22,9.0295,9.0295,9.0295,9.0295,2200,16.0000,0
2017-03-28,8.4652,8.4652,8.4652,8.4652,2000,15.0000,0
2017-03-29,8.4652,9.5939,8.4652,9.5939,1300,17.0000,0
2017-03-31,8.7474,9.8760,8.5216,9.8760,9700,17.5000,0
2017-04-03,8.7473,8.7473,8.7473,8.7474,1000,15.5000,0
2017-04-05,8.6910,8.6910,8.5217,8.5781,3200,15.2000,0
2017-04-10,8.7473,8.7473,8.7473,8.7474,900,15.5000,0
2017-04-14,8.7474,8.7474,8.7474,8.7474,600,15.5000,0
2017-04-17,8.7474,8.7474,8.7474,8.7474,600,15.5000,0
2017-04-18,8.4652,8.5781,8.4652,8.5781,3100,15.2000,0
2017-04-19,8.4652,8.5217,8.4652,8.5216,1100,15.1000,0
2017-04-25,8.5216,8.5216,8.5216,8.5216,1200,15.1000,0
2017-04-26,7.5058,7.5058,7.3365,7.3365,1100,13.0000,0
2017-05-03,8.4088,8.4652,8.4088,8.4652,5600,15.0000,0
2017-05-05,8.4652,8.5781,8.4652,8.5781,4000,15.2000,0
2017-05-08,8.7474,8.7474,8.7474,8.7474,1100,15.5000,0
2017-05-10,8.3524,8.3524,7.9009,7.9008,22400,14.0000,0
2017-05-11,8.0137,8.0137,8.0137,8.0137,100,14.2000,0
2017-05-16,7.9573,7.9573,7.9573,7.9573,1200,14.1000,0
2017-05-17,7.9009,8.0702,7.9009,8.0701,9400,14.3000,0
2017-05-22,8.0137,8.0137,8.0137,8.0137,400,14.2000,0
2017-05-23,7.9008,7.9008,7.9008,7.9008,200,14.0000,0
2017-05-24,7.9008,7.9572,7.9008,7.9573,600,14.1000,0
2017-05-25,8.1830,8.3523,7.9009,8.3523,1600,14.8000,0
2017-05-26,8.0701,8.0701,8.0701,8.0701,1000,14.3000,0
2017-05-29,8.1265,8.1830,8.1265,8.1830,2400,14.5000,41400
2017-05-30,8.1830,8.1830,8.1830,8.1830,4000,14.5000,0
2017-05-31,8.2394,8.2394,8.2394,8.2394,1300,14.6000,0
2017-06-01,8.4087,8.7473,8.4087,8.7474,3000,15.5000,0
2017-06-02,8.5781,9.0296,8.5781,9.0295,2300,16.0000,0
2017-06-05,9.2552,9.2552,9.2552,9.2553,100,16.4000,0
2017-06-06,9.3682,9.5939,9.3682,9.3681,300,16.6000,0
2017-06-07,9.5039,9.5039,9.5039,9.4810,3000,14.0000,0
2017-06-08,9.4810,9.8196,9.4810,9.6164,8100,14.2000,0
2017-06-09,9.7518,9.8196,9.6841,9.6842,12500,14.3000,0
2017-06-12,8.3298,9.4810,8.3298,9.4810,200,14.0000,0
2017-06-13,9.1424,9.1424,9.1424,9.1424,300,13.5000,0
2017-06-14,9.1424,9.2101,8.4652,8.4652,4500,12.5000,0
2017-06-15,8.6684,8.6684,8.6684,8.6683,1200,12.8000,0
2017-06-16,8.8037,8.8037,8.8037,8.8038,2000,13.0000,0
2017-06-19,8.8038,8.8038,8.8038,8.8038,3500,13.0000,0
2017-06-20,8.8038,8.8038,8.8038,8.8038,3000,13.0000,0
2017-06-21,9.1424,9.1424,9.0070,9.0070,6100,13.3000,0
2017-06-22,9.1424,9.2102,9.0747,9.1424,55500,13.5000,0
2017-06-23,9.1424,9.1424,9.1424,9.1424,3000,13.5000,0
2017-06-26,9.1424,9.4810,9.1424,9.4810,23000,14.0000,0
2017-06-27,9.4810,9.4810,9.3456,9.4810,23500,14.0000,0
2017-06-28,9.4810,9.4810,9.4810,9.4810,15000,14.0000,0
2017-06-29,9.7519,9.7519,9.4133,9.4810,8500,14.0000,0
2017-06-30,9.4810,9.7519,9.4810,9.6842,27610,14.3000,0
2017-07-03,9.7519,10.0228,9.6842,9.6842,68400,14.3000,0
2017-07-04,9.8874,10.1583,9.8874,10.0228,83200,14.8000,0
2017-07-05,10.1582,10.4969,10.0905,10.4968,80900,15.5000,0
2017-07-06,10.4968,10.4968,10.2936,10.2937,17200,15.2000,0
2017-07-07,10.4969,10.4969,10.0228,10.2937,7000,15.2000,0
2017-07-10,10.2937,10.2937,10.0228,10.0228,16600,14.8000,0
2017-07-11,10.0905,10.0905,10.0905,10.0905,500,14.9000,0
2017-07-12,10.0905,10.0905,10.0228,10.0905,1800,14.9000,0
2017-07-13,10.0228,10.0905,10.0228,10.0905,1100,14.9000,0
2017-07-14,10.0905,10.0905,9.4810,10.0228,6400,14.8000,0
2017-07-17,9.5487,9.5487,9.4810,9.4810,2910,14.0000,0
2017-07-18,9.4810,9.7519,9.4810,9.7519,1800,14.4000,0
2017-07-19,9.9551,9.9551,9.8196,9.8196,2800,14.5000,0
2017-07-20,9.4810,9.7519,9.4810,9.7519,4100,14.4000,0
2017-07-21,9.7519,9.7519,9.7519,9.7519,1700,14.4000,0
2017-07-24,9.8196,9.8196,9.3456,9.7519,5800,14.4000,0
2017-07-25,9.7519,9.7519,9.4810,9.4810,5100,14.0000,0
2017-07-26,9.4810,9.7519,9.4133,9.6164,12800,14.2000,0
2017-07-27,9.7518,9.7518,9.5487,9.5487,2800,14.1000,0
2017-07-28,9.7519,9.8196,9.6841,9.6842,37000,14.3000,0
2017-07-31,9.8196,9.8196,9.7519,9.8196,12600,14.5000,0
2017-08-01,9.7519,9.7519,9.6842,9.6842,38200,14.3000,0
2017-08-02,9.6165,9.6165,9.6165,9.6164,7722,14.2000,0
2017-08-03,9.6164,9.7518,9.6164,9.7519,10700,14.4000,0
2017-08-07,9.6842,9.6842,9.6842,9.6842,9000,14.3000,0
2017-08-08,9.6842,9.6842,9.5488,9.5487,15900,14.1000,0
2017-08-09,9.4810,9.4810,9.4133,9.4133,16100,13.9000,0
2017-08-10,9.4133,9.4133,9.4133,9.4133,430,13.9000,0
2017-08-11,9.4133,9.4810,9.3456,9.4810,13900,14.0000,20
2017-08-17,9.3456,9.4810,9.2779,9.4133,12100,13.9000,0
2017-08-18,9.3456,9.3456,9.2779,9.2778,1500,13.7000,0
2017-08-21,9.3455,9.3455,9.2778,9.2778,2400,13.7000,0
2017-08-22,9.2778,9.2778,9.2778,9.2778,7800,13.7000,0
2017-08-23,9.2778,9.3455,9.2778,9.3456,12400,13.8000,0
2017-08-24,9.2779,9.2779,9.2779,9.2778,5000,13.7000,0
2017-08-25,9.2778,9.2778,9.2778,9.2778,5500,13.7000,0
2017-08-28,10.1582,10.1582,9.2778,9.3456,8110,13.8000,0
2017-08-30,9.4133,9.4810,9.4133,9.4810,6600,14.0000,0
2017-08-31,9.4133,9.4810,9.2778,9.3456,26500,13.8000,0
2017-09-01,9.4810,9.4810,9.4133,9.4810,7400,14.0000,0
2017-09-05,9.4133,9.4133,9.3456,9.3456,1110,13.8000,0
2017-09-06,9.3456,9.4133,9.3456,9.4133,600,13.9000,0
2017-09-07,9.4810,9.4810,9.4810,9.4810,100,14.0000,0
2017-09-08,9.4810,9.4810,9.4810,9.4810,3450,14.0000,0
2017-09-11,9.4810,9.4810,9.4810,9.4810,500,14.0000,0
2017-09-12,9.4810,9.4810,9.4810,9.4810,28215,14.0000,0
2017-09-13,9.4810,9.4810,9.4810,9.4810,1014,14.0000,0
2017-09-14,9.4810,9.4810,9.4810,9.4810,11719,14.0000,0
2017-09-15,9.5487,9.5487,9.4810,9.4810,8000,14.0000,0
2017-09-18,10.0228,10.0228,9.8196,9.8196,6000,14.5000,0
2017-09-19,9.8196,9.8196,9.6164,9.6164,5100,14.2000,0
2017-09-20,9.8196,9.8196,9.8196,9.8196,3500,14.5000,0
2017-09-21,9.8873,9.8873,9.8873,9.8873,100,14.6000,0
2017-09-25,9.5487,9.5487,9.5487,9.5487,600,14.1000,0
2017-09-26,9.8873,9.8873,9.5487,9.5487,3560,14.1000,0
2017-09-27,9.5487,9.6164,9.4133,9.4810,14710,14.0000,0
2017-09-28,9.4810,9.4810,9.4810,9.4810,5410,14.0000,0
2017-10-02,9.4810,9.4810,9.4810,9.4810,8000,14.0000,0
2017-10-03,9.4810,9.4810,9.4810,9.4810,5400,14.0000,0
2017-10-04,9.4810,9.4810,9.4810,9.4810,2000,14.0000,0
2017-10-09,10.1582,10.1582,9.8196,9.8196,1600,14.5000,0
2017-10-10,9.4810,9.8196,9.4810,9.8196,2930,14.5000,0
2017-10-11,9.7519,9.7519,9.7519,9.7519,5100,14.4000,0
2017-10-12,9.7519,9.7519,9.4810,9.4810,2900,14.0000,0
2017-10-13,9.8873,9.8873,9.8873,9.8873,207,14.6000,0
2017-10-16,9.8196,9.8196,9.6841,9.6842,9000,14.3000,0
2017-10-18,9.6842,9.6842,9.6842,9.6842,520,14.3000,0
2017-10-19,9.6842,9.8196,9.6842,9.8196,2000,14.5000,0
2017-10-20,9.7519,9.7519,9.7519,9.7519,100,14.4000,0
2017-10-23,9.7519,9.7519,9.5487,9.5487,2100,14.1000,0
2017-10-24,9.4810,9.5487,9.4810,9.4810,13000,14.0000,0
2017-10-25,9.4810,9.4810,9.3456,9.3456,16200,13.8000,0
2017-10-26,9.4810,9.6165,9.4810,9.6164,900,14.2000,0
2017-10-27,9.5487,9.5487,9.2101,9.2101,200,13.6000,0
2017-10-30,9.4810,9.4810,9.4810,9.4810,2230,14.0000,0
2017-10-31,9.4810,9.6842,9.4810,9.5487,2900,14.1000,0
2017-11-01,9.5487,9.5487,9.5487,9.5487,23000,14.1000,0
2017-11-02,9.4810,9.4810,9.4133,9.4133,10000,13.9000,0
2017-11-03,9.4133,9.4133,9.4133,9.4133,3000,13.9000,0
2017-11-07,9.4810,9.4810,9.4810,9.4810,10000,14.0000,0
2017-11-08,9.4810,9.4810,9.4810,9.4810,13700,14.0000,0
2017-11-09,9.8196,9.8196,9.2101,9.2101,6400,13.6000,0
2017-11-13,9.4133,9.4133,9.3456,9.3456,17400,13.8000,0
2017-11-14,9.4810,9.4810,9.1424,9.1424,4300,13.5000,0
2017-11-16,9.2778,9.2778,9.2778,9.2778,3800,13.7000,0
2017-11-17,9.4810,9.4810,9.4810,9.4810,9930,14.0000,0
2017-11-20,9.4810,9.4810,9.4810,9.4810,2800,14.0000,0
2017-11-21,9.4810,9.5487,9.4810,9.4810,8300,14.0000,0
2017-11-22,9.4810,9.4810,9.4810,9.4810,2200,14.0000,0
2017-11-23,9.8196,9.8196,9.4810,9.4810,5500,14.0000,0
2017-11-24,9.4810,9.4810,9.4133,9.4133,31011,13.9000,0
2017-11-27,9.3456,9.4810,8.3298,9.4810,22601,14.0000,0
2017-11-28,9.4810,9.4810,9.2778,9.4810,5600,14.0000,0
2017-11-29,9.4810,9.4810,9.4810,9.4810,12000,14.0000,0
2017-11-30,9.4133,9.4810,9.3456,9.4810,22000,14.0000,0
2017-12-01,9.4810,9.4810,9.4133,9.4810,14601,14.0000,0
2017-12-04,9.6164,9.6164,9.4133,9.4810,53800,14.0000,0
2017-12-05,9.4810,9.4810,9.4133,9.4133,33800,13.9000,0
2017-12-06,9.4133,9.4810,9.4133,9.4810,31806,14.0000,0
2017-12-07,9.4810,9.4810,9.4810,9.4810,2300,14.0000,0
2017-12-08,9.4810,9.4810,9.4810,9.4810,17970,14.0000,0
2017-12-11,9.4810,9.4810,9.4810,9.4810,20200,14.0000,0
2017-12-12,9.4810,9.6842,9.4133,9.6842,29800,14.3000,0
2017-12-13,9.4810,9.7519,9.4810,9.6842,6260,14.3000,0
2017-12-14,9.6165,9.6842,9.6165,9.6842,23100,14.3000,40
2017-12-15,9.6165,9.6842,9.4810,9.5487,12832,14.1000,0
2017-12-18,9.5487,9.6841,9.5487,9.6164,10690,14.2000,0
2017-12-19,9.6164,9.6164,9.4810,9.5487,6700,14.1000,0
2017-12-20,9.6841,9.7519,9.6164,9.6842,18342,14.3000,0
2017-12-21,9.6842,9.7519,9.6842,9.6842,26572,14.3000,0
2017-12-22,9.7519,9.8196,9.7519,9.8196,11300,14.5000,0
2017-12-25,9.8196,9.8196,9.4810,9.4810,6400,14.0000,0
